Date,SPG
1994-11-04,21.695345
1994-11-07,21.811360999999998
1994-11-08,21.579327
1994-11-09,21.695345
1994-11-10,21.463307999999998
1994-11-11,21.463307999999998
1994-11-14,21.34729
1994-11-15,21.34729
1994-11-16,21.463307999999998
1994-11-17,21.463307999999998
1994-11-18,21.579327
1994-11-21,21.463307999999998
1994-11-22,21.463307999999998
1994-11-23,21.463307999999998
1994-11-25,21.92738
1994-11-28,21.92738
1994-11-29,21.92738
1994-11-30,21.92738
1994-12-01,21.92738
1994-12-02,21.811360999999998
1994-12-05,21.811360999999998
1994-12-06,21.92738
1994-12-07,21.695345
1994-12-08,21.34729
1994-12-09,21.231272
1994-12-12,21.695345
1994-12-13,21.92738
1994-12-14,22.391451
1994-12-15,22.623487
1994-12-16,23.087559
1994-12-19,23.319595
1994-12-20,23.203577
1994-12-21,23.203577
1994-12-22,23.203577
1994-12-23,22.507469
1994-12-27,22.739506
1994-12-28,22.507469
1994-12-29,22.507469
1994-12-30,22.507469
1995-01-03,23.087559
1995-01-04,23.087559
1995-01-05,23.319595
1995-01-06,22.855522
1995-01-09,22.97154
1995-01-10,22.507469
1995-01-11,21.811360999999998
1995-01-12,22.159416
1995-01-13,22.275433
1995-01-16,22.275433
1995-01-17,22.159416
1995-01-18,22.159416
1995-01-19,22.275433
1995-01-20,22.159416
1995-01-23,21.811360999999998
1995-01-24,22.043398
1995-01-25,21.811360999999998
1995-01-26,21.92738
1995-01-27,21.92738
1995-01-30,21.695345
1995-01-31,21.695345
1995-02-01,21.231272
1995-02-02,21.231272
1995-02-03,21.231272
1995-02-06,21.231272
1995-02-07,21.463307999999998
1995-02-08,21.695345
1995-02-09,21.811360999999998
1995-02-10,21.811360999999998
1995-02-13,21.695345
1995-02-14,21.811360999999998
1995-02-15,21.695345
1995-02-16,21.811360999999998
1995-02-17,21.811360999999998
1995-02-21,22.043398
1995-02-22,22.275433
1995-02-23,22.275433
1995-02-24,22.739506
1995-02-27,22.623487
1995-02-28,22.623487
1995-03-01,22.97154
1995-03-02,22.739506
1995-03-03,22.623487
1995-03-06,22.855522
1995-03-07,22.97154
1995-03-08,22.97154
1995-03-09,23.087559
1995-03-10,22.739506
1995-03-13,22.739506
1995-03-14,23.203577
1995-03-15,23.783667
1995-03-16,23.55163
1995-03-17,23.55163
1995-03-20,23.667648
1995-03-21,23.435612
1995-03-22,23.203577
1995-03-23,23.435612
1995-03-24,23.435612
1995-03-27,23.203577
1995-03-28,23.087559
1995-03-29,23.203577
1995-03-30,22.97154
1995-03-31,22.623487
1995-04-03,22.391451
1995-04-04,22.275433
1995-04-05,22.391451
1995-04-06,22.275433
1995-04-07,22.275433
1995-04-10,22.275433
1995-04-11,22.391451
1995-04-12,22.391451
1995-04-13,22.391451
1995-04-17,22.275433
1995-04-18,22.159416
1995-04-19,21.92738
1995-04-20,21.92738
1995-04-21,21.92738
1995-04-24,21.92738
1995-04-25,22.043398
1995-04-26,21.811360999999998
1995-04-27,21.92738
1995-04-28,22.043398
1995-05-01,22.043398
1995-05-02,22.159416
1995-05-03,22.043398
1995-05-04,22.043398
1995-05-05,22.391451
1995-05-08,22.507469
1995-05-09,23.087559
1995-05-10,23.087559
1995-05-11,23.087559
1995-05-12,23.087559
1995-05-15,22.855522
1995-05-16,23.087559
1995-05-17,22.97154
1995-05-18,22.855522
1995-05-19,23.087559
1995-05-22,22.97154
1995-05-23,22.623487
1995-05-24,22.739506
1995-05-25,22.97154
1995-05-26,22.275433
1995-05-30,22.97154
1995-05-31,23.087559
1995-06-01,23.087559
1995-06-02,23.203577
1995-06-05,23.319595
1995-06-06,23.319595
1995-06-07,23.203577
1995-06-08,22.97154
1995-06-09,22.739506
1995-06-12,22.391451
1995-06-13,22.391451
1995-06-14,22.739506
1995-06-15,23.087559
1995-06-16,23.087559
1995-06-19,23.087559
1995-06-20,22.97154
1995-06-21,22.97154
1995-06-22,23.087559
1995-06-23,23.319595
1995-06-26,23.087559
1995-06-27,23.087559
1995-06-28,23.319595
1995-06-29,23.087559
1995-06-30,23.319595
1995-07-03,23.319595
1995-07-05,23.319595
1995-07-06,23.55163
1995-07-07,23.783667
1995-07-10,23.435612
1995-07-11,23.435612
1995-07-12,23.319595
1995-07-13,23.087559
1995-07-14,23.203577
1995-07-17,23.087559
1995-07-18,22.97154
1995-07-19,22.623487
1995-07-20,22.855522
1995-07-21,23.203577
1995-07-24,23.087559
1995-07-25,22.97154
1995-07-26,22.855522
1995-07-27,23.087559
1995-07-28,22.97154
1995-07-31,22.739506
1995-08-01,22.739506
1995-08-02,22.739506
1995-08-03,22.739506
1995-08-04,22.623487
1995-08-07,22.97154
1995-08-08,22.739506
1995-08-09,22.97154
1995-08-10,22.855522
1995-08-11,22.97154
1995-08-14,22.97154
1995-08-15,22.855522
1995-08-16,22.623487
1995-08-17,22.391451
1995-08-18,22.391451
1995-08-21,22.623487
1995-08-22,22.739506
1995-08-23,22.855522
1995-08-24,22.97154
1995-08-25,22.855522
1995-08-28,22.97154
1995-08-29,22.855522
1995-08-30,22.739506
1995-08-31,22.855522
1995-09-01,23.203577
1995-09-05,23.087559
1995-09-06,23.087559
1995-09-07,23.087559
1995-09-08,23.435612
1995-09-11,23.319595
1995-09-12,23.55163
1995-09-13,23.899683
1995-09-14,23.783667
1995-09-15,23.899683
1995-09-18,23.55163
1995-09-19,23.55163
1995-09-20,23.667648
1995-09-21,23.899683
1995-09-22,23.899683
1995-09-25,23.899683
1995-09-26,24.015701
1995-09-27,23.899683
1995-09-28,23.667648
1995-09-29,23.55163
1995-10-02,23.55163
1995-10-03,23.667648
1995-10-04,23.55163
1995-10-05,23.55163
1995-10-06,23.087559
1995-10-09,22.739506
1995-10-10,22.855522
1995-10-11,22.97154
1995-10-12,22.855522
1995-10-13,22.855522
1995-10-16,22.623487
1995-10-17,22.507469
1995-10-18,22.159416
1995-10-19,22.159416
1995-10-20,21.92738
1995-10-23,22.159416
1995-10-24,22.043398
1995-10-25,21.92738
1995-10-26,21.811360999999998
1995-10-27,21.811360999999998
1995-10-30,21.92738
1995-10-31,21.579327
1995-11-01,21.231272
1995-11-02,21.463307999999998
1995-11-03,21.463307999999998
1995-11-06,21.463307999999998
1995-11-07,21.579327
1995-11-08,21.811360999999998
1995-11-09,22.275433
1995-11-10,22.97154
1995-11-13,22.623487
1995-11-14,21.92738
1995-11-15,22.159416
1995-11-16,22.043398
1995-11-17,22.043398
1995-11-20,21.811360999999998
1995-11-21,21.92738
1995-11-22,21.811360999999998
1995-11-24,21.695345
1995-11-27,21.811360999999998
1995-11-28,21.92738
1995-11-29,21.579327
1995-11-30,21.463307999999998
1995-12-01,21.579327
1995-12-04,21.34729
1995-12-05,21.579327
1995-12-06,22.739506
1995-12-07,22.275433
1995-12-08,22.043398
1995-12-11,22.043398
1995-12-12,22.507469
1995-12-13,23.435612
1995-12-14,22.855522
1995-12-15,23.319595
1995-12-18,22.739506
1995-12-19,22.97154
1995-12-20,22.855522
1995-12-21,22.739506
1995-12-22,22.855522
1995-12-26,23.087559
1995-12-27,23.087559
1995-12-28,22.739506
1995-12-29,22.623487
1996-01-02,22.623487
1996-01-03,22.623487
1996-01-04,22.507469
1996-01-05,22.391451
1996-01-08,22.391451
1996-01-09,22.507469
1996-01-10,21.695345
1996-01-11,21.695345
1996-01-12,21.463307999999998
1996-01-15,21.811360999999998
1996-01-16,21.92738
1996-01-17,22.159416
1996-01-18,22.275433
1996-01-19,22.159416
1996-01-22,22.159416
1996-01-23,21.695345
1996-01-24,21.34729
1996-01-25,21.231272
1996-01-26,21.34729
1996-01-29,21.463307999999998
1996-01-30,20.999237
1996-01-31,20.7672
1996-02-01,20.883219
1996-02-02,20.419147
1996-02-05,20.187110999999998
1996-02-06,20.419147
1996-02-07,21.115254999999998
1996-02-08,20.999237
1996-02-09,20.7672
1996-02-12,20.419147
1996-02-13,20.651182000000002
1996-02-14,20.999237
1996-02-15,20.999237
1996-02-16,21.231272
1996-02-20,20.651182000000002
1996-02-21,20.999237
1996-02-22,21.34729
1996-02-23,21.579327
1996-02-26,21.463307999999998
1996-02-27,21.579327
1996-02-28,21.579327
1996-02-29,21.695345
1996-03-01,21.695345
1996-03-04,21.811360999999998
1996-03-05,22.391451
1996-03-06,22.275433
1996-03-07,22.391451
1996-03-08,21.92738
1996-03-11,22.043398
1996-03-12,21.811360999999998
1996-03-13,21.811360999999998
1996-03-14,21.579327
1996-03-15,21.463307999999998
1996-03-18,21.92738
1996-03-19,21.811360999999998
1996-03-20,22.275433
1996-03-21,22.275433
1996-03-22,22.043398
1996-03-25,22.275433
1996-03-26,21.92738
1996-03-27,21.811360999999998
1996-03-28,21.463307999999998
1996-03-29,21.463307999999998
1996-04-01,21.463307999999998
1996-04-02,21.34729
1996-04-03,21.4053
1996-04-04,21.115254999999998
1996-04-08,20.883219
1996-04-09,21.463307999999998
1996-04-10,20.651182000000002
1996-04-11,20.651182000000002
1996-04-12,20.999237
1996-04-15,20.883219
1996-04-16,21.115254999999998
1996-04-17,20.883219
1996-04-18,21.115254999999998
1996-04-19,21.231272
1996-04-22,21.231272
1996-04-23,21.115254999999998
1996-04-24,21.231272
1996-04-25,21.463307999999998
1996-04-26,21.463307999999998
1996-04-29,21.521317
1996-04-30,21.34729
1996-05-01,21.231272
1996-05-02,21.231272
1996-05-03,21.695345
1996-05-06,21.695345
1996-05-07,21.579327
1996-05-08,21.579327
1996-05-09,21.579327
1996-05-10,21.695345
1996-05-13,22.391451
1996-05-14,22.275433
1996-05-15,22.043398
1996-05-16,22.159416
1996-05-17,22.159416
1996-05-20,22.391451
1996-05-21,22.391451
1996-05-22,22.159416
1996-05-23,21.92738
1996-05-24,21.92738
1996-05-28,22.043398
1996-05-29,22.043398
1996-05-30,22.391451
1996-05-31,22.507469
1996-06-03,22.391451
1996-06-04,22.391451
1996-06-05,22.507469
1996-06-06,22.391451
1996-06-07,22.391451
1996-06-10,22.507469
1996-06-11,22.623487
1996-06-12,22.391451
1996-06-13,22.507469
1996-06-14,22.507469
1996-06-17,22.623487
1996-06-18,22.507469
1996-06-19,22.623487
1996-06-20,22.391451
1996-06-21,22.275433
1996-06-24,22.391451
1996-06-25,22.507469
1996-06-26,22.623487
1996-06-27,22.391451
1996-06-28,22.739506
1996-07-01,22.855522
1996-07-02,22.97154
1996-07-03,22.855522
1996-07-05,22.739506
1996-07-08,22.623487
1996-07-09,22.507469
1996-07-10,21.811360999999998
1996-07-11,21.579327
1996-07-12,21.811360999999998
1996-07-15,21.463307999999998
1996-07-16,21.463307999999998
1996-07-17,21.695345
1996-07-18,21.811360999999998
1996-07-19,21.579327
1996-07-22,21.579327
1996-07-23,21.695345
1996-07-24,21.579327
1996-07-25,21.579327
1996-07-26,21.579327
1996-07-29,21.811360999999998
1996-07-30,22.043398
1996-07-31,21.811360999999998
1996-08-01,21.92738
1996-08-02,22.275433
1996-08-05,22.275433
1996-08-06,22.739506
1996-08-07,22.855522
1996-08-08,22.739506
1996-08-09,22.623487
1996-08-12,22.623487
1996-08-13,22.97154
1996-08-14,23.319595
1996-08-15,23.435612
1996-08-16,23.203577
1996-08-19,22.97154
1996-08-20,22.97154
1996-08-21,22.97154
1996-08-22,23.087559
1996-08-23,23.087559
1996-08-26,22.855522
1996-08-27,22.739506
1996-08-28,22.97154
1996-08-29,23.203577
1996-08-30,23.087559
1996-09-03,22.97154
1996-09-04,22.97154
1996-09-05,23.203577
1996-09-06,23.203577
1996-09-09,23.087559
1996-09-10,23.203577
1996-09-11,23.203577
1996-09-12,23.087559
1996-09-13,23.203577
1996-09-16,23.319595
1996-09-17,23.667648
1996-09-18,23.667648
1996-09-19,23.783667
1996-09-20,23.783667
1996-09-23,23.783667
1996-09-24,23.899683
1996-09-25,23.783667
1996-09-26,23.899683
1996-09-27,23.783667
1996-09-30,23.667648
1996-10-01,24.13172
1996-10-02,24.363756
1996-10-03,24.595791000000002
1996-10-04,24.711809
1996-10-07,24.711809
