Date,FE
1997-11-10,25.1875
1997-11-11,25.3125
1997-11-12,25.625
1997-11-13,25.875
1997-11-14,26.0
1997-11-17,26.125
1997-11-18,26.0625
1997-11-19,26.25
1997-11-20,26.5
1997-11-21,26.875
1997-11-24,26.875
1997-11-25,27.125
1997-11-26,26.875
1997-11-28,27.0
1997-12-01,27.375
1997-12-02,27.125
1997-12-03,27.125
1997-12-04,27.375
1997-12-05,27.3125
1997-12-08,27.3125
1997-12-09,27.1875
1997-12-10,27.3125
1997-12-11,27.125
1997-12-12,27.1875
1997-12-15,27.5
1997-12-16,27.4375
1997-12-17,27.4375
1997-12-18,27.8125
1997-12-19,28.3125
1997-12-22,28.625
1997-12-23,28.5
1997-12-24,28.625
1997-12-26,28.25
1997-12-29,28.5625
1997-12-30,28.8125
1997-12-31,29.0
1998-01-02,28.875
1998-01-05,28.375
1998-01-06,28.5625
1998-01-07,28.4375
1998-01-08,28.375
1998-01-09,28.3125
1998-01-12,28.75
1998-01-13,28.4375
1998-01-14,28.4375
1998-01-15,28.25
1998-01-16,28.375
1998-01-20,28.5
1998-01-21,28.5
1998-01-22,28.5
1998-01-23,28.3125
1998-01-26,28.625
1998-01-27,28.625
1998-01-28,28.9375
1998-01-29,29.4375
1998-01-30,29.0
1998-02-02,29.0
1998-02-03,29.4375
1998-02-04,29.0625
1998-02-05,29.25
1998-02-06,29.5625
1998-02-09,29.375
1998-02-10,29.25
1998-02-11,29.25
1998-02-12,29.375
1998-02-13,29.625
1998-02-17,29.25
1998-02-18,29.1875
1998-02-19,29.25
1998-02-20,29.0625
1998-02-23,29.0
1998-02-24,28.75
1998-02-25,29.0
1998-02-26,28.8125
1998-02-27,28.9375
1998-03-02,28.875
1998-03-03,29.0625
1998-03-04,29.3125
1998-03-05,29.0625
1998-03-06,29.6875
1998-03-09,29.8125
1998-03-10,30.25
1998-03-11,29.9375
1998-03-12,30.0625
1998-03-13,29.9375
1998-03-16,30.3125
1998-03-17,30.625
1998-03-18,30.4375
1998-03-19,30.5
1998-03-20,30.8125
1998-03-23,30.75
1998-03-24,30.625
1998-03-25,31.0
1998-03-26,30.875
1998-03-27,30.5
1998-03-30,30.3125
1998-03-31,30.8125
1998-04-01,30.9375
1998-04-02,31.25
1998-04-03,31.1875
1998-04-06,30.9375
1998-04-07,30.75
1998-04-08,30.5625
1998-04-09,31.0
1998-04-13,30.8125
1998-04-14,31.25
1998-04-15,31.8125
1998-04-16,31.1875
1998-04-17,31.5
1998-04-20,30.9375
1998-04-21,30.875
1998-04-22,30.75
1998-04-23,30.0625
1998-04-24,30.0
1998-04-27,29.5625
1998-04-28,29.6875
1998-04-29,29.625
1998-04-30,30.25
1998-05-01,30.4375
1998-05-04,30.4375
1998-05-05,29.8125
1998-05-06,30.0625
1998-05-07,29.625
1998-05-08,29.9375
1998-05-11,30.125
1998-05-12,30.0625
1998-05-13,29.75
1998-05-14,29.8125
1998-05-15,29.75
1998-05-18,29.625
1998-05-19,29.5625
1998-05-20,29.5625
1998-05-21,29.375
1998-05-22,29.3125
1998-05-26,29.0
1998-05-27,28.5625
1998-05-28,29.125
1998-05-29,29.6875
1998-06-01,30.3125
1998-06-02,30.5
1998-06-03,30.4375
1998-06-04,30.875
1998-06-05,31.0625
1998-06-08,30.8125
1998-06-09,30.9375
1998-06-10,31.4375
1998-06-11,31.25
1998-06-12,31.1875
1998-06-15,30.25
1998-06-16,30.6875
1998-06-17,30.625
1998-06-18,30.5625
1998-06-19,30.4375
1998-06-22,30.5
1998-06-23,30.5
1998-06-24,30.3125
1998-06-25,30.4375
1998-06-26,30.5625
1998-06-29,30.625
1998-06-30,30.75
1998-07-01,30.9375
1998-07-02,30.8125
1998-07-06,30.375
1998-07-07,30.125
1998-07-08,29.9375
1998-07-09,29.8125
1998-07-10,29.5
1998-07-13,29.0
1998-07-14,28.25
1998-07-15,28.125
1998-07-16,28.5
1998-07-17,28.5
1998-07-20,28.3125
1998-07-21,28.25
1998-07-22,28.75
1998-07-23,28.0
1998-07-24,28.0625
1998-07-27,28.25
1998-07-28,27.875
1998-07-29,27.875
1998-07-30,28.25
1998-07-31,27.5625
1998-08-03,28.0
1998-08-04,27.625
1998-08-05,27.5625
1998-08-06,27.5
1998-08-07,28.0
1998-08-10,27.875
1998-08-11,27.875
1998-08-12,28.75
1998-08-13,28.75
1998-08-14,28.8125
1998-08-17,29.25
1998-08-18,29.125
1998-08-19,28.6875
1998-08-20,28.9375
1998-08-21,29.3125
1998-08-24,29.625
1998-08-25,29.0625
1998-08-26,29.1875
1998-08-27,29.1875
1998-08-28,29.0
1998-08-31,28.875
1998-09-01,29.375
1998-09-02,28.375
1998-09-03,28.4375
1998-09-04,28.6875
1998-09-08,29.4375
1998-09-09,29.125
1998-09-10,28.625
1998-09-11,29.125
1998-09-14,29.1875
1998-09-15,29.6875
1998-09-16,29.9375
1998-09-17,29.5625
1998-09-18,29.75
1998-09-21,30.1875
1998-09-22,30.1875
1998-09-23,30.625
1998-09-24,29.625
1998-09-25,29.75
1998-09-28,30.125
1998-09-29,30.75
1998-09-30,31.0625
1998-10-01,31.0625
1998-10-02,32.625
1998-10-05,33.0
1998-10-06,32.75
1998-10-07,33.625
1998-10-08,33.875
1998-10-09,32.3125
1998-10-12,31.375
1998-10-13,31.8125
1998-10-14,32.0
1998-10-15,32.6875
1998-10-16,31.25
1998-10-19,31.5
1998-10-20,30.1875
1998-10-21,30.1875
1998-10-22,30.5
1998-10-23,29.75
1998-10-26,29.4375
1998-10-27,29.4375
1998-10-28,29.8125
1998-10-29,29.625
1998-10-30,30.0
1998-11-02,30.4375
1998-11-03,30.8125
1998-11-04,30.5625
1998-11-05,30.8125
1998-11-06,30.625
1998-11-09,30.625
1998-11-10,31.375
1998-11-11,30.9375
1998-11-12,31.0
1998-11-13,31.25
1998-11-16,31.625
1998-11-17,31.5625
1998-11-18,31.3125
1998-11-19,31.375
1998-11-20,31.0625
1998-11-23,31.3125
1998-11-24,31.3125
1998-11-25,31.5
1998-11-27,31.4375
1998-11-30,30.9375
1998-12-01,31.25
1998-12-02,31.125
1998-12-03,31.1875
1998-12-04,31.75
1998-12-07,31.625
1998-12-08,31.9375
1998-12-09,31.5
1998-12-10,31.25
1998-12-11,31.4375
1998-12-14,31.0625
1998-12-15,31.125
1998-12-16,31.375
1998-12-17,31.875
1998-12-18,32.0
1998-12-21,31.875
1998-12-22,32.0
1998-12-23,32.0625
1998-12-24,32.125
1998-12-28,32.0
1998-12-29,31.875
1998-12-30,32.25
1998-12-31,32.5625
1999-01-04,32.5625
1999-01-05,32.5625
1999-01-06,32.875
1999-01-07,33.0
1999-01-08,32.9375
1999-01-11,32.75
1999-01-12,32.875
1999-01-13,32.375
1999-01-14,32.0625
1999-01-15,32.625
1999-01-19,32.0625
1999-01-20,31.625
1999-01-21,32.0
1999-01-22,31.75
1999-01-25,31.875
1999-01-26,31.75
1999-01-27,31.3125
1999-01-28,31.4375
1999-01-29,31.0625
1999-02-01,30.4375
1999-02-02,30.1875
1999-02-03,30.25
1999-02-04,30.0625
1999-02-05,30.375
1999-02-08,30.4375
1999-02-09,30.0625
1999-02-10,30.125
1999-02-11,29.5
1999-02-12,29.1875
1999-02-16,29.625
1999-02-17,29.875
1999-02-18,30.125
1999-02-19,29.75
1999-02-22,29.875
1999-02-23,29.3125
1999-02-24,29.125
1999-02-25,28.8125
1999-02-26,29.25
1999-03-01,29.3125
1999-03-02,29.875
1999-03-03,29.9375
1999-03-04,30.0
1999-03-05,30.625
1999-03-08,30.1875
1999-03-09,29.0625
1999-03-10,29.0
1999-03-11,28.75
1999-03-12,29.3125
1999-03-15,28.75
1999-03-16,28.75
1999-03-17,28.6875
1999-03-18,29.1875
1999-03-19,29.0
1999-03-22,29.0
1999-03-23,28.625
1999-03-24,29.6875
1999-03-25,29.25
1999-03-26,28.8125
1999-03-29,28.75
1999-03-30,28.0
1999-03-31,28.0
1999-04-01,28.25
1999-04-05,29.0
1999-04-06,28.4375
1999-04-07,28.875
1999-04-08,29.375
1999-04-09,29.0625
1999-04-12,29.3125
1999-04-13,28.8125
1999-04-14,28.25
1999-04-15,28.5625
1999-04-16,28.8125
1999-04-19,29.875
1999-04-20,30.5625
1999-04-21,30.625
1999-04-22,30.0
1999-04-23,29.75
1999-04-26,29.75
1999-04-27,29.5
1999-04-28,29.4375
1999-04-29,30.1875
1999-04-30,29.6875
1999-05-03,30.375
1999-05-04,30.1875
1999-05-05,30.0625
1999-05-06,30.375
1999-05-07,30.0
1999-05-10,30.3125
1999-05-11,30.0625
1999-05-12,30.1875
1999-05-13,31.5
1999-05-14,31.0625
1999-05-17,31.4375
1999-05-18,31.5
1999-05-19,31.3125
1999-05-20,31.0625
1999-05-21,31.1875
1999-05-24,31.375
1999-05-25,31.625
1999-05-26,32.0
1999-05-27,31.125
1999-05-28,31.8125
1999-06-01,31.5625
1999-06-02,31.3125
1999-06-03,31.1875
1999-06-04,31.5
1999-06-07,31.5625
1999-06-08,31.25
1999-06-09,31.4375
1999-06-10,31.0625
1999-06-11,31.1875
1999-06-14,31.0
1999-06-15,31.25
1999-06-16,31.6875
1999-06-17,31.625
1999-06-18,31.75
1999-06-21,31.3125
1999-06-22,31.4375
1999-06-23,31.625
1999-06-24,31.6875
1999-06-25,31.6875
1999-06-28,31.8125
1999-06-29,31.5625
1999-06-30,31.0
1999-07-01,31.1875
1999-07-02,31.125
1999-07-06,31.0625
1999-07-07,31.0625
1999-07-08,30.625
1999-07-09,30.6875
1999-07-12,30.5625
1999-07-13,30.4375
1999-07-14,30.0625
1999-07-15,30.125
1999-07-16,30.0
1999-07-19,30.0
1999-07-20,30.0
1999-07-21,30.0625
1999-07-22,29.75
1999-07-23,29.6875
1999-07-26,29.8125
1999-07-27,29.6875
1999-07-28,29.25
1999-07-29,28.5625
1999-07-30,28.5625
1999-08-02,29.0
1999-08-03,29.0625
1999-08-04,28.125
1999-08-05,28.0625
1999-08-06,28.5
1999-08-09,28.5625
1999-08-10,28.3125
1999-08-11,28.4375
1999-08-12,28.0625
1999-08-13,28.3125
1999-08-16,28.4375
1999-08-17,28.0
1999-08-18,27.9375
1999-08-19,28.4375
1999-08-20,29.0
1999-08-23,29.125
1999-08-24,28.75
1999-08-25,29.3125
1999-08-26,28.875
1999-08-27,28.8125
1999-08-30,28.8125
1999-08-31,28.5625
1999-09-01,28.4375
1999-09-02,28.125
1999-09-03,28.75
1999-09-07,28.0625
1999-09-08,28.0
1999-09-09,28.125
1999-09-10,27.875
1999-09-13,27.875
1999-09-14,27.3125
1999-09-15,27.375
1999-09-16,27.25
1999-09-17,27.1875
1999-09-20,27.0
1999-09-21,26.3125
1999-09-22,26.1875
1999-09-23,25.8125
1999-09-24,25.5
1999-09-27,25.5
1999-09-28,25.25
1999-09-29,24.9375
1999-09-30,25.3125
1999-10-01,25.6875
1999-10-04,26.25
1999-10-05,26.0
1999-10-06,25.875
1999-10-07,25.0625
1999-10-08,25.5
1999-10-11,25.4375
1999-10-12,24.875
1999-10-13,24.4375
1999-10-14,25.25
1999-10-15,24.875
1999-10-18,24.625
1999-10-19,24.125
1999-10-20,23.9375
1999-10-21,24.3125
1999-10-22,24.5
1999-10-25,24.9375
1999-10-26,25.0
1999-10-27,25.5625
1999-10-28,25.9375
1999-10-29,26.0625
1999-11-01,26.25
1999-11-02,26.25
1999-11-03,25.9375
1999-11-04,25.0
1999-11-05,25.375
1999-11-08,25.1875
1999-11-09,24.6875
1999-11-10,24.1875
1999-11-11,24.3125
1999-11-12,24.375
1999-11-15,24.25
1999-11-16,24.375
1999-11-17,24.4375
1999-11-18,24.25
1999-11-19,23.9375
1999-11-22,23.75
1999-11-23,23.625
1999-11-24,23.5
1999-11-26,23.25
1999-11-29,22.5625
1999-11-30,23.3125
1999-12-01,23.3125
1999-12-02,23.8125
1999-12-03,23.875
1999-12-06,23.875
1999-12-07,23.6875
1999-12-08,23.4375
1999-12-09,23.1875
1999-12-10,22.875
1999-12-13,22.875
1999-12-14,23.0625
1999-12-15,22.9375
1999-12-16,22.6875
1999-12-17,22.875
1999-12-20,22.6875
1999-12-21,22.625
1999-12-22,22.9375
1999-12-23,22.9375
1999-12-27,22.8125
1999-12-28,22.875
1999-12-29,22.6875
1999-12-30,22.6875
1999-12-31,22.6875
2000-01-03,22.0625
2000-01-04,22.0625
2000-01-05,22.875
2000-01-06,22.9375
2000-01-07,23.0625
2000-01-10,23.125
2000-01-11,23.375
2000-01-12,23.4375
2000-01-13,23.375
2000-01-14,23.25
2000-01-18,22.875
2000-01-19,22.8125
2000-01-20,22.75
2000-01-21,23.0
