Date,UTSI
2000-03-03,204.375
2000-03-06,202.875
2000-03-07,192.0
2000-03-08,180.75
2000-03-09,183.375
2000-03-10,182.25
2000-03-13,162.75
2000-03-14,138.0
2000-03-15,160.875
2000-03-16,175.125
2000-03-17,165.75
2000-03-20,147.375
2000-03-21,162.0
2000-03-22,176.25
2000-03-23,175.125
2000-03-24,206.25
2000-03-27,215.625
2000-03-28,262.5
2000-03-29,246.9375
2000-03-30,244.5
2000-03-31,234.1875
2000-04-03,208.5
2000-04-04,165.375
2000-04-05,178.5
2000-04-06,183.375
2000-04-07,198.75
2000-04-10,192.375
2000-04-11,174.0
2000-04-12,157.5
2000-04-13,150.0
2000-04-14,90.375
2000-04-17,91.875
2000-04-18,111.0
2000-04-19,117.0
2000-04-20,115.875
2000-04-24,112.5
2000-04-25,116.625
2000-04-26,141.75
2000-04-27,150.0
2000-04-28,142.5
2000-05-01,139.5
2000-05-02,130.875
2000-05-03,129.375
2000-05-04,127.125
2000-05-05,132.75
2000-05-08,130.5
2000-05-09,123.0
2000-05-10,116.25
2000-05-11,117.0
2000-05-12,109.5
2000-05-15,106.6875
2000-05-16,127.5
2000-05-17,137.625
2000-05-18,132.1875
2000-05-19,124.875
2000-05-22,120.375
2000-05-23,118.125
2000-05-24,108.0
2000-05-25,113.25
2000-05-26,100.875
2000-05-30,105.75
2000-05-31,114.75
2000-06-01,62.0625
2000-06-02,63.5625
2000-06-05,63.75
2000-06-06,59.25
2000-06-07,57.75
2000-06-08,56.625
2000-06-09,56.25
2000-06-12,55.6875
2000-06-13,54.1875
2000-06-14,60.75
2000-06-15,58.875
2000-06-16,60.375
2000-06-19,61.5
2000-06-20,60.1875
2000-06-21,63.375
2000-06-22,69.0
2000-06-23,72.9375
2000-06-26,69.1875
2000-06-27,66.0
2000-06-28,66.75
2000-06-29,69.375
2000-06-30,91.125
2000-07-03,90.0
2000-07-05,80.25
2000-07-06,88.6875
2000-07-07,85.125
2000-07-10,83.0625
2000-07-11,81.0
2000-07-12,90.0
2000-07-13,96.0
2000-07-14,93.375
2000-07-17,94.5
2000-07-18,92.25
2000-07-19,83.0625
2000-07-20,80.4375
2000-07-21,80.25
2000-07-24,75.75
2000-07-25,75.75
2000-07-26,80.25
2000-07-27,73.5
2000-07-28,69.75
2000-07-31,76.3125
2000-08-01,71.8125
2000-08-02,74.625
2000-08-03,74.8125
2000-08-04,71.8125
2000-08-07,71.625
2000-08-08,70.5
2000-08-09,68.25
2000-08-10,64.5
2000-08-11,65.0625
2000-08-14,63.0
2000-08-15,66.5625
2000-08-16,61.6875
2000-08-17,63.1875
2000-08-18,63.9375
2000-08-21,63.9375
2000-08-22,63.5625
2000-08-23,64.125
2000-08-24,63.375
2000-08-25,73.125
2000-08-28,67.125
2000-08-29,68.25
2000-08-30,64.875
2000-08-31,71.625
2000-09-01,72.0
2000-09-05,73.125
2000-09-06,72.0
2000-09-07,72.1875
2000-09-08,71.4375
2000-09-11,66.1875
2000-09-12,63.1875
2000-09-13,63.0
2000-09-14,62.25
2000-09-15,68.25
2000-09-18,64.875
2000-09-19,66.0
2000-09-20,63.9375
2000-09-21,58.125
2000-09-22,62.8125
2000-09-25,67.875
2000-09-26,69.0
2000-09-27,65.625
2000-09-28,64.3125
2000-09-29,62.8125
2000-10-02,61.5
2000-10-03,58.875
2000-10-04,58.6875
2000-10-05,56.4375
2000-10-06,50.625
2000-10-09,52.5
2000-10-10,50.015625
2000-10-11,47.25
2000-10-12,45.0
2000-10-13,51.0
2000-10-16,51.0
2000-10-17,48.75
2000-10-18,45.0
2000-10-19,49.875
2000-10-20,52.6875
2000-10-23,52.546875
2000-10-24,57.0
2000-10-25,54.0
2000-10-26,54.0
2000-10-27,60.1875
2000-10-30,59.625
2000-10-31,60.0
2000-11-01,64.125
2000-11-02,66.75
2000-11-03,67.5
2000-11-06,64.5
2000-11-07,65.25
2000-11-08,62.8125
2000-11-09,59.25
2000-11-10,54.9375
2000-11-13,54.5625
2000-11-14,60.0
2000-11-15,57.0
2000-11-16,51.0
2000-11-17,54.0
2000-11-20,53.0625
2000-11-21,48.5625
2000-11-22,51.0
2000-11-24,54.75
2000-11-27,54.375
2000-11-28,54.375
2000-11-29,53.625
2000-11-30,50.8125
2000-12-01,51.0
2000-12-04,55.5
2000-12-05,56.25
2000-12-06,55.3125
2000-12-07,52.5
2000-12-08,51.375
2000-12-11,54.0
2000-12-12,52.5
2000-12-13,53.4375
2000-12-14,52.5
2000-12-15,51.0
2000-12-18,49.125
2000-12-19,48.375
2000-12-20,40.6875
2000-12-21,37.5
2000-12-22,39.0
2000-12-26,43.875
2000-12-27,49.5
2000-12-28,51.75
2000-12-29,46.5
2001-01-02,48.1875
2001-01-03,48.0
2001-01-04,48.1875
2001-01-05,45.375
2001-01-08,46.5
2001-01-09,47.625
2001-01-10,48.9375
2001-01-11,53.4375
2001-01-12,53.625
2001-01-16,53.25
2001-01-17,58.875
2001-01-18,61.5
2001-01-19,68.0625
2001-01-22,65.625
2001-01-23,69.75
2001-01-24,73.5
2001-01-25,71.625
2001-01-26,70.875
2001-01-29,70.125
2001-01-30,78.375
2001-01-31,76.875
2001-02-01,82.875
2001-02-02,75.75
2001-02-05,68.625
2001-02-06,65.0625
2001-02-07,60.1875
2001-02-08,64.125
2001-02-09,68.625
2001-02-12,72.0
2001-02-13,74.25
2001-02-14,73.5
2001-02-15,76.125
2001-02-16,71.4375
2001-02-20,68.25
2001-02-21,68.0625
2001-02-22,63.375
2001-02-23,60.75
2001-02-26,61.125
2001-02-27,56.25
2001-02-28,59.25
2001-03-01,54.0
2001-03-02,56.25
2001-03-05,54.1875
2001-03-06,63.0
2001-03-07,59.25
2001-03-08,57.9375
2001-03-09,54.1875
2001-03-12,47.625
2001-03-13,45.5625
2001-03-14,43.125
2001-03-15,43.6875
2001-03-16,43.125
2001-03-19,43.125
2001-03-20,42.1875
2001-03-21,42.375
2001-03-22,45.75
2001-03-23,47.0625
2001-03-26,46.3125
2001-03-27,54.0
2001-03-28,51.0
2001-03-29,46.125
2001-03-30,49.875
2001-04-02,45.375
2001-04-03,44.25
2001-04-04,37.6875
2001-04-05,41.25
2001-04-06,38.8125
2001-04-09,40.049999
