Date,EIGI
2013-10-25,11.25
2013-10-28,11.56
2013-10-29,11.65
2013-10-30,11.4
2013-10-31,10.98
2013-11-01,10.99
2013-11-04,10.97
2013-11-05,10.92
2013-11-06,10.85
2013-11-07,11.04
2013-11-08,11.02
2013-11-11,11.05
2013-11-12,11.14
2013-11-13,11.2
2013-11-14,11.35
2013-11-15,11.52
2013-11-18,11.86
2013-11-19,12.26
2013-11-20,12.05
2013-11-21,12.5
2013-11-22,12.41
2013-11-25,12.75
2013-11-26,13.4
2013-11-27,14.16
2013-11-29,14.29
2013-12-02,14.16
2013-12-03,13.95
2013-12-04,13.63
2013-12-05,14.36
2013-12-06,14.43
2013-12-09,13.84
2013-12-10,13.09
2013-12-11,12.75
2013-12-12,12.98
2013-12-13,12.92
2013-12-16,13.81
2013-12-17,13.92
2013-12-18,14.03
2013-12-19,13.6
2013-12-20,14.2
2013-12-23,14.24
2013-12-24,14.35
2013-12-26,14.38
2013-12-27,14.55
2013-12-30,14.37
2013-12-31,14.18
2014-01-02,13.92
2014-01-03,13.95
2014-01-06,13.96
2014-01-07,13.9
2014-01-08,13.62
2014-01-09,13.65
2014-01-10,13.48
2014-01-13,13.26
2014-01-14,13.7
2014-01-15,13.45
2014-01-16,13.07
2014-01-17,12.94
2014-01-21,12.97
2014-01-22,12.82
2014-01-23,11.99
2014-01-24,11.95
2014-01-27,11.39
2014-01-28,11.3
2014-01-29,11.16
2014-01-30,11.31
2014-01-31,11.48
2014-02-03,12.12
2014-02-04,12.39
2014-02-05,12.22
2014-02-06,12.06
2014-02-07,12.33
2014-02-10,12.3
2014-02-11,12.51
2014-02-12,12.66
2014-02-13,13.01
2014-02-14,13.13
2014-02-18,13.42
2014-02-19,13.35
2014-02-20,13.59
2014-02-21,13.52
2014-02-24,13.95
2014-02-25,13.87
2014-02-26,14.28
2014-02-27,15.41
2014-02-28,15.09
2014-03-03,15.1
2014-03-04,15.63
2014-03-05,15.85
2014-03-06,15.58
2014-03-07,15.7
2014-03-10,15.7
2014-03-11,15.38
2014-03-12,14.5
2014-03-13,13.91
2014-03-14,14.25
2014-03-17,14.5
2014-03-18,14.43
2014-03-19,13.95
2014-03-20,14.17
2014-03-21,13.67
2014-03-24,13.48
2014-03-25,13.66
2014-03-26,12.8
2014-03-27,12.65
2014-03-28,12.38
2014-03-31,13.01
2014-04-01,13.5
2014-04-02,13.48
2014-04-03,12.92
2014-04-04,12.91
2014-04-07,12.42
2014-04-08,13.16
2014-04-09,13.49
2014-04-10,13.0
2014-04-11,12.29
2014-04-14,12.06
2014-04-15,12.04
2014-04-16,12.32
2014-04-17,12.63
2014-04-21,12.77
2014-04-22,12.84
2014-04-23,12.91
2014-04-24,12.82
2014-04-25,12.5
2014-04-28,12.45
2014-04-29,12.69
2014-04-30,12.65
2014-05-01,12.6
2014-05-02,12.79
2014-05-05,12.78
2014-05-06,12.4
2014-05-07,12.71
2014-05-08,12.26
2014-05-09,12.04
2014-05-12,12.75
2014-05-13,12.66
2014-05-14,12.62
2014-05-15,12.59
2014-05-16,12.72
2014-05-19,12.5
2014-05-20,12.41
2014-05-21,12.44
2014-05-22,12.4
2014-05-23,12.5
2014-05-27,12.49
2014-05-28,12.45
2014-05-29,13.27
2014-05-30,13.05
2014-06-02,13.0
2014-06-03,12.91
2014-06-04,12.71
2014-06-05,12.82
2014-06-06,13.58
2014-06-09,13.65
2014-06-10,13.69
2014-06-11,13.8
2014-06-12,14.08
2014-06-13,14.39
2014-06-16,14.54
2014-06-17,15.25
2014-06-18,15.34
2014-06-19,15.49
2014-06-20,15.5
2014-06-23,15.88
2014-06-24,15.0
2014-06-25,15.03
2014-06-26,15.15
2014-06-27,15.22
2014-06-30,15.29
2014-07-01,15.53
2014-07-02,15.54
2014-07-03,15.66
2014-07-07,15.11
2014-07-08,14.26
2014-07-09,14.26
2014-07-10,14.2
2014-07-11,14.37
2014-07-14,14.25
2014-07-15,14.13
2014-07-16,14.01
2014-07-17,13.67
2014-07-18,13.82
2014-07-21,13.96
2014-07-22,14.11
2014-07-23,13.8
2014-07-24,14.07
2014-07-25,13.97
2014-07-28,13.73
2014-07-29,13.72
2014-07-30,13.76
2014-07-31,13.63
2014-08-01,12.55
2014-08-04,13.115
2014-08-05,13.02
2014-08-06,12.92
2014-08-07,14.15
2014-08-08,14.53
2014-08-11,13.72
2014-08-12,13.79
2014-08-13,14.23
2014-08-14,13.89
2014-08-15,13.67
2014-08-18,13.95
2014-08-19,13.82
2014-08-20,13.49
2014-08-21,13.48
2014-08-22,13.42
2014-08-25,13.47
2014-08-26,13.48
2014-08-27,13.25
2014-08-28,13.27
2014-08-29,13.46
2014-09-02,13.33
2014-09-03,13.51
2014-09-04,13.44
2014-09-05,13.51
2014-09-08,13.85
2014-09-09,14.18
2014-09-10,14.2
2014-09-11,14.71
2014-09-12,14.71
2014-09-15,14.41
2014-09-16,14.74
2014-09-17,14.91
2014-09-18,15.39
2014-09-19,15.09
2014-09-22,15.21
2014-09-23,15.1
2014-09-24,15.67
2014-09-25,15.78
2014-09-26,16.59
2014-09-29,16.6
2014-09-30,16.27
2014-10-01,15.94
2014-10-02,16.549999
2014-10-03,16.809998999999998
2014-10-06,16.450001
2014-10-07,16.190001000000002
2014-10-08,16.700001
2014-10-09,16.370001000000002
2014-10-10,16.15
2014-10-13,15.96
2014-10-14,16.02
2014-10-15,15.7
2014-10-16,15.64
2014-10-17,15.47
2014-10-20,15.67
2014-10-21,16.01
2014-10-22,15.51
2014-10-23,15.72
2014-10-24,15.87
2014-10-27,15.78
2014-10-28,16.280001000000002
2014-10-29,15.9
2014-10-30,16.41
2014-10-31,16.620001000000002
2014-11-03,16.690001000000002
2014-11-04,16.940001000000002
2014-11-05,17.040001
2014-11-06,16.32
2014-11-07,16.18
2014-11-10,16.0
2014-11-11,15.78
2014-11-12,15.78
2014-11-13,15.86
2014-11-14,15.69
2014-11-17,14.48
2014-11-18,14.56
2014-11-19,14.24
2014-11-20,14.67
2014-11-21,17.120001000000002
2014-11-24,17.059998999999998
2014-11-25,16.75
2014-11-26,16.84
2014-11-28,16.620001000000002
2014-12-01,16.43
2014-12-02,16.440001000000002
2014-12-03,16.49
2014-12-04,16.65
2014-12-05,16.23
2014-12-08,15.84
2014-12-09,16.190001000000002
2014-12-10,15.73
2014-12-11,15.91
2014-12-12,15.75
2014-12-15,16.040001
2014-12-16,16.17
2014-12-17,16.74
2014-12-18,17.799999
2014-12-19,18.780001000000002
2014-12-22,18.639999
2014-12-23,18.690001000000002
2014-12-24,18.75
2014-12-26,18.879998999999998
2014-12-29,18.639999
2014-12-30,18.27
2014-12-31,18.43
2015-01-02,18.34
2015-01-05,17.92
2015-01-06,17.85
2015-01-07,17.84
2015-01-08,17.540001
2015-01-09,17.559998999999998
2015-01-12,17.34
2015-01-13,17.83
2015-01-14,17.51
2015-01-15,16.129998999999998
2015-01-16,17.049999
2015-01-20,17.040001
2015-01-21,17.16
2015-01-22,17.129998999999998
2015-01-23,17.639999
2015-01-26,18.25
2015-01-27,17.950001
2015-01-28,17.68
2015-01-29,17.92
2015-01-30,16.809998999999998
2015-02-02,16.209999
2015-02-03,17.0
2015-02-04,16.67
2015-02-05,16.57
2015-02-06,18.059998999999998
2015-02-09,17.98
2015-02-10,18.1
2015-02-11,18.01
2015-02-12,18.049999
2015-02-13,19.49
2015-02-17,19.559998999999998
2015-02-18,19.74
2015-02-19,19.809998999999998
2015-02-20,19.889999
2015-02-23,19.09
2015-02-24,19.200001
2015-02-25,19.469998999999998
2015-02-26,19.0
2015-02-27,18.620001000000002
2015-03-02,19.280001000000002
2015-03-03,19.17
2015-03-04,19.389999
2015-03-05,19.540001
2015-03-06,19.200001
2015-03-09,19.370001000000002
2015-03-10,19.190001000000002
2015-03-11,18.110001
2015-03-12,18.540001
2015-03-13,18.0
2015-03-16,17.98
2015-03-17,18.66
2015-03-18,18.84
2015-03-19,19.67
2015-03-20,19.1
2015-03-23,18.75
2015-03-24,18.639999
2015-03-25,18.040001
2015-03-26,18.049999
2015-03-27,18.25
2015-03-30,18.83
2015-03-31,19.059998999999998
2015-04-01,19.66
2015-04-02,19.709999
2015-04-06,19.9
2015-04-07,19.780001000000002
2015-04-08,20.0
2015-04-09,20.98
2015-04-10,22.1
2015-04-13,22.049999
2015-04-14,22.08
2015-04-15,22.27
2015-04-16,22.860001
2015-04-17,22.75
2015-04-20,22.6
2015-04-21,22.65
2015-04-22,22.360001
2015-04-23,23.030001000000002
2015-04-24,22.799999
2015-04-27,21.940001000000002
2015-04-28,19.700001
2015-04-29,18.33
2015-04-30,18.34
2015-05-01,19.18
2015-05-04,20.01
2015-05-05,19.540001
2015-05-06,20.030001000000002
2015-05-07,20.93
2015-05-08,20.959999
2015-05-11,20.57
2015-05-12,21.02
2015-05-13,20.75
2015-05-14,20.959999
2015-05-15,20.9
2015-05-18,21.030001000000002
2015-05-19,21.610001
2015-05-20,21.41
2015-05-21,21.059998999999998
2015-05-22,20.799999
2015-05-26,20.379998999999998
2015-05-27,20.49
2015-05-28,20.540001
2015-05-29,20.33
2015-06-01,20.040001
2015-06-02,20.4
2015-06-03,20.49
2015-06-04,20.4
2015-06-05,20.25
2015-06-08,20.379998999999998
2015-06-09,20.73
2015-06-10,20.790001
2015-06-11,20.92
2015-06-12,20.48
2015-06-15,20.93
2015-06-16,20.91
2015-06-17,21.07
2015-06-18,21.68
2015-06-19,21.530001000000002
2015-06-22,21.290001
2015-06-23,21.66
2015-06-24,20.59
2015-06-25,20.809998999999998
2015-06-26,20.4
2015-06-29,20.0
2015-06-30,20.66
2015-07-01,20.74
2015-07-02,19.91
2015-07-06,20.549999
2015-07-07,20.4
2015-07-08,20.040001
2015-07-09,20.49
2015-07-10,21.190001000000002
2015-07-13,21.389999
2015-07-14,21.57
2015-07-15,21.25
2015-07-16,21.450001
2015-07-17,21.700001
2015-07-20,21.620001000000002
2015-07-21,21.49
2015-07-22,21.559998999999998
2015-07-23,20.91
2015-07-24,20.41
2015-07-27,20.200001
2015-07-28,20.610001
2015-07-29,20.34
2015-07-30,20.120001000000002
2015-07-31,20.209999
2015-08-03,20.530001000000002
2015-08-04,18.120001000000002
2015-08-05,17.34
2015-08-06,16.84
2015-08-07,16.99
2015-08-10,17.1
2015-08-11,16.83
2015-08-12,16.809998999999998
2015-08-13,16.51
2015-08-14,16.42
2015-08-17,16.280001000000002
2015-08-18,15.97
2015-08-19,15.8
2015-08-20,15.49
2015-08-21,15.18
2015-08-24,14.83
2015-08-25,15.3
2015-08-26,15.2
2015-08-27,15.54
2015-08-28,15.55
2015-08-31,15.29
2015-09-01,14.74
2015-09-02,14.97
2015-09-03,15.12
2015-09-04,14.8
2015-09-08,14.9
2015-09-09,14.67
2015-09-10,15.0
2015-09-11,14.87
2015-09-14,14.74
2015-09-15,14.82
2015-09-16,14.89
2015-09-17,15.03
2015-09-18,14.96
2015-09-21,14.02
2015-09-22,13.56
2015-09-23,13.28
2015-09-24,13.03
2015-09-25,12.8
2015-09-28,12.43
2015-09-29,12.49
2015-09-30,13.36
2015-10-01,13.01
2015-10-02,13.83
2015-10-05,14.34
2015-10-06,14.57
2015-10-07,14.89
2015-10-08,14.79
2015-10-09,14.89
2015-10-12,14.42
2015-10-13,14.47
2015-10-14,14.49
2015-10-15,14.98
2015-10-16,14.85
2015-10-19,14.87
2015-10-20,14.85
2015-10-21,14.72
2015-10-22,15.09
2015-10-23,15.22
2015-10-26,14.7
2015-10-27,14.19
2015-10-28,14.3
2015-10-29,13.99
2015-10-30,13.33
2015-11-02,11.12
2015-11-03,11.85
2015-11-04,12.01
2015-11-05,12.59
2015-11-06,13.46
2015-11-09,13.45
2015-11-10,13.52
2015-11-11,13.79
2015-11-12,13.67
2015-11-13,13.39
2015-11-16,13.53
2015-11-17,13.5
2015-11-18,13.9
2015-11-19,13.93
2015-11-20,14.1
2015-11-23,13.85
2015-11-24,13.71
2015-11-25,14.26
2015-11-27,14.21
2015-11-30,13.97
2015-12-01,13.91
2015-12-02,13.98
2015-12-03,13.75
2015-12-04,14.05
2015-12-07,13.6
2015-12-08,13.6
2015-12-09,13.68
2015-12-10,13.89
2015-12-11,12.77
2015-12-14,12.93
2015-12-15,12.81
2015-12-16,13.01
2015-12-17,11.205
2015-12-18,11.12
2015-12-21,10.89
2015-12-22,11.19
2015-12-23,11.46
2015-12-24,11.57
2015-12-28,11.05
2015-12-29,11.13
2015-12-30,11.09
2015-12-31,10.93
2016-01-04,10.63
2016-01-05,10.28
2016-01-06,10.15
2016-01-07,9.95
2016-01-08,9.86
2016-01-11,9.89
2016-01-12,9.63
2016-01-13,10.07
2016-01-14,10.27
2016-01-15,10.02
2016-01-19,9.7
2016-01-20,9.255
2016-01-21,9.44
2016-01-22,9.66
2016-01-25,9.35
2016-01-26,9.45
2016-01-27,9.11
2016-01-28,9.0
