Date,MGA
1985-09-17,3.3125
1985-09-18,3.21875
1985-09-19,3.25
1985-09-20,3.375
1985-09-23,3.5
1985-09-24,3.46875
1985-09-25,3.4375
1985-09-26,3.4375
1985-09-30,3.46875
1985-10-01,3.46875
1985-10-02,3.46875
1985-10-03,3.4375
1985-10-04,3.40625
1985-10-07,3.4375
1985-10-08,3.40625
1985-10-09,3.40625
1985-10-10,3.40625
1985-10-11,3.4375
1985-10-14,3.4375
1985-10-15,3.46875
1985-10-16,3.5
1985-10-17,3.53125
1985-10-18,3.5625
1985-10-21,3.53125
1985-10-22,3.5
1985-10-23,3.5
1985-10-24,3.4375
1985-10-25,3.40625
1985-10-28,3.40625
1985-10-29,3.40625
1985-10-30,3.40625
1985-10-31,3.4375
1985-11-01,3.4375
1985-11-04,3.4375
1985-11-05,3.5
1985-11-06,3.5
1985-11-07,3.625
1985-11-08,3.8125
1985-11-11,3.78125
1985-11-12,3.875
1985-11-13,3.875
1985-11-14,3.875
1985-11-15,3.9375
1985-11-18,3.9375
1985-11-19,3.90625
1985-11-20,3.90625
1985-11-21,3.96875
1985-11-22,3.96875
1985-11-25,3.875
1985-11-26,3.5625
1985-11-27,3.71875
1985-11-29,3.78125
1985-12-02,3.625
1985-12-03,3.65625
1985-12-04,3.625
1985-12-05,3.59375
1985-12-06,3.59375
1985-12-09,3.6875
1985-12-10,3.71875
1985-12-11,3.75
1985-12-12,3.71875
1985-12-13,3.75
1985-12-16,3.71875
1985-12-17,3.8125
1985-12-18,3.84375
1985-12-19,3.8125
1985-12-20,3.78125
1985-12-23,3.78125
1985-12-24,3.8125
1985-12-26,3.75
1985-12-27,3.8125
1985-12-30,3.71875
1985-12-31,3.78125
1986-01-02,3.75
1986-01-03,3.75
1986-01-06,3.6875
1986-01-07,3.71875
1986-01-08,3.625
1986-01-09,3.59375
1986-01-10,3.59375
1986-01-13,3.5625
1986-01-14,3.59375
1986-01-15,3.625
1986-01-16,3.6875
1986-01-17,3.71875
1986-01-20,3.625
1986-01-21,3.625
1986-01-22,3.5625
1986-01-23,3.59375
1986-01-24,3.625
1986-01-27,3.625
1986-01-28,3.65625
1986-01-29,3.6875
1986-01-30,3.6875
1986-01-31,3.59375
1986-02-03,3.5625
1986-02-04,3.625
1986-02-05,3.625
1986-02-06,3.6875
1986-02-07,3.6875
1986-02-10,3.6875
1986-02-11,3.65625
1986-02-12,3.71875
1986-02-13,3.71875
1986-02-14,3.75
1986-02-18,4.09375
1986-02-19,4.3125
1986-02-20,4.21875
1986-02-21,4.28125
1986-02-24,4.3125
1986-02-25,4.40625
1986-02-26,4.625
1986-02-27,4.625
1986-02-28,4.84375
1986-03-03,4.9375
1986-03-04,4.6875
1986-03-05,4.8125
1986-03-06,4.84375
1986-03-07,4.875
1986-03-10,5.0
1986-03-11,5.15625
1986-03-12,5.25
1986-03-13,5.1875
1986-03-14,5.25
1986-03-17,5.28125
1986-03-18,5.4375
1986-03-19,5.59375
1986-03-20,5.5625
1986-03-21,5.53125
1986-03-24,5.5
1986-03-25,5.3125
1986-03-26,5.25
1986-03-27,5.21875
1986-03-31,5.25
1986-04-01,5.25
1986-04-02,5.25
1986-04-03,5.4375
1986-04-04,5.5625
1986-04-07,5.5
1986-04-08,5.53125
1986-04-09,5.5
1986-04-10,5.5
1986-04-11,5.5
1986-04-14,5.46875
1986-04-15,5.4375
1986-04-16,5.40625
1986-04-17,5.4375
1986-04-18,5.5
1986-04-21,5.65625
1986-04-22,5.6875
1986-04-23,5.6875
1986-04-24,5.9375
1986-04-25,6.15625
1986-04-28,6.1875
1986-04-29,6.0
