Date,CFRHF
2008-11-12,16.4
2008-11-13,16.4
2008-11-14,16.4
2008-11-17,16.4
2008-11-18,16.4
2008-11-19,16.4
2008-11-20,16.4
2008-11-21,14.2
2008-11-24,15.8
2008-11-25,16.6
2008-11-26,16.5
2008-11-28,16.5
2008-12-01,16.5
2008-12-02,16.5
2008-12-03,16.450001
2008-12-04,16.450001
2008-12-05,15.6
2008-12-08,17.5
2008-12-09,17.799999
2008-12-10,17.799999
2008-12-11,18.4
2008-12-12,18.4
2008-12-15,18.4
2008-12-16,18.4
2008-12-17,18.4
2008-12-18,19.02
2008-12-19,18.200001
2008-12-22,18.32
2008-12-23,18.51
2008-12-24,18.35
2008-12-26,18.35
2008-12-29,18.35
2008-12-30,18.35
2008-12-31,18.35
2009-01-02,18.35
2009-01-05,19.25
2009-01-06,19.25
2009-01-07,19.25
2009-01-08,18.5
2009-01-09,18.5
2009-01-12,17.200001
2009-01-13,17.299999
2009-01-14,17.299999
2009-01-15,17.299999
2009-01-16,17.299999
2009-01-20,14.75
2009-01-21,14.75
2009-01-22,14.75
2009-01-23,14.75
2009-01-26,14.95
2009-01-27,15.15
2009-01-28,15.15
2009-01-29,15.5
2009-01-30,15.5
2009-02-02,15.5
2009-02-03,15.5
2009-02-04,15.5
2009-02-05,15.5
2009-02-06,16.25
2009-02-09,16.25
2009-02-10,16.25
2009-02-11,16.25
2009-02-12,15.1
2009-02-13,15.0
2009-02-17,15.0
2009-02-18,14.1
2009-02-19,14.4
2009-02-20,14.4
2009-02-23,14.4
2009-02-24,14.4
2009-02-25,14.4
2009-02-26,14.4
2009-02-27,14.4
2009-03-02,12.8
2009-03-03,12.15
2009-03-04,12.15
2009-03-05,12.15
2009-03-06,12.15
2009-03-09,12.15
2009-03-10,12.65
2009-03-11,12.65
2009-03-12,12.65
2009-03-13,12.65
2009-03-16,12.65
2009-03-17,12.65
2009-03-18,14.6
2009-03-19,15.6
2009-03-20,15.6
2009-03-23,15.6
2009-03-24,15.95
2009-03-25,16.530001000000002
2009-03-26,15.85
2009-03-27,15.85
2009-03-30,14.55
2009-03-31,14.55
2009-04-01,14.55
2009-04-02,17.5
2009-04-03,17.5
2009-04-06,17.5
2009-04-07,17.5
2009-04-08,17.5
2009-04-09,17.799999
2009-04-13,18.15
2009-04-14,18.15
2009-04-15,18.15
2009-04-16,18.15
2009-04-17,18.15
2009-04-20,18.15
2009-04-21,18.15
2009-04-22,18.15
2009-04-23,18.15
2009-04-24,18.15
2009-04-27,18.15
2009-04-28,18.15
2009-04-29,18.15
2009-04-30,18.15
2009-05-01,18.15
2009-05-04,18.15
2009-05-05,18.9
2009-05-06,18.9
2009-05-07,19.35
2009-05-08,19.35
2009-05-11,19.35
2009-05-12,19.35
2009-05-13,19.35
2009-05-14,19.35
2009-05-15,19.35
2009-05-18,21.0
2009-05-19,21.0
2009-05-20,22.0
2009-05-21,22.0
2009-05-22,22.0
2009-05-26,22.0
2009-05-27,22.0
2009-05-28,22.0
2009-05-29,22.0
2009-06-01,22.0
2009-06-02,22.0
2009-06-03,22.0
2009-06-04,22.0
2009-06-05,22.0
2009-06-08,22.0
2009-06-09,22.0
2009-06-10,22.0
2009-06-11,22.0
2009-06-12,22.0
2009-06-15,22.0
2009-06-16,22.0
2009-06-17,22.0
2009-06-18,22.0
2009-06-19,20.549999
2009-06-22,20.549999
2009-06-23,19.450001
2009-06-24,20.15
2009-06-25,20.15
2009-06-26,20.15
2009-06-29,20.15
2009-06-30,20.15
2009-07-01,20.15
2009-07-02,20.950001
2009-07-06,20.950001
2009-07-07,20.950001
2009-07-08,20.950001
2009-07-09,20.950001
2009-07-10,20.950001
2009-07-13,20.950001
2009-07-14,20.950001
2009-07-15,20.950001
2009-07-16,20.950001
2009-07-17,20.950001
2009-07-20,22.799999
2009-07-21,22.799999
2009-07-22,22.799999
2009-07-23,24.4
2009-07-24,24.4
2009-07-27,24.4
2009-07-28,24.4
2009-07-29,24.4
2009-07-30,24.4
2009-07-31,24.4
2009-08-03,24.4
2009-08-04,25.299999
2009-08-05,24.75
2009-08-06,24.75
2009-08-07,24.75
2009-08-10,24.75
2009-08-11,24.75
2009-08-12,24.75
2009-08-13,24.75
2009-08-14,24.75
2009-08-17,24.75
2009-08-18,24.75
2009-08-19,24.75
2009-08-20,24.75
2009-08-21,27.049999
2009-08-24,27.049999
2009-08-25,27.049999
2009-08-26,27.049999
2009-08-27,27.049999
2009-08-28,27.049999
2009-08-31,27.049999
2009-09-01,27.049999
2009-09-02,26.200001
2009-09-03,26.200001
2009-09-04,26.200001
2009-09-08,26.200001
2009-09-09,27.700001
2009-09-10,28.6
2009-09-11,28.6
2009-09-14,27.58
2009-09-15,27.9
2009-09-16,28.200001
2009-09-17,28.200001
2009-09-18,28.74
2009-09-21,28.74
2009-09-22,28.74
2009-09-23,28.74
2009-09-24,28.74
2009-09-25,28.74
2009-09-28,28.74
2009-09-29,28.74
2009-09-30,28.74
2009-10-01,28.74
2009-10-02,28.74
2009-10-05,28.74
2009-10-06,27.299999
2009-10-07,27.299999
2009-10-08,27.299999
2009-10-09,27.299999
2009-10-12,28.440001000000002
2009-10-13,28.440001000000002
2009-10-14,28.85
