Date,MSG
2016-08-11,184.399994
2016-08-12,182.990005
2016-08-15,184.380005
2016-08-16,186.300003
2016-08-17,187.770004
2016-08-18,188.119995
2016-08-19,184.190002
2016-08-22,182.149994
2016-08-23,181.5
2016-08-24,179.869995
2016-08-25,180.130005
2016-08-26,179.679993
2016-08-29,180.529999
2016-08-30,182.369995
2016-08-31,180.649994
2016-09-01,180.490005
2016-09-02,180.889999
2016-09-06,178.850006
2016-09-07,181.399994
2016-09-08,178.009995
2016-09-09,175.059998
2016-09-12,173.179993
2016-09-13,173.320007
2016-09-14,175.570007
2016-09-15,173.91000400000001
2016-09-16,171.350006
2016-09-19,172.619995
2016-09-20,171.83999599999999
2016-09-21,173.91000400000001
2016-09-22,172.899994
2016-09-23,171.580002
2016-09-26,170.619995
2016-09-27,170.0
2016-09-28,168.479996
2016-09-29,167.110001
2016-09-30,169.41000400000001
2016-10-03,172.399994
2016-10-04,170.199997
2016-10-05,168.699997
2016-10-06,167.83999599999999
2016-10-07,167.96000700000002
2016-10-10,168.809998
2016-10-11,168.550003
2016-10-12,168.130005
2016-10-13,166.350006
2016-10-14,165.029999
2016-10-17,161.419998
2016-10-18,164.639999
2016-10-19,166.41000400000001
2016-10-20,164.059998
2016-10-21,168.21000700000002
2016-10-24,166.070007
2016-10-25,163.429993
2016-10-26,162.979996
2016-10-27,163.53999299999998
2016-10-28,164.050003
2016-10-31,165.490005
2016-11-01,164.070007
2016-11-02,162.429993
2016-11-03,161.46000700000002
2016-11-04,162.139999
2016-11-07,165.110001
2016-11-08,167.509995
2016-11-09,167.990005
2016-11-10,169.75
2016-11-11,171.580002
2016-11-14,171.720001
2016-11-15,172.16000400000001
2016-11-16,172.619995
2016-11-17,175.75
2016-11-18,173.139999
2016-11-21,173.5
2016-11-22,172.919998
2016-11-23,172.369995
2016-11-25,173.300003
2016-11-28,173.28999299999998
2016-11-29,173.360001
2016-11-30,173.639999
2016-12-01,174.550003
2016-12-02,171.21000700000002
2016-12-05,173.399994
2016-12-06,174.649994
2016-12-07,178.190002
2016-12-08,176.520004
2016-12-09,175.199997
2016-12-12,172.149994
2016-12-13,173.330002
2016-12-14,173.899994
2016-12-15,173.070007
2016-12-16,173.08999599999999
2016-12-19,173.28999299999998
2016-12-20,174.850006
2016-12-21,175.679993
2016-12-22,173.850006
2016-12-23,175.059998
2016-12-27,175.610001
2016-12-28,175.740005
2016-12-29,173.869995
2016-12-30,171.509995
2017-01-03,174.649994
2017-01-04,176.149994
2017-01-05,175.050003
2017-01-06,174.649994
2017-01-09,174.509995
2017-01-10,174.0
2017-01-11,174.759995
2017-01-12,173.33999599999999
2017-01-13,173.320007
2017-01-17,172.820007
2017-01-18,169.110001
2017-01-19,168.240005
2017-01-20,169.679993
2017-01-23,167.509995
2017-01-24,171.490005
2017-01-25,170.889999
2017-01-26,172.0
2017-01-27,172.779999
2017-01-30,176.479996
2017-01-31,175.669998
2017-02-01,174.770004
2017-02-02,175.059998
2017-02-03,175.369995
2017-02-06,177.130005
2017-02-07,174.649994
2017-02-08,173.649994
2017-02-09,172.139999
2017-02-10,171.990005
2017-02-13,173.490005
2017-02-14,173.740005
2017-02-15,174.300003
2017-02-16,179.309998
2017-02-17,175.300003
2017-02-21,176.740005
2017-02-22,179.279999
2017-02-23,179.369995
2017-02-24,178.990005
2017-02-27,176.320007
2017-02-28,179.360001
2017-03-01,183.479996
2017-03-02,186.639999
2017-03-03,189.639999
2017-03-06,190.58999599999999
2017-03-07,190.110001
2017-03-08,194.100006
2017-03-09,197.779999
2017-03-10,202.220001
2017-03-13,202.5
2017-03-14,200.440002
2017-03-15,200.029999
2017-03-16,199.619995
2017-03-17,198.720001
2017-03-20,198.490005
2017-03-21,195.429993
2017-03-22,195.369995
2017-03-23,196.169998
2017-03-24,196.479996
2017-03-27,198.0
2017-03-28,199.179993
2017-03-29,201.119995
2017-03-30,199.449997
2017-03-31,199.71000700000002
2017-04-03,196.940002
2017-04-04,199.139999
2017-04-05,196.490005
2017-04-06,204.630005
2017-04-07,204.580002
2017-04-10,202.03999299999998
2017-04-11,200.050003
2017-04-12,199.21000700000002
2017-04-13,197.080002
2017-04-17,199.970001
2017-04-18,198.759995
2017-04-19,198.899994
2017-04-20,200.949997
2017-04-21,199.580002
2017-04-24,198.110001
2017-04-25,199.389999
2017-04-26,199.889999
2017-04-27,201.130005
2017-04-28,201.770004
2017-05-01,202.330002
2017-05-02,203.279999
2017-05-03,199.25
2017-05-04,196.619995
2017-05-05,202.020004
2017-05-08,200.580002
2017-05-09,202.08999599999999
2017-05-10,201.5
2017-05-11,202.5
2017-05-12,200.580002
2017-05-15,199.699997
2017-05-16,198.990005
2017-05-17,196.020004
2017-05-18,196.850006
2017-05-19,196.96000700000002
2017-05-22,197.630005
2017-05-23,196.509995
2017-05-24,195.16000400000001
2017-05-25,194.53999299999998
2017-05-26,195.669998
2017-05-30,195.389999
2017-05-31,195.41000400000001
2017-06-01,196.850006
2017-06-02,199.630005
2017-06-05,197.080002
2017-06-06,194.470001
2017-06-07,194.28999299999998
2017-06-08,194.28999299999998
2017-06-09,194.720001
2017-06-12,195.309998
2017-06-13,193.850006
2017-06-14,195.5
2017-06-15,195.440002
2017-06-16,195.240005
2017-06-19,197.729996
2017-06-20,195.470001
2017-06-21,197.690002
2017-06-22,197.600006
2017-06-23,199.240005
2017-06-26,199.779999
2017-06-27,197.300003
