Date,NWA
2011-03-25,19.0
2011-03-28,21.0
2011-03-29,19.5
2011-03-30,19.0
2011-03-31,19.5
2011-04-01,
2011-04-04,19.5
2011-04-05,18.0
2011-04-06,18.799999
2011-04-07,
2011-04-08,
2011-04-11,17.0
2011-04-12,
2011-04-13,
2011-04-14,
2011-04-15,
2011-04-18,18.0
2011-04-19,
2011-04-20,
2011-04-21,18.0
2011-04-25,
2011-04-26,18.5
2011-04-27,18.5
2011-04-28,18.469998999999998
2011-04-29,18.76
2011-05-02,18.76
2011-05-03,
2011-05-04,18.76
2011-05-05,18.76
2011-05-06,18.99
2011-05-09,18.9
2011-05-10,18.5
2011-05-11,18.5
2011-05-12,18.459999
2011-05-13,18.5
2011-05-16,18.540001
2011-05-17,18.540001
2011-05-18,18.0
2011-05-19,18.139999
2011-05-20,17.950001
2011-05-23,17.860001
2011-05-24,17.709999
2011-05-25,17.860001
2011-05-26,17.889999
2011-05-27,17.9
2011-05-31,17.99
2011-06-01,18.0
2011-06-02,18.030001000000002
2011-06-03,18.049999
2011-06-06,17.940001000000002
2011-06-07,17.99
2011-06-08,17.959999
2011-06-09,17.77
2011-06-10,18.299999
2011-06-13,18.24
2011-06-14,18.24
2011-06-15,18.25
2011-06-16,18.24
2011-06-17,18.219998999999998
2011-06-20,18.01
2011-06-21,17.74
2011-06-22,17.75
2011-06-23,
2011-06-24,17.5
2011-06-27,17.5
2011-06-28,17.5
2011-06-29,17.5
2011-06-30,17.639999
2011-07-01,17.940001000000002
2011-07-05,18.290001
2011-07-06,18.08
2011-07-07,17.99
2011-07-08,18.0
2011-07-11,18.0
2011-07-12,17.99
2011-07-13,18.0
2011-07-14,18.0
2011-07-15,18.1
2011-07-18,18.129998999999998
2011-07-19,18.110001
2011-07-20,18.0
2011-07-21,17.99
2011-07-22,18.110001
2011-07-25,18.1
2011-07-26,18.0
2011-07-27,18.110001
2011-07-28,17.75
2011-07-29,16.809998999999998
2011-08-01,17.4
2011-08-02,17.49
2011-08-03,
2011-08-04,16.9
2011-08-05,
2011-08-08,17.16
2011-08-09,16.6
2011-08-10,16.6
2011-08-11,
2011-08-12,16.6
2011-08-15,
2011-08-16,16.950001
2011-08-17,16.889999
2011-08-18,16.879998999999998
2011-08-19,
2011-08-22,16.84
2011-08-23,16.799999
2011-08-24,
2011-08-25,16.59
2011-08-26,16.58
2011-08-29,16.59
2011-08-30,16.59
2011-08-31,
2011-09-01,
2011-09-02,16.0
2011-09-06,16.0
2011-09-07,16.190001000000002
2011-09-08,16.190001000000002
2011-09-09,15.49
2011-09-12,15.29
2011-09-13,14.4
2011-09-14,14.29
2011-09-15,13.89
2011-09-16,13.68
2011-09-19,
2011-09-20,13.48
2011-09-21,
2011-09-22,13.48
2011-09-23,
2011-09-26,13.47
2011-09-27,13.47
2011-09-28,
2011-09-29,13.47
2011-09-30,12.65
2011-10-03,13.09
2011-10-04,
2011-10-05,12.99
2011-10-06,12.99
2011-10-07,12.99
2011-10-10,12.99
2011-10-11,12.89
2011-10-12,
2011-10-13,12.89
2011-10-14,12.89
2011-10-17,12.89
2011-10-18,12.84
2011-10-19,12.84
2011-10-20,12.82
2011-10-21,12.82
2011-10-24,12.82
2011-10-25,12.82
2011-10-26,12.82
2011-10-27,12.82
2011-10-28,12.82
2011-10-31,12.71
2011-11-01,
2011-11-02,12.71
2011-11-03,12.71
2011-11-04,12.71
2011-11-07,12.71
2011-11-08,12.71
2011-11-09,12.71
2011-11-10,12.9
2011-11-11,
2011-11-14,13.12
2011-11-15,
2011-11-16,13.49
2011-11-17,13.49
2011-11-18,13.49
2011-11-21,13.49
2011-11-22,13.49
2011-11-23,13.49
2011-11-25,13.49
2011-11-28,13.49
2011-11-29,13.49
2011-11-30,13.49
2011-12-01,13.49
2011-12-02,13.49
2011-12-05,13.49
2011-12-06,13.49
2011-12-07,13.49
2011-12-08,
2011-12-09,13.49
2011-12-12,13.49
2011-12-13,13.49
2011-12-14,13.49
2011-12-15,13.49
2011-12-16,13.49
2011-12-19,13.49
2011-12-20,13.49
2011-12-21,13.49
2011-12-22,14.0
2011-12-23,14.0
2011-12-27,14.0
2011-12-28,14.0
2011-12-29,14.0
2011-12-30,14.0
2012-01-03,14.26
2012-01-04,14.3
2012-01-05,14.3
2012-01-06,14.3
2012-01-09,14.29
2012-01-10,14.3
2012-01-11,14.5
2012-01-12,14.49
2012-01-13,14.49
2012-01-17,14.49
2012-01-18,14.49
2012-01-19,14.49
2012-01-20,14.49
2012-01-23,14.49
2012-01-24,14.49
2012-01-25,14.49
2012-01-26,14.49
2012-01-27,14.49
2012-01-30,14.49
2012-01-31,14.49
2012-02-01,14.49
2012-02-02,14.49
2012-02-03,14.49
2012-02-06,14.49
2012-02-07,14.0
2012-02-08,14.0
2012-02-09,14.0
2012-02-10,14.0
2012-02-13,14.0
2012-02-14,14.0
2012-02-15,14.0
2012-02-16,14.0
2012-02-17,14.0
2012-02-21,14.0
2012-02-22,14.0
2012-02-23,14.0
2012-02-24,14.0
2012-02-27,14.0
2012-02-28,14.0
2012-02-29,14.0
2012-03-01,14.0
2012-03-02,14.0
2012-03-05,14.0
2012-03-06,14.0
2012-03-07,14.0
2012-03-08,14.0
2012-03-09,15.2
2012-03-12,16.0
2012-03-13,14.17
2012-03-14,14.3
2012-03-15,16.200001
2012-03-16,16.200001
2012-03-19,16.0
2012-03-20,16.700001
2012-03-21,16.389999
2012-03-22,16.0
2012-03-23,12.5
2012-03-26,11.5
2012-03-27,9.9
2012-03-28,9.9
2012-03-29,10.0
2012-03-30,9.5
2012-04-02,9.5
2012-04-03,9.5
2012-04-04,9.5
2012-04-05,9.5
2012-04-09,9.5
2012-04-10,9.5
2012-04-11,9.5
2012-04-12,9.5
2012-04-13,9.5
2012-04-16,8.5
2012-04-17,8.5
2012-04-18,8.5
2012-04-19,8.5
2012-04-20,7.0
2012-04-23,6.82
2012-04-24,6.8
2012-04-25,6.8
2012-04-26,7.0
2012-04-27,6.82
2012-04-30,6.82
2012-05-01,6.82
2012-05-02,6.82
2012-05-03,6.82
2012-05-04,6.82
2012-05-07,6.82
2012-05-08,6.82
2012-05-09,6.82
2012-05-10,6.82
2012-05-11,7.79
2012-05-14,7.7
2012-05-15,7.7
2012-05-16,7.7
2012-05-17,7.7
2012-05-18,7.7
2012-05-21,7.7
2012-05-22,8.28
2012-05-23,8.28
2012-05-24,8.28
2012-05-25,8.28
2012-05-29,8.28
2012-05-30,8.28
2012-05-31,8.28
2012-06-01,6.78
2012-06-04,6.4
2012-06-05,5.81
2012-06-06,5.81
2012-06-07,5.81
2012-06-08,5.81
2012-06-11,5.7
2012-06-12,5.7
2012-06-13,5.98
2012-06-14,6.0
2012-06-15,6.0
2012-06-18,6.0
2012-06-19,6.0
2012-06-20,6.0
2012-06-21,6.0
2012-06-22,6.0
2012-06-25,6.0
2012-06-26,6.0
2012-06-27,5.99
2012-06-28,5.48
2012-06-29,5.56
2012-07-02,5.4
2012-07-03,5.56
2012-07-05,5.45
2012-07-06,5.45
2012-07-09,5.45
2012-07-10,5.45
2012-07-11,5.45
2012-07-12,5.45
2012-07-13,5.2
2012-07-16,5.2
2012-07-17,5.3
2012-07-18,5.3
2012-07-19,5.3
2012-07-20,5.3
2012-07-23,5.3
2012-07-24,5.3
2012-07-25,5.31
2012-07-26,5.31
2012-07-27,5.31
2012-07-30,5.31
2012-07-31,5.31
2012-08-01,5.31
2012-08-02,5.31
2012-08-03,5.31
2012-08-06,5.31
2012-08-07,5.31
2012-08-08,5.31
2012-08-09,5.31
2012-08-10,5.31
2012-08-13,5.2
2012-08-14,5.28
2012-08-15,5.28
2012-08-16,5.28
2012-08-17,5.28
2012-08-20,5.8
2012-08-21,5.91
2012-08-22,6.29
2012-08-23,6.91
2012-08-24,6.94
2012-08-27,6.88
2012-08-28,6.82
2012-08-29,6.82
2012-08-30,6.82
2012-08-31,6.82
2012-09-04,6.37
2012-09-05,6.36
2012-09-06,6.35
2012-09-07,6.35
2012-09-10,5.45
2012-09-11,5.41
2012-09-12,5.41
2012-09-13,5.41
2012-09-14,5.41
2012-09-17,5.41
2012-09-18,5.41
2012-09-19,5.41
2012-09-20,5.43
2012-09-21,5.81
2012-09-24,5.82
2012-09-25,5.82
2012-09-26,5.82
2012-09-27,5.7
2012-09-28,5.7
2012-10-01,5.7
2012-10-02,6.21
2012-10-03,6.74
2012-10-04,7.21
2012-10-05,8.0
2012-10-08,8.68
2012-10-09,8.3
2012-10-10,7.21
2012-10-11,7.21
2012-10-12,7.21
2012-10-15,7.21
2012-10-16,7.21
2012-10-17,7.21
2012-10-18,7.21
2012-10-19,7.21
2012-10-22,6.72
2012-10-23,6.72
2012-10-24,6.72
2012-10-25,6.72
2012-10-26,6.25
2012-10-31,4.7
2012-11-01,4.7
2012-11-02,4.7
2012-11-05,4.65
2012-11-06,5.16
2012-11-07,5.43
2012-11-08,5.43
2012-11-09,6.85
2012-11-12,5.43
2012-11-13,5.43
2012-11-14,5.43
2012-11-15,7.5
2012-11-16,7.0
2012-11-19,7.0
2012-11-20,7.63
2012-11-21,7.8
2012-11-23,8.1
2012-11-26,9.03
2012-11-27,10.7
2012-11-28,10.7
2012-11-29,10.7
2012-11-30,10.7
2012-12-03,10.79
2012-12-04,10.79
2012-12-05,10.8
2012-12-06,10.8
2012-12-07,10.8
2012-12-10,10.8
2012-12-11,10.8
2012-12-12,10.8
2012-12-13,10.05
2012-12-14,10.05
2012-12-17,10.05
2012-12-18,8.7
2012-12-19,8.7
2012-12-20,8.7
2012-12-21,8.7
2012-12-24,8.7
2012-12-26,8.7
2012-12-27,8.27
2012-12-28,8.27
2012-12-31,8.27
2013-01-02,8.27
2013-01-03,8.27
2013-01-04,8.27
2013-01-07,8.27
2013-01-08,9.3
2013-01-09,9.3
2013-01-10,9.29
2013-01-11,9.29
2013-01-14,9.29
2013-01-15,9.29
2013-01-16,9.5
2013-01-17,9.5
2013-01-18,9.5
2013-01-22,10.92
2013-01-23,12.2
2013-01-24,12.5
2013-01-25,13.1
2013-01-28,13.1
2013-01-29,13.1
2013-01-30,12.19
2013-01-31,
2013-02-01,12.19
2013-02-04,12.19
2013-02-05,12.19
2013-02-06,12.19
2013-02-07,12.19
2013-02-08,12.19
2013-02-11,12.19
2013-02-12,12.19
2013-02-13,12.19
2013-02-14,12.19
2013-02-15,12.19
2013-02-19,12.19
2013-02-20,12.56
2013-02-21,13.0
2013-02-22,15.65
2013-02-25,15.65
2013-02-26,15.65
2013-02-27,15.65
2013-02-28,15.65
2013-03-01,14.48
2013-03-04,13.47
2013-03-05,13.46
2013-03-06,13.45
2013-03-07,13.45
2013-03-08,13.45
2013-03-11,13.45
2013-03-12,13.45
2013-03-13,13.45
2013-03-14,13.45
2013-03-15,13.45
2013-03-18,13.45
2013-03-19,13.45
2013-03-20,13.45
2013-03-21,13.45
2013-03-22,13.45
2013-03-25,13.45
2013-03-26,13.45
2013-03-27,13.45
2013-03-28,13.45
2013-04-01,13.45
2013-04-02,13.45
2013-04-03,13.45
2013-04-04,13.45
2013-04-05,13.45
2013-04-08,13.45
2013-04-09,13.45
2013-04-10,13.45
2013-04-11,13.45
2013-04-12,13.45
2013-04-15,13.45
2013-04-16,13.45
2013-04-17,13.45
2013-04-18,13.45
2013-04-19,13.45
2013-04-22,13.45
2013-04-23,13.45
2013-04-24,13.45
2013-04-25,13.45
2013-04-26,13.45
2013-04-29,13.45
2013-04-30,13.45
2013-05-01,13.45
2013-05-02,13.45
2013-05-03,13.45
2013-05-06,13.45
2013-05-07,13.45
2013-05-08,13.45
2013-05-09,13.45
2013-05-10,13.45
2013-05-13,13.45
2013-05-14,13.45
2013-05-15,13.45
2013-05-16,13.45
2013-05-17,13.45
2013-05-20,13.45
2013-05-21,13.45
2013-05-22,13.45
2013-05-23,13.45
2013-05-24,13.45
2013-05-28,13.45
2013-05-29,13.45
2013-05-30,13.45
2013-05-31,13.45
2013-06-03,13.45
2013-06-04,13.45
2013-06-05,13.45
2013-06-06,13.45
2013-06-07,13.45
2013-06-10,13.45
2013-06-11,13.45
2013-06-12,13.45
2013-06-13,13.45
2013-06-14,13.45
2013-06-17,13.45
2013-06-18,13.45
2013-06-19,13.45
2013-06-20,13.45
2013-06-21,8.5
2013-06-24,13.45
2013-06-25,13.45
2013-06-26,13.45
2013-06-27,13.45
2013-06-28,13.45
2013-07-01,13.45
2013-07-02,13.45
2013-07-03,13.45
2013-07-05,13.45
2013-07-08,13.45
2013-07-09,13.45
2013-07-10,13.45
2013-07-11,13.45
2013-07-12,13.45
2013-07-15,13.45
2013-07-16,13.45
2013-07-17,13.45
2013-07-18,13.45
2013-07-19,13.45
2013-07-22,13.45
2013-07-23,13.45
2013-07-24,13.45
2013-07-25,13.45
2013-07-26,13.45
2013-07-29,13.45
2013-07-30,13.45
2013-07-31,13.45
2013-08-01,13.45
2013-08-02,13.45
2013-08-05,13.45
2013-08-06,13.45
2013-08-07,13.45
2013-08-08,13.45
2013-08-09,13.45
2013-08-12,13.45
2013-08-13,13.45
2013-08-14,13.45
2013-08-15,13.45
2013-08-16,13.45
2013-08-19,13.45
2013-08-20,13.45
2013-08-21,13.45
2013-08-22,13.45
2013-08-23,13.45
2013-08-26,13.45
2013-08-27,13.45
2013-08-28,13.45
2013-08-29,13.45
2013-08-30,13.45
2013-09-03,13.45
2013-09-04,13.45
2013-09-05,13.45
2013-09-06,13.45
2013-09-09,13.45
2013-09-10,13.45
2013-09-11,13.45
2013-09-12,13.45
2013-09-13,13.45
2013-09-16,13.45
2013-09-17,13.45
2013-09-18,13.45
2013-09-19,13.45
2013-09-20,
2013-09-23,13.45
2013-09-24,13.45
2013-09-25,13.45
2013-09-26,13.45
2013-09-27,13.45
2013-09-30,13.45
2013-10-01,13.45
2013-10-02,13.45
2013-10-03,13.45
2013-10-04,13.45
2013-10-07,13.45
2013-10-08,13.45
2013-10-09,13.45
2013-10-10,13.45
2013-10-11,13.45
2013-10-14,13.45
2013-10-15,13.45
2013-10-16,13.45
2013-10-17,13.45
2013-10-18,13.45
2013-10-21,13.45
2013-10-22,13.45
2013-10-23,13.45
2013-10-24,13.45
2013-10-25,13.45
2013-10-28,13.45
2013-10-29,13.45
2013-10-30,13.45
2013-10-31,13.45
2013-11-01,13.45
2013-11-04,13.45
2013-11-05,13.45
2013-11-06,13.45
2013-11-07,13.45
2013-11-08,13.45
2013-11-11,13.45
2013-11-12,13.45
2013-11-13,13.45
2013-11-14,13.45
2013-11-15,13.45
2013-11-18,13.45
2013-11-19,13.45
2013-11-20,13.45
2013-11-21,13.45
2013-11-22,13.45
2013-11-25,13.45
2013-11-26,13.45
2013-11-27,13.45
2013-11-29,13.45
2013-12-02,13.45
2013-12-03,13.45
2013-12-04,13.45
2013-12-05,13.45
2013-12-06,13.45
2013-12-09,13.45
2013-12-10,13.45
2013-12-11,13.45
2013-12-12,13.45
2013-12-13,13.45
2013-12-16,13.45
2013-12-17,13.45
2013-12-18,13.45
2013-12-19,13.45
2013-12-20,13.45
2013-12-23,13.45
2013-12-24,13.45
2013-12-26,13.45
2013-12-27,13.45
2013-12-30,13.45
2013-12-31,13.45
2014-01-02,13.45
2014-01-03,13.45
2014-01-06,13.45
2014-01-07,13.45
2014-01-08,13.45
2014-01-09,13.45
2014-01-10,13.45
2014-01-13,13.45
2014-01-14,13.45
2014-01-15,13.45
2014-01-16,13.45
2014-01-17,13.45
2014-01-21,13.45
2014-01-22,13.45
2014-01-23,13.45
2014-01-24,13.45
2014-01-27,13.45
2014-01-28,13.45
2014-01-29,13.45
2014-01-30,13.45
2014-01-31,13.45
2014-02-03,13.45
2014-02-04,13.45
2014-02-05,13.45
2014-02-06,13.45
2014-02-07,13.45
2014-02-10,13.45
2014-02-11,13.45
2014-02-12,13.45
2014-02-13,13.45
2014-02-14,13.45
2014-02-18,13.45
2014-02-19,13.45
2014-02-20,13.45
2014-02-21,13.45
2014-02-24,13.45
2014-02-25,13.45
2014-02-26,13.45
2014-02-27,13.45
2014-02-28,13.45
2014-03-03,13.45
2014-03-04,13.45
2014-03-05,13.45
2014-03-06,13.45
2014-03-07,13.45
2014-03-10,13.45
2014-03-11,13.45
2014-03-12,13.45
2014-03-13,13.45
2014-03-14,13.45
2014-03-17,13.45
2014-03-18,13.45
2014-03-19,13.45
2014-03-20,13.45
2014-03-21,13.45
2014-03-24,13.45
2014-03-25,13.45
2014-03-26,13.45
2014-03-27,13.45
2014-03-28,13.45
2014-03-31,13.45
2014-04-01,13.45
2014-04-02,13.45
2014-04-03,13.45
2014-04-04,13.45
2014-04-07,13.45
2014-04-08,13.45
