Date,GCI
2014-02-04,10.5
2014-02-05,12.29
2014-02-06,13.89
2014-02-07,14.0
2014-02-10,14.17
2014-02-11,13.8
2014-02-12,13.65
2014-02-13,12.67
2014-02-14,12.8
2014-02-18,12.32
2014-02-19,12.13
2014-02-20,12.2
2014-02-21,12.05
2014-02-24,11.93
2014-02-25,12.59
2014-02-26,13.1
2014-02-27,13.3
2014-02-28,14.4
2014-03-03,14.71
2014-03-04,14.95
2014-03-05,14.74
2014-03-06,14.55
2014-03-07,14.57
2014-03-10,14.98
2014-03-11,14.03
2014-03-12,14.05
2014-03-13,14.18
2014-03-14,13.69
2014-03-17,14.2
2014-03-18,14.8
2014-03-19,14.84
2014-03-20,14.95
2014-03-21,15.08
2014-03-24,15.01
2014-03-25,14.94
2014-03-26,14.86
2014-03-27,14.9
2014-03-28,14.99
2014-03-31,15.02
2014-04-01,15.7
2014-04-02,15.65
2014-04-03,15.56
2014-04-04,15.29
2014-04-07,15.1
2014-04-08,15.21
2014-04-09,15.28
2014-04-10,15.28
2014-04-11,14.93
2014-04-14,14.76
2014-04-15,14.93
2014-04-16,15.0
2014-04-17,14.82
2014-04-21,14.9
2014-04-22,14.9
2014-04-23,14.69
2014-04-24,14.73
2014-04-25,14.42
2014-04-28,14.33
2014-04-29,13.98
2014-04-30,14.27
2014-05-01,13.92
2014-05-02,13.97
2014-05-05,14.04
2014-05-06,13.96
2014-05-07,13.65
2014-05-08,13.62
2014-05-09,13.5
2014-05-12,13.77
2014-05-13,13.95
2014-05-14,13.9
2014-05-15,13.72
2014-05-16,13.64
2014-05-19,13.51
2014-05-20,13.5
2014-05-21,13.59
2014-05-22,13.6
2014-05-23,13.6
2014-05-27,13.76
2014-05-28,13.97
2014-05-29,13.97
2014-05-30,13.97
2014-06-02,13.97
2014-06-03,14.05
2014-06-04,14.02
2014-06-05,14.47
2014-06-06,14.6
2014-06-09,14.63
2014-06-10,14.59
2014-06-11,14.5
2014-06-12,14.41
2014-06-13,14.24
2014-06-16,14.1
2014-06-17,14.03
2014-06-18,13.96
2014-06-19,13.81
2014-06-20,13.79
2014-06-23,13.41
2014-06-24,13.16
2014-06-25,13.54
2014-06-26,13.63
2014-06-27,13.66
2014-06-30,14.11
2014-07-01,14.15
2014-07-02,14.15
2014-07-03,14.22
2014-07-07,14.25
2014-07-08,14.29
2014-07-09,14.3
2014-07-10,14.26
2014-07-11,14.49
2014-07-14,14.98
2014-07-15,14.61
2014-07-16,14.52
2014-07-17,14.49
2014-07-18,14.7
2014-07-21,14.69
2014-07-22,14.46
2014-07-23,14.55
2014-07-24,14.4
2014-07-25,14.31
2014-07-28,14.23
2014-07-29,14.35
2014-07-30,14.16
2014-07-31,15.06
2014-08-01,14.75
2014-08-04,15.32
2014-08-05,15.47
2014-08-06,15.41
2014-08-07,14.98
2014-08-08,14.7
2014-08-11,15.27
2014-08-12,15.05
2014-08-13,15.0
2014-08-14,15.03
2014-08-15,15.36
2014-08-18,16.450001
2014-08-19,16.77
2014-08-20,16.35
2014-08-21,16.18
2014-08-22,16.49
2014-08-25,17.08
2014-08-26,17.120001000000002
2014-08-27,17.450001
2014-08-28,17.4
2014-08-29,17.469998999999998
2014-09-02,17.74
2014-09-03,17.719998999999998
2014-09-04,17.5
2014-09-05,17.68
2014-09-08,17.57
2014-09-09,17.27
2014-09-10,17.34
2014-09-11,17.370001000000002
2014-09-12,17.299999
2014-09-15,16.969998999999998
2014-09-16,16.969998999999998
2014-09-17,16.76
2014-09-18,16.15
2014-09-19,16.4
2014-09-22,16.540001
2014-09-23,16.370001000000002
2014-09-24,16.68
2014-09-25,16.84
2014-09-26,16.870001000000002
2014-09-29,17.24
2014-09-30,16.629998999999998
2014-10-01,16.24
2014-10-02,16.25
2014-10-03,16.799999
2014-10-06,16.6
2014-10-07,16.870001000000002
2014-10-08,17.139999
2014-10-09,16.639999
2014-10-10,16.450001
2014-10-13,16.91
2014-10-14,17.48
2014-10-15,17.27
2014-10-16,16.73
2014-10-17,16.5
2014-10-20,16.309998999999998
2014-10-21,16.290001
2014-10-22,16.110001
2014-10-23,16.889999
2014-10-24,17.02
2014-10-27,16.83
2014-10-28,17.42
2014-10-29,16.91
2014-10-30,18.389999
2014-10-31,19.059998999999998
2014-11-03,18.790001
2014-11-04,18.77
2014-11-05,18.969998999999998
2014-11-06,18.93
