Date,ET
2006-02-03,5.6625
2006-02-06,5.69
2006-02-07,5.61
2006-02-08,5.475
2006-02-09,5.4875
2006-02-10,5.5125
2006-02-13,5.4375
2006-02-14,5.4125
2006-02-15,5.4625
2006-02-16,5.4775
2006-02-17,5.465
2006-02-21,5.4725
2006-02-22,5.475
2006-02-23,5.4875
2006-02-24,5.5125
2006-02-27,5.51
2006-02-28,5.4975
2006-03-01,5.4675
2006-03-02,5.4875
2006-03-03,5.495
2006-03-06,5.4475
2006-03-07,5.4
2006-03-08,5.455
2006-03-09,5.5375
2006-03-10,5.6475
2006-03-13,5.7075
2006-03-14,5.71
2006-03-15,5.6775
2006-03-16,5.7725
2006-03-17,5.78
2006-03-20,5.7825
2006-03-21,5.81
2006-03-22,5.845
2006-03-23,5.9
2006-03-24,5.9
2006-03-27,6.075
2006-03-28,6.03
2006-03-29,5.975
2006-03-30,5.875
2006-03-31,5.9875
2006-04-03,5.9125
2006-04-04,5.8425
2006-04-05,5.865
2006-04-06,5.8725
2006-04-07,5.855
2006-04-10,5.9875
2006-04-11,6.05
2006-04-12,5.9875
2006-04-13,5.99
2006-04-17,5.9775
2006-04-18,6.15
2006-04-19,6.2
2006-04-20,6.2625
2006-04-21,6.3625
2006-04-24,6.325
2006-04-25,6.2925
2006-04-26,6.2075
2006-04-27,6.2225
2006-04-28,6.225
2006-05-01,6.2
2006-05-02,6.2375
2006-05-03,6.225
2006-05-04,6.245
2006-05-05,6.4725
2006-05-08,6.7125
2006-05-09,6.82
2006-05-10,6.8425
2006-05-11,6.7875
2006-05-12,6.745
2006-05-15,6.6125
2006-05-16,6.725
2006-05-17,6.695
2006-05-18,6.695
2006-05-19,6.7
2006-05-22,6.7225
2006-05-23,6.7125
2006-05-24,6.625
2006-05-25,6.6675
2006-05-26,6.675
2006-05-30,6.625
2006-05-31,6.675
2006-06-01,6.595
2006-06-02,6.625
2006-06-05,6.575
2006-06-06,6.6575
2006-06-07,6.6125
2006-06-08,6.5
2006-06-09,6.625
2006-06-12,6.65
2006-06-13,6.54
2006-06-14,6.5675
2006-06-15,6.62
2006-06-16,6.595
2006-06-19,6.4875
2006-06-20,6.4575
2006-06-21,6.3975
2006-06-22,6.365
2006-06-23,6.4125
2006-06-26,6.4125
2006-06-27,6.55
2006-06-28,6.5175
2006-06-29,6.5725
2006-06-30,6.6225
2006-07-03,6.585
2006-07-05,6.55
2006-07-06,6.525
2006-07-07,6.5275
2006-07-10,6.4875
2006-07-11,6.55
2006-07-12,6.5875
2006-07-13,6.5375
2006-07-14,6.5
2006-07-17,6.455
2006-07-18,6.4375
2006-07-19,6.36
2006-07-20,6.3725
2006-07-21,6.3
2006-07-24,6.435
2006-07-25,6.4
2006-07-26,6.4725
2006-07-27,6.43
2006-07-28,6.55
2006-07-31,6.555
2006-08-01,6.55
2006-08-02,6.575
2006-08-03,6.5975
2006-08-04,6.65
2006-08-07,6.6225
2006-08-08,6.5975
2006-08-09,6.5
2006-08-10,6.49
2006-08-11,6.5525
2006-08-14,6.55
2006-08-15,6.5625
2006-08-16,6.53
2006-08-17,6.525
2006-08-18,6.5275
2006-08-21,6.54
2006-08-22,6.4875
2006-08-23,6.605
2006-08-24,6.63
2006-08-25,6.6625
2006-08-28,6.7125
2006-08-29,6.735
2006-08-30,6.73
2006-08-31,6.7775
2006-09-01,6.8525
2006-09-05,6.795
2006-09-06,6.75
2006-09-07,6.6675
2006-09-08,6.6125
2006-09-11,6.55
2006-09-12,6.55
2006-09-13,6.55
2006-09-14,6.585
2006-09-15,6.7975
2006-09-18,6.86
2006-09-19,7.0
2006-09-20,6.8725
2006-09-21,7.02
2006-09-22,7.1125
2006-09-25,7.235
2006-09-26,7.3475
2006-09-27,7.355
2006-09-28,7.34
2006-09-29,7.315
2006-10-02,7.325
2006-10-03,7.1575
2006-10-04,7.0625
2006-10-05,7.0975
2006-10-06,7.0825
2006-10-09,7.0225
2006-10-10,7.06
2006-10-11,7.01
2006-10-12,7.0375
2006-10-13,7.025
2006-10-16,7.0225
2006-10-17,7.0625
2006-10-18,7.1775
2006-10-19,7.2025
2006-10-20,7.2075
2006-10-23,7.125
2006-10-24,7.125
2006-10-25,7.1
2006-10-26,7.055
2006-10-27,7.1575
2006-10-30,7.1625
2006-10-31,7.25
2006-11-01,7.275
2006-11-02,7.23
2006-11-03,7.295
2006-11-06,7.23
2006-11-07,7.225
2006-11-08,7.25
2006-11-09,7.21
2006-11-10,7.26
2006-11-13,7.2775
2006-11-14,7.15
2006-11-15,7.15
2006-11-16,7.1525
2006-11-17,7.1125
2006-11-20,7.205
2006-11-21,7.2875
2006-11-22,7.3675
2006-11-24,7.4125
2006-11-27,7.2875
2006-11-28,7.2625
2006-11-29,7.2975
2006-11-30,7.26
2006-12-01,7.2975
2006-12-04,7.435
2006-12-05,7.365
2006-12-06,7.48
2006-12-07,7.465
2006-12-08,7.5
2006-12-11,7.505
2006-12-12,7.4825
2006-12-13,7.5325
2006-12-14,7.6675
2006-12-15,7.68
2006-12-18,7.6925
2006-12-19,7.635
2006-12-20,7.6375
2006-12-21,7.6375
2006-12-22,7.7075
2006-12-26,7.7675
2006-12-27,7.7625
2006-12-28,7.815
2006-12-29,7.85
2007-01-03,7.7375
2007-01-04,7.7625
2007-01-05,7.7375
2007-01-08,7.725
2007-01-09,7.6675
2007-01-10,7.625
2007-01-11,7.635
2007-01-12,7.66
2007-01-16,7.6625
2007-01-17,7.715
2007-01-18,7.7075
2007-01-19,7.71
2007-01-22,7.7375
2007-01-23,7.8625
2007-01-24,7.9725
2007-01-25,7.8125
2007-01-26,7.9625
2007-01-29,7.9375
2007-01-30,7.975
2007-01-31,7.9975
2007-02-01,8.0
2007-02-02,8.045
2007-02-05,8.06
2007-02-06,8.12
2007-02-07,8.21
2007-02-08,8.175
2007-02-09,8.2125
2007-02-12,8.205
2007-02-13,8.235
2007-02-14,8.2925
2007-02-15,8.3275
2007-02-16,8.35
2007-02-20,8.26
2007-02-21,8.3025
2007-02-22,8.2625
2007-02-23,8.2625
2007-02-26,8.3075
2007-02-27,8.2375
2007-02-28,8.425
2007-03-01,8.825
2007-03-02,8.875
2007-03-05,8.7175
2007-03-06,8.7525
2007-03-07,8.715
2007-03-08,8.805
2007-03-09,9.075
2007-03-12,8.9325
2007-03-13,8.905
2007-03-14,8.9
2007-03-15,8.85
2007-03-16,8.9625
2007-03-19,8.9625
2007-03-20,8.9875
2007-03-21,9.115
2007-03-22,9.0975
2007-03-23,9.205
2007-03-26,9.25
2007-03-27,9.23
2007-03-28,9.2
2007-03-29,9.1875
2007-03-30,9.175
2007-04-02,9.1325
2007-04-03,9.145
2007-04-04,9.15
2007-04-05,9.155
2007-04-09,9.205
2007-04-10,9.175
2007-04-11,9.1525
2007-04-12,9.11
2007-04-13,9.135
2007-04-16,9.12
2007-04-17,9.225
2007-04-18,9.3875
2007-04-19,9.3875
2007-04-20,9.45
2007-04-23,9.46
2007-04-24,9.48
2007-04-25,9.515
2007-04-26,9.45
2007-04-27,9.43
2007-04-30,9.4775
2007-05-01,9.4225
2007-05-02,9.4325
2007-05-03,9.41
2007-05-04,9.3525
2007-05-07,9.2625
2007-05-08,9.9775
2007-05-09,9.975
2007-05-10,9.9825
2007-05-11,9.975
2007-05-14,9.98
2007-05-15,10.055
2007-05-16,10.0275
2007-05-17,10.01
2007-05-18,9.9975
2007-05-21,10.005
2007-05-22,9.965
2007-05-23,9.9525
2007-05-24,9.9375
2007-05-25,9.9975
2007-05-29,10.0075
2007-05-30,10.11
2007-05-31,10.1725
2007-06-01,10.1875
2007-06-04,10.255
2007-06-05,10.365
2007-06-06,10.2725
2007-06-07,10.16
2007-06-08,10.165
2007-06-11,10.19
2007-06-12,10.16
2007-06-13,10.2575
2007-06-14,10.25
2007-06-15,10.1825
2007-06-18,10.125
2007-06-19,10.1225
2007-06-20,10.2875
2007-06-21,10.445
2007-06-22,10.6175
2007-06-25,10.555
2007-06-26,10.62
2007-06-27,10.73
2007-06-28,10.5375
2007-06-29,10.6225
2007-07-02,10.6625
2007-07-03,10.66
2007-07-05,10.62
2007-07-06,10.6775
2007-07-09,10.6125
2007-07-10,10.55
2007-07-11,10.5225
2007-07-12,10.325
