Date,MAN
1988-10-05,15.125
1988-10-06,15.25
1988-10-07,15.75
1988-10-10,15.75
1988-10-11,15.25
1988-10-12,14.875
1988-10-13,15.5
1988-10-14,15.875
1988-10-17,16.5
1988-10-18,16.5
1988-10-19,16.375
1988-10-20,17.375
1988-10-21,17.5
1988-10-24,17.5
1988-10-25,17.375
1988-10-26,17.5
1988-10-27,17.25
1988-10-28,17.5
1988-10-31,17.625
1988-11-01,16.875
1988-11-02,17.0
1988-11-03,16.75
1988-11-04,16.75
1988-11-07,16.5
1988-11-08,16.5
1988-11-09,16.0
1988-11-10,16.25
1988-11-11,16.125
1988-11-14,15.75
1988-11-15,15.75
1988-11-16,17.125
1988-11-17,17.25
1988-11-18,17.0
1988-11-21,16.625
1988-11-22,17.375
1988-11-23,17.375
1988-11-25,16.875
1988-11-28,16.75
1988-11-29,16.75
1988-11-30,16.875
1988-12-01,16.875
1988-12-02,16.75
1988-12-05,16.75
1988-12-06,16.25
1988-12-07,15.625
1988-12-08,15.125
1988-12-09,15.25
1988-12-12,15.25
1988-12-13,15.125
1988-12-14,15.25
1988-12-15,15.375
1988-12-16,15.125
1988-12-19,15.375
1988-12-20,15.125
1988-12-21,15.125
1988-12-22,15.375
1988-12-23,15.625
1988-12-27,15.625
1988-12-28,15.5
1988-12-29,15.375
1988-12-30,15.0
1989-01-03,15.75
1989-01-04,15.875
1989-01-05,15.875
1989-01-06,15.875
1989-01-09,16.875
1989-01-10,16.75
1989-01-11,16.75
1989-01-12,16.625
1989-01-13,16.125
1989-01-16,16.0
1989-01-17,15.875
1989-01-18,16.125
1989-01-19,16.0
1989-01-20,16.125
1989-01-23,15.625
1989-01-24,15.5
1989-01-25,15.5
1989-01-26,15.875
1989-01-27,15.625
1989-01-30,15.375
1989-01-31,15.375
1989-02-01,15.25
1989-02-02,15.375
1989-02-03,15.75
1989-02-06,15.375
1989-02-07,16.5
1989-02-08,16.125
1989-02-09,16.5
1989-02-10,16.25
1989-02-13,16.625
1989-02-14,16.75
1989-02-15,16.75
1989-02-16,16.75
1989-02-17,17.0
1989-02-21,16.75
1989-02-22,16.5
1989-02-23,16.625
1989-02-24,16.625
1989-02-27,15.875
1989-02-28,16.125
1989-03-01,16.125
1989-03-02,16.125
1989-03-03,16.25
1989-03-06,16.125
1989-03-07,15.875
1989-03-08,15.75
1989-03-09,15.875
1989-03-10,15.75
1989-03-13,16.0
1989-03-14,16.375
1989-03-15,16.375
1989-03-16,16.375
1989-03-17,16.0
1989-03-20,16.0
1989-03-21,16.125
1989-03-22,15.75
1989-03-23,15.75
1989-03-27,15.625
1989-03-28,15.625
1989-03-29,15.5
1989-03-30,15.375
1989-03-31,15.5
1989-04-03,16.125
1989-04-04,16.0
1989-04-05,16.125
1989-04-06,15.875
1989-04-07,15.875
1989-04-10,16.0
1989-04-11,15.875
1989-04-12,15.875
1989-04-13,15.875
1989-04-14,16.0
1989-04-17,16.0
1989-04-18,16.125
1989-04-19,16.0
1989-04-20,15.75
1989-04-21,15.875
1989-04-24,15.625
1989-04-25,15.5
1989-04-26,15.75
1989-04-27,16.0
1989-04-28,16.125
1989-05-01,16.125
1989-05-02,16.125
1989-05-03,16.375
1989-05-04,16.75
1989-05-05,16.75
1989-05-08,16.625
1989-05-09,16.375
1989-05-10,16.5
1989-05-11,16.75
1989-05-12,17.0
1989-05-15,16.75
1989-05-16,16.625
1989-05-17,16.375
1989-05-18,16.625
1989-05-19,16.375
1989-05-22,15.875
1989-05-23,15.75
1989-05-24,15.75
1989-05-25,15.875
1989-05-26,15.875
1989-05-30,15.5
1989-05-31,15.5
1989-06-01,15.5
1989-06-02,15.625
1989-06-05,15.125
1989-06-06,15.25
1989-06-07,15.25
1989-06-08,15.5
1989-06-09,15.375
1989-06-12,15.125
1989-06-13,14.75
1989-06-14,14.75
1989-06-15,14.375
1989-06-16,14.75
1989-06-19,14.875
1989-06-20,15.0
1989-06-21,15.375
1989-06-22,15.375
1989-06-23,15.875
1989-06-26,15.625
1989-06-27,15.875
1989-06-28,15.75
1989-06-29,15.375
1989-06-30,15.25
1989-07-03,15.25
1989-07-05,15.5
1989-07-06,15.625
1989-07-07,16.0
1989-07-10,16.375
1989-07-11,16.5
1989-07-12,16.625
1989-07-13,17.25
1989-07-14,16.75
1989-07-17,16.75
1989-07-18,17.125
1989-07-19,17.625
1989-07-20,18.375
1989-07-21,18.5
1989-07-24,18.125
1989-07-25,18.125
1989-07-26,18.25
1989-07-27,18.25
1989-07-28,18.125
1989-07-31,18.125
1989-08-01,18.0
1989-08-02,18.125
1989-08-03,18.0
1989-08-04,17.875
1989-08-07,17.875
1989-08-08,18.375
1989-08-09,18.5
1989-08-10,18.125
1989-08-11,17.875
1989-08-14,17.625
1989-08-15,17.625
1989-08-16,17.75
1989-08-17,17.875
1989-08-18,18.0
1989-08-21,17.875
1989-08-22,18.0
1989-08-23,18.0
1989-08-24,18.0
1989-08-25,18.0
1989-08-28,17.875
1989-08-29,18.0
1989-08-30,18.125
1989-08-31,18.125
1989-09-01,17.875
1989-09-05,17.75
1989-09-06,17.5
1989-09-07,17.625
1989-09-08,17.375
1989-09-11,17.0
1989-09-12,17.125
1989-09-13,17.375
1989-09-14,17.125
1989-09-15,16.875
1989-09-18,17.125
1989-09-19,17.125
1989-09-20,17.125
1989-09-21,17.375
1989-09-22,17.375
1989-09-25,17.625
1989-09-26,18.0
1989-09-27,18.125
1989-09-28,18.25
1989-09-29,18.5
1989-10-02,18.5
1989-10-03,18.5
1989-10-04,18.375
1989-10-05,18.375
1989-10-06,18.375
1989-10-09,18.125
1989-10-10,17.875
1989-10-11,17.625
1989-10-12,17.375
1989-10-13,16.875
1989-10-16,16.75
1989-10-17,17.25
1989-10-18,17.0
1989-10-19,17.25
1989-10-20,16.75
1989-10-23,16.25
1989-10-24,16.125
1989-10-25,16.0
1989-10-26,15.5
1989-10-27,15.25
1989-10-30,15.125
1989-10-31,15.125
1989-11-01,15.25
1989-11-02,15.25
1989-11-03,15.25
1989-11-06,15.25
1989-11-07,15.375
1989-11-08,15.375
1989-11-09,15.0
1989-11-10,15.0
1989-11-13,15.125
1989-11-14,15.25
1989-11-15,15.375
1989-11-16,15.25
1989-11-17,15.625
1989-11-20,15.875
1989-11-21,15.5
1989-11-22,15.375
1989-11-24,15.25
1989-11-27,15.25
1989-11-28,15.375
1989-11-29,15.25
1989-11-30,15.25
1989-12-01,15.125
1989-12-04,15.25
1989-12-05,15.125
1989-12-06,15.25
1989-12-07,15.0
1989-12-08,15.25
1989-12-11,14.875
1989-12-12,14.875
1989-12-13,14.625
1989-12-14,14.25
1989-12-15,14.0
1989-12-18,13.75
1989-12-19,13.125
1989-12-20,13.375
1989-12-21,13.75
1989-12-22,13.5
1989-12-26,13.875
1989-12-27,14.5
1989-12-28,14.25
1989-12-29,14.625
1990-01-02,14.75
1990-01-03,14.875
1990-01-04,15.25
1990-01-05,15.5
1990-01-08,15.5
1990-01-09,15.5
1990-01-10,15.5
1990-01-11,15.75
1990-01-12,15.375
1990-01-15,15.375
1990-01-16,15.75
1990-01-17,16.0
1990-01-18,15.75
1990-01-19,15.75
1990-01-22,15.25
1990-01-23,15.625
1990-01-24,15.25
1990-01-25,15.125
1990-01-26,15.375
1990-01-29,15.125
1990-01-30,14.5
1990-01-31,14.5
1990-02-01,14.625
1990-02-02,14.625
1990-02-05,14.75
1990-02-06,14.875
1990-02-07,14.625
1990-02-08,14.875
1990-02-09,14.875
1990-02-12,14.75
1990-02-13,15.125
1990-02-14,15.375
1990-02-15,15.5
1990-02-16,15.625
1990-02-20,15.0
1990-02-21,14.875
1990-02-22,14.75
1990-02-23,14.5
1990-02-26,14.625
1990-02-27,14.625
1990-02-28,14.625
1990-03-01,14.75
1990-03-02,14.5
1990-03-05,14.625
1990-03-06,14.75
1990-03-07,14.875
1990-03-08,15.0
1990-03-09,15.125
1990-03-12,15.125
1990-03-13,15.0
1990-03-14,15.0
1990-03-15,15.0
1990-03-16,15.0
1990-03-19,15.0
1990-03-20,15.0
1990-03-21,14.875
1990-03-22,14.75
1990-03-23,14.875
1990-03-26,14.75
1990-03-27,14.625
1990-03-28,14.5
1990-03-29,14.5
1990-03-30,14.625
1990-04-02,14.375
1990-04-03,14.625
1990-04-04,14.5
1990-04-05,14.25
1990-04-06,14.0
1990-04-09,14.0
1990-04-10,13.5
1990-04-11,13.75
1990-04-12,13.875
1990-04-16,13.625
1990-04-17,13.625
1990-04-18,13.5
1990-04-19,13.625
1990-04-20,13.125
1990-04-23,12.75
1990-04-24,12.625
1990-04-25,12.5
1990-04-26,12.5
1990-04-27,12.625
1990-04-30,12.875
1990-05-01,13.25
1990-05-02,13.375
1990-05-03,13.25
1990-05-04,13.375
1990-05-07,13.5
1990-05-08,13.375
1990-05-09,13.375
1990-05-10,13.5
1990-05-11,13.75
1990-05-14,13.75
1990-05-15,13.125
1990-05-16,13.0
1990-05-17,13.125
1990-05-18,12.875
1990-05-21,13.0
1990-05-22,13.375
1990-05-23,13.25
1990-05-24,13.25
1990-05-25,13.25
1990-05-29,13.25
1990-05-30,13.375
1990-05-31,13.25
1990-06-01,13.375
1990-06-04,13.375
1990-06-05,13.75
1990-06-06,14.625
1990-06-07,15.375
1990-06-08,15.25
1990-06-11,15.0
1990-06-12,15.0
1990-06-13,15.125
1990-06-14,15.25
1990-06-15,15.125
1990-06-18,14.875
1990-06-19,14.75
1990-06-20,14.5
1990-06-21,14.25
1990-06-22,14.375
1990-06-25,14.375
1990-06-26,14.375
1990-06-27,14.5
1990-06-28,14.5
1990-06-29,14.75
1990-07-02,14.875
1990-07-03,15.0
1990-07-05,14.875
1990-07-06,14.625
1990-07-09,14.625
1990-07-10,14.5
1990-07-11,14.375
1990-07-12,14.375
1990-07-13,14.25
1990-07-16,14.125
1990-07-17,14.125
1990-07-18,14.375
1990-07-19,14.375
1990-07-20,14.375
1990-07-23,14.0
1990-07-24,13.75
1990-07-25,13.75
1990-07-26,13.625
1990-07-27,13.5
1990-07-30,13.25
1990-07-31,13.125
1990-08-01,13.0
1990-08-02,12.625
1990-08-03,12.125
1990-08-06,11.5
1990-08-07,11.5
1990-08-08,11.875
1990-08-09,11.875
1990-08-10,11.625
1990-08-13,11.625
1990-08-14,11.5
1990-08-15,11.625
1990-08-16,11.375
1990-08-17,10.875
1990-08-20,10.5
1990-08-21,10.5
1990-08-22,10.5
1990-08-23,9.75
1990-08-24,10.125
1990-08-27,10.375
1990-08-28,10.25
1990-08-29,10.375
1990-08-30,10.25
1990-08-31,10.125
1990-09-04,10.0
1990-09-05,10.0
1990-09-06,9.875
1990-09-07,10.125
1990-09-10,10.125
1990-09-11,10.375
1990-09-12,10.5
1990-09-13,10.5
1990-09-14,11.125
1990-09-17,11.5
1990-09-18,11.5
1990-09-19,11.25
1990-09-20,11.25
1990-09-21,10.875
1990-09-24,10.75
1990-09-25,10.5
1990-09-26,10.5
1990-09-27,10.5
1990-09-28,10.25
1990-10-01,10.5
1990-10-02,10.625
1990-10-03,10.625
1990-10-04,10.625
1990-10-05,10.75
1990-10-08,10.625
1990-10-09,10.5
1990-10-10,9.75
1990-10-11,9.75
1990-10-12,10.125
1990-10-15,10.25
1990-10-16,10.0
1990-10-17,9.5
1990-10-18,9.5
1990-10-19,9.5
1990-10-22,9.5
1990-10-23,9.375
1990-10-24,9.375
1990-10-25,9.5
1990-10-26,9.625
1990-10-29,9.625
1990-10-30,9.5
1990-10-31,9.5
1990-11-01,9.375
1990-11-02,9.5
1990-11-05,9.25
1990-11-06,9.375
1990-11-07,9.375
1990-11-08,9.375
1990-11-09,9.375
1990-11-12,9.5
1990-11-13,9.375
1990-11-14,9.625
1990-11-15,9.5
1990-11-16,9.5
1990-11-19,9.5
1990-11-20,9.5
1990-11-21,9.5
1990-11-23,9.5
