Date,ADT
2018-01-19,12.39
2018-01-22,11.45
2018-01-23,11.91
2018-01-24,11.91
2018-01-25,11.9
2018-01-26,11.9
2018-01-29,12.08
2018-01-30,12.4
2018-01-31,12.48
2018-02-01,12.75
2018-02-02,12.86
2018-02-05,12.64
2018-02-06,12.3
2018-02-07,12.51
2018-02-08,12.37
2018-02-09,12.64
2018-02-12,12.68
2018-02-13,12.15
2018-02-14,11.94
2018-02-15,11.69
2018-02-16,11.58
2018-02-20,11.59
2018-02-21,11.65
2018-02-22,11.91
2018-02-23,11.98
2018-02-26,12.15
2018-02-27,11.6
2018-02-28,10.56
2018-03-01,10.68
2018-03-02,11.07
2018-03-05,10.72
2018-03-06,10.35
2018-03-07,10.4
2018-03-08,10.52
2018-03-09,10.53
2018-03-12,10.71
2018-03-13,10.54
2018-03-14,10.21
2018-03-15,8.93
2018-03-16,8.73
2018-03-19,9.14
2018-03-20,8.96
2018-03-21,8.97
2018-03-22,8.67
2018-03-23,8.1
2018-03-26,7.95
2018-03-27,7.56
2018-03-28,7.6
2018-03-29,7.93
2018-04-02,7.83
2018-04-03,7.55
2018-04-04,7.85
2018-04-05,8.81
2018-04-06,8.75
2018-04-09,9.12
2018-04-10,9.05
2018-04-11,9.02
2018-04-12,9.1
2018-04-13,8.99
2018-04-16,8.99
2018-04-17,9.25
2018-04-18,9.56
2018-04-19,9.38
2018-04-20,9.3
2018-04-23,8.95
2018-04-24,8.99
2018-04-25,9.12
2018-04-26,9.08
2018-04-27,9.11
2018-04-30,8.91
2018-05-01,8.68
2018-05-02,8.7
2018-05-03,8.28
2018-05-04,8.08
2018-05-07,8.44
2018-05-08,8.57
2018-05-09,7.82
2018-05-10,7.92
2018-05-11,7.4
2018-05-14,7.3
2018-05-15,7.13
2018-05-16,7.0
2018-05-17,7.17
2018-05-18,7.27
2018-05-21,7.75
2018-05-22,7.64
2018-05-23,7.67
2018-05-24,7.7
2018-05-25,7.47
2018-05-29,7.46
2018-05-30,7.67
2018-05-31,7.52
2018-06-01,7.64
2018-06-04,7.8
2018-06-05,7.96
2018-06-06,7.96
2018-06-07,8.0
2018-06-08,8.22
2018-06-11,7.97
2018-06-12,8.29
2018-06-13,8.05
2018-06-14,8.09
2018-06-15,7.98
2018-06-18,8.29
2018-06-19,8.26
2018-06-20,8.7
2018-06-21,8.67
2018-06-22,8.73
2018-06-25,8.69
2018-06-26,8.77
2018-06-27,8.87
2018-06-28,8.42
2018-06-29,8.65
2018-07-02,8.15
2018-07-03,8.05
2018-07-05,8.08
2018-07-06,8.18
2018-07-09,8.54
2018-07-10,8.62
2018-07-11,8.58
2018-07-12,8.92
2018-07-13,8.96
2018-07-16,9.18
2018-07-17,9.39
2018-07-18,9.45
2018-07-19,9.36
2018-07-20,9.35
2018-07-23,9.36
2018-07-24,9.25
2018-07-25,9.23
2018-07-26,9.1
2018-07-27,9.01
2018-07-30,8.78
2018-07-31,9.01
2018-08-01,8.95
2018-08-02,8.62
2018-08-03,8.91
2018-08-06,8.98
2018-08-07,9.15
2018-08-08,9.48
2018-08-09,8.47
2018-08-10,8.9
2018-08-13,9.15
2018-08-14,8.9
2018-08-15,8.73
2018-08-16,8.72
2018-08-17,8.71
2018-08-20,8.69
2018-08-21,9.14
2018-08-22,9.08
2018-08-23,8.99
2018-08-24,9.01
2018-08-27,9.04
2018-08-28,9.21
2018-08-29,9.25
2018-08-30,8.93
2018-08-31,8.95
2018-09-04,9.19
2018-09-05,8.77
2018-09-06,8.96
2018-09-07,8.8
2018-09-10,8.64
2018-09-11,8.52
2018-09-12,8.61
2018-09-13,8.59
2018-09-14,8.56
2018-09-17,8.4
2018-09-18,8.59
2018-09-19,8.37
2018-09-20,8.92
2018-09-21,9.37
2018-09-24,9.26
2018-09-25,9.23
2018-09-26,9.38
2018-09-27,9.39
2018-09-28,9.39
2018-10-01,9.2
2018-10-02,8.74
2018-10-03,8.81
2018-10-04,8.79
2018-10-05,8.69
2018-10-08,8.64
2018-10-09,8.63
2018-10-10,8.14
2018-10-11,7.77
2018-10-12,7.52
