Date,HLI
2015-08-13,22.4
2015-08-14,22.75
2015-08-17,22.450001
2015-08-18,22.5
2015-08-19,22.1
2015-08-20,22.0
2015-08-21,21.690001000000002
2015-08-24,21.120001000000002
2015-08-25,21.5
2015-08-26,21.42
2015-08-27,21.82
2015-08-28,21.43
2015-08-31,22.0
2015-09-01,22.040001
2015-09-02,22.75
2015-09-03,22.610001
2015-09-04,22.35
2015-09-08,21.9
2015-09-09,21.969998999999998
2015-09-10,21.950001
2015-09-11,21.690001000000002
2015-09-14,21.280001000000002
2015-09-15,21.92
2015-09-16,21.799999
2015-09-17,21.879998999999998
2015-09-18,21.969998999999998
2015-09-21,21.950001
2015-09-22,22.24
2015-09-23,22.27
2015-09-24,21.99
2015-09-25,21.379998999999998
2015-09-28,20.93
2015-09-29,21.209999
2015-09-30,21.799999
2015-10-01,21.879998999999998
2015-10-02,21.49
2015-10-05,22.469998999999998
2015-10-06,22.26
2015-10-07,23.040001
2015-10-08,22.74
2015-10-09,22.26
2015-10-12,21.76
2015-10-13,22.1
2015-10-14,21.59
2015-10-15,22.32
2015-10-16,21.700001
2015-10-19,22.110001
2015-10-20,22.0
2015-10-21,21.940001000000002
2015-10-22,21.709999
2015-10-23,21.67
2015-10-26,21.17
2015-10-27,21.52
2015-10-28,22.299999
2015-10-29,21.879998999999998
2015-10-30,21.91
2015-11-02,22.0
2015-11-03,21.99
2015-11-04,21.83
2015-11-05,22.379998999999998
2015-11-06,22.110001
2015-11-09,22.209999
2015-11-10,22.27
2015-11-11,22.120001000000002
2015-11-12,22.1
2015-11-13,22.23
2015-11-16,22.200001
2015-11-17,22.24
2015-11-18,22.4
2015-11-19,22.24
2015-11-20,22.25
2015-11-23,22.610001
2015-11-24,23.309998999999998
2015-11-25,23.629998999999998
2015-11-27,23.969998999999998
2015-11-30,24.450001
2015-12-01,24.77
2015-12-02,24.59
2015-12-03,24.17
2015-12-04,24.09
2015-12-07,23.82
2015-12-08,23.540001
2015-12-09,23.360001
2015-12-10,23.08
2015-12-11,22.67
2015-12-14,23.209999
2015-12-15,23.559998999999998
2015-12-16,23.969998999999998
2015-12-17,23.309998999999998
2015-12-18,22.719998999999998
2015-12-21,23.190001000000002
2015-12-22,23.389999
2015-12-23,23.75
2015-12-24,23.84
2015-12-28,24.200001
2015-12-29,24.540001
2015-12-30,25.469998999999998
2015-12-31,26.209999
2016-01-04,25.32
2016-01-05,24.83
2016-01-06,23.68
2016-01-07,23.82
2016-01-08,23.559998999999998
2016-01-11,24.200001
2016-01-12,24.610001
2016-01-13,24.15
2016-01-14,24.51
2016-01-15,24.309998999999998
2016-01-19,23.59
2016-01-20,23.68
2016-01-21,23.58
2016-01-22,23.84
2016-01-25,23.610001
2016-01-26,23.299999
2016-01-27,23.110001
2016-01-28,23.18
2016-01-29,24.15
2016-02-01,24.25
2016-02-02,23.4
2016-02-03,22.91
2016-02-04,23.629998999999998
2016-02-05,23.34
2016-02-08,23.540001
2016-02-09,23.43
2016-02-10,24.35
2016-02-11,24.030001000000002
2016-02-12,24.09
2016-02-16,24.49
2016-02-17,24.25
2016-02-18,23.98
2016-02-19,24.620001000000002
2016-02-22,24.549999
2016-02-23,24.440001000000002
2016-02-24,24.389999
2016-02-25,24.5
2016-02-26,24.540001
2016-02-29,25.559998999999998
2016-03-01,25.48
2016-03-02,25.549999
2016-03-03,25.5
