Date,FELE
1980-03-17,1.46875
1980-03-18,1.5
1980-03-19,1.5625
1980-03-20,1.5625
1980-03-21,1.5625
1980-03-24,1.46875
1980-03-25,1.46875
1980-03-26,1.59375
1980-03-27,1.4375
1980-03-28,1.53125
1980-03-31,1.59375
1980-04-01,1.59375
1980-04-02,1.5625
1980-04-03,1.5625
1980-04-07,1.5625
1980-04-08,1.5625
1980-04-09,1.5625
1980-04-10,1.59375
1980-04-11,1.59375
1980-04-14,1.59375
1980-04-15,1.59375
1980-04-16,1.5625
1980-04-17,1.5625
1980-04-18,1.5625
1980-04-21,1.5625
1980-04-22,1.5625
1980-04-23,1.5625
1980-04-24,1.5625
1980-04-25,1.53125
1980-04-28,1.5625
1980-04-29,1.59375
1980-04-30,1.5625
1980-05-01,1.5625
1980-05-02,1.5625
1980-05-05,1.5625
1980-05-06,1.5625
1980-05-07,1.5625
1980-05-08,1.59375
1980-05-09,1.59375
1980-05-12,1.53125
1980-05-13,1.5625
1980-05-14,1.59375
1980-05-15,1.59375
1980-05-16,1.5625
1980-05-19,1.5625
1980-05-20,1.59375
1980-05-21,1.59375
1980-05-22,1.59375
1980-05-23,1.59375
1980-05-27,1.59375
1980-05-28,1.875
1980-05-29,1.75
1980-05-30,1.75
1980-06-02,1.71875
1980-06-03,1.75
1980-06-04,1.53125
1980-06-05,1.53125
1980-06-06,1.5625
1980-06-09,1.59375
1980-06-10,1.625
1980-06-11,1.625
1980-06-12,1.65625
1980-06-13,1.6875
1980-06-16,1.6875
1980-06-17,1.65625
1980-06-18,1.65625
1980-06-19,1.65625
1980-06-20,1.65625
1980-06-23,1.625
1980-06-24,1.65625
1980-06-25,1.65625
1980-06-26,1.65625
1980-06-27,1.625
1980-06-30,1.625
1980-07-01,1.71875
1980-07-02,1.71875
1980-07-03,1.71875
1980-07-07,1.71875
1980-07-08,1.71875
1980-07-09,1.71875
1980-07-10,1.65625
1980-07-11,1.625
1980-07-14,1.625
1980-07-15,1.625
1980-07-16,1.625
1980-07-17,1.65625
1980-07-18,1.78125
1980-07-21,1.78125
1980-07-22,1.78125
1980-07-23,1.78125
1980-07-24,1.78125
1980-07-25,1.78125
1980-07-28,1.78125
1980-07-29,1.78125
1980-07-30,1.875
1980-07-31,1.96875
1980-08-01,2.0
1980-08-04,1.96875
1980-08-05,2.0
1980-08-06,2.0
1980-08-07,2.140625
1980-08-08,2.21875
1980-08-11,2.15625
1980-08-12,2.0
1980-08-13,1.96875
1980-08-14,2.125
1980-08-15,2.15625
1980-08-18,2.09375
1980-08-19,2.0625
1980-08-20,2.15625
1980-08-21,2.21875
1980-08-22,2.25
1980-08-25,2.25
1980-08-26,2.25
1980-08-27,2.375
1980-08-28,2.28125
1980-08-29,2.25
1980-09-02,2.3125
1980-09-03,2.3125
1980-09-04,2.46875
1980-09-05,2.4375
1980-09-08,2.4375
1980-09-09,2.4375
1980-09-10,2.4375
1980-09-11,2.46875
1980-09-12,2.4375
1980-09-15,2.34375
1980-09-16,2.25
1980-09-17,2.3125
1980-09-18,2.3125
1980-09-19,2.34375
1980-09-22,2.28125
1980-09-23,2.28125
1980-09-24,2.25
1980-09-25,2.125
1980-09-26,1.84375
1980-09-29,1.84375
1980-09-30,1.90625
1980-10-01,1.90625
1980-10-02,1.84375
1980-10-03,1.84375
1980-10-06,1.75
1980-10-07,1.75
1980-10-08,1.8125
1980-10-09,1.8125
1980-10-10,1.78125
1980-10-13,1.78125
1980-10-14,1.8125
1980-10-15,1.8125
1980-10-16,1.75
1980-10-17,1.71875
1980-10-20,1.6875
1980-10-21,1.78125
1980-10-22,1.78125
1980-10-23,1.78125
1980-10-24,1.84375
1980-10-27,1.90625
1980-10-28,1.90625
1980-10-29,1.90625
1980-10-30,1.90625
1980-10-31,1.96875
1980-11-03,1.96875
1980-11-05,2.0625
1980-11-06,2.03125
1980-11-07,2.03125
1980-11-10,2.03125
1980-11-11,2.03125
1980-11-12,2.0
1980-11-13,2.0
1980-11-14,1.96875
1980-11-17,1.875
1980-11-18,1.90625
1980-11-19,1.90625
1980-11-20,1.875
1980-11-21,1.875
1980-11-24,1.875
1980-11-25,1.875
1980-11-26,1.84375
1980-11-28,1.84375
1980-12-01,1.75
1980-12-02,1.75
1980-12-03,1.75
1980-12-04,1.78125
1980-12-05,1.71875
1980-12-08,1.59375
1980-12-09,1.5625
1980-12-10,1.53125
1980-12-11,1.53125
1980-12-12,1.5625
1980-12-15,1.65625
1980-12-16,1.71875
1980-12-17,1.71875
1980-12-18,1.75
1980-12-19,1.6875
1980-12-22,1.6875
1980-12-23,1.71875
1980-12-24,1.71875
1980-12-26,1.71875
1980-12-29,1.71875
1980-12-30,1.71875
1980-12-31,1.71875
1981-01-02,1.71875
1981-01-05,1.71875
1981-01-06,1.78125
1981-01-07,1.75
1981-01-08,1.75
1981-01-09,1.75
1981-01-12,1.84375
1981-01-13,1.84375
1981-01-14,1.84375
1981-01-15,1.875
1981-01-16,1.90625
1981-01-19,1.875
1981-01-20,1.875
1981-01-21,1.875
1981-01-22,1.90625
1981-01-23,1.90625
1981-01-26,1.90625
1981-01-27,1.90625
1981-01-28,1.96875
1981-01-29,1.96875
1981-01-30,1.96875
1981-02-02,1.96875
1981-02-03,1.96875
1981-02-04,1.96875
1981-02-05,1.96875
1981-02-06,1.96875
1981-02-09,1.96875
1981-02-10,1.96875
1981-02-11,1.9375
1981-02-12,1.9375
1981-02-13,1.9375
1981-02-17,1.9375
1981-02-18,1.9375
1981-02-19,1.875
1981-02-20,1.875
1981-02-23,1.84375
1981-02-24,1.84375
1981-02-25,1.84375
1981-02-26,1.84375
1981-02-27,1.875
1981-03-02,1.875
1981-03-03,1.96875
1981-03-04,2.0
1981-03-05,2.03125
1981-03-06,2.03125
1981-03-09,2.03125
1981-03-10,2.03125
1981-03-11,2.09375
1981-03-12,2.15625
1981-03-13,2.09375
1981-03-16,2.09375
1981-03-17,2.09375
1981-03-18,2.09375
1981-03-19,2.09375
1981-03-20,2.09375
1981-03-23,2.09375
1981-03-24,2.0625
1981-03-25,2.0625
1981-03-26,2.0625
1981-03-27,2.0625
1981-03-30,2.03125
1981-03-31,2.0
1981-04-01,2.0
1981-04-02,1.984375
1981-04-03,1.90625
1981-04-06,1.90625
1981-04-07,1.90625
1981-04-08,1.9375
1981-04-09,1.9375
1981-04-10,1.9375
1981-04-13,1.9375
1981-04-14,1.9375
1981-04-15,2.125
1981-04-16,2.28125
1981-04-20,2.21875
1981-04-21,2.1875
1981-04-22,2.21875
1981-04-23,2.25
1981-04-24,2.375
1981-04-27,2.375
1981-04-28,2.3125
1981-04-29,2.28125
1981-04-30,2.28125
1981-05-01,2.28125
1981-05-04,2.21875
1981-05-05,2.15625
1981-05-06,2.21875
1981-05-07,2.3125
1981-05-08,2.34375
1981-05-11,2.34375
1981-05-12,2.3125
1981-05-13,2.34375
1981-05-14,2.40625
1981-05-15,2.53125
1981-05-18,2.5625
1981-05-19,2.4375
1981-05-20,2.5
1981-05-21,2.65625
1981-05-22,2.625
1981-05-26,2.53125
1981-05-27,2.5625
1981-05-28,2.59375
1981-05-29,2.59375
1981-06-01,2.59375
1981-06-02,2.59375
1981-06-03,2.71875
1981-06-04,3.0625
1981-06-05,3.1875
1981-06-08,3.0
1981-06-09,2.9375
1981-06-10,2.78125
1981-06-11,2.78125
1981-06-12,2.78125
1981-06-15,2.8125
1981-06-16,2.78125
1981-06-17,2.71875
1981-06-18,2.65625
1981-06-19,2.65625
1981-06-22,2.65625
1981-06-23,2.5625
1981-06-24,2.65625
1981-06-25,2.6875
1981-06-26,2.71875
1981-06-29,2.65625
1981-06-30,2.59375
1981-07-01,2.5625
1981-07-02,2.40625
1981-07-06,2.40625
1981-07-07,2.46875
1981-07-08,2.5
1981-07-09,2.5
1981-07-10,2.5
1981-07-13,2.53125
1981-07-14,2.5
1981-07-15,2.5
1981-07-16,2.5625
1981-07-17,2.625
1981-07-20,2.5
1981-07-21,2.34375
1981-07-22,2.375
1981-07-23,2.375
1981-07-24,2.4375
1981-07-27,2.5
1981-07-28,2.5
1981-07-29,2.59375
1981-07-30,2.59375
1981-07-31,2.5625
1981-08-03,2.5625
1981-08-04,2.625
1981-08-05,2.71875
1981-08-06,2.71875
