Date,GETVF
2013-03-22,7.518
2013-03-25,7.518
2013-03-26,7.518
2013-03-27,7.518
2013-03-28,7.518
2013-04-01,7.518
2013-04-02,7.518
2013-04-03,7.518
2013-04-04,7.518
2013-04-05,7.518
2013-04-08,7.518
2013-04-09,7.518
2013-04-10,7.518
2013-04-11,7.518
2013-04-12,7.518
2013-04-15,7.518
2013-04-16,7.416
2013-04-17,7.416
2013-04-18,7.416
2013-04-19,7.45
2013-04-22,7.45
2013-04-23,7.45
2013-04-24,7.45
2013-04-25,7.45
2013-04-26,7.45
2013-04-29,7.45
2013-04-30,7.45
2013-05-01,7.45
2013-05-02,7.45
2013-05-03,7.45
2013-05-06,7.45
2013-05-07,7.45
2013-05-08,7.45
2013-05-09,7.45
2013-05-10,7.45
2013-05-13,7.45
2013-05-14,7.45
2013-05-15,7.45
2013-05-16,7.45
2013-05-17,7.45
2013-05-20,7.45
2013-05-21,7.45
2013-05-22,7.45
2013-05-23,7.45
2013-05-24,7.45
2013-05-28,7.45
2013-05-29,7.45
2013-05-30,7.45
2013-05-31,7.45
2013-06-03,7.45
2013-06-04,7.45
2013-06-05,7.45
2013-06-06,7.45
2013-06-07,7.45
2013-06-10,7.45
2013-06-11,8.022
2013-06-12,8.022
2013-06-13,8.022
2013-06-14,8.4
2013-06-17,8.4
2013-06-18,8.4
2013-06-19,8.4
2013-06-20,8.4
2013-06-21,8.4
2013-06-24,8.4
2013-06-25,8.4
2013-06-26,8.4
2013-06-27,8.4
2013-06-28,8.4
2013-07-01,8.4
2013-07-02,8.4
2013-07-03,8.4
2013-07-05,8.4
2013-07-08,8.4
2013-07-09,8.4
2013-07-10,8.4
2013-07-11,8.4
2013-07-12,8.4
2013-07-15,8.4
2013-07-16,8.4
2013-07-17,8.4
2013-07-18,8.4
2013-07-19,8.4
2013-07-22,8.4
2013-07-23,8.4
2013-07-24,8.4
2013-07-25,8.4
2013-07-26,8.4
2013-07-29,8.4
2013-07-30,8.4
2013-07-31,8.4
2013-08-01,8.4
2013-08-02,8.4
2013-08-05,8.4
2013-08-06,8.4
2013-08-07,8.4
2013-08-08,8.4
2013-08-09,8.4
2013-08-12,8.4
2013-08-13,8.4
