Date,BRY
2018-07-18,13.75
2018-07-19,14.5
2018-07-20,16.0
2018-07-23,16.0
2018-07-24,14.5
2018-07-25,14.5
2018-07-26,13.25
2018-07-27,13.29
2018-07-30,13.8
2018-07-31,13.75
2018-08-01,13.61
2018-08-02,13.3
2018-08-03,13.38
2018-08-06,13.55
2018-08-07,13.33
2018-08-08,13.23
2018-08-09,13.1
2018-08-10,13.39
2018-08-13,13.0
2018-08-14,12.99
2018-08-15,12.73
2018-08-16,12.74
2018-08-17,12.84
2018-08-20,13.0
2018-08-21,13.28
2018-08-22,13.5
2018-08-23,14.03
2018-08-24,15.46
2018-08-27,15.73
2018-08-28,15.99
2018-08-29,16.0
2018-08-30,16.280001000000002
2018-08-31,16.389999
2018-09-04,15.85
2018-09-05,16.26
2018-09-06,15.69
2018-09-07,15.75
2018-09-10,15.93
2018-09-11,16.139999
2018-09-12,15.7
2018-09-13,16.01
2018-09-14,15.76
2018-09-17,15.93
2018-09-18,16.34
2018-09-19,16.360001
2018-09-20,16.370001000000002
2018-09-21,16.0
2018-09-24,16.85
2018-09-25,16.99
2018-09-26,16.74
2018-09-27,17.09
2018-09-28,17.620001000000002
2018-10-01,17.530001000000002
2018-10-02,17.93
2018-10-03,17.780001000000002
2018-10-04,17.73
2018-10-05,18.24
2018-10-08,17.52
2018-10-09,17.98
2018-10-10,16.530001000000002
2018-10-11,16.209999
2018-10-12,15.93
2018-10-15,16.27
2018-10-16,16.809998999999998
2018-10-17,16.65
2018-10-18,16.290001
2018-10-19,16.32
2018-10-22,16.139999
2018-10-23,15.72
2018-10-24,14.96
2018-10-25,15.28
2018-10-26,14.71
2018-10-29,14.15
2018-10-30,13.96
2018-10-31,14.0
2018-11-01,14.13
2018-11-02,13.85
2018-11-05,14.62
2018-11-06,14.52
2018-11-07,14.84
2018-11-08,14.02
2018-11-09,13.96
2018-11-12,13.2
2018-11-13,12.59
2018-11-14,13.03
2018-11-15,13.1
2018-11-16,13.26
2018-11-19,13.08
2018-11-20,12.58
2018-11-21,13.68
2018-11-23,12.94
2018-11-26,12.99
2018-11-27,12.8
2018-11-28,12.77
2018-11-29,12.81
2018-11-30,12.39
2018-12-03,13.15
2018-12-04,12.96
2018-12-06,12.23
2018-12-07,12.3
2018-12-10,11.34
2018-12-11,10.26
2018-12-12,10.68
2018-12-13,10.41
2018-12-14,10.43
2018-12-17,9.51
2018-12-18,9.26
2018-12-19,9.04
2018-12-20,7.91
2018-12-21,8.3
2018-12-24,7.94
2018-12-26,8.75
2018-12-27,8.69
2018-12-28,8.5
2018-12-31,8.75
2019-01-02,8.99
2019-01-03,8.93
2019-01-04,9.64
2019-01-07,10.23
2019-01-08,10.5
2019-01-09,10.76
2019-01-10,10.54
2019-01-11,10.28
2019-01-14,10.45
2019-01-15,9.88
2019-01-16,10.03
2019-01-17,10.62
2019-01-18,10.94
2019-01-22,10.24
2019-01-23,10.31
2019-01-24,10.45
2019-01-25,10.95
2019-01-28,11.18
2019-01-29,11.24
2019-01-30,11.7
2019-01-31,11.79
2019-02-01,12.13
2019-02-04,12.1
2019-02-05,11.77
2019-02-06,11.67
2019-02-07,11.0
2019-02-08,10.74
2019-02-11,10.65
2019-02-12,10.86
2019-02-13,11.57
2019-02-14,11.42
2019-02-15,11.95
2019-02-19,11.91
2019-02-20,11.89
2019-02-21,11.9
2019-02-22,12.67
2019-02-25,12.81
2019-02-26,12.7
2019-02-27,12.73
2019-02-28,12.73
2019-03-01,12.75
2019-03-04,12.81
2019-03-05,12.65
2019-03-06,12.19
2019-03-07,11.9
2019-03-08,11.68
2019-03-11,11.82
2019-03-12,11.99
2019-03-13,11.61
2019-03-14,11.7
2019-03-15,11.82
2019-03-18,11.94
2019-03-19,12.12
2019-03-20,12.23
2019-03-21,11.91
2019-03-22,11.12
2019-03-25,10.97
2019-03-26,11.4
2019-03-27,11.27
2019-03-28,11.71
2019-03-29,11.54
2019-04-01,12.11
2019-04-02,12.13
2019-04-03,11.79
2019-04-04,11.91
2019-04-05,12.29
2019-04-08,12.45
2019-04-09,12.34
2019-04-10,12.73
2019-04-11,12.81
2019-04-12,12.77
2019-04-15,12.5
2019-04-16,12.55
2019-04-17,12.57
2019-04-18,12.62
2019-04-22,12.91
2019-04-23,12.95
2019-04-24,12.79
2019-04-25,11.67
2019-04-26,11.56
2019-04-29,11.26
2019-04-30,11.36
2019-05-01,11.05
2019-05-02,10.88
2019-05-03,11.23
2019-05-06,11.3
2019-05-07,10.97
2019-05-08,11.07
2019-05-09,11.44
2019-05-10,11.48
2019-05-13,11.23
2019-05-14,11.36
2019-05-15,11.1
2019-05-16,11.3
2019-05-17,10.97
2019-05-20,11.06
2019-05-21,11.5
2019-05-22,11.08
2019-05-23,10.59
2019-05-24,10.81
2019-05-28,10.76
2019-05-29,11.06
2019-05-30,10.75
2019-05-31,10.75
2019-06-03,10.79
2019-06-04,11.17
2019-06-05,10.45
2019-06-06,10.34
2019-06-07,10.33
2019-06-10,10.44
2019-06-11,10.34
2019-06-12,10.19
2019-06-13,10.39
2019-06-14,10.51
2019-06-17,10.77
2019-06-18,10.95
2019-06-19,10.93
2019-06-20,11.09
2019-06-21,10.99
2019-06-24,10.58
2019-06-25,10.39
2019-06-26,10.59
2019-06-27,10.31
2019-06-28,10.6
2019-07-01,10.62
2019-07-02,10.04
2019-07-03,10.12
2019-07-05,10.42
2019-07-08,10.23
2019-07-09,10.12
2019-07-10,10.35
2019-07-11,10.33
2019-07-12,10.47
2019-07-15,10.39
2019-07-16,10.4
2019-07-17,10.2
2019-07-18,10.18
2019-07-19,10.25
2019-07-22,10.23
2019-07-23,10.41
2019-07-24,10.51
2019-07-25,10.39
2019-07-26,10.5
2019-07-29,9.4
2019-07-30,9.91
2019-07-31,9.8
2019-08-01,9.04
2019-08-02,8.99
2019-08-05,8.81
2019-08-06,8.9
2019-08-07,8.86
2019-08-08,8.5
2019-08-09,8.59
2019-08-12,8.77
2019-08-13,8.61
2019-08-14,8.45
2019-08-15,8.22
2019-08-16,8.6
2019-08-19,8.6
2019-08-20,8.47
2019-08-21,8.45
2019-08-22,8.21
2019-08-23,7.71
2019-08-26,7.89
2019-08-27,7.77
2019-08-28,8.03
2019-08-29,8.22
2019-08-30,7.99
2019-09-03,7.95
2019-09-04,8.17
2019-09-05,8.6
2019-09-06,8.66
2019-09-09,9.11
2019-09-10,9.55
2019-09-11,9.81
2019-09-12,9.72
2019-09-13,9.83
2019-09-16,10.77
2019-09-17,10.44
2019-09-18,10.43
2019-09-19,10.09
2019-09-20,10.25
2019-09-23,10.57
2019-09-24,9.83
2019-09-25,9.71
2019-09-26,9.57
2019-09-27,9.6
2019-09-30,9.36
2019-10-01,9.26
2019-10-02,9.35
2019-10-03,9.32
2019-10-04,9.32
2019-10-07,9.28
2019-10-08,9.34
2019-10-09,9.4
2019-10-10,9.61
2019-10-11,9.88
2019-10-14,10.06
2019-10-15,9.91
2019-10-16,9.72
2019-10-17,9.72
2019-10-18,9.44
2019-10-21,9.58
2019-10-22,9.85
2019-10-23,10.01
2019-10-24,9.86
2019-10-25,10.01
2019-10-28,9.9
2019-10-29,9.95
2019-10-30,9.49
2019-10-31,9.39
2019-11-01,9.76
2019-11-04,10.02
2019-11-05,10.64
2019-11-06,10.45
2019-11-07,10.99
2019-11-08,11.05
2019-11-11,11.03
2019-11-12,11.39
2019-11-13,10.91
2019-11-14,11.16
2019-11-15,11.31
2019-11-18,11.33
2019-11-19,8.9
2019-11-20,7.13
2019-11-21,7.04
2019-11-22,7.01
2019-11-25,7.5
2019-11-26,7.66
2019-11-27,7.66
2019-11-29,7.97
2019-12-02,7.82
2019-12-03,7.57
2019-12-04,8.13
2019-12-05,8.31
2019-12-06,8.51
2019-12-09,8.58
2019-12-10,8.65
2019-12-11,8.45
2019-12-12,8.94
2019-12-13,8.75
2019-12-16,8.94
2019-12-17,9.01
2019-12-18,9.24
2019-12-19,9.5
2019-12-20,9.27
2019-12-23,9.54
2019-12-24,9.41
2019-12-26,9.57
2019-12-27,9.19
2019-12-30,9.05
2019-12-31,9.43
2020-01-02,9.14
2020-01-03,9.57
2020-01-06,9.59
2020-01-07,9.67
2020-01-08,9.24
2020-01-09,9.23
2020-01-10,8.84
2020-01-13,8.56
2020-01-14,8.51
2020-01-15,8.37
2020-01-16,8.33
2020-01-17,8.07
2020-01-21,7.63
2020-01-22,7.68
2020-01-23,7.75
2020-01-24,7.24
2020-01-27,6.99
2020-01-28,7.09
2020-01-29,6.99
2020-01-30,7.03
2020-01-31,6.85
2020-02-03,6.66
2020-02-04,6.83
2020-02-05,7.49
2020-02-06,7.21
2020-02-07,7.34
2020-02-10,7.3
2020-02-11,7.49
2020-02-12,7.67
2020-02-13,7.69
2020-02-14,7.28
2020-02-18,7.28
2020-02-19,7.45
2020-02-20,7.55
2020-02-21,7.2
2020-02-24,6.98
2020-02-25,6.45
2020-02-26,6.17
2020-02-27,6.1
2020-02-28,6.37
2020-03-02,6.29
2020-03-03,5.87
2020-03-04,6.14
2020-03-05,5.87
2020-03-06,5.28
2020-03-09,4.01
2020-03-10,3.92
2020-03-11,3.41
2020-03-12,2.62
2020-03-13,2.44
2020-03-16,2.22
2020-03-17,2.4
2020-03-18,1.9
2020-03-19,2.18
2020-03-20,2.46
2020-03-23,2.35
2020-03-24,2.61
