Date,BRY
2020-03-25,2.63
2020-03-26,2.42
2020-03-27,2.2
2020-03-30,2.24
2020-03-31,2.41
2020-04-01,2.01
2020-04-02,2.24
2020-04-03,2.24
2020-04-06,2.26
2020-04-07,2.09
2020-04-08,2.23
2020-04-09,2.39
2020-04-13,2.48
2020-04-14,2.64
2020-04-15,2.45
2020-04-16,2.19
2020-04-17,2.32
2020-04-20,2.42
2020-04-21,2.43
2020-04-22,2.77
2020-04-23,2.98
2020-04-24,2.75
2020-04-27,2.81
2020-04-28,2.86
2020-04-29,3.46
2020-04-30,3.43
2020-05-01,3.29
2020-05-04,3.29
2020-05-05,3.28
2020-05-06,3.12
2020-05-07,3.65
2020-05-08,3.93
