Date,LORL
2012-06-27,65.489998
2012-06-28,65.980003
2012-06-29,67.349998
2012-07-02,67.199997
2012-07-03,68.279999
2012-07-05,69.199997
2012-07-06,70.449997
2012-07-09,70.339996
2012-07-10,69.93
2012-07-11,70.529999
2012-07-12,70.620003
2012-07-13,70.849998
2012-07-16,70.91999799999999
2012-07-17,71.489998
2012-07-18,71.709999
2012-07-19,72.620003
2012-07-20,71.940002
2012-07-23,71.470001
2012-07-24,71.58000200000001
2012-07-25,71.83000200000001
2012-07-26,71.889999
2012-07-27,72.650002
2012-07-30,72.209999
2012-07-31,71.949997
2012-08-01,71.900002
2012-08-02,71.16999799999999
2012-08-03,72.089996
2012-08-06,71.949997
2012-08-07,72.5
2012-08-08,72.910004
2012-08-09,73.139999
2012-08-10,75.190002
2012-08-13,75.279999
2012-08-14,73.660004
2012-08-15,73.5
2012-08-16,73.5
2012-08-17,73.059998
2012-08-20,73.139999
2012-08-21,73.18
2012-08-22,73.019997
2012-08-23,73.0
2012-08-24,72.980003
2012-08-27,73.08000200000001
2012-08-28,72.910004
2012-08-29,73.519997
2012-08-30,73.029999
2012-08-31,73.41999799999999
2012-09-04,73.610001
2012-09-05,73.230003
2012-09-06,76.370003
2012-09-07,74.779999
2012-09-10,73.779999
2012-09-11,73.599998
2012-09-12,74.650002
2012-09-13,74.389999
2012-09-14,72.879997
2012-09-17,73.0
2012-09-18,71.949997
2012-09-19,72.279999
2012-09-20,71.82
2012-09-21,71.379997
2012-09-24,72.5
2012-09-25,71.879997
2012-09-26,70.959999
2012-09-27,71.730003
2012-09-28,71.099998
2012-10-01,71.779999
2012-10-02,72.690002
2012-10-03,71.889999
2012-10-04,73.68
2012-10-05,73.260002
2012-10-08,73.07
2012-10-09,73.010002
2012-10-10,72.760002
2012-10-11,72.160004
2012-10-12,71.75
2012-10-15,71.790001
2012-10-16,72.5
2012-10-17,72.949997
2012-10-18,71.889999
2012-10-19,71.400002
2012-10-22,71.58000200000001
2012-10-23,71.620003
2012-10-24,72.32
2012-10-25,72.160004
2012-10-26,73.260002
2012-10-31,78.660004
2012-11-01,79.040001
2012-11-02,79.32
2012-11-05,80.120003
2012-11-06,78.839996
2012-11-07,77.83000200000001
2012-11-08,82.349998
2012-11-09,80.0
2012-11-12,80.690002
2012-11-13,80.300003
2012-11-14,80.0
2012-11-15,79.029999
2012-11-16,79.610001
2012-11-19,79.18
2012-11-20,79.32
2012-11-21,80.790001
2012-11-23,81.410004
2012-11-26,82.790001
2012-11-27,82.050003
2012-11-28,84.360001
2012-11-29,84.16999799999999
2012-11-30,85.07
2012-12-03,82.389999
2012-12-04,82.660004
2012-12-05,53.689999
2012-12-06,53.849998
2012-12-07,54.099998
2012-12-10,54.5
2012-12-11,54.5
2012-12-12,54.790001000000004
2012-12-13,54.759997999999996
2012-12-14,54.169998
2012-12-17,54.759997999999996
2012-12-18,54.560001
2012-12-19,54.439999
2012-12-20,54.459998999999996
2012-12-21,53.740002000000004
2012-12-24,53.880001
2012-12-26,53.630001
2012-12-27,53.669998
2012-12-28,53.669998
2012-12-31,54.66
2013-01-02,55.66
2013-01-03,55.560001
2013-01-04,55.540001000000004
2013-01-07,55.389998999999996
2013-01-08,55.439999
2013-01-09,55.419998
2013-01-10,55.32
2013-01-11,55.5
2013-01-14,56.110001000000004
2013-01-15,56.549999
2013-01-16,56.610001000000004
2013-01-17,57.0
2013-01-18,57.639998999999996
2013-01-22,58.119999
2013-01-23,58.619999
2013-01-24,58.59
2013-01-25,58.68
2013-01-28,58.990002000000004
2013-01-29,59.150002
2013-01-30,58.68
2013-01-31,58.689999
2013-02-01,59.18
2013-02-04,58.360001000000004
2013-02-05,59.369999
2013-02-06,58.959998999999996
2013-02-07,58.799999
2013-02-08,59.369999
2013-02-11,59.150002
2013-02-12,59.139998999999996
2013-02-13,58.98
2013-02-14,58.619999
2013-02-15,58.68
2013-02-19,59.07
2013-02-20,58.400002
2013-02-21,58.040001000000004
2013-02-22,58.91
2013-02-25,57.490002000000004
2013-02-26,57.459998999999996
2013-02-27,58.259997999999996
2013-02-28,58.240002000000004
2013-03-01,59.68
2013-03-04,59.07
2013-03-05,58.580002
2013-03-06,58.490002000000004
2013-03-07,57.799999
2013-03-08,58.509997999999996
2013-03-11,58.470001
2013-03-12,57.880001
2013-03-13,58.5
2013-03-14,58.639998999999996
2013-03-15,58.66
2013-03-18,59.639998999999996
2013-03-19,59.560001
2013-03-20,59.66
2013-03-21,59.919998
2013-03-22,60.41
2013-03-25,61.189999
2013-03-26,62.240002000000004
2013-03-27,62.139998999999996
2013-03-28,61.880001
2013-04-01,61.060001
2013-04-02,62.009997999999996
2013-04-03,60.330002
2013-04-04,60.73
2013-04-05,60.869999
2013-04-08,61.32
2013-04-09,61.029999
2013-04-10,61.91
2013-04-11,61.610001000000004
2013-04-12,61.639998999999996
2013-04-15,60.310001
2013-04-16,60.439999
2013-04-17,59.139998999999996
2013-04-18,59.490002000000004
2013-04-19,60.02
2013-04-22,60.02
2013-04-23,60.52
2013-04-24,60.48
2013-04-25,61.209998999999996
2013-04-26,61.119999
2013-04-29,61.41
2013-04-30,61.52
2013-05-01,59.919998
2013-05-02,61.48
2013-05-03,63.150002
2013-05-06,63.73
2013-05-07,64.540001
2013-05-08,64.870003
2013-05-09,64.58000200000001
2013-05-10,64.309998
2013-05-13,62.009997999999996
2013-05-14,61.959998999999996
2013-05-15,61.849998
2013-05-16,61.32
2013-05-17,60.970001
2013-05-20,60.349998
2013-05-21,60.099998
2013-05-22,61.0
2013-05-23,61.98
2013-05-24,61.669998
2013-05-28,61.91
2013-05-29,60.950001
2013-05-30,60.490002000000004
2013-05-31,60.220001
2013-06-03,62.060001
2013-06-04,61.830002
2013-06-05,59.560001
2013-06-06,59.57
2013-06-07,59.650002
2013-06-10,61.560001
2013-06-11,61.049999
2013-06-12,61.349998
2013-06-13,62.040001000000004
2013-06-14,62.189999
2013-06-17,62.950001
2013-06-18,62.939999
2013-06-19,62.049999
2013-06-20,61.59
2013-06-21,61.139998999999996
2013-06-24,60.41
2013-06-25,60.799999
2013-06-26,59.740002000000004
2013-06-27,60.369999
2013-06-28,59.98
2013-07-01,60.669998
2013-07-02,60.689999
2013-07-03,60.610001000000004
2013-07-05,61.310001
2013-07-08,61.380001
2013-07-09,61.619999
2013-07-10,61.720001
2013-07-11,62.369999
2013-07-12,62.740002000000004
2013-07-15,62.830002
2013-07-16,62.389998999999996
2013-07-17,62.639998999999996
2013-07-18,63.0
2013-07-19,62.369999
2013-07-22,62.330002
2013-07-23,61.830002
2013-07-24,62.209998999999996
2013-07-25,62.23
2013-07-26,61.02
2013-07-29,61.049999
2013-07-30,61.48
2013-07-31,62.490002000000004
2013-08-01,63.5
2013-08-02,63.419998
2013-08-05,63.509997999999996
2013-08-06,63.509997999999996
2013-08-07,63.790001000000004
2013-08-08,64.75
2013-08-09,65.510002
2013-08-12,65.550003
2013-08-13,66.41999799999999
2013-08-14,65.83000200000001
2013-08-15,65.110001
2013-08-16,65.08000200000001
2013-08-19,64.32
2013-08-20,65.150002
2013-08-21,65.050003
2013-08-22,66.099998
2013-08-23,66.800003
2013-08-26,66.550003
2013-08-27,65.360001
2013-08-28,65.529999
2013-08-29,66.18
2013-08-30,66.110001
2013-09-03,65.940002
2013-09-04,65.970001
2013-09-05,65.769997
