Date,IFF
1974-12-17,7.25
1974-12-18,7.5416669999999995
1974-12-19,7.9166669999999995
1974-12-20,7.7083330000000005
1974-12-23,8.0
1974-12-24,8.166667
1974-12-26,8.166667
1974-12-27,7.7916669999999995
1974-12-30,8.083333
1974-12-31,8.25
1975-01-02,8.583333
1975-01-03,8.375
1975-01-06,8.333333
1975-01-07,8.25
1975-01-08,8.083333
1975-01-09,8.166667
1975-01-10,8.375
1975-01-13,8.25
1975-01-14,8.541667
1975-01-15,8.75
1975-01-16,8.666667
1975-01-17,8.333333
1975-01-20,8.458333
1975-01-21,8.583333
1975-01-22,8.375
1975-01-23,8.625
1975-01-24,8.583333
1975-01-27,9.083333
1975-01-28,9.166667
1975-01-29,9.083333
1975-01-30,8.75
1975-01-31,9.083333
1975-02-03,9.583333
1975-02-04,9.208333
1975-02-05,9.5
1975-02-06,9.541667
1975-02-07,9.25
1975-02-10,9.375
1975-02-11,9.166667
1975-02-12,9.291667
1975-02-13,9.291667
1975-02-14,9.291667
1975-02-18,9.041667
1975-02-19,9.125
1975-02-20,9.291667
1975-02-21,9.041667
1975-02-24,9.083333
1975-02-25,8.916667
1975-02-26,9.041667
1975-02-27,9.083333
1975-02-28,9.333333
1975-03-03,9.666667
1975-03-04,10.0
1975-03-05,10.25
1975-03-06,10.541667
1975-03-07,10.625
1975-03-10,10.666667
1975-03-11,10.5
1975-03-12,10.166667
1975-03-13,10.291667
1975-03-14,9.958333
1975-03-17,10.625
1975-03-18,10.625
1975-03-19,10.25
1975-03-20,10.25
1975-03-21,10.333333
1975-03-24,9.916667
1975-03-25,10.041667
1975-03-26,10.083333
1975-03-27,10.041667
1975-03-31,10.0
1975-04-01,9.708333
1975-04-02,9.541667
1975-04-03,9.666667
1975-04-04,9.458333
1975-04-07,9.541667
1975-04-08,9.5
1975-04-09,10.166667
1975-04-10,10.666667
1975-04-11,11.0
1975-04-14,10.916667
1975-04-15,10.5
1975-04-16,10.875
1975-04-17,11.208333
1975-04-18,11.0
1975-04-21,11.291667
1975-04-22,11.25
1975-04-23,11.0
1975-04-24,11.375
1975-04-25,11.333333
1975-04-28,11.25
1975-04-29,11.083333
1975-04-30,11.25
1975-05-01,11.125
1975-05-02,11.166667
1975-05-05,11.166667
1975-05-06,10.833333
1975-05-07,10.375
1975-05-08,10.416667
1975-05-09,11.0
1975-05-12,10.75
1975-05-13,10.875
1975-05-14,11.291667
1975-05-15,10.5
1975-05-16,10.333333
1975-05-19,10.416667
1975-05-20,10.208333
1975-05-21,10.0
1975-05-22,10.208333
1975-05-23,10.125
1975-05-27,10.333333
1975-05-28,10.208333
1975-05-29,10.416667
1975-05-30,10.75
1975-06-02,11.0
1975-06-03,11.166667
1975-06-04,11.083333
1975-06-05,11.083333
1975-06-06,10.958333
1975-06-09,10.583333
1975-06-10,10.333333
1975-06-11,10.5
1975-06-12,10.25
1975-06-13,10.333333
1975-06-16,10.75
1975-06-17,10.333333
1975-06-18,10.375
1975-06-19,10.625
1975-06-20,10.458333
1975-06-23,10.375
1975-06-24,10.541667
1975-06-25,10.5
1975-06-26,10.541667
1975-06-27,10.5
1975-06-30,10.458333
1975-07-01,10.375
1975-07-02,10.083333
1975-07-03,10.25
1975-07-07,9.875
1975-07-08,10.041667
1975-07-09,10.458333
1975-07-10,10.625
1975-07-11,10.333333
1975-07-14,10.416667
1975-07-15,10.458333
1975-07-16,9.75
1975-07-17,9.333333
1975-07-18,9.0
1975-07-21,8.666667
1975-07-22,8.791667
1975-07-23,8.791667
1975-07-24,8.833333
1975-07-25,9.083333
1975-07-28,9.0
1975-07-29,9.041667
1975-07-30,9.0
1975-07-31,8.958333
1975-08-01,8.75
1975-08-04,8.833333
1975-08-05,8.833333
1975-08-06,8.875
1975-08-07,8.833333
1975-08-08,9.041667
1975-08-11,9.25
1975-08-12,9.416667
1975-08-13,9.0
1975-08-14,8.916667
1975-08-15,9.0
1975-08-18,8.666667
1975-08-19,8.416667
1975-08-20,8.5
1975-08-21,8.5
1975-08-22,8.916667
1975-08-25,8.958333
1975-08-26,8.708333
1975-08-27,8.833333
1975-08-28,9.166667
