Date,HP
1980-10-15,11.1875
1980-10-16,11.0625
1980-10-17,10.78125
1980-10-20,10.78125
1980-10-21,10.875
1980-10-22,10.75
1980-10-23,10.5625
1980-10-24,10.78125
1980-10-27,10.34375
1980-10-28,10.46875
1980-10-29,10.46875
1980-10-30,10.25
1980-10-31,10.25
1980-11-03,10.875
1980-11-05,11.25
1980-11-06,11.1875
1980-11-07,10.96875
1980-11-10,11.03125
1980-11-11,11.03125
1980-11-12,11.25
1980-11-13,11.40625
1980-11-14,11.5
1980-11-17,11.46875
1980-11-18,11.5625
1980-11-19,11.75
1980-11-20,12.21875
1980-11-21,12.8125
1980-11-24,12.5
1980-11-25,13.09375
1980-11-26,12.9375
1980-11-28,13.0
1980-12-01,12.71875
1980-12-02,11.6875
1980-12-03,12.375
1980-12-04,12.21875
1980-12-05,11.96875
1980-12-08,11.09375
1980-12-09,11.28125
1980-12-10,11.0625
1980-12-11,11.40625
1980-12-12,11.78125
1980-12-15,12.0
1980-12-16,11.90625
1980-12-17,12.5
1980-12-18,12.71875
1980-12-19,12.8125
1980-12-22,12.71875
1980-12-23,12.5
1980-12-24,13.03125
1980-12-26,12.9375
1980-12-29,13.21875
1980-12-30,12.84375
1980-12-31,12.71875
1981-01-02,13.03125
1981-01-05,12.90625
1981-01-06,12.3125
1981-01-07,12.0
1981-01-08,11.59375
1981-01-09,11.59375
1981-01-12,11.1875
1981-01-13,11.1875
1981-01-14,11.375
1981-01-15,11.59375
1981-01-16,11.6875
1981-01-19,11.75
1981-01-20,11.6875
1981-01-21,11.34375
1981-01-22,11.375
1981-01-23,11.03125
1981-01-26,10.84375
1981-01-27,10.9375
1981-01-28,11.0625
1981-01-29,11.0625
1981-01-30,10.9375
1981-02-02,9.96875
1981-02-03,10.3125
1981-02-04,10.6875
1981-02-05,11.09375
1981-02-06,10.875
1981-02-09,10.34375
1981-02-10,10.625
1981-02-11,10.34375
1981-02-12,10.375
1981-02-13,10.53125
1981-02-17,11.25
1981-02-18,11.5
1981-02-19,11.09375
1981-02-20,10.53125
1981-02-23,10.6875
1981-02-24,10.25
1981-02-25,10.34375
1981-02-26,10.96875
1981-02-27,11.25
1981-03-02,11.6875
1981-03-03,11.5625
1981-03-04,11.375
1981-03-05,11.15625
1981-03-06,11.09375
1981-03-09,11.5
1981-03-10,11.375
1981-03-11,11.28125
1981-03-12,10.96875
1981-03-13,10.5625
1981-03-16,10.6875
1981-03-17,10.96875
1981-03-18,11.0625
1981-03-19,11.25
1981-03-20,11.09375
1981-03-23,11.5625
1981-03-24,11.5
1981-03-25,11.8125
1981-03-26,11.6875
1981-03-27,11.5
1981-03-30,11.28125
1981-03-31,11.78125
1981-04-01,11.8125
1981-04-02,12.0
1981-04-03,12.21875
1981-04-06,12.1875
1981-04-07,12.3125
1981-04-08,12.09375
1981-04-09,12.21875
1981-04-10,12.625
1981-04-13,12.21875
1981-04-14,11.25
1981-04-15,11.65625
1981-04-16,12.09375
1981-04-20,12.375
1981-04-21,12.0
1981-04-22,11.15625
1981-04-23,11.09375
1981-04-24,10.75
1981-04-27,10.5625
1981-04-28,10.375
1981-04-29,10.34375
1981-04-30,10.96875
1981-05-01,11.09375
1981-05-04,11.375
1981-05-05,11.5
1981-05-06,12.09375
1981-05-07,12.09375
1981-05-08,11.78125
1981-05-11,11.40625
1981-05-12,11.25
1981-05-13,11.28125
1981-05-14,11.59375
1981-05-15,11.5
1981-05-18,11.28125
1981-05-19,11.1875
1981-05-20,11.6875
1981-05-21,11.90625
1981-05-22,11.40625
1981-05-26,11.5
1981-05-27,11.6875
1981-05-28,11.5
1981-05-29,10.75
1981-06-01,10.46875
1981-06-02,10.25
1981-06-03,9.65625
1981-06-04,9.75
1981-06-05,10.21875
1981-06-08,10.34375
1981-06-09,10.4375
1981-06-10,10.25
1981-06-11,10.0625
1981-06-12,10.15625
1981-06-15,10.125
1981-06-16,9.625
1981-06-17,10.15625
1981-06-18,10.03125
1981-06-19,10.3125
1981-06-22,10.65625
1981-06-23,10.65625
1981-06-24,10.75
1981-06-25,10.875
1981-06-26,10.96875
1981-06-29,10.96875
1981-06-30,10.78125
1981-07-01,10.875
1981-07-02,10.46875
1981-07-06,10.34375
1981-07-07,10.65625
1981-07-08,10.96875
1981-07-09,11.0625
1981-07-10,10.75
1981-07-13,10.875
1981-07-14,10.84375
1981-07-15,10.65625
1981-07-16,10.875
1981-07-17,10.875
1981-07-20,10.78125
1981-07-21,10.96875
1981-07-22,11.0625
1981-07-23,11.03125
1981-07-24,10.96875
1981-07-27,11.25
1981-07-28,11.09375
1981-07-29,11.1875
1981-07-30,11.375
1981-07-31,11.40625
1981-08-03,11.40625
1981-08-04,11.28125
1981-08-05,11.75
1981-08-06,11.96875
1981-08-07,12.1875
1981-08-10,11.96875
1981-08-11,12.09375
1981-08-12,12.09375
1981-08-13,12.21875
1981-08-14,12.21875
1981-08-17,12.0
1981-08-18,11.6875
1981-08-19,11.375
1981-08-20,11.28125
1981-08-21,10.96875
1981-08-24,10.625
1981-08-25,10.65625
1981-08-26,11.25
1981-08-27,10.875
1981-08-28,10.875
1981-08-31,10.625
1981-09-01,10.53125
1981-09-02,10.46875
1981-09-03,10.21875
1981-09-04,9.96875
1981-09-08,9.65625
1981-09-09,9.59375
1981-09-10,9.9375
1981-09-11,10.15625
1981-09-14,9.9375
1981-09-15,9.5
1981-09-16,9.21875
1981-09-17,9.0
1981-09-18,8.9375
