Date,RUTH
2005-08-09,20.700001
2005-08-10,21.360001
2005-08-11,21.030001000000002
2005-08-12,20.99
2005-08-15,20.67
2005-08-16,20.35
2005-08-17,20.040001
2005-08-18,19.9
2005-08-19,20.059998999999998
2005-08-22,19.969998999999998
2005-08-23,19.780001000000002
2005-08-24,19.25
2005-08-25,20.530001000000002
2005-08-26,20.92
2005-08-29,20.75
2005-08-30,19.889999
2005-08-31,18.799999
2005-09-01,17.77
2005-09-02,17.82
2005-09-06,18.24
2005-09-07,18.66
2005-09-08,18.370001000000002
2005-09-09,18.17
2005-09-12,18.700001
2005-09-13,18.709999
2005-09-14,18.280001000000002
2005-09-15,18.030001000000002
2005-09-16,18.76
2005-09-19,18.440001000000002
2005-09-20,18.25
2005-09-21,17.549999
2005-09-22,17.23
2005-09-23,17.67
2005-09-26,17.57
2005-09-27,17.290001
2005-09-28,17.98
2005-09-29,18.6
2005-09-30,18.379998999999998
2005-10-03,18.889999
2005-10-04,18.35
2005-10-05,18.110001
2005-10-06,18.0
2005-10-07,18.15
2005-10-10,18.24
2005-10-11,18.25
2005-10-12,17.469998999999998
2005-10-13,17.75
2005-10-14,17.91
2005-10-17,17.85
2005-10-18,17.51
2005-10-19,17.559998999999998
2005-10-20,18.190001000000002
2005-10-21,18.33
2005-10-24,18.27
2005-10-25,17.92
2005-10-26,17.66
2005-10-27,17.299999
2005-10-28,17.35
2005-10-31,17.860001
2005-11-01,17.860001
2005-11-02,18.110001
2005-11-03,17.889999
2005-11-04,18.200001
2005-11-07,18.059998999999998
2005-11-08,17.67
2005-11-09,17.4
2005-11-10,17.219998999999998
2005-11-11,17.99
2005-11-14,17.85
2005-11-15,16.370001000000002
2005-11-16,16.52
2005-11-17,16.690001000000002
2005-11-18,16.629998999999998
2005-11-21,17.450001
2005-11-22,17.940001000000002
2005-11-23,18.08
2005-11-25,18.030001000000002
2005-11-28,17.83
2005-11-29,17.85
2005-11-30,17.68
2005-12-01,17.469998999999998
2005-12-02,17.469998999999998
2005-12-05,17.360001
2005-12-06,17.549999
2005-12-07,17.379998999999998
2005-12-08,17.51
2005-12-09,17.84
2005-12-12,18.030001000000002
2005-12-13,18.700001
2005-12-14,19.18
2005-12-15,18.85
2005-12-16,18.6
2005-12-19,18.209999
2005-12-20,18.129998999999998
2005-12-21,18.23
2005-12-22,18.43
2005-12-23,18.34
2005-12-27,18.15
2005-12-28,18.030001000000002
2005-12-29,18.0
2005-12-30,18.09
2006-01-03,17.709999
2006-01-04,18.51
2006-01-05,19.77
2006-01-06,20.1
2006-01-09,19.9
2006-01-10,19.43
2006-01-11,19.290001
2006-01-12,20.25
2006-01-13,20.440001000000002
2006-01-17,20.049999
2006-01-18,20.0
2006-01-19,20.66
2006-01-20,20.459999
2006-01-23,20.0
2006-01-24,20.1
2006-01-25,20.190001000000002
2006-01-26,21.139999
2006-01-27,21.370001000000002
2006-01-30,21.389999
2006-01-31,21.15
2006-02-01,21.58
2006-02-02,21.459999
2006-02-03,22.32
2006-02-06,22.25
2006-02-07,22.57
2006-02-08,22.51
2006-02-09,22.450001
2006-02-10,22.209999
2006-02-13,22.17
2006-02-14,21.9
2006-02-15,21.18
2006-02-16,20.93
2006-02-17,20.799999
2006-02-21,21.35
2006-02-22,22.32
2006-02-23,22.110001
2006-02-24,22.120001000000002
2006-02-27,21.76
2006-02-28,21.52
2006-03-01,21.4
2006-03-02,21.35
2006-03-03,21.17
2006-03-06,21.66
2006-03-07,21.9
2006-03-08,21.959999
2006-03-09,21.629998999999998
2006-03-10,21.76
2006-03-13,21.360001
2006-03-14,21.950001
2006-03-15,22.110001
2006-03-16,21.58
2006-03-17,21.84
2006-03-20,21.860001
2006-03-21,21.780001000000002
2006-03-22,21.969998999999998
2006-03-23,22.049999
2006-03-24,23.0
2006-03-27,23.9
2006-03-28,24.040001
2006-03-29,24.18
2006-03-30,24.0
2006-03-31,23.809998999999998
2006-04-03,23.059998999999998
2006-04-04,23.77
2006-04-05,23.5
2006-04-06,23.07
