Date,OA
2012-06-18,21.854098999999998
2012-06-19,22.5856
2012-06-20,22.4039
2012-06-21,21.9799
2012-06-22,22.4086
2012-06-25,22.087
2012-06-26,21.7609
2012-06-27,22.4645
2012-06-28,22.4505
2012-06-29,23.564199
2012-07-02,23.4011
2012-07-03,23.6714
2012-07-05,23.419701
2012-07-06,22.986401
2012-07-09,23.000401
2012-07-10,22.809299
2012-07-11,22.5763
2012-07-12,22.231501
2012-07-13,22.6509
2012-07-16,21.770201
2012-07-17,21.294901
2012-07-18,21.3974
2012-07-19,21.4347
2012-07-20,21.299601000000003
2012-07-23,21.113198999999998
2012-07-24,20.502701000000002
2012-07-25,20.9827
2012-07-26,20.801001
2012-07-27,21.280898999999998
2012-07-30,21.611798999999998
2012-07-31,21.583799
2012-08-01,21.6304
2012-08-02,21.2763
2012-08-03,21.746901
2012-08-06,22.012501
2012-08-07,22.6369
2012-08-08,22.5903
2012-08-09,24.2026
2012-08-10,23.3731
2012-08-13,23.5828
2012-08-14,23.3918
2012-08-15,23.466299
2012-08-16,24.1094
2012-08-17,24.1373
2012-08-20,24.216499
2012-08-21,24.0348
2012-08-22,23.7878
2012-08-23,23.3964
2012-08-24,23.6154
2012-08-27,23.270599
2012-08-28,23.242701
2012-08-29,23.3778
2012-08-30,22.9771
2012-08-31,22.8279
2012-09-04,22.776699
2012-09-05,23.065599
2012-09-06,23.1075
2012-09-07,23.2799
2012-09-10,22.981701
2012-09-11,22.9398
2012-09-12,23.1168
2012-09-13,23.5875
2012-09-14,23.8391
2012-09-17,23.447701000000002
2012-09-18,23.3778
2012-09-19,23.3964
2012-09-20,23.405701
2012-09-21,23.163401
2012-09-24,22.944401
2012-09-25,22.8978
2012-09-26,23.2054
2012-09-27,23.405701
2012-09-28,23.3498
2012-10-01,24.211901
2012-10-02,24.183901000000002
2012-10-03,24.1
2012-10-04,24.142
2012-10-05,24.486798999999998
2012-10-08,24.2026
2012-10-09,23.8531
2012-10-10,23.969601
2012-10-11,24.183901000000002
2012-10-12,24.2026
2012-10-15,24.8922
2012-10-16,25.726298999999997
2012-10-17,26.2575
2012-10-18,26.611601
2012-10-19,26.7607
2012-10-22,26.3507
2012-10-23,26.378598999999998
2012-10-24,26.3088
2012-10-25,25.973301
2012-10-26,26.406601000000002
2012-10-31,26.695498999999998
2012-11-01,27.394501
2012-11-02,27.2687
2012-11-05,27.436398999999998
2012-11-06,27.9583
2012-11-07,27.156799
2012-11-08,26.5977
2012-11-09,27.925698999999998
2012-11-12,27.585501
2012-11-13,27.319901
2012-11-14,26.933201
2012-11-15,26.8167
2012-11-16,27.2593
2012-11-19,27.655399
2012-11-20,27.655399
2012-11-21,27.678698999999998
2012-11-23,27.7859
2012-11-26,28.0888
2012-11-27,28.0282
2012-11-28,28.1866
2012-11-29,28.4802
2012-11-30,27.9583
2012-12-03,28.2146
2012-12-04,28.624599
2012-12-05,28.6945
2012-12-06,28.908898999999998
2012-12-07,28.894899
2012-12-10,29.081301
2012-12-11,29.039301000000002
2012-12-12,28.9135
2012-12-13,28.815701
2012-12-14,28.6712
2012-12-17,28.862301000000002
2012-12-18,29.2211
2012-12-19,29.2164
2012-12-20,29.5473
2012-12-21,29.561199
2012-12-24,29.598499
2012-12-26,28.876301
2012-12-27,28.9741
2012-12-28,28.4522
2012-12-31,28.871599
2013-01-02,29.701
2013-01-03,30.036501
2013-01-04,30.6376
2013-01-07,30.386
2013-01-08,29.496
2013-01-09,30.278799
2013-01-10,30.558398999999998
2013-01-11,30.4326
2013-01-14,30.283501
2013-01-15,30.414
2013-01-16,29.9107
2013-01-17,30.344101000000002
2013-01-18,30.6143
2013-01-22,30.786699
2013-01-23,31.3552
2013-01-24,31.304001
2013-01-25,30.9172
2013-01-28,30.7355
2013-01-29,30.4606
2013-01-30,30.4932
2013-01-31,30.1577
2013-02-01,30.0086
2013-02-04,29.612499
2013-02-05,30.390698999999998
2013-02-06,30.278799
2013-02-07,30.544399
2013-02-08,30.8846
2013-02-11,30.6842
2013-02-12,30.4512
2013-02-13,30.288099
2013-02-14,30.255501000000002
2013-02-15,30.376699
2013-02-19,30.609699
2013-02-20,30.567698999999998
2013-02-21,30.246201
2013-02-22,30.544399
2013-02-25,30.120399
2013-02-26,30.7075
2013-02-27,31.1036
2013-02-28,30.6609
2013-03-01,30.153
2013-03-04,30.264799
2013-03-05,30.6469
2013-03-06,30.8473
2013-03-07,31.047701
2013-03-08,31.299298999999998
2013-03-11,31.1455
2013-03-12,31.3925
2013-03-13,32.450298
2013-03-14,32.5481
2013-03-15,32.706501
2013-03-18,32.860298
2013-03-19,33.228401
2013-03-20,33.484699
2013-03-21,33.014099
2013-03-22,32.799702
2013-03-25,33.186501
2013-03-26,33.293701
2013-03-27,33.689701
2013-03-28,33.750301
2013-04-01,33.223801
2013-04-02,32.995399
2013-04-03,32.939499
2013-04-04,33.07
2013-04-05,32.962799
2013-04-08,33.358897999999996
2013-04-09,33.6152
2013-04-10,34.0159
2013-04-11,34.5378
2013-04-12,34.407299
2013-04-15,33.759602
2013-04-16,33.689701
2013-04-17,33.000099
2013-04-18,32.492199
2013-04-19,32.958199
2013-04-22,33.228401
2013-04-23,33.689701
2013-04-24,33.820202
2013-04-25,34.1464
2013-04-26,34.0252
2013-04-29,34.356097999999996
2013-04-30,34.649601000000004
2013-05-01,34.645
