Date,ANTM
2001-10-30,20.450001
2001-10-31,20.940001000000002
2001-11-01,21.084999
2001-11-02,21.450001
2001-11-05,21.445
2001-11-06,22.025
2001-11-07,21.625
2001-11-08,21.35
2001-11-09,21.0
2001-11-12,21.424999
2001-11-13,21.375
2001-11-14,22.975
2001-11-15,23.375
2001-11-16,23.4
2001-11-19,23.75
2001-11-20,24.4
2001-11-21,24.504998999999998
2001-11-23,24.59
2001-11-26,24.275
2001-11-27,24.299999
2001-11-28,24.475
2001-11-29,25.004998999999998
2001-11-30,25.424999
2001-12-03,25.65
2001-12-04,25.75
2001-12-05,24.43
2001-12-06,24.245001000000002
2001-12-07,24.299999
2001-12-10,24.125
2001-12-11,24.1
2001-12-12,23.93
2001-12-13,24.049999
2001-12-14,24.0
2001-12-17,24.625
2001-12-18,24.65
2001-12-19,24.0
2001-12-20,23.450001
2001-12-21,22.875
2001-12-24,22.799999
2001-12-26,23.125
2001-12-27,23.450001
2001-12-28,24.25
2001-12-31,24.75
2002-01-02,24.4
2002-01-03,24.225
2002-01-04,23.93
2002-01-07,23.51
2002-01-08,23.700001
2002-01-09,23.799999
2002-01-10,25.049999
2002-01-11,25.75
2002-01-14,25.950001
2002-01-15,25.35
2002-01-16,25.495001000000002
2002-01-17,25.15
2002-01-18,25.49
2002-01-22,25.875
2002-01-23,26.129998999999998
2002-01-24,26.4
2002-01-25,26.940001000000002
2002-01-28,26.875
2002-01-29,26.6
2002-01-30,26.26
2002-01-31,26.6
2002-02-01,26.575001
2002-02-04,26.1
2002-02-05,27.120001000000002
2002-02-06,28.25
2002-02-07,28.799999
2002-02-08,28.85
2002-02-11,28.775
2002-02-12,28.450001
2002-02-13,28.025
2002-02-14,28.205
2002-02-15,28.049999
2002-02-19,27.184998999999998
2002-02-20,27.0
2002-02-21,27.775
2002-02-22,28.174999
2002-02-25,28.525
2002-02-26,29.125
2002-02-27,28.99
2002-02-28,29.049999
2002-03-01,29.025
2002-03-04,27.75
2002-03-05,27.325001
2002-03-06,28.174999
2002-03-07,28.129998999999998
2002-03-08,28.125
2002-03-11,28.299999
2002-03-12,28.245001000000002
2002-03-13,28.275
2002-03-14,28.25
2002-03-15,28.450001
2002-03-18,29.15
2002-03-19,28.200001
2002-03-20,28.200001
2002-03-21,28.65
2002-03-22,28.4
2002-03-25,28.299999
2002-03-26,27.99
2002-03-27,29.0
2002-03-28,28.785
2002-04-01,29.125
2002-04-02,30.0
2002-04-03,29.674999
2002-04-04,30.375
2002-04-05,30.959999
2002-04-08,30.684998999999998
2002-04-09,30.424999
2002-04-10,30.6
2002-04-11,30.42
2002-04-12,30.32
2002-04-15,30.475
2002-04-16,31.105
2002-04-17,32.325001
2002-04-18,34.125
2002-04-19,34.18
2002-04-22,33.674999
2002-04-23,32.974998
2002-04-24,33.875
2002-04-25,35.599998
2002-04-26,35.349998
2002-04-29,33.325001
2002-04-30,34.099998
2002-05-01,35.380001
2002-05-02,35.549999
2002-05-03,35.93
2002-05-06,34.75
2002-05-07,33.794998
2002-05-08,34.25
2002-05-09,34.075001
2002-05-10,34.080002
2002-05-13,33.0
2002-05-14,32.474998
2002-05-15,32.209998999999996
2002-05-16,33.674999
2002-05-17,34.950001
2002-05-20,33.244999
2002-05-21,33.674999
2002-05-22,32.849998
2002-05-23,32.935001
2002-05-24,33.580002
2002-05-28,33.25
2002-05-29,33.900002
2002-05-30,35.375
2002-05-31,35.450001
2002-06-03,35.134997999999996
2002-06-04,34.650002
2002-06-05,36.0
2002-06-06,35.224998
2002-06-07,35.950001
2002-06-10,36.349998
2002-06-11,36.625
2002-06-12,37.299999
2002-06-13,36.200001
2002-06-14,35.695
