Date,HSC
1980-03-17,2.708333
1980-03-18,2.604167
1980-03-19,2.645833
1980-03-20,2.635417
1980-03-21,2.604167
1980-03-24,2.583333
1980-03-25,2.5
1980-03-26,2.53125
1980-03-27,2.479167
1980-03-28,2.520833
1980-03-31,2.520833
1980-04-01,2.541667
1980-04-02,2.635417
1980-04-03,2.645833
1980-04-07,2.65625
1980-04-08,2.666667
1980-04-09,2.666667
1980-04-10,2.666667
1980-04-11,2.666667
1980-04-14,2.666667
1980-04-15,2.666667
1980-04-16,2.645833
1980-04-17,2.604167
1980-04-18,2.604167
1980-04-21,2.541667
1980-04-22,2.572917
1980-04-23,2.583333
1980-04-24,2.583333
1980-04-25,2.59375
1980-04-28,2.604167
1980-04-29,2.604167
1980-04-30,2.5625
1980-05-01,2.572917
1980-05-02,2.5625
1980-05-05,2.552083
1980-05-06,2.552083
1980-05-07,2.552083
1980-05-08,2.541667
1980-05-09,2.552083
1980-05-12,2.5625
1980-05-13,2.5625
1980-05-14,2.552083
1980-05-15,2.65625
1980-05-16,2.65625
1980-05-19,2.59375
1980-05-20,2.583333
1980-05-21,2.572917
1980-05-22,2.583333
1980-05-23,2.59375
1980-05-27,2.625
1980-05-28,2.666667
1980-05-29,2.666667
1980-05-30,2.677083
1980-06-02,2.677083
1980-06-03,2.677083
1980-06-04,2.666667
1980-06-05,2.697917
1980-06-06,2.729167
1980-06-09,2.677083
1980-06-10,2.697917
1980-06-11,2.708333
1980-06-12,2.708333
1980-06-13,2.708333
1980-06-16,2.729167
1980-06-17,2.71875
1980-06-18,2.739583
1980-06-19,2.71875
1980-06-20,2.729167
1980-06-23,2.71875
1980-06-24,2.729167
1980-06-25,2.822917
1980-06-26,2.729167
1980-06-27,2.729167
1980-06-30,2.71875
1980-07-01,2.71875
1980-07-02,2.729167
1980-07-03,2.729167
1980-07-07,2.729167
1980-07-08,2.729167
1980-07-09,2.708333
1980-07-10,2.729167
1980-07-11,2.75
1980-07-14,2.802083
1980-07-15,2.989583
1980-07-16,2.916667
1980-07-17,2.864583
1980-07-18,2.833333
1980-07-21,2.8125
1980-07-22,2.833333
1980-07-23,2.833333
1980-07-24,2.8125
1980-07-25,2.791667
1980-07-28,2.78125
1980-07-29,2.791667
1980-07-30,2.770833
1980-07-31,2.729167
1980-08-01,2.666667
1980-08-04,2.697917
1980-08-05,2.8125
1980-08-06,2.791667
1980-08-07,2.802083
1980-08-08,2.802083
1980-08-11,2.833333
1980-08-12,2.854167
1980-08-13,2.833333
1980-08-14,2.854167
1980-08-15,2.895833
1980-08-18,2.875
1980-08-19,2.864583
1980-08-20,2.864583
1980-08-21,2.875
1980-08-22,2.895833
1980-08-25,2.895833
1980-08-26,2.864583
1980-08-27,2.864583
1980-08-28,2.833333
1980-08-29,2.84375
1980-09-02,2.833333
1980-09-03,2.916667
1980-09-04,2.895833
1980-09-05,2.875
1980-09-08,2.885417
1980-09-09,2.958333
1980-09-10,2.979167
1980-09-11,2.979167
1980-09-12,2.958333
1980-09-15,2.96875
1980-09-16,2.9375
1980-09-17,2.927083
1980-09-18,2.947917
1980-09-19,2.989583
1980-09-22,2.979167
1980-09-23,2.916667
1980-09-24,2.916667
1980-09-25,2.895833
1980-09-26,2.864583
1980-09-29,2.833333
1980-09-30,2.791667
1980-10-01,2.760417
1980-10-02,2.770833
1980-10-03,2.791667
1980-10-06,2.822917
1980-10-07,2.854167
1980-10-08,2.833333
1980-10-09,2.854167
1980-10-10,2.864583
1980-10-13,2.895833
1980-10-14,2.90625
1980-10-15,2.916667
1980-10-16,2.9375
1980-10-17,2.895833
1980-10-20,2.895833
1980-10-21,2.895833
1980-10-22,2.927083
1980-10-23,2.916667
1980-10-24,2.875
1980-10-27,2.885417
1980-10-28,2.895833
1980-10-29,2.895833
1980-10-30,2.916667
1980-10-31,2.90625
1980-11-03,2.875
1980-11-05,2.895833
1980-11-06,2.90625
1980-11-07,2.895833
1980-11-10,2.916667
1980-11-11,2.895833
1980-11-12,2.916667
1980-11-13,2.90625
1980-11-14,2.895833
1980-11-17,2.90625
1980-11-18,2.916667
1980-11-19,2.9375
1980-11-20,2.927083
1980-11-21,2.927083
1980-11-24,2.916667
1980-11-25,2.895833
1980-11-26,2.885417
1980-11-28,2.895833
1980-12-01,2.895833
1980-12-02,2.895833
1980-12-03,2.895833
1980-12-04,2.916667
1980-12-05,2.875
1980-12-08,2.864583
1980-12-09,2.854167
1980-12-10,2.864583
1980-12-11,2.84375
1980-12-12,2.864583
1980-12-15,2.864583
1980-12-16,2.895833
1980-12-17,2.885417
1980-12-18,2.875
1980-12-19,2.895833
1980-12-22,2.854167
1980-12-23,2.833333
1980-12-24,2.822917
1980-12-26,2.822917
1980-12-29,2.802083
1980-12-30,2.822917
1980-12-31,2.802083
1981-01-02,2.78125
1981-01-05,2.802083
1981-01-06,2.822917
1981-01-07,2.822917
1981-01-08,2.916667
1981-01-09,2.875
1981-01-12,2.864583
1981-01-13,2.864583
1981-01-14,2.875
1981-01-15,2.875
1981-01-16,2.885417
1981-01-19,2.875
1981-01-20,2.895833
1981-01-21,2.916667
1981-01-22,3.104167
1981-01-23,3.291667
1981-01-26,3.229167
1981-01-27,3.364583
1981-01-28,3.322917
