Date,P
2013-07-29,18.35
2013-07-30,18.379998999999998
2013-07-31,18.34
2013-08-01,18.76
2013-08-02,19.120001000000002
2013-08-05,19.440001000000002
2013-08-06,19.030001000000002
2013-08-07,18.639999
2013-08-08,19.209999
2013-08-09,19.700001
2013-08-12,20.209999
2013-08-13,20.85
2013-08-14,20.57
2013-08-15,19.85
2013-08-16,20.34
2013-08-19,21.17
2013-08-20,21.33
2013-08-21,21.49
2013-08-22,21.709999
2013-08-23,18.91
2013-08-26,18.91
2013-08-27,18.16
2013-08-28,18.389999
2013-08-29,18.620001000000002
2013-08-30,18.42
2013-09-03,18.82
2013-09-04,18.209999
2013-09-05,18.98
2013-09-06,19.51
2013-09-09,20.139999
2013-09-10,20.35
2013-09-11,21.379998999999998
2013-09-12,23.969998999999998
2013-09-13,23.99
2013-09-16,23.99
2013-09-17,25.190001000000002
2013-09-18,25.639999
2013-09-19,27.35
2013-09-20,26.99
2013-09-23,24.26
2013-09-24,24.469998999999998
2013-09-25,25.450001
2013-09-26,25.389999
2013-09-27,25.52
2013-09-30,25.129998999999998
2013-10-01,25.530001000000002
2013-10-02,26.889999
2013-10-03,26.440001000000002
2013-10-04,27.51
2013-10-07,26.299999
2013-10-08,24.26
2013-10-09,23.780001000000002
2013-10-10,24.700001
2013-10-11,24.9
2013-10-14,25.0
2013-10-15,25.18
2013-10-16,26.700001
2013-10-17,27.1
2013-10-18,28.17
2013-10-21,27.25
2013-10-22,27.469998999999998
2013-10-23,26.59
2013-10-24,26.68
2013-10-25,26.959999
2013-10-28,26.549999
2013-10-29,26.67
2013-10-30,25.59
2013-10-31,25.129998999999998
2013-11-01,25.99
2013-11-04,25.67
2013-11-05,27.879998999999998
2013-11-06,27.370001000000002
2013-11-07,26.280001000000002
2013-11-08,26.74
2013-11-11,27.15
2013-11-12,28.24
2013-11-13,29.25
2013-11-14,29.469998999999998
2013-11-15,31.559998999999998
2013-11-18,29.709999
2013-11-19,28.74
2013-11-20,28.440001000000002
2013-11-21,29.68
2013-11-22,29.23
2013-11-25,27.959999
2013-11-26,28.790001
2013-11-27,28.540001
2013-11-29,28.4
2013-12-02,28.25
2013-12-03,28.27
2013-12-04,29.41
2013-12-05,29.360001
2013-12-06,28.52
2013-12-09,28.219998999999998
2013-12-10,29.25
2013-12-11,27.17
2013-12-12,26.82
2013-12-13,27.26
2013-12-16,26.84
2013-12-17,26.719998999999998
2013-12-18,27.01
2013-12-19,28.200001
2013-12-20,28.0
2013-12-23,29.58
2013-12-24,28.77
2013-12-26,28.700001
2013-12-27,27.66
2013-12-30,26.59
2013-12-31,26.6
2014-01-02,26.76
2014-01-03,27.59
2014-01-06,31.49
2014-01-07,32.439999
2014-01-08,32.700001
2014-01-09,32.779999
2014-01-10,33.470001
2014-01-13,32.529999
2014-01-14,34.130001
2014-01-15,35.049999
2014-01-16,35.740002000000004
2014-01-17,35.119999
2014-01-21,35.009997999999996
2014-01-22,34.619999
2014-01-23,34.639998999999996
2014-01-24,33.549999
2014-01-27,33.119999
2014-01-28,33.939999
2014-01-29,32.919998
2014-01-30,36.529999
2014-01-31,36.07
2014-02-03,34.98
2014-02-04,35.799999
2014-02-05,35.830002
2014-02-06,32.23
2014-02-07,34.34
2014-02-10,34.75
2014-02-11,35.470001
2014-02-12,35.639998999999996
2014-02-13,36.16
2014-02-14,36.139998999999996
2014-02-18,37.970001
2014-02-19,37.09
2014-02-20,37.5
2014-02-21,37.18
2014-02-24,37.259997999999996
2014-02-25,37.84
2014-02-26,38.869999
2014-02-27,38.490002000000004
2014-02-28,37.419998
2014-03-03,37.880001
2014-03-04,39.169998
2014-03-05,39.43
2014-03-06,37.23
2014-03-07,37.150002
2014-03-10,35.900002
2014-03-11,34.209998999999996
2014-03-12,35.540001000000004
2014-03-13,34.720001
2014-03-14,35.439999
2014-03-17,35.110001000000004
2014-03-18,34.98
2014-03-19,34.91
2014-03-20,33.720001
2014-03-21,34.009997999999996
2014-03-24,31.389999
2014-03-25,31.27
2014-03-26,29.690001000000002
2014-03-27,29.790001
2014-03-28,29.549999
2014-03-31,30.32
2014-04-01,31.74
2014-04-02,31.440001000000002
2014-04-03,29.85
2014-04-04,28.4
2014-04-07,26.99
2014-04-08,28.26
2014-04-09,29.77
2014-04-10,26.66
2014-04-11,25.309998999999998
2014-04-14,25.27
2014-04-15,26.190001000000002
2014-04-16,27.34
2014-04-17,27.02
2014-04-21,28.360001
2014-04-22,29.389999
2014-04-23,28.17
2014-04-24,28.200001
2014-04-25,23.51
2014-04-28,22.84
2014-04-29,23.92
2014-04-30,23.42
2014-05-01,24.709999
2014-05-02,24.309998999999998
2014-05-05,24.73
2014-05-06,22.52
2014-05-07,22.17
2014-05-08,22.200001
2014-05-09,22.620001000000002
2014-05-12,23.98
2014-05-13,23.77
2014-05-14,23.620001000000002
2014-05-15,23.629998999999998
2014-05-16,23.43
2014-05-19,24.66
2014-05-20,25.030001000000002
2014-05-21,24.73
2014-05-22,25.049999
2014-05-23,25.540001
2014-05-27,25.629998999999998
2014-05-28,25.290001
2014-05-29,25.42
2014-05-30,24.530001000000002
2014-06-02,24.370001000000002
2014-06-03,24.610001
2014-06-04,24.52
2014-06-05,25.209999
2014-06-06,25.58
2014-06-09,25.610001
2014-06-10,25.34
2014-06-11,26.59
2014-06-12,26.5
2014-06-13,27.040001
2014-06-16,27.15
2014-06-17,27.23
2014-06-18,27.530001000000002
2014-06-19,27.68
2014-06-20,27.25
2014-06-23,28.200001
2014-06-24,28.27
2014-06-25,28.9
2014-06-26,28.940001000000002
2014-06-27,29.299999
2014-06-30,29.5
2014-07-01,29.6
2014-07-02,29.82
2014-07-03,29.549999
2014-07-07,27.83
2014-07-08,25.790001
2014-07-09,25.84
2014-07-10,26.16
2014-07-11,26.209999
2014-07-14,26.91
2014-07-15,26.6
2014-07-16,26.129998999999998
2014-07-17,25.450001
2014-07-18,26.32
2014-07-21,26.84
2014-07-22,27.32
2014-07-23,27.549999
2014-07-24,28.719998999999998
2014-07-25,25.75
2014-07-28,25.09
2014-07-29,25.68
2014-07-30,25.98
2014-07-31,25.120001000000002
2014-08-01,24.540001
2014-08-04,25.299999
2014-08-05,24.889999
2014-08-06,25.290001
2014-08-07,25.33
2014-08-08,25.309998999999998
2014-08-11,26.379998999999998
2014-08-12,25.700001
2014-08-13,28.35
2014-08-14,28.07
2014-08-15,28.17
2014-08-18,27.969998999999998
2014-08-19,27.82
2014-08-20,27.35
2014-08-21,27.309998999999998
2014-08-22,27.4
2014-08-25,27.379998999999998
2014-08-26,27.32
2014-08-27,26.99
2014-08-28,26.68
2014-08-29,27.040001
2014-09-02,27.620001000000002
2014-09-03,27.43
2014-09-04,25.889999
2014-09-05,26.15
2014-09-08,26.41
2014-09-09,25.809998999999998
2014-09-10,26.1
2014-09-11,26.940001000000002
2014-09-12,27.02
2014-09-15,25.92
2014-09-16,27.57
2014-09-17,27.08
2014-09-18,26.67
2014-09-19,26.76
2014-09-22,25.43
2014-09-23,25.049999
2014-09-24,25.459999
2014-09-25,24.52
2014-09-26,24.59
2014-09-29,24.52
2014-09-30,24.16
2014-10-01,23.23
2014-10-02,24.18
2014-10-03,24.700001
2014-10-06,24.379998999999998
2014-10-07,23.690001000000002
2014-10-08,23.870001000000002
2014-10-09,22.719998999999998
2014-10-10,20.92
2014-10-13,20.4
2014-10-14,20.790001
2014-10-15,21.85
2014-10-16,22.0
2014-10-17,22.549999
2014-10-20,22.209999
2014-10-21,22.950001
2014-10-22,22.709999
2014-10-23,23.120001000000002
2014-10-24,20.0
2014-10-27,19.309998999999998
2014-10-28,19.74
2014-10-29,19.23
2014-10-30,18.74
2014-10-31,19.280001000000002
2014-11-03,19.43
2014-11-04,18.85
2014-11-05,18.18
2014-11-06,17.780001000000002
2014-11-07,18.51
2014-11-10,18.5
2014-11-11,18.59
2014-11-12,18.790001
2014-11-13,18.450001
2014-11-14,21.51
2014-11-17,20.16
2014-11-18,20.27
2014-11-19,19.98
2014-11-20,19.4
2014-11-21,19.4
2014-11-24,19.74
2014-11-25,19.309998999999998
2014-11-26,19.68
2014-11-28,19.66
2014-12-01,18.98
2014-12-02,19.379998999999998
2014-12-03,19.15
2014-12-04,18.469998999999998
2014-12-05,18.26
2014-12-08,17.889999
2014-12-09,18.33
2014-12-10,17.65
2014-12-11,17.469998999999998
2014-12-12,17.35
2014-12-15,17.190001000000002
2014-12-16,16.9
2014-12-17,17.5
2014-12-18,17.870001000000002
2014-12-19,18.030001000000002
2014-12-22,18.309998999999998
2014-12-23,18.33
2014-12-24,18.02
2014-12-26,18.190001000000002
2014-12-29,17.91
2014-12-30,17.65
2014-12-31,17.83
2015-01-02,17.73
2015-01-05,17.08
2015-01-06,16.48
2015-01-07,16.6
2015-01-08,16.450001
2015-01-09,16.309998999999998
2015-01-12,16.959999
2015-01-13,16.98
2015-01-14,16.0
2015-01-15,15.34
2015-01-16,15.91
2015-01-20,15.67
2015-01-21,15.68
2015-01-22,15.92
2015-01-23,17.57
2015-01-26,17.719998999999998
2015-01-27,17.709999
2015-01-28,16.76
2015-01-29,16.870001000000002
2015-01-30,16.6
2015-02-02,16.950001
2015-02-03,17.4
2015-02-04,18.52
2015-02-05,18.41
2015-02-06,15.24
2015-02-09,14.82
2015-02-10,14.83
2015-02-11,14.93
2015-02-12,14.99
2015-02-13,15.44
2015-02-17,15.01
2015-02-18,14.84
2015-02-19,14.84
2015-02-20,14.91
2015-02-23,14.9
2015-02-24,15.47
2015-02-25,15.43
2015-02-26,15.18
2015-02-27,14.8
2015-03-02,15.1
2015-03-03,15.43
2015-03-04,15.44
2015-03-05,15.41
2015-03-06,15.11
2015-03-09,14.77
2015-03-10,14.63
2015-03-11,14.77
2015-03-12,15.33
2015-03-13,16.440001000000002
2015-03-16,15.57
2015-03-17,15.73
2015-03-18,16.389999
2015-03-19,16.23
2015-03-20,16.34
2015-03-23,16.49
2015-03-24,16.200001
2015-03-25,15.85
2015-03-26,15.82
2015-03-27,16.32
2015-03-30,16.389999
2015-03-31,16.209999
2015-04-01,15.96
2015-04-02,16.219998999999998
2015-04-06,16.26
2015-04-07,16.450001
2015-04-08,17.24
2015-04-09,16.83
2015-04-10,16.99
2015-04-13,17.110001
2015-04-14,17.129998999999998
2015-04-15,17.35
2015-04-16,17.92
2015-04-17,17.49
2015-04-20,17.34
2015-04-21,17.23
2015-04-22,17.51
2015-04-23,17.709999
2015-04-24,18.370001000000002
2015-04-27,18.32
2015-04-28,18.32
2015-04-29,18.57
2015-04-30,17.84
2015-05-01,17.559998999999998
2015-05-04,18.120001000000002
2015-05-05,17.879998999999998
2015-05-06,17.99
2015-05-07,18.49
2015-05-08,18.209999
2015-05-11,18.17
2015-05-12,18.459999
2015-05-13,18.889999
2015-05-14,18.809998999999998
2015-05-15,18.309998999999998
2015-05-18,18.309998999999998
2015-05-19,18.139999
2015-05-20,17.879998999999998
2015-05-21,18.48
2015-05-22,18.33
2015-05-26,18.35
2015-05-27,18.790001
2015-05-28,19.02
2015-05-29,18.67
2015-06-01,18.42
2015-06-02,18.35
2015-06-03,18.58
2015-06-04,18.08
2015-06-05,18.389999
2015-06-08,17.690001000000002
2015-06-09,17.15
2015-06-10,17.299999
2015-06-11,17.15
2015-06-12,17.209999
2015-06-15,16.860001
2015-06-16,16.559998999999998
2015-06-17,16.65
2015-06-18,16.889999
2015-06-19,16.93
2015-06-22,16.75
2015-06-23,16.6
2015-06-24,16.34
2015-06-25,16.360001
2015-06-26,15.99
2015-06-29,15.54
2015-06-30,15.54
2015-07-01,15.34
2015-07-02,15.17
2015-07-06,15.06
2015-07-07,14.96
2015-07-08,14.68
2015-07-09,15.11
2015-07-10,15.05
2015-07-13,15.28
2015-07-14,15.25
2015-07-15,14.0
2015-07-16,14.15
2015-07-17,13.96
2015-07-20,13.81
2015-07-21,14.04
2015-07-22,13.87
2015-07-23,13.88
2015-07-24,15.96
2015-07-27,15.97
2015-07-28,16.83
2015-07-29,17.01
2015-07-30,16.91
2015-07-31,17.52
2015-08-03,17.200001
2015-08-04,17.780001000000002
2015-08-05,17.809998999999998
2015-08-06,17.690001000000002
2015-08-07,17.950001
2015-08-10,18.75
2015-08-11,18.52
2015-08-12,19.379998999999998
2015-08-13,18.57
2015-08-14,18.639999
2015-08-17,19.190001000000002
2015-08-18,18.889999
2015-08-19,18.93
2015-08-20,18.1
2015-08-21,17.85
2015-08-24,17.129998999999998
2015-08-25,17.09
2015-08-26,17.639999
2015-08-27,17.49
2015-08-28,18.1
2015-08-31,17.940001000000002
2015-09-01,17.459999
2015-09-02,17.299999
2015-09-03,18.129998999999998
2015-09-04,17.99
2015-09-08,18.610001
2015-09-09,18.459999
2015-09-10,18.51
2015-09-11,18.59
2015-09-14,18.57
2015-09-15,18.74
2015-09-16,19.17
2015-09-17,19.440001000000002
2015-09-18,19.700001
2015-09-21,20.83
2015-09-22,20.93
2015-09-23,20.75
2015-09-24,20.860001
2015-09-25,20.860001
2015-09-28,20.41
2015-09-29,20.99
2015-09-30,21.34
2015-10-01,20.719998999999998
2015-10-02,21.530001000000002
2015-10-05,21.799999
2015-10-06,21.98
2015-10-07,20.98
2015-10-08,19.530001000000002
2015-10-09,20.9
2015-10-12,20.209999
2015-10-13,20.33
2015-10-14,19.9
2015-10-15,19.530001000000002
2015-10-16,19.91
2015-10-19,20.110001
2015-10-20,19.33
2015-10-21,19.26
2015-10-22,19.190001000000002
2015-10-23,12.39
2015-10-26,13.03
2015-10-27,12.21
2015-10-28,12.47
2015-10-29,11.97
2015-10-30,11.51
2015-11-02,12.18
2015-11-03,12.19
2015-11-04,11.78
2015-11-05,12.45
2015-11-06,12.7
2015-11-09,12.51
2015-11-10,13.03
2015-11-11,13.46
2015-11-12,13.4
2015-11-13,13.44
2015-11-16,13.42
2015-11-17,12.46
2015-11-18,12.65
2015-11-19,12.81
2015-11-20,12.99
2015-11-23,12.93
2015-11-24,13.22
2015-11-25,13.82
2015-11-27,13.73
2015-11-30,13.8
2015-12-01,14.32
2015-12-02,14.27
2015-12-03,12.63
2015-12-04,12.25
2015-12-07,12.26
2015-12-08,12.5
2015-12-09,13.03
2015-12-10,13.05
2015-12-11,12.61
2015-12-14,12.45
2015-12-15,13.06
2015-12-16,13.44
2015-12-17,15.26
2015-12-18,14.12
2015-12-21,14.21
2015-12-22,14.19
2015-12-23,14.2
2015-12-24,13.92
2015-12-28,13.54
2015-12-29,13.71
2015-12-30,13.36
2015-12-31,13.41
2016-01-04,12.25
2016-01-05,11.56
2016-01-06,11.21
2016-01-07,10.93
2016-01-08,10.74
2016-01-11,10.8
2016-01-12,10.26
2016-01-13,10.0
2016-01-14,9.9
2016-01-15,9.45
2016-01-19,9.45
2016-01-20,9.46
2016-01-21,9.47
2016-01-22,9.73
2016-01-25,9.6
2016-01-26,9.65
2016-01-27,9.55
2016-01-28,9.58
2016-01-29,9.72
2016-02-01,9.69
2016-02-02,9.4
2016-02-03,9.1
2016-02-04,9.53
2016-02-05,8.57
2016-02-08,7.88
2016-02-09,7.97
2016-02-10,8.4
2016-02-11,9.09
2016-02-12,8.0
2016-02-16,7.91
2016-02-17,8.82
2016-02-18,8.75
2016-02-19,9.11
2016-02-22,9.77
2016-02-23,9.48
2016-02-24,10.14
2016-02-25,10.36
2016-02-26,10.17
2016-02-29,10.22
2016-03-01,10.26
2016-03-02,10.62
2016-03-03,10.88
2016-03-04,10.85
2016-03-07,11.14
2016-03-08,10.42
2016-03-09,10.19
2016-03-10,9.68
2016-03-11,9.98
2016-03-14,10.3
2016-03-15,9.83
2016-03-16,9.85
2016-03-17,10.36
2016-03-18,10.14
2016-03-21,10.31
2016-03-22,10.18
2016-03-23,9.88
2016-03-24,10.93
2016-03-28,9.6
2016-03-29,9.64
2016-03-30,9.5
2016-03-31,8.95
2016-04-01,8.98
2016-04-04,9.22
2016-04-05,8.98
2016-04-06,8.85
2016-04-07,8.53
2016-04-08,8.25
2016-04-11,8.17
2016-04-12,8.63
2016-04-13,8.92
2016-04-14,8.96
2016-04-15,8.62
2016-04-18,8.8
2016-04-19,8.8
2016-04-20,8.97
2016-04-21,9.18
2016-04-22,9.33
2016-04-25,9.37
2016-04-26,9.38
2016-04-27,9.45
2016-04-28,9.44
2016-04-29,9.93
2016-05-02,9.01
2016-05-03,8.68
2016-05-04,8.68
2016-05-05,9.34
2016-05-06,9.67
2016-05-09,9.73
2016-05-10,9.92
2016-05-11,9.99
2016-05-12,10.09
2016-05-13,10.1
2016-05-16,9.98
2016-05-17,10.59
2016-05-18,10.59
2016-05-19,10.56
2016-05-20,10.77
2016-05-23,10.83
2016-05-24,10.89
2016-05-25,11.01
2016-05-26,11.24
2016-05-27,11.42
2016-05-31,11.79
2016-06-01,12.04
2016-06-02,12.16
2016-06-03,12.52
2016-06-06,12.17
2016-06-07,12.08
2016-06-08,11.81
2016-06-09,11.95
2016-06-10,11.6
2016-06-13,11.23
2016-06-14,11.07
2016-06-15,11.24
2016-06-16,11.55
2016-06-17,11.56
2016-06-20,11.82
2016-06-21,11.77
2016-06-22,11.76
2016-06-23,12.2
2016-06-24,11.74
2016-06-27,11.49
2016-06-28,12.06
2016-06-29,12.52
2016-06-30,12.45
2016-07-01,12.46
2016-07-05,12.7
2016-07-06,12.63
2016-07-07,12.63
2016-07-08,13.28
2016-07-11,13.04
2016-07-12,13.07
2016-07-13,13.21
2016-07-14,13.04
2016-07-15,12.98
2016-07-18,12.81
2016-07-19,12.5
2016-07-20,12.35
2016-07-21,12.0
2016-07-22,12.28
2016-07-25,13.0
2016-07-26,13.17
2016-07-27,13.12
2016-07-28,13.18
2016-07-29,13.6
2016-08-01,13.5
2016-08-02,13.13
2016-08-03,13.69
2016-08-04,13.82
2016-08-05,13.6
2016-08-08,13.55
2016-08-09,13.37
2016-08-10,13.37
2016-08-11,13.31
2016-08-12,13.2
2016-08-15,13.23
2016-08-16,13.11
2016-08-17,13.02
2016-08-18,12.93
2016-08-19,13.35
2016-08-22,13.68
2016-08-23,14.13
2016-08-24,13.91
2016-08-25,14.22
2016-08-26,14.12
2016-08-29,14.44
2016-08-30,14.27
2016-08-31,14.0
2016-09-01,14.38
2016-09-02,14.43
2016-09-06,14.52
2016-09-07,14.63
2016-09-08,14.28
2016-09-09,13.62
2016-09-12,14.29
2016-09-13,14.1
2016-09-14,13.31
2016-09-15,13.31
2016-09-16,13.45
2016-09-19,13.49
2016-09-20,13.65
2016-09-21,13.68
2016-09-22,14.01
2016-09-23,14.09
2016-09-26,13.99
2016-09-27,14.14
2016-09-28,14.41
2016-09-29,14.14
2016-09-30,14.33
2016-10-03,14.16
2016-10-04,14.67
2016-10-05,14.77
2016-10-06,14.42
2016-10-07,14.32
2016-10-10,14.09
2016-10-11,13.72
2016-10-12,13.33
2016-10-13,13.17
2016-10-14,12.83
2016-10-17,12.38
2016-10-18,12.5
2016-10-19,12.81
2016-10-20,12.82
2016-10-21,12.64
2016-10-24,12.8
2016-10-25,12.18
2016-10-26,11.77
2016-10-27,11.34
2016-10-28,11.47
2016-10-31,11.33
2016-11-01,11.17
2016-11-02,10.59
2016-11-03,10.44
2016-11-04,10.67
2016-11-07,10.58
2016-11-08,10.51
2016-11-09,10.43
2016-11-10,10.42
2016-11-11,10.96
2016-11-14,10.66
2016-11-15,10.89
2016-11-16,10.99
2016-11-17,11.06
2016-11-18,11.34
2016-11-21,11.14
2016-11-22,10.96
2016-11-23,10.98
2016-11-25,11.06
2016-11-28,11.36
2016-11-29,11.22
2016-11-30,11.62
2016-12-01,11.48
2016-12-02,13.33
2016-12-05,13.37
2016-12-06,13.78
2016-12-07,13.85
2016-12-08,13.84
2016-12-09,13.81
2016-12-12,13.48
2016-12-13,13.49
2016-12-14,13.33
2016-12-15,13.03
2016-12-16,13.15
2016-12-19,13.15
2016-12-20,13.41
2016-12-21,13.28
2016-12-22,13.12
2016-12-23,13.19
2016-12-27,13.25
2016-12-28,13.08
2016-12-29,13.03
2016-12-30,13.04
2017-01-03,12.72
2017-01-04,13.01
2017-01-05,13.01
2017-01-06,12.47
2017-01-09,12.12
2017-01-10,12.02
2017-01-11,11.89
2017-01-12,12.0
2017-01-13,12.76
2017-01-17,12.75
2017-01-18,13.0
2017-01-19,13.19
2017-01-20,13.25
2017-01-23,13.47
2017-01-24,13.21
2017-01-25,13.38
2017-01-26,13.38
2017-01-27,13.17
2017-01-30,13.04
2017-01-31,13.0
2017-02-01,13.0
2017-02-02,13.0
2017-02-03,13.16
2017-02-06,13.05
2017-02-07,13.01
2017-02-08,12.93
2017-02-09,12.62
2017-02-10,12.85
2017-02-13,13.09
2017-02-14,13.52
2017-02-15,13.45
2017-02-16,12.94
2017-02-17,13.58
2017-02-21,13.14
2017-02-22,12.95
2017-02-23,13.32
2017-02-24,13.29
2017-02-27,13.17
2017-02-28,12.38
2017-03-01,12.54
2017-03-02,12.43
2017-03-03,12.75
2017-03-06,12.47
2017-03-07,11.66
2017-03-08,11.73
2017-03-09,11.93
2017-03-10,12.13
2017-03-13,12.38
2017-03-14,11.59
2017-03-15,11.6
2017-03-16,11.6
2017-03-17,11.48
2017-03-20,11.72
2017-03-21,11.51
2017-03-22,11.59
2017-03-23,11.52
2017-03-24,11.85
2017-03-27,11.65
2017-03-28,11.69
2017-03-29,11.91
2017-03-30,11.72
2017-03-31,11.81
2017-04-03,11.75
2017-04-04,11.89
2017-04-05,11.82
2017-04-06,11.98
2017-04-07,11.44
2017-04-10,10.95
2017-04-11,11.14
2017-04-12,11.02
2017-04-13,10.71
2017-04-17,10.73
2017-04-18,10.56
2017-04-19,10.78
