Date,P
2012-06-18,11.47
2012-06-19,11.45
2012-06-20,11.79
2012-06-21,10.84
2012-06-22,10.86
2012-06-25,10.49
2012-06-26,10.36
2012-06-27,10.27
2012-06-28,10.13
2012-06-29,10.87
2012-07-02,10.7
2012-07-03,10.64
2012-07-05,10.86
2012-07-06,10.73
2012-07-09,10.27
2012-07-10,9.93
2012-07-11,9.95
2012-07-12,10.37
2012-07-13,10.49
2012-07-16,10.55
2012-07-17,10.52
2012-07-18,10.72
2012-07-19,10.31
2012-07-20,10.56
2012-07-23,9.85
2012-07-24,9.59
2012-07-25,9.44
2012-07-26,9.36
2012-07-27,10.03
2012-07-30,9.59
2012-07-31,9.87
2012-08-01,9.48
2012-08-02,9.12
2012-08-03,9.55
2012-08-06,9.79
2012-08-07,10.12
2012-08-08,10.33
2012-08-09,10.08
2012-08-10,10.11
2012-08-13,9.64
2012-08-14,9.29
2012-08-15,9.3
2012-08-16,9.71
2012-08-17,9.38
2012-08-20,9.34
2012-08-21,9.64
2012-08-22,9.94
2012-08-23,9.85
2012-08-24,9.97
2012-08-27,10.05
2012-08-28,10.18
2012-08-29,10.08
2012-08-30,11.52
2012-08-31,11.99
2012-09-04,12.27
2012-09-05,12.27
2012-09-06,12.57
2012-09-07,10.47
2012-09-10,9.83
2012-09-11,9.91
2012-09-12,9.97
2012-09-13,10.58
2012-09-14,11.35
2012-09-17,10.72
2012-09-18,10.2
2012-09-19,10.58
2012-09-20,10.58
2012-09-21,10.5
2012-09-24,10.89
2012-09-25,10.38
2012-09-26,10.41
2012-09-27,10.96
2012-09-28,10.95
2012-10-01,10.46
2012-10-02,10.33
2012-10-03,10.53
2012-10-04,10.6
2012-10-05,10.29
2012-10-08,10.19
2012-10-09,9.83
2012-10-10,9.49
2012-10-11,9.5
2012-10-12,9.4
2012-10-15,9.11
2012-10-16,8.75
2012-10-17,9.35
2012-10-18,9.37
2012-10-19,9.1
2012-10-22,9.1
2012-10-23,9.86
2012-10-24,9.29
2012-10-25,8.2
2012-10-26,8.16
2012-10-31,8.42
2012-11-01,8.39
2012-11-02,8.25
2012-11-05,8.37
2012-11-06,8.4
2012-11-07,8.24
2012-11-08,7.81
2012-11-09,7.69
2012-11-12,7.84
2012-11-13,7.66
2012-11-14,7.31
2012-11-15,7.36
2012-11-16,7.18
2012-11-19,7.51
2012-11-20,7.57
2012-11-21,7.8
2012-11-23,7.84
2012-11-26,8.58
2012-11-27,8.44
2012-11-28,8.18
2012-11-29,8.79
2012-11-30,8.72
2012-12-03,8.96
2012-12-04,9.45
2012-12-05,7.8
2012-12-06,7.87
2012-12-07,7.97
2012-12-10,7.99
2012-12-11,7.95
2012-12-12,8.3
2012-12-13,8.59
2012-12-14,8.55
2012-12-17,8.78
2012-12-18,9.18
2012-12-19,9.46
2012-12-20,8.93
2012-12-21,8.97
2012-12-24,8.98
2012-12-26,9.0
2012-12-27,8.9
2012-12-28,9.01
2012-12-31,9.18
2013-01-02,9.49
2013-01-03,10.0
2013-01-04,10.45
2013-01-07,10.5
2013-01-08,10.14
2013-01-09,10.63
2013-01-10,10.86
2013-01-11,11.02
2013-01-14,11.07
2013-01-15,10.8
2013-01-16,10.85
2013-01-17,10.85
2013-01-18,10.56
2013-01-22,10.81
2013-01-23,10.95
2013-01-24,11.08
2013-01-25,11.54
2013-01-28,11.59
2013-01-29,11.36
2013-01-30,11.46
2013-01-31,11.52
2013-02-01,11.45
2013-02-04,11.42
2013-02-05,11.36
2013-02-06,11.8
2013-02-07,11.51
2013-02-08,11.64
2013-02-11,11.85
2013-02-12,12.22
2013-02-13,12.09
2013-02-14,12.66
2013-02-15,12.98
2013-02-19,13.2
2013-02-20,12.12
2013-02-21,11.76
2013-02-22,12.11
2013-02-25,11.81
2013-02-26,12.23
2013-02-27,12.74
2013-02-28,12.2
2013-03-01,12.3
2013-03-04,12.0
2013-03-05,11.81
2013-03-06,11.67
2013-03-07,11.73
2013-03-08,13.79
2013-03-11,13.74
2013-03-12,13.82
2013-03-13,14.27
2013-03-14,14.1
2013-03-15,14.1
2013-03-18,13.82
2013-03-19,13.72
2013-03-20,13.68
2013-03-21,13.29
2013-03-22,13.35
2013-03-25,13.64
2013-03-26,13.85
2013-03-27,14.02
2013-03-28,14.16
2013-04-01,13.67
2013-04-02,13.64
2013-04-03,13.44
2013-04-04,13.87
2013-04-05,12.82
2013-04-08,12.88
2013-04-09,12.91
2013-04-10,13.44
2013-04-11,13.87
2013-04-12,13.48
2013-04-15,13.15
2013-04-16,13.46
2013-04-17,13.25
2013-04-18,12.85
2013-04-19,13.2
2013-04-22,13.12
2013-04-23,13.67
2013-04-24,13.99
2013-04-25,13.88
2013-04-26,14.02
2013-04-29,13.82
2013-04-30,13.93
2013-05-01,14.25
2013-05-02,14.54
2013-05-03,14.66
2013-05-06,14.68
2013-05-07,13.94
2013-05-08,14.36
2013-05-09,15.08
2013-05-10,15.58
2013-05-13,15.68
2013-05-14,16.75
2013-05-15,16.57
2013-05-16,16.48
2013-05-17,16.059998999999998
2013-05-20,16.379998999999998
2013-05-21,16.200001
2013-05-22,16.48
2013-05-23,17.16
2013-05-24,16.43
2013-05-28,16.91
2013-05-29,16.969998999999998
2013-05-30,17.440001000000002
2013-05-31,17.02
2013-06-03,15.22
2013-06-04,14.39
2013-06-05,14.2
2013-06-06,14.31
2013-06-07,15.12
2013-06-10,15.49
2013-06-11,15.35
2013-06-12,15.1
2013-06-13,15.23
2013-06-14,15.4
2013-06-17,15.08
2013-06-18,15.55
2013-06-19,15.66
2013-06-20,14.93
2013-06-21,14.99
2013-06-24,15.13
2013-06-25,16.41
2013-06-26,17.73
2013-06-27,18.16
2013-06-28,18.4
2013-07-01,18.950001
2013-07-02,19.540001
2013-07-03,19.43
2013-07-05,19.940001000000002
2013-07-08,20.52
2013-07-09,19.65
2013-07-10,17.969998999999998
2013-07-11,18.219998999999998
2013-07-12,18.83
2013-07-15,19.120001000000002
2013-07-16,18.73
2013-07-17,18.5
2013-07-18,18.110001
2013-07-19,18.299999
2013-07-22,18.33
2013-07-23,17.940001000000002
2013-07-24,17.889999
2013-07-25,18.940001000000002
2013-07-26,18.59
