Date,WK
2014-12-12,13.75
2014-12-15,13.99
2014-12-16,13.9
2014-12-17,13.8
2014-12-18,13.59
2014-12-19,13.58
2014-12-22,13.79
2014-12-23,13.76
2014-12-24,13.65
2014-12-26,13.58
2014-12-29,13.5
2014-12-30,13.75
2014-12-31,13.4
2015-01-02,13.58
2015-01-05,13.98
2015-01-06,13.98
2015-01-07,14.22
2015-01-08,15.01
2015-01-09,15.96
2015-01-12,15.3
2015-01-13,14.86
2015-01-14,14.89
2015-01-15,15.0
2015-01-16,15.1
2015-01-20,14.9
2015-01-21,14.75
2015-01-22,14.86
2015-01-23,14.33
2015-01-26,13.93
2015-01-27,13.66
2015-01-28,13.18
2015-01-29,13.37
2015-01-30,12.28
2015-02-02,12.79
2015-02-03,12.55
2015-02-04,13.09
2015-02-05,13.4
2015-02-06,13.2
2015-02-09,13.35
2015-02-10,13.29
2015-02-11,13.38
2015-02-12,13.24
2015-02-13,13.22
2015-02-17,13.48
2015-02-18,13.54
2015-02-19,13.48
2015-02-20,13.52
2015-02-23,13.55
2015-02-24,13.48
2015-02-25,13.32
2015-02-26,12.9
2015-02-27,12.8
2015-03-02,13.77
2015-03-03,13.43
2015-03-04,14.02
2015-03-05,14.53
2015-03-06,14.25
2015-03-09,14.5
2015-03-10,14.3
2015-03-11,14.51
2015-03-12,13.62
2015-03-13,13.07
2015-03-16,13.62
2015-03-17,13.5
2015-03-18,13.65
2015-03-19,13.49
2015-03-20,13.71
2015-03-23,14.3
2015-03-24,14.12
2015-03-25,14.43
2015-03-26,14.5
2015-03-27,14.5
2015-03-30,14.04
2015-03-31,14.4
2015-04-01,14.07
2015-04-02,14.2
2015-04-06,14.76
2015-04-07,15.0
2015-04-08,15.0
2015-04-09,14.4
2015-04-10,14.6
2015-04-13,14.34
2015-04-14,14.43
2015-04-15,14.68
2015-04-16,14.79
2015-04-17,14.48
2015-04-20,14.68
2015-04-21,14.79
2015-04-22,14.92
2015-04-23,14.79
2015-04-24,14.78
2015-04-27,14.68
2015-04-28,14.79
2015-04-29,14.41
