Date,EROS
2013-11-13,10.88
2013-11-14,11.0
2013-11-15,11.01
2013-11-18,11.14
2013-11-19,11.0
2013-11-20,11.05
2013-11-21,11.1
2013-11-22,11.02
2013-11-25,11.0
2013-11-26,10.96
2013-11-27,11.0
2013-11-29,11.1
2013-12-02,10.95
2013-12-03,10.95
2013-12-04,11.0
2013-12-05,10.8
2013-12-06,10.9
2013-12-09,10.93
2013-12-10,10.97
2013-12-11,10.88
2013-12-12,10.55
2013-12-13,10.45
2013-12-16,10.15
2013-12-17,9.74
2013-12-18,9.95
2013-12-19,9.94
2013-12-20,10.01
2013-12-23,10.46
2013-12-24,10.59
2013-12-26,10.63
2013-12-27,11.09
2013-12-30,11.01
2013-12-31,11.11
2014-01-02,11.07
2014-01-03,11.04
2014-01-06,11.07
2014-01-07,10.95
2014-01-08,11.0
2014-01-09,10.94
2014-01-10,10.84
2014-01-13,10.8
2014-01-14,10.66
2014-01-15,10.61
2014-01-16,10.59
2014-01-17,10.36
2014-01-21,10.35
2014-01-22,10.3
2014-01-23,9.86
2014-01-24,9.27
2014-01-27,9.36
2014-01-28,9.69
2014-01-29,9.56
2014-01-30,9.56
2014-01-31,9.4
2014-02-03,9.39
2014-02-04,8.95
2014-02-05,8.94
2014-02-06,9.39
2014-02-07,9.9
2014-02-10,10.53
2014-02-11,10.71
2014-02-12,10.81
2014-02-13,10.34
2014-02-14,10.26
2014-02-18,10.21
2014-02-19,10.15
2014-02-20,10.25
2014-02-21,10.3
2014-02-24,10.61
2014-02-25,11.35
2014-02-26,12.15
2014-02-27,12.15
2014-02-28,13.03
2014-03-03,13.4
2014-03-04,14.1
2014-03-05,14.92
2014-03-06,15.2
2014-03-07,14.24
2014-03-10,14.99
2014-03-11,14.92
2014-03-12,15.19
2014-03-13,14.99
2014-03-14,15.03
2014-03-17,15.0
2014-03-18,14.99
2014-03-19,14.91
2014-03-20,14.7
2014-03-21,14.67
2014-03-24,14.78
2014-03-25,14.78
2014-03-26,13.95
2014-03-27,14.04
2014-03-28,14.66
2014-03-31,16.07
2014-04-01,16.129998999999998
2014-04-02,15.93
2014-04-03,15.57
2014-04-04,15.86
2014-04-07,15.5
2014-04-08,15.21
2014-04-09,15.16
2014-04-10,15.06
2014-04-11,14.9
2014-04-14,15.49
2014-04-15,16.049999
2014-04-16,16.41
2014-04-17,16.15
2014-04-21,16.610001
2014-04-22,16.73
2014-04-23,16.370001000000002
2014-04-24,16.07
2014-04-25,15.77
2014-04-28,15.68
2014-04-29,15.82
2014-04-30,16.0
2014-05-01,16.559998999999998
2014-05-02,16.4
2014-05-05,16.15
2014-05-06,15.73
2014-05-07,15.77
2014-05-08,15.72
2014-05-09,15.36
2014-05-12,15.19
2014-05-13,14.98
