Date,DNB
2012-06-18,67.879997
2012-06-19,68.050003
2012-06-20,68.66999799999999
2012-06-21,68.139999
2012-06-22,68.440002
2012-06-25,67.33000200000001
2012-06-26,67.029999
2012-06-27,69.360001
2012-06-28,69.32
2012-06-29,71.16999799999999
2012-07-02,71.720001
2012-07-03,71.860001
2012-07-05,71.410004
2012-07-06,70.610001
2012-07-09,70.269997
2012-07-10,69.699997
2012-07-11,70.050003
2012-07-12,69.300003
2012-07-13,70.449997
2012-07-16,70.190002
2012-07-17,71.480003
2012-07-18,72.019997
2012-07-19,72.720001
2012-07-20,71.07
2012-07-23,69.940002
2012-07-24,68.620003
2012-07-25,69.93
2012-07-26,70.910004
2012-07-27,72.25
2012-07-30,70.699997
2012-07-31,80.190002
2012-08-01,74.379997
2012-08-02,73.110001
2012-08-03,74.489998
2012-08-06,74.389999
2012-08-07,74.5
2012-08-08,74.470001
2012-08-09,76.940002
2012-08-10,79.019997
2012-08-13,79.139999
2012-08-14,79.879997
2012-08-15,82.220001
2012-08-16,83.550003
2012-08-17,82.139999
2012-08-20,82.540001
2012-08-21,82.440002
2012-08-22,81.900002
2012-08-23,81.760002
2012-08-24,82.33000200000001
2012-08-27,82.519997
2012-08-28,81.25
2012-08-29,82.129997
2012-08-30,80.769997
2012-08-31,80.949997
2012-09-04,81.199997
2012-09-05,81.269997
2012-09-06,81.800003
2012-09-07,82.25
2012-09-10,82.699997
2012-09-11,82.690002
2012-09-12,83.129997
2012-09-13,84.360001
2012-09-14,84.160004
2012-09-17,83.629997
2012-09-18,83.360001
2012-09-19,83.889999
2012-09-20,83.599998
2012-09-21,82.550003
2012-09-24,81.760002
2012-09-25,80.120003
2012-09-26,79.900002
2012-09-27,80.220001
2012-09-28,79.620003
2012-10-01,80.599998
2012-10-02,81.08000200000001
2012-10-03,81.959999
2012-10-04,82.230003
2012-10-05,82.949997
2012-10-08,82.300003
2012-10-09,81.260002
2012-10-10,81.160004
2012-10-11,82.099998
2012-10-12,82.010002
2012-10-15,82.589996
2012-10-16,82.620003
2012-10-17,82.870003
2012-10-18,82.239998
2012-10-19,80.839996
2012-10-22,78.41999799999999
2012-10-23,78.959999
2012-10-24,77.93
2012-10-25,78.870003
2012-10-26,81.58000200000001
2012-10-31,81.040001
2012-11-01,81.160004
2012-11-02,81.980003
2012-11-05,81.519997
2012-11-06,83.68
2012-11-07,82.18
