Date,AKBA
2014-03-20,26.695
2014-03-21,23.700001
2014-03-24,20.200001
2014-03-25,20.0
2014-03-26,18.959999
2014-03-27,19.370001000000002
2014-03-28,20.0
2014-03-31,19.559998999999998
2014-04-01,20.559998999999998
2014-04-02,21.879998999999998
2014-04-03,19.15
2014-04-04,18.51
2014-04-07,18.0
2014-04-08,18.309998999999998
2014-04-09,18.889999
2014-04-10,18.48
2014-04-11,16.860001
2014-04-14,21.139999
2014-04-15,22.26
2014-04-16,24.700001
2014-04-17,26.09
2014-04-21,27.040001
2014-04-22,25.49
2014-04-23,24.77
2014-04-24,22.790001
2014-04-25,23.0
2014-04-28,23.0
2014-04-29,24.16
2014-04-30,24.370001000000002
2014-05-01,24.860001
2014-05-02,24.01
2014-05-05,23.73
2014-05-06,22.99
2014-05-07,23.040001
2014-05-08,22.879998999999998
2014-05-09,22.209999
2014-05-12,22.389999
2014-05-13,23.030001000000002
2014-05-14,22.799999
2014-05-15,21.52
2014-05-16,21.530001000000002
2014-05-19,21.139999
2014-05-20,21.34
2014-05-21,22.23
2014-05-22,22.93
2014-05-23,22.76
2014-05-27,22.879998999999998
2014-05-28,23.02
2014-05-29,23.610001
2014-05-30,24.299999
2014-06-02,24.65
2014-06-03,26.309998999999998
2014-06-04,26.370001000000002
2014-06-05,26.73
2014-06-06,26.85
2014-06-09,28.309998999999998
2014-06-10,28.059998999999998
2014-06-11,27.57
2014-06-12,27.5
2014-06-13,27.66
2014-06-16,26.98
2014-06-17,26.92
2014-06-18,27.799999
2014-06-19,27.280001000000002
2014-06-20,29.17
2014-06-23,28.68
2014-06-24,27.190001000000002
2014-06-25,28.620001000000002
2014-06-26,29.059998999999998
2014-06-27,28.59
2014-06-30,27.790001
2014-07-01,28.02
2014-07-02,27.77
2014-07-03,28.049999
2014-07-07,25.48
2014-07-08,24.24
2014-07-09,23.6
2014-07-10,24.27
2014-07-11,24.77
2014-07-14,25.26
2014-07-15,24.33
2014-07-16,23.950001
2014-07-17,23.49
2014-07-18,23.57
2014-07-21,23.110001
2014-07-22,23.27
2014-07-23,23.190001000000002
2014-07-24,23.639999
2014-07-25,23.360001
2014-07-28,22.33
2014-07-29,23.24
2014-07-30,22.84
2014-07-31,22.139999
2014-08-01,21.440001000000002
2014-08-04,20.84
2014-08-05,20.879998999999998
2014-08-06,21.57
2014-08-07,21.030001000000002
2014-08-08,21.690001000000002
2014-08-11,22.6
2014-08-12,22.16
2014-08-13,22.57
2014-08-14,24.01
2014-08-15,25.799999
2014-08-18,25.969998999999998
2014-08-19,24.27
2014-08-20,23.42
2014-08-21,22.309998999999998
2014-08-22,22.360001
2014-08-25,22.92
2014-08-26,23.309998999999998
2014-08-27,22.65
2014-08-28,21.85
2014-08-29,22.51
2014-09-02,22.620001000000002
2014-09-03,23.42
2014-09-04,22.59
2014-09-05,22.5
2014-09-08,22.299999
2014-09-09,22.110001
2014-09-10,21.799999
2014-09-11,21.76
2014-09-12,21.08
2014-09-15,20.459999
2014-09-16,21.440001000000002
2014-09-17,22.530001000000002
2014-09-18,22.49
2014-09-19,21.870001000000002
2014-09-22,20.75
2014-09-23,20.25
2014-09-24,20.860001
2014-09-25,21.52
2014-09-26,22.83
2014-09-29,22.75
2014-09-30,22.129998999999998
2014-10-01,20.700001
2014-10-02,20.719998999999998
2014-10-03,20.700001
2014-10-06,21.34
2014-10-07,20.889999
2014-10-08,21.27
2014-10-09,20.75
2014-10-10,20.809998999999998
2014-10-13,20.139999
2014-10-14,19.950001
2014-10-15,20.67
2014-10-16,20.6
2014-10-17,20.49
2014-10-20,20.43
2014-10-21,20.17
2014-10-22,19.540001
2014-10-23,19.27
2014-10-24,19.719998999999998
2014-10-27,13.97
2014-10-28,12.75
2014-10-29,12.99
2014-10-30,13.11
2014-10-31,12.96
2014-11-03,12.2
2014-11-04,11.0
2014-11-05,10.72
2014-11-06,10.37
2014-11-07,10.7
2014-11-10,8.995
2014-11-11,10.36
2014-11-12,12.21
2014-11-13,11.3
2014-11-14,11.98
2014-11-17,12.95
2014-11-18,14.08
2014-11-19,15.24
2014-11-20,14.81
2014-11-21,14.31
2014-11-24,13.73
2014-11-25,13.12
2014-11-26,13.12
2014-11-28,12.08
2014-12-01,11.55
2014-12-02,11.43
2014-12-03,10.7
2014-12-04,10.29
2014-12-05,10.45
2014-12-08,11.54
2014-12-09,12.14
2014-12-10,11.45
2014-12-11,11.08
2014-12-12,11.33
2014-12-15,10.59
2014-12-16,11.03
2014-12-17,11.87
2014-12-18,11.99
2014-12-19,11.9
2014-12-22,12.24
2014-12-23,11.54
2014-12-24,11.23
2014-12-26,11.49
