Date,BCC
2013-02-06,26.15
2013-02-07,27.290001
2013-02-08,27.559998999999998
2013-02-11,27.15
2013-02-12,27.48
2013-02-13,27.809998999999998
2013-02-14,27.58
2013-02-15,27.940001000000002
2013-02-19,27.719998999999998
2013-02-20,26.799999
2013-02-21,26.309998999999998
2013-02-22,26.799999
2013-02-25,27.190001000000002
2013-02-26,26.65
2013-02-27,27.0
2013-02-28,27.1
2013-03-01,27.459999
2013-03-04,27.73
2013-03-05,28.629998999999998
2013-03-06,28.950001
2013-03-07,30.440001000000002
2013-03-08,30.059998999999998
2013-03-11,29.690001000000002
2013-03-12,29.940001000000002
2013-03-13,30.280001000000002
2013-03-14,31.799999
2013-03-15,32.630001
2013-03-18,32.189999
2013-03-19,33.279999
2013-03-20,33.529999
2013-03-21,33.599998
2013-03-22,32.900002
2013-03-25,33.25
2013-03-26,33.400002
2013-03-27,34.189999
2013-03-28,33.939999
2013-04-01,31.610001
2013-04-02,30.209999
2013-04-03,29.299999
2013-04-04,30.290001
2013-04-05,30.82
2013-04-08,31.57
2013-04-09,31.620001000000002
2013-04-10,30.870001000000002
2013-04-11,31.190001000000002
2013-04-12,30.530001000000002
2013-04-15,28.879998999999998
2013-04-16,30.27
2013-04-17,29.82
2013-04-18,30.610001
2013-04-19,30.27
2013-04-22,31.92
2013-04-23,32.259997999999996
2013-04-24,33.599998
2013-04-25,32.990002000000004
2013-04-26,32.77
2013-04-29,31.549999
2013-04-30,32.029999
2013-05-01,31.120001000000002
2013-05-02,31.040001
2013-05-03,30.84
2013-05-06,29.389999
2013-05-07,30.190001000000002
2013-05-08,30.030001000000002
2013-05-09,30.129998999999998
2013-05-10,29.950001
2013-05-13,29.700001
2013-05-14,29.959999
2013-05-15,30.18
2013-05-16,29.530001000000002
2013-05-17,29.66
2013-05-20,29.34
2013-05-21,29.52
2013-05-22,29.360001
2013-05-23,28.780001000000002
2013-05-24,29.139999
2013-05-28,29.110001
2013-05-29,29.18
2013-05-30,29.870001000000002
2013-05-31,30.059998999999998
2013-06-03,29.030001000000002
2013-06-04,27.58
2013-06-05,26.67
2013-06-06,26.940001000000002
2013-06-07,27.41
2013-06-10,27.549999
2013-06-11,27.0
2013-06-12,26.26
2013-06-13,26.469998999999998
2013-06-14,26.379998999999998
2013-06-17,27.27
2013-06-18,27.790001
2013-06-19,28.110001
2013-06-20,27.620001000000002
2013-06-21,27.450001
2013-06-24,26.389999
2013-06-25,26.379998999999998
2013-06-26,25.35
2013-06-27,25.440001000000002
2013-06-28,25.41
2013-07-01,25.66
2013-07-02,25.5
2013-07-03,25.52
2013-07-05,25.690001000000002
2013-07-08,25.77
2013-07-09,26.709999
2013-07-10,27.24
2013-07-11,28.200001
2013-07-12,28.16
2013-07-15,28.389999
2013-07-16,27.76
2013-07-17,27.860001
2013-07-18,28.379998999999998
2013-07-19,28.51
2013-07-22,29.35
2013-07-23,28.73
2013-07-24,27.780001000000002
2013-07-25,26.5
2013-07-26,26.42
2013-07-29,26.450001
2013-07-30,26.6
2013-07-31,26.459999
2013-08-01,26.5
2013-08-02,26.18
2013-08-05,25.790001
2013-08-06,24.780001000000002
2013-08-07,24.459999
2013-08-08,24.07
2013-08-09,24.26
2013-08-12,24.120001000000002
2013-08-13,24.110001
2013-08-14,24.219998999999998
2013-08-15,23.59
2013-08-16,23.219998999999998
2013-08-19,23.15
2013-08-20,23.15
2013-08-21,23.16
2013-08-22,23.549999
2013-08-23,23.440001000000002
2013-08-26,23.66
2013-08-27,23.43
2013-08-28,23.4
2013-08-29,23.379998999999998
2013-08-30,23.1
2013-09-03,22.91
2013-09-04,22.940001000000002
2013-09-05,22.82
2013-09-06,22.85
