Date,VEC
2014-09-16,21.540001
2014-09-17,22.0
2014-09-18,23.1
2014-09-19,23.0
2014-09-22,23.440001000000002
2014-09-23,23.9
2014-09-24,24.0
2014-09-25,22.6
2014-09-26,21.75
2014-09-29,19.65
2014-09-30,19.530001000000002
2014-10-01,19.440001000000002
2014-10-02,21.709999
2014-10-03,21.75
2014-10-06,20.5
2014-10-07,19.719998999999998
2014-10-08,19.77
2014-10-09,21.35
2014-10-10,20.620001000000002
2014-10-13,20.25
2014-10-14,20.459999
2014-10-15,20.66
2014-10-16,20.51
2014-10-17,21.76
2014-10-20,20.059998999999998
2014-10-21,19.85
2014-10-22,20.66
2014-10-23,21.66
2014-10-24,21.83
2014-10-27,21.860001
2014-10-28,22.5
2014-10-29,22.629998999999998
2014-10-30,22.940001000000002
2014-10-31,24.440001000000002
2014-11-03,23.389999
2014-11-04,22.76
2014-11-05,23.5
2014-11-06,24.540001
2014-11-07,24.68
2014-11-10,24.59
2014-11-11,25.950001
2014-11-12,24.66
2014-11-13,25.469998999999998
2014-11-14,25.5
2014-11-17,25.67
2014-11-18,26.870001000000002
2014-11-19,26.0
2014-11-20,26.82
2014-11-21,26.870001000000002
2014-11-24,27.219998999999998
2014-11-25,27.440001000000002
2014-11-26,27.83
2014-11-28,28.26
2014-12-01,28.309998999999998
2014-12-02,28.440001000000002
2014-12-03,29.65
2014-12-04,29.530001000000002
2014-12-05,30.65
2014-12-08,29.709999
2014-12-09,29.389999
2014-12-10,29.58
2014-12-11,30.58
2014-12-12,30.83
2014-12-15,31.27
2014-12-16,31.24
2014-12-17,29.780001000000002
2014-12-18,29.75
2014-12-19,29.42
2014-12-22,29.34
2014-12-23,29.639999
2014-12-24,29.959999
2014-12-26,28.709999
2014-12-29,28.1
2014-12-30,26.99
2014-12-31,27.4
2015-01-02,27.389999
2015-01-05,25.030001000000002
2015-01-06,26.219998999999998
2015-01-07,26.68
2015-01-08,28.32
2015-01-09,28.360001
2015-01-12,27.6
2015-01-13,27.93
2015-01-14,27.129998999999998
2015-01-15,26.9
2015-01-16,27.190001000000002
2015-01-20,27.049999
2015-01-21,26.98
2015-01-22,27.16
2015-01-23,27.450001
2015-01-26,28.0
2015-01-27,28.32
2015-01-28,28.1
2015-01-29,27.84
2015-01-30,27.84
2015-02-02,28.17
2015-02-03,29.870001000000002
2015-02-04,28.620001000000002
2015-02-05,28.99
2015-02-06,28.58
2015-02-09,29.530001000000002
2015-02-10,29.209999
2015-02-11,28.969998999999998
2015-02-12,30.209999
2015-02-13,31.280001000000002
2015-02-17,31.4
2015-02-18,31.59
2015-02-19,31.9
2015-02-20,32.110001000000004
2015-02-23,31.75
2015-02-24,31.940001000000002
2015-02-25,32.18
2015-02-26,32.52
2015-02-27,31.809998999999998
2015-03-02,32.689999
2015-03-03,33.75
2015-03-04,32.040001000000004
2015-03-05,31.790001
