Date,AMG
1997-11-21,17.666666
1997-11-24,17.333334
1997-11-25,17.333334
1997-11-26,16.291666
1997-11-28,16.666666
1997-12-01,16.916666
1997-12-02,16.458334
1997-12-03,16.166666
1997-12-04,16.0
1997-12-05,16.0
1997-12-08,16.166666
1997-12-09,16.583334
1997-12-10,16.666666
1997-12-11,16.625
1997-12-12,16.458334
1997-12-15,16.583334
1997-12-16,17.5
1997-12-17,18.541666
1997-12-18,19.333334
1997-12-19,19.708334
1997-12-22,19.333334
1997-12-23,19.916666
1997-12-24,19.25
1997-12-26,19.416666
1997-12-29,18.416666
1997-12-30,19.166666
1997-12-31,19.333334
1998-01-02,19.208334
1998-01-05,19.291666
1998-01-06,19.291666
1998-01-07,18.166666
1998-01-08,18.375
1998-01-09,18.291666
1998-01-12,18.416666
1998-01-13,18.875
1998-01-14,19.25
1998-01-15,19.666666
1998-01-16,19.666666
1998-01-20,20.166666
1998-01-21,20.166666
1998-01-22,20.041666
1998-01-23,20.041666
1998-01-26,20.083334
1998-01-27,19.833334
1998-01-28,19.833334
1998-01-29,20.041666
1998-01-30,20.125
1998-02-02,20.5
1998-02-03,21.0
1998-02-04,21.25
1998-02-05,21.666666
1998-02-06,21.625
1998-02-09,21.5
1998-02-10,21.541666
1998-02-11,21.333334
1998-02-12,21.041666
1998-02-13,21.208334
1998-02-17,21.583334
1998-02-18,21.583334
1998-02-19,22.0
1998-02-20,23.333334
1998-02-23,23.583334
1998-02-24,24.291666
1998-02-25,24.291666
1998-02-26,24.583334
1998-02-27,24.666666
1998-03-02,24.625
1998-03-03,24.416666
1998-03-04,24.666666
1998-03-05,24.166666
1998-03-06,24.791666
1998-03-09,24.375
1998-03-10,24.583334
1998-03-11,24.416666
1998-03-12,24.458334
1998-03-13,24.75
1998-03-16,24.625
1998-03-17,24.5
1998-03-18,24.5
1998-03-19,24.375
1998-03-20,23.708334
1998-03-23,23.0
1998-03-24,23.208334
1998-03-25,23.666666
1998-03-26,23.833334
1998-03-27,23.625
1998-03-30,23.25
1998-03-31,23.25
1998-04-01,23.25
1998-04-02,23.5
1998-04-03,24.333334
1998-04-06,24.125
1998-04-07,23.583334
1998-04-08,23.166666
1998-04-09,23.041666
1998-04-13,23.416666
1998-04-14,23.416666
1998-04-15,23.333334
1998-04-16,23.083334
1998-04-17,23.458334
1998-04-20,23.875
1998-04-21,24.291666
1998-04-22,25.166666
1998-04-23,25.333334
1998-04-24,25.666666
1998-04-27,24.583334
1998-04-28,24.666666
1998-04-29,24.083334
1998-04-30,24.75
1998-05-01,25.833334
1998-05-04,26.0
1998-05-05,26.125
1998-05-06,26.0
1998-05-07,26.0
1998-05-08,25.875
1998-05-11,25.291666
1998-05-12,25.375
1998-05-13,25.25
1998-05-14,25.291666
1998-05-15,24.708334
1998-05-18,24.583334
1998-05-19,24.625
1998-05-20,24.333334
1998-05-21,24.291666
1998-05-22,24.041666
1998-05-26,25.208334
1998-05-27,25.25
1998-05-28,24.0
1998-05-29,23.875
1998-06-01,23.666666
1998-06-02,23.5
1998-06-03,23.25
1998-06-04,23.208334
1998-06-05,23.125
1998-06-08,23.0
1998-06-09,22.875
1998-06-10,22.708334
1998-06-11,23.291666
1998-06-12,23.625
1998-06-15,23.666666
1998-06-16,23.666666
1998-06-17,23.541666
1998-06-18,23.583334
1998-06-19,24.291666
1998-06-22,24.0
1998-06-23,24.208334
1998-06-24,24.541666
1998-06-25,24.5
1998-06-26,24.75
1998-06-29,25.166666
1998-06-30,24.75
1998-07-01,24.958334
1998-07-02,23.541666
1998-07-06,23.041666
