Date,PMT
2009-07-30,19.1
2009-07-31,18.799999
2009-08-03,19.0
2009-08-04,19.1
2009-08-05,19.09
2009-08-06,19.02
2009-08-07,19.07
2009-08-10,19.139999
2009-08-11,19.139999
2009-08-12,19.09
2009-08-13,19.540001
2009-08-14,19.35
2009-08-17,19.049999
2009-08-18,19.120001000000002
2009-08-19,19.049999
2009-08-20,19.440001000000002
2009-08-21,19.65
2009-08-24,19.639999
2009-08-25,19.540001
2009-08-26,19.41
2009-08-27,19.639999
2009-08-28,19.709999
2009-08-31,19.75
2009-09-01,19.450001
2009-09-02,19.290001
2009-09-03,19.4
2009-09-04,19.34
2009-09-08,19.610001
2009-09-09,19.610001
2009-09-10,19.530001000000002
2009-09-11,19.540001
2009-09-14,19.639999
2009-09-15,19.68
2009-09-16,19.860001
2009-09-17,19.85
2009-09-18,19.950001
2009-09-21,19.82
2009-09-22,19.870001000000002
2009-09-23,19.74
2009-09-24,19.59
2009-09-25,19.190001000000002
2009-09-28,19.370001000000002
2009-09-29,19.84
2009-09-30,19.91
2009-10-01,19.67
2009-10-02,19.26
2009-10-05,19.35
2009-10-06,19.23
2009-10-07,19.24
2009-10-08,19.27
2009-10-09,19.25
2009-10-12,19.15
2009-10-13,19.24
2009-10-14,19.190001000000002
2009-10-15,19.219998999999998
2009-10-16,19.09
2009-10-19,19.209999
2009-10-20,19.040001
2009-10-21,18.959999
2009-10-22,19.040001
2009-10-23,18.879998999999998
2009-10-26,18.67
2009-10-27,18.5
2009-10-28,18.620001000000002
2009-10-29,18.83
2009-10-30,18.41
2009-11-02,18.34
2009-11-03,18.309998999999998
2009-11-04,18.41
2009-11-05,18.58
2009-11-06,17.809998999999998
2009-11-09,17.58
2009-11-10,17.09
2009-11-11,17.030001000000002
2009-11-12,16.9
2009-11-13,17.040001
2009-11-16,17.75
2009-11-17,17.690001000000002
2009-11-18,17.74
2009-11-19,17.59
2009-11-20,17.6
2009-11-23,17.6
2009-11-24,17.52
2009-11-25,17.5
2009-11-27,17.290001
2009-11-30,17.719998999999998
2009-12-01,17.75
2009-12-02,17.75
2009-12-03,17.5
2009-12-04,17.65
2009-12-07,17.57
2009-12-08,17.52
2009-12-09,17.629998999999998
