Date,ACA
2019-10-02,33.43
2019-10-03,33.619999
2019-10-04,33.889998999999996
2019-10-07,33.349998
2019-10-08,32.560001
2019-10-09,32.669998
2019-10-10,33.189999
2019-10-11,33.009997999999996
2019-10-14,33.369999
2019-10-15,33.450001
2019-10-16,33.689999
2019-10-17,33.889998999999996
2019-10-18,33.330002
2019-10-21,34.59
2019-10-22,35.82
2019-10-23,35.669998
2019-10-24,35.32
2019-10-25,35.860001000000004
2019-10-28,36.259997999999996
2019-10-29,37.0
2019-10-30,37.41
2019-10-31,38.41
2019-11-01,37.880001
2019-11-04,39.220001
2019-11-05,40.16
2019-11-06,39.110001000000004
2019-11-07,38.68
2019-11-08,38.869999
2019-11-11,38.619999
2019-11-12,38.34
2019-11-13,38.029999
2019-11-14,38.290001000000004
2019-11-15,38.220001
2019-11-18,38.279999
2019-11-19,38.209998999999996
2019-11-20,38.419998
2019-11-21,38.220001
2019-11-22,38.279999
2019-11-25,38.939999
2019-11-26,39.52
2019-11-27,39.439999
2019-11-29,39.209998999999996
2019-12-02,38.799999
2019-12-03,38.68
2019-12-04,38.790001000000004
2019-12-05,39.310001
2019-12-06,40.490002000000004
2019-12-09,40.029999
2019-12-10,40.0
2019-12-11,40.07
2019-12-12,40.490002000000004
2019-12-13,43.330002
2019-12-16,44.0
2019-12-17,44.34
2019-12-18,44.98
2019-12-19,45.759997999999996
2019-12-20,45.220001
2019-12-23,45.119999
2019-12-24,45.25
2019-12-26,45.09
2019-12-27,44.900002
2019-12-30,44.639998999999996
2019-12-31,44.549999
2020-01-02,45.810001
2020-01-03,45.700001
2020-01-06,45.459998999999996
2020-01-07,45.049999
2020-01-08,45.610001000000004
2020-01-09,46.16
2020-01-10,45.549999
2020-01-13,45.880001
2020-01-14,46.080002
2020-01-15,46.57
2020-01-16,47.07
2020-01-17,46.52
2020-01-21,46.139998999999996
2020-01-22,45.450001
2020-01-23,45.619999
2020-01-24,44.77
2020-01-27,44.5
2020-01-28,45.150002
2020-01-29,44.759997999999996
2020-01-30,44.810001
2020-01-31,43.75
2020-02-03,43.880001
2020-02-04,44.630001
2020-02-05,46.66
2020-02-06,45.73
2020-02-07,45.240002000000004
2020-02-10,45.91
2020-02-11,46.389998999999996
2020-02-12,46.759997999999996
2020-02-13,47.669998
2020-02-14,46.990002000000004
2020-02-18,46.650002
2020-02-19,44.759997999999996
2020-02-20,45.599998
2020-02-21,44.389998999999996
2020-02-24,43.360001000000004
2020-02-25,41.02
2020-02-26,39.43
2020-02-27,42.549999
2020-02-28,42.959998999999996
2020-03-02,43.889998999999996
2020-03-03,42.48
2020-03-04,43.799999
2020-03-05,43.360001000000004
2020-03-06,41.470001
2020-03-09,36.75
2020-03-10,38.66
2020-03-11,37.040001000000004
2020-03-12,32.93
2020-03-13,37.18
2020-03-16,33.099998
2020-03-17,36.98
2020-03-18,30.129998999999998
2020-03-19,30.34
2020-03-20,31.16
2020-03-23,30.440001000000002
2020-03-24,35.27
2020-03-25,35.169998
2020-03-26,39.099998
2020-03-27,36.380001
2020-03-30,38.66
2020-03-31,39.740002000000004
2020-04-01,37.400002
2020-04-02,36.599998
2020-04-03,37.5
2020-04-06,40.259997999999996
