Date,CAH
1983-08-04,1.379125
1983-08-05,1.379125
1983-08-08,1.35405
1983-08-09,1.35405
1983-08-10,1.35405
1983-08-11,1.379125
1983-08-12,1.379125
1983-08-15,1.479425
1983-08-16,1.629874
1983-08-17,1.629874
1983-08-18,1.629874
1983-08-19,1.629874
1983-08-22,1.579725
1983-08-23,1.579725
1983-08-24,1.554649
1983-08-25,1.554649
1983-08-26,1.554649
1983-08-29,1.554649
1983-08-30,1.554649
1983-08-31,1.554649
1983-09-01,1.5045
1983-09-02,1.5045
1983-09-06,1.529575
1983-09-07,1.554649
1983-09-08,1.579725
1983-09-09,1.579725
1983-09-12,1.579725
1983-09-13,1.6048
1983-09-14,1.629874
1983-09-15,1.65495
1983-09-16,1.730174
1983-09-19,1.75525
1983-09-20,1.7803240000000002
1983-09-21,1.7803240000000002
1983-09-22,1.7803240000000002
1983-09-23,1.7803240000000002
1983-09-26,1.8053990000000002
1983-09-27,1.8304740000000002
1983-09-28,1.8304740000000002
1983-09-29,1.8555490000000001
1983-09-30,1.8555490000000001
1983-10-03,1.8555490000000001
1983-10-04,1.8555490000000001
1983-10-05,1.8555490000000001
1983-10-06,1.8555490000000001
1983-10-07,1.8304740000000002
1983-10-10,1.8304740000000002
1983-10-11,1.8304740000000002
1983-10-12,1.8053990000000002
1983-10-13,1.8053990000000002
1983-10-14,1.8053990000000002
1983-10-17,1.7803240000000002
1983-10-18,1.730174
1983-10-19,1.680025
1983-10-20,1.692562
1983-10-21,1.680025
1983-10-24,1.680025
1983-10-25,1.680025
1983-10-26,1.65495
1983-10-27,1.667487
1983-10-28,1.65495
1983-10-31,1.65495
1983-11-01,1.6048
1983-11-02,1.642412
1983-11-03,1.642412
1983-11-04,1.629874
1983-11-07,1.629874
1983-11-08,1.6048
1983-11-09,1.6048
1983-11-10,1.6048
1983-11-11,1.629874
1983-11-14,1.629874
1983-11-15,1.629874
1983-11-16,1.65495
1983-11-17,1.65495
1983-11-18,1.65495
1983-11-21,1.730174
1983-11-22,1.730174
1983-11-23,1.730174
1983-11-25,1.730174
1983-11-28,1.730174
1983-11-29,1.730174
1983-11-30,1.8430119999999999
1983-12-01,1.880624
1983-12-02,1.918237
1983-12-05,1.9307740000000002
1983-12-06,1.9056990000000003
1983-12-07,1.880624
1983-12-08,1.880624
1983-12-09,1.880624
1983-12-12,1.880624
1983-12-13,1.880624
1983-12-14,1.880624
1983-12-15,1.880624
1983-12-16,1.880624
1983-12-19,1.8053990000000002
1983-12-20,1.7803240000000002
1983-12-21,1.7803240000000002
1983-12-22,1.7803240000000002
1983-12-23,1.7803240000000002
1983-12-27,1.7803240000000002
1983-12-28,1.75525
1983-12-29,1.75525
1983-12-30,1.75525
1984-01-03,1.75525
1984-01-04,1.7803240000000002
1984-01-05,1.8430119999999999
1984-01-06,1.8430119999999999
1984-01-09,1.8430119999999999
1984-01-10,1.8555490000000001
1984-01-11,1.8555490000000001
1984-01-12,1.8555490000000001
1984-01-13,1.8555490000000001
1984-01-16,1.8680869999999998
1984-01-17,1.8680869999999998
1984-01-18,1.8680869999999998
1984-01-19,1.8555490000000001
1984-01-20,1.7803240000000002
1984-01-23,1.75525
1984-01-24,1.75525
1984-01-25,1.75525
1984-01-26,1.75525
1984-01-27,1.75525
1984-01-30,1.75525
1984-01-31,1.75525
1984-02-01,1.75525
1984-02-02,1.75525
1984-02-03,1.75525
1984-02-06,1.65495
1984-02-07,1.65495
1984-02-08,1.65495
1984-02-09,1.629874
1984-02-10,1.629874
1984-02-13,1.6048
1984-02-14,1.6048
1984-02-15,1.6048
1984-02-16,1.6048
1984-02-17,1.579725
1984-02-21,1.554649
1984-02-22,1.554649
1984-02-23,1.554649
1984-02-24,1.554649
1984-02-27,1.579725
1984-02-28,1.529575
1984-02-29,1.479425
1984-03-01,1.479425
1984-03-02,1.5045
1984-03-05,1.5045
1984-03-06,1.5045
1984-03-07,1.5045
1984-03-08,1.5045
1984-03-09,1.5045
1984-03-12,1.5045
1984-03-13,1.5045
1984-03-14,1.529575
1984-03-15,1.529575
1984-03-16,1.529575
1984-03-19,1.529575
1984-03-20,1.529575
1984-03-21,1.529575
1984-03-22,1.529575
1984-03-23,1.554649
1984-03-26,1.529575
1984-03-27,1.529575
1984-03-28,1.529575
1984-03-29,1.529575
1984-03-30,1.529575
1984-04-02,1.529575
1984-04-03,1.5045
1984-04-04,1.5045
1984-04-05,1.479425
1984-04-06,1.479425
1984-04-09,1.5045
1984-04-10,1.5045
1984-04-11,1.5045
1984-04-12,1.479425
1984-04-13,1.479425
1984-04-16,1.479425
1984-04-17,1.479425
1984-04-18,1.479425
1984-04-19,1.429275
1984-04-23,1.4042
1984-04-24,1.4042
1984-04-25,1.4042
1984-04-26,1.4042
1984-04-27,1.4042
1984-04-30,1.4042
1984-05-01,1.4042
1984-05-02,1.4042
1984-05-03,1.4042
1984-05-04,1.4042
1984-05-07,1.4042
1984-05-08,1.4042
1984-05-09,1.429275
1984-05-10,1.45435
1984-05-11,1.5045
1984-05-14,1.5045
1984-05-15,1.5045
1984-05-16,1.5045
1984-05-17,1.5045
1984-05-18,1.479425
1984-05-21,1.479425
1984-05-22,1.479425
1984-05-23,1.479425
1984-05-24,1.5045
1984-05-25,1.529575
1984-05-29,1.5045
1984-05-30,1.5045
1984-05-31,1.5045
1984-06-01,1.5045
1984-06-04,1.5045
1984-06-05,1.5045
1984-06-06,1.5045
1984-06-07,1.5045
1984-06-08,1.5045
1984-06-11,1.5045
1984-06-12,1.5045
1984-06-13,1.5045
1984-06-14,1.5045
1984-06-15,1.5045
1984-06-18,1.5045
1984-06-19,1.6048
1984-06-20,1.7050990000000001
1984-06-21,1.65495
1984-06-22,1.65495
1984-06-25,1.65495
1984-06-26,1.629874
1984-06-27,1.6048
1984-06-28,1.6048
1984-06-29,1.6048
1984-07-02,1.629874
1984-07-03,1.629874
1984-07-05,1.629874
1984-07-06,1.6048
1984-07-09,1.6048
1984-07-10,1.6048
1984-07-11,1.6048
1984-07-12,1.6048
1984-07-13,1.629874
1984-07-16,1.629874
1984-07-17,1.629874
1984-07-18,1.629874
1984-07-19,1.629874
1984-07-20,1.629874
1984-07-23,1.579725
1984-07-24,1.579725
1984-07-25,1.579725
1984-07-26,1.554649
1984-07-27,1.554649
1984-07-30,1.554649
1984-07-31,1.554649
1984-08-01,1.554649
1984-08-02,1.554649
1984-08-03,1.554649
1984-08-06,1.554649
1984-08-07,1.567187
1984-08-08,1.6048
1984-08-09,1.579725
1984-08-10,1.579725
1984-08-13,1.554649
1984-08-14,1.554649
1984-08-15,1.554649
1984-08-16,1.554649
1984-08-17,1.5045
1984-08-20,1.529575
1984-08-21,1.529575
1984-08-22,1.5045
1984-08-23,1.529575
1984-08-24,1.554649
1984-08-27,1.579725
1984-08-28,1.579725
1984-08-29,1.579725
1984-08-30,1.579725
1984-08-31,1.6048
1984-09-04,1.6048
1984-09-05,1.6048
1984-09-06,1.6048
1984-09-07,1.680025
1984-09-10,1.680025
1984-09-11,1.680025
1984-09-12,1.730174
1984-09-13,1.7050990000000001
1984-09-14,1.75525
1984-09-17,1.730174
1984-09-18,1.730174
1984-09-19,1.680025
1984-09-20,1.7050990000000001
1984-09-21,1.680025
1984-09-24,1.680025
1984-09-25,1.680025
1984-09-26,1.730174
1984-09-27,1.75525
1984-09-28,1.75525
1984-10-01,1.75525
1984-10-02,1.680025
1984-10-03,1.680025
1984-10-04,1.680025
1984-10-05,1.680025
1984-10-08,1.680025
1984-10-09,1.7050990000000001
1984-10-10,1.629874
1984-10-11,1.629874
1984-10-12,1.629874
1984-10-15,1.6048
1984-10-16,1.680025
1984-10-17,1.6048
1984-10-18,1.529575
1984-10-19,1.429275
