Date,LILA
2015-07-02,49.610001000000004
2015-07-06,50.0
2015-07-07,46.91
2015-07-08,44.634997999999996
2015-07-09,43.060001
2015-07-10,44.450001
2015-07-13,47.830002
2015-07-14,46.110001000000004
2015-07-15,45.779999
2015-07-16,45.849998
2015-07-17,49.610001000000004
2015-07-20,48.389998999999996
2015-07-21,47.349998
2015-07-22,47.080002
2015-07-23,46.59
2015-07-24,45.099998
2015-07-27,43.759997999999996
2015-07-28,43.889998999999996
2015-07-29,43.060001
2015-07-30,43.380001
2015-07-31,42.759997999999996
2015-08-03,42.549999
2015-08-04,42.959998999999996
2015-08-05,42.720001
2015-08-06,41.580002
2015-08-07,40.060001
2015-08-10,40.119999
2015-08-11,39.540001000000004
2015-08-12,38.900002
2015-08-13,38.93
2015-08-14,39.310001
2015-08-17,39.040001000000004
2015-08-18,38.880001
2015-08-19,38.189999
2015-08-20,37.060001
2015-08-21,36.700001
2015-08-24,35.139998999999996
2015-08-25,33.630001
2015-08-26,33.5
2015-08-27,34.549999
2015-08-28,34.919998
2015-08-31,34.369999
2015-09-01,32.25
2015-09-02,32.549999
2015-09-03,33.0
2015-09-04,32.610001000000004
2015-09-08,34.91
2015-09-09,35.709998999999996
2015-09-10,38.369999
2015-09-11,38.77
2015-09-14,36.599998
2015-09-15,36.939999
2015-09-16,36.490002000000004
2015-09-17,36.939999
2015-09-18,36.330002
2015-09-21,36.060001
2015-09-22,34.439999
2015-09-23,34.150002
2015-09-24,34.860001000000004
2015-09-25,35.09
2015-09-28,33.75
2015-09-29,33.68
2015-09-30,33.689999
2015-10-01,33.98
2015-10-02,34.939999
2015-10-05,36.060001
2015-10-06,36.52
2015-10-07,36.48
2015-10-08,35.610001000000004
2015-10-09,35.740002000000004
2015-10-12,35.0
2015-10-13,34.630001
2015-10-14,34.950001
2015-10-15,34.73
2015-10-16,34.34
2015-10-19,34.43
2015-10-20,33.779999
2015-10-21,33.0
2015-10-22,37.540001000000004
2015-10-23,40.959998999999996
2015-10-26,38.880001
2015-10-27,38.57
2015-10-28,39.509997999999996
2015-10-29,38.959998999999996
2015-10-30,38.619999
2015-11-02,38.34
2015-11-03,38.52
2015-11-04,37.189999
2015-11-05,36.610001000000004
2015-11-06,37.419998
2015-11-09,37.169998
2015-11-10,37.369999
2015-11-11,36.970001
2015-11-12,36.040001000000004
2015-11-13,36.41
2015-11-16,38.0
2015-11-17,36.990002000000004
2015-11-18,37.34
2015-11-19,37.869999
2015-11-20,37.810001
2015-11-23,36.970001
2015-11-24,36.040001000000004
2015-11-25,36.450001
2015-11-27,36.490002000000004
2015-11-30,37.549999
2015-12-01,38.990002000000004
2015-12-02,40.77
2015-12-03,39.549999
2015-12-04,38.560001
2015-12-07,37.720001
2015-12-08,37.389998999999996
2015-12-09,37.450001
2015-12-10,37.34
2015-12-11,36.849998
2015-12-14,35.869999
2015-12-15,36.380001
2015-12-16,37.41
2015-12-17,37.360001000000004
2015-12-18,38.080002
2015-12-21,39.349998
2015-12-22,40.669998
2015-12-23,40.09
2015-12-24,40.220001
2015-12-28,39.990002000000004
2015-12-29,40.369999
2015-12-30,40.360001000000004
2015-12-31,41.369999
2016-01-04,39.099998
2016-01-05,38.900002
2016-01-06,38.73
2016-01-07,37.75
2016-01-08,37.889998999999996
2016-01-11,37.869999
2016-01-12,37.740002000000004
2016-01-13,37.099998
2016-01-14,37.52
2016-01-15,35.34
2016-01-19,35.91
2016-01-20,33.84
2016-01-21,33.380001
2016-01-22,34.07
2016-01-25,33.84
2016-01-26,34.25
2016-01-27,33.880001
2016-01-28,33.650002
2016-01-29,35.200001
2016-02-01,36.07
2016-02-02,35.869999
2016-02-03,35.580002
2016-02-04,36.540001000000004
2016-02-05,36.029999
2016-02-08,33.75
2016-02-09,32.5
2016-02-10,32.799999
2016-02-11,32.27
2016-02-12,32.18
2016-02-16,33.16
2016-02-17,33.990002000000004
2016-02-18,33.459998999999996
2016-02-19,32.669998
2016-02-22,33.549999
2016-02-23,32.77
2016-02-24,32.009997999999996
2016-02-25,32.380001
2016-02-26,33.150002
2016-02-29,33.950001
2016-03-01,34.560001
2016-03-02,35.049999
2016-03-03,35.310001
2016-03-04,34.610001000000004
2016-03-07,34.27
2016-03-08,33.77
2016-03-09,33.869999
2016-03-10,33.709998999999996
2016-03-11,34.189999
2016-03-14,34.07
2016-03-15,33.599998
2016-03-16,34.490002000000004
2016-03-17,35.18
2016-03-18,34.950001
2016-03-21,35.189999
2016-03-22,35.18
2016-03-23,35.25
2016-03-24,35.220001
2016-03-28,35.220001
2016-03-29,35.599998
2016-03-30,35.650002
2016-03-31,35.060001
2016-04-01,34.939999
2016-04-04,34.200001
2016-04-05,33.673
2016-04-06,33.549999
2016-04-07,33.849998
2016-04-08,34.25
2016-04-11,34.189999
2016-04-12,34.57
2016-04-13,34.720001
2016-04-14,34.669998
2016-04-15,34.630001
2016-04-18,34.91
