Date,GOLF
2016-10-28,17.950001
2016-10-31,17.41
2016-11-01,17.459999
2016-11-02,17.459999
2016-11-03,17.299999
2016-11-04,17.809998999999998
2016-11-07,18.27
2016-11-08,18.24
2016-11-09,18.360001
2016-11-10,18.33
2016-11-11,18.459999
2016-11-14,18.540001
2016-11-15,18.559998999999998
2016-11-16,18.620001000000002
2016-11-17,18.59
2016-11-18,18.950001
2016-11-21,19.02
2016-11-22,20.02
2016-11-23,20.25
2016-11-25,20.24
2016-11-28,20.17
2016-11-29,19.959999
2016-11-30,19.959999
2016-12-01,19.92
2016-12-02,19.4
2016-12-05,19.24
2016-12-06,19.0
2016-12-07,19.059998999999998
2016-12-08,19.379998999999998
2016-12-09,21.440001000000002
2016-12-12,21.51
2016-12-13,21.389999
2016-12-14,20.25
2016-12-15,20.219998999999998
2016-12-16,19.129998999999998
2016-12-19,19.57
2016-12-20,19.65
2016-12-21,19.42
2016-12-22,19.469998999999998
2016-12-23,19.610001
2016-12-27,19.43
2016-12-28,19.0
2016-12-29,19.32
2016-12-30,19.709999
2017-01-03,19.5
2017-01-04,19.16
2017-01-05,18.92
2017-01-06,19.049999
2017-01-09,19.690001000000002
2017-01-10,19.040001
2017-01-11,19.59
2017-01-12,19.09
2017-01-13,18.870001000000002
2017-01-17,18.82
2017-01-18,19.32
2017-01-19,19.34
2017-01-20,19.32
2017-01-23,19.25
2017-01-24,19.360001
2017-01-25,19.200001
2017-01-26,18.879998999999998
2017-01-27,18.719998999999998
2017-01-30,18.379998999999998
2017-01-31,18.549999
2017-02-01,18.51
2017-02-02,18.15
2017-02-03,17.860001
2017-02-06,17.719998999999998
2017-02-07,17.68
2017-02-08,17.48
2017-02-09,17.799999
2017-02-10,17.719998999999998
2017-02-13,17.68
2017-02-14,17.809998999999998
2017-02-15,18.01
2017-02-16,17.6
2017-02-17,17.639999
2017-02-21,17.620001000000002
2017-02-22,17.559998999999998
2017-02-23,17.559998999999998
2017-02-24,17.52
2017-02-27,17.719998999999998
2017-02-28,17.51
2017-03-01,17.74
2017-03-02,17.68
2017-03-03,17.610001
2017-03-06,17.73
2017-03-07,17.65
2017-03-08,17.99
2017-03-09,18.08
2017-03-10,18.049999
2017-03-13,17.51
2017-03-14,17.43
2017-03-15,17.92
2017-03-16,18.299999
2017-03-17,18.209999
2017-03-20,18.139999
2017-03-21,17.77
2017-03-22,18.120001000000002
2017-03-23,17.809998999999998
2017-03-24,17.76
2017-03-27,17.440001000000002
2017-03-28,17.09
2017-03-29,17.33
2017-03-30,17.209999
2017-03-31,17.280001000000002
2017-04-03,17.26
2017-04-04,17.059998999999998
2017-04-05,17.209999
2017-04-06,17.280001000000002
2017-04-07,17.219998999999998
2017-04-10,17.57
2017-04-11,17.18
2017-04-12,17.41
2017-04-13,17.540001
2017-04-17,17.92
2017-04-18,18.110001
2017-04-19,17.92
2017-04-20,18.129998999999998
2017-04-21,18.1
2017-04-24,18.129998999999998
2017-04-25,18.07
2017-04-26,18.139999
2017-04-27,18.17
2017-04-28,18.26
2017-05-01,18.190001000000002
2017-05-02,18.15
2017-05-03,18.139999
2017-05-04,18.24
2017-05-05,19.110001
2017-05-08,20.01
2017-05-09,19.84
2017-05-10,19.959999
2017-05-11,19.799999
2017-05-12,19.65
2017-05-15,19.58
2017-05-16,19.700001
2017-05-17,18.860001
2017-05-18,18.98
2017-05-19,18.799999
2017-05-22,18.75
2017-05-23,18.65
2017-05-24,18.67
2017-05-25,18.66
2017-05-26,18.940001000000002
2017-05-30,18.75
2017-05-31,19.0
2017-06-01,19.049999
2017-06-02,18.93
2017-06-05,19.01
2017-06-06,19.0
2017-06-07,19.01
2017-06-08,18.969998999999998
2017-06-09,19.190001000000002
2017-06-12,19.370001000000002
2017-06-13,19.27
2017-06-14,19.23
2017-06-15,19.040001
2017-06-16,19.030001000000002
2017-06-19,19.809998999999998
2017-06-20,19.17
2017-06-21,19.15
2017-06-22,19.290001
2017-06-23,19.549999
2017-06-26,19.620001000000002
2017-06-27,19.620001000000002
2017-06-28,19.889999
2017-06-29,20.0
2017-06-30,19.84
2017-07-03,19.889999
2017-07-05,19.969998999999998
2017-07-06,19.860001
2017-07-07,19.9
2017-07-10,19.82
2017-07-11,19.200001
2017-07-12,19.43
2017-07-13,19.58
2017-07-14,19.59
2017-07-17,19.639999
2017-07-18,20.24
2017-07-19,20.34
2017-07-20,19.83
2017-07-21,18.76
2017-07-24,18.719998999999998
2017-07-25,18.73
2017-07-26,18.950001
2017-07-27,18.5
2017-07-28,18.58
2017-07-31,18.469998999999998
2017-08-01,18.68
2017-08-02,18.58
2017-08-03,18.27
2017-08-04,18.299999
2017-08-07,17.6
2017-08-08,17.16
2017-08-09,17.08
2017-08-10,17.040001
2017-08-11,15.59
2017-08-14,15.95
2017-08-15,16.209999
2017-08-16,16.16
2017-08-17,16.030001000000002
2017-08-18,16.440001000000002
2017-08-21,16.879998999999998
2017-08-22,16.52
2017-08-23,16.450001
2017-08-24,16.57
2017-08-25,16.83
2017-08-28,16.92
2017-08-29,16.76
2017-08-30,16.370001000000002
2017-08-31,16.440001000000002
2017-09-01,16.360001
2017-09-05,16.049999
2017-09-06,16.25
2017-09-07,16.65
2017-09-08,16.469998999999998
2017-09-11,16.459999
2017-09-12,17.01
2017-09-13,17.23
2017-09-14,17.030001000000002
2017-09-15,16.860001
2017-09-18,16.790001
2017-09-19,16.98
2017-09-20,16.700001
2017-09-21,16.85
2017-09-22,17.09
2017-09-25,17.049999
2017-09-26,17.129998999999998
2017-09-27,17.559998999999998
2017-09-28,17.73
2017-09-29,17.76
2017-10-02,18.030001000000002
2017-10-03,17.870001000000002
2017-10-04,17.75
2017-10-05,18.040001
2017-10-06,18.02
2017-10-09,17.98
2017-10-10,18.0
2017-10-11,17.73
2017-10-12,17.73
2017-10-13,17.709999
2017-10-16,17.700001
2017-10-17,17.940001000000002
2017-10-18,18.1
2017-10-19,17.959999
2017-10-20,18.309998999999998
2017-10-23,18.200001
2017-10-24,18.25
2017-10-25,18.35
2017-10-26,18.440001000000002
2017-10-27,18.290001
2017-10-30,18.110001
2017-10-31,18.469998999999998
2017-11-01,18.209999
2017-11-02,18.200001
2017-11-03,18.09
2017-11-06,18.120001000000002
2017-11-07,18.0
2017-11-08,18.26
2017-11-09,18.74
2017-11-10,19.219998999999998
2017-11-13,17.469998999999998
2017-11-14,17.629998999999998
2017-11-15,17.950001
2017-11-16,18.41
2017-11-17,18.91
2017-11-20,19.15
2017-11-21,19.209999
2017-11-22,19.209999
2017-11-24,19.23
2017-11-27,18.93
2017-11-28,19.25
2017-11-29,19.49
2017-11-30,19.870001000000002
2017-12-01,19.83
2017-12-04,20.4
2017-12-05,20.17
2017-12-06,19.85
2017-12-07,20.219998999999998
2017-12-08,20.030001000000002
2017-12-11,19.940001000000002
2017-12-12,19.780001000000002
2017-12-13,20.040001
2017-12-14,19.959999
2017-12-15,20.440001000000002
2017-12-18,20.559998999999998
2017-12-19,20.700001
2017-12-20,20.73
2017-12-21,20.940001000000002
2017-12-22,21.23
2017-12-26,21.280001000000002
2017-12-27,21.139999
2017-12-28,21.17
2017-12-29,21.08
2018-01-02,20.85
2018-01-03,20.77
2018-01-04,20.58
2018-01-05,20.950001
2018-01-08,21.200001
2018-01-09,20.77
2018-01-10,20.889999
2018-01-11,21.09
2018-01-12,21.440001000000002
2018-01-16,20.82
2018-01-17,21.15
2018-01-18,20.85
2018-01-19,21.49
2018-01-22,21.33
2018-01-23,21.58
2018-01-24,21.59
2018-01-25,21.719998999999998
2018-01-26,21.9
2018-01-29,21.68
2018-01-30,21.360001
2018-01-31,21.450001
2018-02-01,21.35
2018-02-02,20.92
2018-02-05,19.690001000000002
2018-02-06,20.129998999999998
2018-02-07,20.26
2018-02-08,20.360001
2018-02-09,21.049999
2018-02-12,21.1
2018-02-13,21.190001000000002
2018-02-14,21.25
2018-02-15,21.530001000000002
2018-02-16,21.17
2018-02-20,21.01
2018-02-21,20.940001000000002
2018-02-22,21.26
2018-02-23,21.290001
