Date,IPXL
2013-05-22,18.610001
2013-05-23,18.6
2013-05-24,18.799999
2013-05-28,19.16
2013-05-29,19.77
2013-05-30,19.530001000000002
2013-05-31,18.966
2013-06-03,18.959999
2013-06-04,18.76
2013-06-05,18.860001
2013-06-06,19.02
2013-06-07,18.9
2013-06-10,18.985001
2013-06-11,18.700001
2013-06-12,18.84
2013-06-13,18.969998999999998
2013-06-14,18.85
2013-06-17,18.85
2013-06-18,18.85
2013-06-19,18.52
2013-06-20,17.959999
2013-06-21,18.09
2013-06-24,17.91
2013-06-25,19.0
2013-06-26,18.889999
2013-06-27,19.5
2013-06-28,19.938
2013-07-01,20.33
2013-07-02,20.299999
2013-07-03,19.889999
2013-07-05,20.360001
2013-07-08,20.330999
2013-07-09,20.309998999999998
2013-07-10,20.219998999999998
2013-07-11,20.41
2013-07-12,20.24
2013-07-15,20.120001000000002
2013-07-16,20.25
2013-07-17,20.200001
2013-07-18,20.25
2013-07-19,20.610001
2013-07-22,20.73
2013-07-23,20.76
2013-07-24,20.629998999999998
2013-07-25,20.969998999999998
2013-07-26,20.940001000000002
2013-07-29,20.790001
2013-07-30,20.860001
2013-07-31,20.74
2013-08-01,20.83
2013-08-02,20.969998999999998
2013-08-05,21.25
2013-08-06,21.049999
2013-08-07,20.809998999999998
2013-08-08,20.959999
2013-08-09,21.74
2013-08-12,21.35
2013-08-13,21.15
2013-08-14,21.23
2013-08-15,20.690001000000002
2013-08-16,20.65
2013-08-19,20.709999
2013-08-20,20.879998999999998
2013-08-21,20.799999
2013-08-22,20.9
2013-08-23,20.950001
2013-08-26,21.25
2013-08-27,20.59
2013-08-28,20.459999
2013-08-29,20.91
2013-08-30,20.379998999999998
2013-09-03,20.26
2013-09-04,20.65
2013-09-05,21.059998999999998
2013-09-06,21.040001
2013-09-09,21.0
2013-09-10,20.879998999999998
2013-09-11,20.629998999999998
2013-09-12,20.309998999999998
2013-09-13,20.639999
2013-09-16,20.59
2013-09-17,20.889999
2013-09-18,20.34
2013-09-19,19.959999
2013-09-20,20.379998999999998
2013-09-23,20.34
2013-09-24,20.309998999999998
2013-09-25,20.35
2013-09-26,20.35
2013-09-27,20.309998999999998
2013-09-30,20.469998999999998
2013-10-01,21.25
2013-10-02,21.290001
2013-10-03,20.82
2013-10-04,20.83
2013-10-07,20.66
2013-10-08,20.110001
2013-10-09,19.66
2013-10-10,19.795
2013-10-11,19.594998999999998
2013-10-14,19.719998999999998
2013-10-15,19.42
2013-10-16,19.73
2013-10-17,20.190001000000002
2013-10-18,20.52
2013-10-21,20.129998999999998
2013-10-22,20.370001000000002
2013-10-23,20.59
2013-10-24,20.469998999999998
2013-10-25,20.469998999999998
2013-10-28,20.610001
2013-10-29,20.68
2013-10-30,20.299999
2013-10-31,20.26
2013-11-01,20.889999
2013-11-04,21.01
2013-11-05,22.16
2013-11-06,22.040001
2013-11-07,22.01
2013-11-08,22.51
2013-11-11,22.379998999999998
2013-11-12,22.700001
2013-11-13,23.57
2013-11-14,23.139999
2013-11-15,23.299999
2013-11-18,22.85
2013-11-19,22.82
2013-11-20,23.139999
2013-11-21,23.4
2013-11-22,23.49
2013-11-25,23.389999
2013-11-26,23.48
2013-11-27,23.709999
2013-11-29,24.040001
2013-12-02,23.379998999999998
2013-12-03,23.18
2013-12-04,23.719998999999998
2013-12-05,23.51
2013-12-06,23.68
2013-12-09,23.67
2013-12-10,23.799999
2013-12-11,23.120001000000002
2013-12-12,23.09
2013-12-13,22.91
2013-12-16,23.450001
2013-12-17,23.360001
2013-12-18,24.17
2013-12-19,23.99
2013-12-20,25.02
2013-12-23,25.040001
2013-12-24,25.0
2013-12-26,25.030001000000002
2013-12-27,25.040001
2013-12-30,24.83
2013-12-31,25.139999
2014-01-02,24.82
2014-01-03,25.18
2014-01-06,25.219998999999998
2014-01-07,24.51
2014-01-08,24.549999
2014-01-09,24.41
2014-01-10,24.57
2014-01-13,24.440001000000002
2014-01-14,24.450001
2014-01-15,24.709999
2014-01-16,24.559998999999998
2014-01-17,24.620001000000002
2014-01-21,24.76
2014-01-22,25.18
2014-01-23,25.15
2014-01-24,23.99
2014-01-27,23.16
2014-01-28,23.950001
2014-01-29,23.4
2014-01-30,23.951
2014-01-31,23.139999
2014-02-03,22.379998999999998
2014-02-04,22.559998999999998
2014-02-05,22.290001
2014-02-06,22.219998999999998
2014-02-07,22.67
2014-02-10,23.049999
2014-02-11,22.370001000000002
2014-02-12,22.02
2014-02-13,22.42
2014-02-14,22.610001
2014-02-18,23.82
2014-02-19,24.26
2014-02-20,25.280001000000002
2014-02-21,25.77
2014-02-24,25.57
2014-02-25,25.360001
2014-02-26,25.530001000000002
2014-02-27,25.959999
2014-02-28,25.77
2014-03-03,25.799999
2014-03-04,26.969998999999998
2014-03-05,27.6
2014-03-06,27.27
2014-03-07,27.450001
2014-03-10,27.59
2014-03-11,26.629998999999998
2014-03-12,26.690001000000002
2014-03-13,26.51
2014-03-14,27.809998999999998
2014-03-17,27.91
2014-03-18,27.84
2014-03-19,27.389999
2014-03-20,26.9
2014-03-21,26.43
2014-03-24,25.57
2014-03-25,25.440001000000002
2014-03-26,25.120001000000002
2014-03-27,25.76
2014-03-28,24.77
2014-03-31,26.42
2014-04-01,26.49
2014-04-02,26.24
2014-04-03,25.34
2014-04-04,23.6
2014-04-07,23.809998999999998
2014-04-08,24.5
2014-04-09,24.77
2014-04-10,24.379998999999998
2014-04-11,24.549999
2014-04-14,24.57
2014-04-15,24.030001000000002
2014-04-16,24.309998999999998
2014-04-17,23.92
2014-04-21,25.65
2014-04-22,26.049999
2014-04-23,26.27
2014-04-24,26.709999
2014-04-25,26.59
2014-04-28,26.01
2014-04-29,26.309998999999998
2014-04-30,26.15
2014-05-01,26.57
2014-05-02,27.0
2014-05-05,26.639999
2014-05-06,26.0
2014-05-07,26.4
2014-05-08,26.190001000000002
2014-05-09,26.52
2014-05-12,26.68
2014-05-13,25.93
2014-05-14,25.24
2014-05-15,25.559998999999998
2014-05-16,26.17
2014-05-19,26.23
2014-05-20,26.66
2014-05-21,26.49
2014-05-22,27.23
2014-05-23,27.889999
2014-05-27,28.26
2014-05-28,28.02
2014-05-29,27.700001
2014-05-30,27.76
2014-06-02,27.379998999999998
2014-06-03,27.66
2014-06-04,27.799999
2014-06-05,28.190001000000002
2014-06-06,28.74
2014-06-09,28.610001
2014-06-10,28.450001
2014-06-11,27.889999
2014-06-12,28.110001
2014-06-13,28.66
2014-06-16,28.42
2014-06-17,28.504998999999998
2014-06-18,28.610001
2014-06-19,29.26
2014-06-20,30.0
2014-06-23,30.360001
2014-06-24,30.299999
2014-06-25,30.68
2014-06-26,30.27
2014-06-27,30.25
2014-06-30,29.99
2014-07-01,30.74
2014-07-02,30.52
2014-07-03,30.68
2014-07-07,29.280001000000002
2014-07-08,28.799999
2014-07-09,29.32
2014-07-10,28.92
2014-07-11,29.030001000000002
2014-07-14,29.18
2014-07-15,28.66
2014-07-16,28.09
2014-07-17,27.719998999999998
2014-07-18,28.879998999999998
2014-07-21,28.940001000000002
2014-07-22,29.01
2014-07-23,28.940001000000002
2014-07-24,28.16
2014-07-25,27.870001000000002
2014-07-28,28.030001000000002
2014-07-29,23.76
2014-07-30,23.370001000000002
2014-07-31,23.389999
2014-08-01,23.629998999999998
2014-08-04,22.77
2014-08-05,23.549999
2014-08-06,24.059998999999998
2014-08-07,23.6
2014-08-08,23.48
2014-08-11,23.559998999999998
2014-08-12,23.51
2014-08-13,23.4
2014-08-14,23.6
2014-08-15,23.889999
2014-08-18,23.93
2014-08-19,24.48
2014-08-20,24.299999
2014-08-21,24.450001
2014-08-22,24.43
2014-08-25,24.74
2014-08-26,24.91
2014-08-27,24.530001000000002
2014-08-28,24.65
2014-08-29,24.639999
2014-09-02,25.02
2014-09-03,25.0
2014-09-04,24.690001000000002
2014-09-05,24.6
2014-09-08,24.879998999999998
2014-09-09,24.129998999999998
2014-09-10,24.379998999999998
2014-09-11,24.360001
2014-09-12,24.139999
2014-09-15,24.15
2014-09-16,24.0
2014-09-17,24.76
2014-09-18,25.25
2014-09-19,24.530001000000002
2014-09-22,24.549999
2014-09-23,24.280001000000002
2014-09-24,24.639999
2014-09-25,24.309998999999998
2014-09-26,24.34
2014-09-29,24.34
2014-09-30,23.709999
2014-10-01,23.52
2014-10-02,23.629998999999998
2014-10-03,24.379998999999998
2014-10-06,24.0
2014-10-07,23.75
2014-10-08,23.84
2014-10-09,26.65
2014-10-10,27.24
2014-10-13,27.110001
2014-10-14,27.719998999999998
2014-10-15,26.74
2014-10-16,27.004998999999998
2014-10-17,26.709999
2014-10-20,27.42
2014-10-21,27.01
2014-10-22,27.09
2014-10-23,27.799999
2014-10-24,27.799999
2014-10-27,28.139999
2014-10-28,27.959999
2014-10-29,28.190001000000002
2014-10-30,28.620001000000002
2014-10-31,28.969998999999998
2014-11-03,29.040001
2014-11-04,29.34
2014-11-05,29.34
2014-11-06,28.76
2014-11-07,28.57
2014-11-10,29.049999
2014-11-11,29.120001000000002
2014-11-12,29.389999
2014-11-13,29.059998999999998
2014-11-14,28.860001
2014-11-17,28.709999
2014-11-18,29.540001
2014-11-19,30.26
2014-11-20,31.389999
2014-11-21,30.799999
2014-11-24,31.389999
2014-11-25,31.73
2014-11-26,32.32
2014-11-28,31.950001
2014-12-01,32.02
2014-12-02,31.610001
2014-12-03,32.169998
2014-12-04,31.58
2014-12-05,32.400002
2014-12-08,32.66
2014-12-09,32.75
2014-12-10,31.65
2014-12-11,31.9
2014-12-12,31.16
2014-12-15,30.639999
2014-12-16,29.09
2014-12-17,29.93
2014-12-18,30.785
2014-12-19,31.32
2014-12-22,31.540001
2014-12-23,31.059998999999998
2014-12-24,31.32
2014-12-26,31.99
2014-12-29,31.84
2014-12-30,32.009997999999996
2014-12-31,31.68
