Date,ALR
2018-03-14,3.38
2018-03-15,3.4
2018-03-16,3.4
2018-03-19,3.36
2018-03-20,3.38
2018-03-21,3.35
2018-03-22,3.28
2018-03-23,3.38
2018-03-26,3.88
2018-03-27,3.85
2018-03-28,3.8
2018-03-29,3.84
2018-04-02,3.82
2018-04-03,3.8
2018-04-04,3.82
2018-04-05,3.85
2018-04-06,3.85
2018-04-09,3.85
2018-04-10,3.94
2018-04-11,3.95
2018-04-12,3.92
2018-04-13,3.99
2018-04-16,3.95
2018-04-17,3.98
2018-04-18,4.15
2018-04-19,4.1
2018-04-20,4.2
2018-04-23,4.12
2018-04-24,4.05
2018-04-25,3.97
2018-04-26,4.08
2018-04-27,4.0
2018-04-30,4.07
2018-05-01,4.07
2018-05-02,4.03
2018-05-03,4.06
2018-05-04,4.1
2018-05-07,4.14
2018-05-08,4.15
2018-05-09,4.24
2018-05-10,4.24
2018-05-11,4.23
2018-05-14,3.9
2018-05-15,3.8
2018-05-16,3.8
2018-05-17,3.76
2018-05-18,3.69
2018-05-21,3.4
2018-05-22,3.34
2018-05-23,3.28
2018-05-24,3.25
2018-05-25,3.16
2018-05-29,3.26
2018-05-30,3.17
2018-05-31,3.26
2018-06-01,3.26
2018-06-04,3.35
2018-06-05,3.31
2018-06-06,3.36
2018-06-07,3.37
2018-06-08,3.37
2018-06-11,3.4
2018-06-12,3.55
2018-06-13,3.52
2018-06-14,3.5
2018-06-15,3.5
2018-06-18,3.57
2018-06-19,3.51
2018-06-20,3.57
2018-06-21,3.69
2018-06-22,3.61
2018-06-25,3.64
2018-06-26,3.61
2018-06-27,4.15
2018-06-28,4.24
2018-06-29,4.27
2018-07-02,4.2
2018-07-03,4.05
2018-07-05,4.03
2018-07-06,3.94
2018-07-09,3.93
2018-07-10,3.91
2018-07-11,3.87
2018-07-12,3.68
2018-07-13,3.52
2018-07-16,3.55
2018-07-17,3.47
2018-07-18,3.51
2018-07-19,3.52
2018-07-20,3.5
2018-07-23,3.45
2018-07-24,3.51
2018-07-25,3.5
2018-07-26,3.5
2018-07-27,3.56
2018-07-30,3.63
2018-07-31,3.67
2018-08-01,3.7
2018-08-02,3.7
2018-08-03,3.69
2018-08-06,3.67
2018-08-07,3.67
2018-08-08,3.66
2018-08-09,3.69
2018-08-10,3.49
2018-08-13,3.5
2018-08-14,3.39
2018-08-15,3.39
2018-08-16,3.2
2018-08-17,3.06
2018-08-20,3.16
2018-08-21,3.12
2018-08-22,3.14
2018-08-23,3.1
2018-08-24,3.14
2018-08-27,3.07
2018-08-28,3.12
2018-08-29,3.1
2018-08-30,3.13
2018-08-31,3.12
2018-09-04,3.1
2018-09-05,3.09
2018-09-06,3.05
2018-09-07,3.13
2018-09-10,3.14
2018-09-11,3.11
2018-09-12,3.14
2018-09-13,3.1
2018-09-14,3.0
2018-09-17,2.97
2018-09-18,2.96
2018-09-19,2.97
2018-09-20,2.98
2018-09-21,3.04
2018-09-24,3.01
2018-09-25,3.03
2018-09-26,3.05
2018-09-27,3.05
2018-09-28,3.01
2018-10-01,3.02
2018-10-02,3.05
2018-10-03,3.04
2018-10-04,3.06
2018-10-05,3.01
2018-10-08,3.04
2018-10-09,3.01
2018-10-10,3.01
2018-10-11,2.92
2018-10-12,2.96
2018-10-15,2.97
2018-10-16,2.98
2018-10-17,2.97
2018-10-18,2.98
2018-10-19,2.94
2018-10-22,2.94
2018-10-23,2.94
2018-10-24,2.93
2018-10-25,2.89
2018-10-26,2.81
2018-10-29,2.9
2018-10-30,2.84
2018-10-31,2.88
2018-11-01,2.95
2018-11-02,3.03
2018-11-05,3.12
2018-11-06,3.13
2018-11-07,3.18
2018-11-08,3.29
2018-11-09,3.48
2018-11-12,3.48
2018-11-13,3.44
2018-11-14,3.37
2018-11-15,3.36
2018-11-16,3.4
2018-11-19,3.43
2018-11-20,3.4
2018-11-21,3.45
2018-11-23,3.48
2018-11-26,3.54
2018-11-27,3.5
2018-11-28,3.5
2018-11-29,3.55
2018-11-30,3.55
2018-12-03,3.54
2018-12-04,3.5
2018-12-06,3.48
2018-12-07,3.54
2018-12-10,3.49
2018-12-11,3.49
2018-12-12,3.47
2018-12-13,3.58
2018-12-14,3.51
2018-12-17,3.49
2018-12-18,3.39
2018-12-19,3.0
