Date,TA
2007-02-01,146.5
2007-02-02,147.149994
2007-02-05,162.550003
2007-02-06,162.5
2007-02-07,160.75
2007-02-08,174.899994
2007-02-09,180.0
2007-02-12,186.25
2007-02-13,197.5
2007-02-14,202.0
2007-02-15,200.25
2007-02-16,199.949997
2007-02-20,196.25
2007-02-21,196.25
2007-02-22,192.850006
2007-02-23,194.899994
2007-02-26,192.25
2007-02-27,184.949997
2007-02-28,181.5
2007-03-01,178.300003
2007-03-02,179.25
2007-03-05,175.0
2007-03-06,175.0
2007-03-07,172.5
2007-03-08,181.0
2007-03-09,181.5
2007-03-12,187.100006
2007-03-13,184.25
2007-03-14,185.350006
2007-03-15,182.0
2007-03-16,184.25
2007-03-19,183.75
2007-03-20,183.5
2007-03-21,187.699997
2007-03-22,186.25
2007-03-23,187.0
2007-03-26,189.050003
2007-03-27,185.5
2007-03-28,187.5
2007-03-29,188.649994
2007-03-30,192.100006
2007-04-02,199.75
2007-04-03,201.050003
2007-04-04,202.399994
2007-04-05,200.75
2007-04-09,203.25
2007-04-10,203.0
2007-04-11,203.199997
2007-04-12,203.050003
2007-04-13,203.0
2007-04-16,203.5
2007-04-17,210.0
2007-04-18,215.25
2007-04-19,219.94999700000002
2007-04-20,225.25
2007-04-23,225.0
2007-04-24,221.94999700000002
2007-04-25,219.80000299999998
2007-04-26,218.69999700000002
2007-04-27,221.44999700000002
2007-04-30,221.30000299999998
2007-05-01,218.75
2007-05-02,219.44999700000002
2007-05-03,219.0
2007-05-04,220.5
2007-05-07,219.399994
2007-05-08,219.5
2007-05-09,218.94999700000002
2007-05-10,218.899994
2007-05-11,213.100006
2007-05-14,210.05000299999998
2007-05-15,207.800003
2007-05-16,201.25
2007-05-17,199.949997
2007-05-18,200.699997
2007-05-21,201.5
2007-05-22,198.699997
2007-05-23,199.0
2007-05-24,196.25
2007-05-25,198.75
2007-05-29,199.5
2007-05-30,200.0
2007-05-31,219.75
2007-06-01,229.850006
2007-06-04,231.75
2007-06-05,230.0
2007-06-06,230.600006
2007-06-07,229.600006
2007-06-08,226.5
2007-06-11,228.5
2007-06-12,227.19999700000002
2007-06-13,229.75
2007-06-14,232.5
2007-06-15,236.25
2007-06-18,228.100006
2007-06-19,221.5
2007-06-20,222.5
2007-06-21,223.25
2007-06-22,216.25
2007-06-25,213.75
2007-06-26,215.5
2007-06-27,210.600006
2007-06-28,205.5
2007-06-29,202.25
2007-07-02,202.899994
2007-07-03,203.25
2007-07-05,200.550003
2007-07-06,204.25
2007-07-09,200.949997
2007-07-10,200.050003
2007-07-11,204.5
2007-07-12,204.449997
2007-07-13,205.75
2007-07-16,202.5
2007-07-17,204.399994
2007-07-18,202.5
2007-07-19,202.050003
2007-07-20,201.75
2007-07-23,200.0
2007-07-24,191.5
2007-07-25,186.949997
2007-07-26,181.25
2007-07-27,177.5
2007-07-30,179.0
2007-07-31,182.600006
2007-08-01,178.399994
2007-08-02,181.75
2007-08-03,180.199997
2007-08-06,174.25
2007-08-07,171.899994
2007-08-08,175.25
2007-08-09,169.600006
2007-08-10,176.25
2007-08-13,177.25
2007-08-14,170.0
2007-08-15,160.399994
2007-08-16,161.0
2007-08-17,164.5
2007-08-20,166.600006
2007-08-21,168.5
2007-08-22,174.25
2007-08-23,176.399994
2007-08-24,176.550003
2007-08-27,178.25
2007-08-28,175.0
2007-08-29,175.0
2007-08-30,176.0
2007-08-31,178.100006
2007-09-04,174.0
2007-09-05,175.5
2007-09-06,174.899994
2007-09-07,174.75
2007-09-10,173.699997
2007-09-11,171.800003
2007-09-12,169.5
2007-09-13,168.25
2007-09-14,170.399994
2007-09-17,169.25
2007-09-18,169.5
2007-09-19,168.75
2007-09-20,165.149994
2007-09-21,168.399994
2007-09-24,162.75
2007-09-25,161.25
2007-09-26,159.649994
2007-09-27,160.149994
2007-09-28,163.0
2007-10-01,159.5
2007-10-02,159.350006
2007-10-03,155.25
2007-10-04,154.0
2007-10-05,160.0
2007-10-08,158.25
2007-10-09,157.25
2007-10-10,153.449997
2007-10-11,152.5
2007-10-12,147.550003
2007-10-15,140.25
2007-10-16,137.649994
2007-10-17,138.75
2007-10-18,138.0
2007-10-19,136.0
2007-10-22,135.5
2007-10-23,132.199997
2007-10-24,132.350006
2007-10-25,130.0
2007-10-26,135.199997
2007-10-29,135.699997
2007-10-30,129.5
2007-10-31,130.0
2007-11-01,130.0
2007-11-02,129.199997
2007-11-05,129.649994
2007-11-06,129.25
2007-11-07,129.0
2007-11-08,127.650002
2007-11-09,126.25
2007-11-12,118.75
2007-11-13,85.800003
2007-11-14,66.25
2007-11-15,69.949997
2007-11-16,78.75
2007-11-19,73.650002
2007-11-20,73.75
2007-11-21,72.5
2007-11-23,73.349998
2007-11-26,74.949997
2007-11-27,72.0
2007-11-28,75.25
2007-11-29,74.75
2007-11-30,75.050003
2007-12-03,73.75
2007-12-04,72.5
2007-12-05,71.0
2007-12-06,72.199997
2007-12-07,70.599998
2007-12-10,71.0
2007-12-11,67.199997
2007-12-12,67.0
2007-12-13,65.75
2007-12-14,66.0
2007-12-17,62.5
2007-12-18,62.549999
2007-12-19,61.650002
2007-12-20,62.299999
2007-12-21,64.0
2007-12-24,64.0
2007-12-26,63.400002
2007-12-27,63.200001
2007-12-28,63.0
2007-12-31,62.5
2008-01-02,62.0
2008-01-03,59.5
2008-01-04,56.0
2008-01-07,61.5
2008-01-08,63.25
2008-01-09,63.5
2008-01-10,65.0
2008-01-11,68.0
2008-01-14,69.550003
2008-01-15,70.5
2008-01-16,69.650002
2008-01-17,67.949997
2008-01-18,67.699997
2008-01-22,70.650002
2008-01-23,67.699997
2008-01-24,68.0
2008-01-25,66.949997
2008-01-28,68.0
2008-01-29,67.699997
2008-01-30,67.199997
2008-01-31,71.199997
2008-02-01,72.25
2008-02-04,72.449997
2008-02-05,71.300003
2008-02-06,70.300003
2008-02-07,71.0
2008-02-08,70.199997
2008-02-11,69.300003
2008-02-12,68.300003
2008-02-13,68.800003
2008-02-14,67.449997
2008-02-15,68.900002
2008-02-19,69.25
2008-02-20,67.550003
2008-02-21,67.5
2008-02-22,66.599998
2008-02-25,65.550003
2008-02-26,65.550003
2008-02-27,64.75
2008-02-28,63.900002
2008-02-29,64.849998
2008-03-03,61.849998
2008-03-04,59.25
2008-03-05,56.299999
2008-03-06,50.849998
2008-03-07,39.75
2008-03-10,34.5
2008-03-11,29.5
2008-03-12,32.450001
2008-03-13,34.0
2008-03-14,34.0
2008-03-17,33.0
2008-03-18,33.599998
2008-03-19,35.0
2008-03-20,36.400002
