Date,TPH
2013-01-31,19.049999
2013-02-01,19.0
2013-02-04,18.4
2013-02-05,18.18
2013-02-06,18.16
2013-02-07,18.450001
2013-02-08,18.639999
2013-02-11,19.02
2013-02-12,18.860001
2013-02-13,19.030001000000002
2013-02-14,18.969998999999998
2013-02-15,18.76
2013-02-19,18.59
2013-02-20,17.969998999999998
2013-02-21,18.030001000000002
2013-02-22,18.059998999999998
2013-02-25,18.190001000000002
2013-02-26,18.27
2013-02-27,18.49
2013-02-28,18.4
2013-03-01,18.299999
2013-03-04,18.120001000000002
2013-03-05,18.26
2013-03-06,18.549999
2013-03-07,18.35
2013-03-08,19.030001000000002
2013-03-11,19.280001000000002
2013-03-12,19.15
2013-03-13,18.969998999999998
2013-03-14,19.059998999999998
2013-03-15,18.99
2013-03-18,19.639999
2013-03-19,19.73
2013-03-20,20.51
2013-03-21,19.950001
2013-03-22,19.51
2013-03-25,19.93
2013-03-26,20.5
2013-03-27,20.48
2013-03-28,20.15
2013-04-01,20.02
2013-04-02,19.74
2013-04-03,19.16
2013-04-04,19.030001000000002
2013-04-05,19.389999
2013-04-08,19.59
2013-04-09,19.65
2013-04-10,19.280001000000002
2013-04-11,19.26
2013-04-12,19.25
2013-04-15,18.5
2013-04-16,18.73
2013-04-17,18.700001
2013-04-18,18.75
2013-04-19,18.76
2013-04-22,18.85
2013-04-23,19.4
2013-04-24,19.450001
2013-04-25,19.620001000000002
2013-04-26,19.629998999999998
2013-04-29,19.32
2013-04-30,19.0
2013-05-01,18.5
2013-05-02,18.860001
2013-05-03,18.860001
2013-05-06,18.99
2013-05-07,19.1
2013-05-08,19.08
2013-05-09,18.700001
2013-05-10,18.879998999999998
2013-05-13,18.73
2013-05-14,19.200001
2013-05-15,19.0
2013-05-16,18.26
2013-05-17,18.25
2013-05-20,18.059998999999998
2013-05-21,18.030001000000002
2013-05-22,17.959999
2013-05-23,18.040001
2013-05-24,18.08
2013-05-28,18.139999
2013-05-29,17.309998999999998
2013-05-30,17.01
2013-05-31,16.84
2013-06-03,16.92
2013-06-04,16.629998999999998
2013-06-05,16.42
2013-06-06,16.17
2013-06-07,16.67
2013-06-10,16.6
2013-06-11,16.790001
2013-06-12,16.610001
2013-06-13,16.719998999999998
2013-06-14,16.610001
2013-06-17,16.59
2013-06-18,16.610001
2013-06-19,16.459999
2013-06-20,16.15
2013-06-21,15.44
2013-06-24,14.4
2013-06-25,14.92
2013-06-26,14.7
2013-06-27,15.34
2013-06-28,16.58
2013-07-01,16.35
2013-07-02,16.09
2013-07-03,16.08
2013-07-05,16.049999
2013-07-08,15.5
2013-07-09,16.02
2013-07-10,15.93
2013-07-11,16.9
2013-07-12,16.92
2013-07-15,16.84
2013-07-16,16.74
2013-07-17,16.77
2013-07-18,16.9
2013-07-19,16.93
2013-07-22,16.809998999999998
2013-07-23,16.719998999999998
2013-07-24,16.1
2013-07-25,15.46
2013-07-26,15.44
2013-07-29,15.15
2013-07-30,14.98
2013-07-31,15.09
2013-08-01,15.45
2013-08-02,15.29
2013-08-05,15.2
2013-08-06,15.02
2013-08-07,14.92
2013-08-08,15.15
2013-08-09,14.78
2013-08-12,14.92
2013-08-13,15.1
2013-08-14,15.21
2013-08-15,15.09
2013-08-16,15.14
2013-08-19,15.04
2013-08-20,15.18
2013-08-21,15.04
2013-08-22,15.32
2013-08-23,14.9
2013-08-26,14.61
2013-08-27,14.35
2013-08-28,14.3
2013-08-29,14.57
2013-08-30,14.03
2013-09-03,14.25
2013-09-04,14.22
2013-09-05,14.08
2013-09-06,14.06
2013-09-09,14.79
2013-09-10,14.96
2013-09-11,15.09
2013-09-12,15.14
2013-09-13,15.18
2013-09-16,15.07
2013-09-17,14.97
2013-09-18,15.13
2013-09-19,15.12
2013-09-20,14.94
2013-09-23,14.38
2013-09-24,14.58
2013-09-25,14.46
2013-09-26,14.51
2013-09-27,14.54
2013-09-30,14.68
2013-10-01,14.42
2013-10-02,14.7
2013-10-03,14.17
2013-10-04,14.11
2013-10-07,14.23
2013-10-08,13.66
2013-10-09,13.66
2013-10-10,13.88
2013-10-11,13.93
2013-10-14,13.71
2013-10-15,13.71
2013-10-16,13.72
2013-10-17,13.92
2013-10-18,14.07
2013-10-21,14.89
2013-10-22,15.39
2013-10-23,15.75
2013-10-24,16.360001
2013-10-25,16.200001
2013-10-28,16.0
2013-10-29,16.200001
2013-10-30,15.9
2013-10-31,15.92
2013-11-01,15.38
2013-11-04,16.15
2013-11-05,16.559998999999998
2013-11-06,16.700001
2013-11-07,16.629998999999998
2013-11-08,16.5
2013-11-11,16.5
2013-11-12,16.82
2013-11-13,18.42
2013-11-14,19.040001
2013-11-15,18.74
2013-11-18,18.67
2013-11-19,18.49
2013-11-20,18.629998999999998
2013-11-21,18.93
2013-11-22,19.049999
2013-11-25,18.91
2013-11-26,19.92
2013-11-27,19.76
2013-11-29,19.85
2013-12-02,19.18
2013-12-03,19.209999
2013-12-04,19.23
2013-12-05,18.540001
2013-12-06,18.790001
2013-12-09,19.25
2013-12-10,19.41
2013-12-11,18.43
2013-12-12,18.26
2013-12-13,18.42
2013-12-16,18.030001000000002
2013-12-17,18.32
2013-12-18,18.91
2013-12-19,18.690001000000002
2013-12-20,19.299999
2013-12-23,19.5
2013-12-24,19.549999
2013-12-26,19.35
2013-12-27,19.190001000000002
2013-12-30,19.32
2013-12-31,19.93
2014-01-02,19.139999
2014-01-03,19.65
2014-01-06,19.16
2014-01-07,18.860001
2014-01-08,18.49
2014-01-09,18.440001000000002
2014-01-10,17.959999
2014-01-13,17.16
2014-01-14,17.209999
2014-01-15,17.370001000000002
2014-01-16,17.48
2014-01-17,17.91
2014-01-21,17.309998999999998
2014-01-22,17.809998999999998
2014-01-23,17.610001
2014-01-24,17.51
2014-01-27,17.35
2014-01-28,17.73
2014-01-29,17.709999
2014-01-30,17.700001
2014-01-31,17.639999
2014-02-03,17.26
2014-02-04,17.26
2014-02-05,17.51
2014-02-06,18.040001
2014-02-07,18.49
2014-02-10,18.190001000000002
2014-02-11,17.57
2014-02-12,17.209999
2014-02-13,16.950001
2014-02-14,16.93
2014-02-18,16.9
2014-02-19,16.49
2014-02-20,16.51
2014-02-21,17.190001000000002
2014-02-24,17.290001
2014-02-25,17.370001000000002
2014-02-26,18.379998999999998
2014-02-27,18.9
2014-02-28,18.219998999999998
2014-03-03,18.049999
2014-03-04,18.08
2014-03-05,17.85
2014-03-06,18.139999
2014-03-07,18.08
2014-03-10,17.700001
2014-03-11,17.389999
2014-03-12,17.299999
2014-03-13,17.120001000000002
2014-03-14,17.389999
2014-03-17,17.440001000000002
2014-03-18,17.389999
2014-03-19,17.200001
2014-03-20,17.35
2014-03-21,16.450001
2014-03-24,16.98
2014-03-25,16.719998999999998
2014-03-26,16.469998999999998
2014-03-27,16.26
2014-03-28,16.51
2014-03-31,16.23
2014-04-01,16.43
2014-04-02,17.07
2014-04-03,17.0
