Date,CME
2002-12-06,8.58
2002-12-09,8.404
2002-12-10,8.55
2002-12-11,9.012
2002-12-12,8.782
2002-12-13,8.73
2002-12-16,8.62
2002-12-17,8.654
2002-12-18,8.534
2002-12-19,8.46
2002-12-20,8.89
2002-12-23,8.68
2002-12-24,8.61
2002-12-26,8.52
2002-12-27,8.4
2002-12-30,8.464
2002-12-31,8.732
2003-01-02,8.744
2003-01-03,9.16
2003-01-06,9.62
2003-01-07,9.604
2003-01-08,9.602
2003-01-09,9.81
2003-01-10,9.798
2003-01-13,9.924
2003-01-14,9.82
2003-01-15,9.41
2003-01-16,9.076
2003-01-17,9.004
2003-01-21,8.89
2003-01-22,8.83
2003-01-23,9.086
2003-01-24,9.398
2003-01-27,9.25
2003-01-28,9.202
2003-01-29,9.3
2003-01-30,8.84
2003-01-31,8.5
2003-02-03,8.47
2003-02-04,8.4
2003-02-05,8.348
2003-02-06,8.3
2003-02-07,8.422
2003-02-10,8.6
2003-02-11,8.582
2003-02-12,8.582
2003-02-13,8.7
2003-02-14,8.9
2003-02-18,8.904
2003-02-19,8.954
2003-02-20,9.006
2003-02-21,9.072
2003-02-24,9.108
2003-02-25,9.144
2003-02-26,9.068
2003-02-27,8.66
2003-02-28,8.61
2003-03-03,8.626
2003-03-04,8.564
2003-03-05,8.45
2003-03-06,8.468
2003-03-07,8.466
2003-03-10,8.472
2003-03-11,8.454
2003-03-12,8.476
2003-03-13,8.504
2003-03-14,8.64
2003-03-17,9.19
2003-03-18,9.21
2003-03-19,9.39
2003-03-20,9.11
2003-03-21,9.42
2003-03-24,9.6
2003-03-25,9.686
2003-03-26,9.7
2003-03-27,9.78
2003-03-28,9.73
2003-03-31,9.63
2003-04-01,9.594
2003-04-02,9.632
2003-04-03,9.656
2003-04-04,9.68
2003-04-07,9.34
2003-04-08,9.292
2003-04-09,9.35
2003-04-10,9.424
2003-04-11,9.354
2003-04-14,9.502
2003-04-15,9.5
2003-04-16,9.522
2003-04-17,9.808
2003-04-21,9.744
2003-04-22,9.958
2003-04-23,10.1
2003-04-24,10.32
2003-04-25,10.49
2003-04-28,11.08
2003-04-29,11.13
2003-04-30,11.308
2003-05-01,11.156
2003-05-02,11.4
2003-05-05,11.36
2003-05-06,11.3
2003-05-07,11.12
2003-05-08,11.076
2003-05-09,11.144
2003-05-12,11.34
2003-05-13,11.72
2003-05-14,11.698
2003-05-15,11.724
2003-05-16,12.0
2003-05-19,11.71
2003-05-20,11.708
2003-05-21,11.834
2003-05-22,11.94
2003-05-23,12.036
2003-05-27,11.906
2003-05-28,12.09
2003-05-29,12.048
2003-05-30,12.296
2003-06-02,12.41
2003-06-03,12.464
2003-06-04,12.64
2003-06-05,12.602
2003-06-06,12.2
2003-06-09,12.4
2003-06-10,12.44
2003-06-11,12.47
2003-06-12,12.828
2003-06-13,12.904
2003-06-16,13.124
2003-06-17,13.88
2003-06-18,13.92
2003-06-19,13.6
2003-06-20,13.254
2003-06-23,13.202
2003-06-24,13.694
2003-06-25,13.402
2003-06-26,13.83
2003-06-27,13.92
2003-06-30,13.926
2003-07-01,14.914
2003-07-02,14.93
2003-07-03,14.77
2003-07-07,14.85
2003-07-08,14.882
2003-07-09,15.304
2003-07-10,15.5
2003-07-11,15.142
