Date,KERX
2012-06-18,1.74
2012-06-19,1.76
2012-06-20,1.8
2012-06-21,1.82
2012-06-22,1.78
2012-06-25,1.78
2012-06-26,1.73
2012-06-27,1.79
2012-06-28,1.8
2012-06-29,1.8
2012-07-02,1.82
2012-07-03,2.0
2012-07-05,1.97
2012-07-06,1.94
2012-07-09,2.02
2012-07-10,2.14
2012-07-11,2.1
2012-07-12,2.06
2012-07-13,2.06
2012-07-16,1.88
2012-07-17,1.98
2012-07-18,1.94
2012-07-19,1.89
2012-07-20,1.99
2012-07-23,1.91
2012-07-24,1.91
2012-07-25,1.9
2012-07-26,1.92
2012-07-27,1.92
2012-07-30,1.82
2012-07-31,1.82
2012-08-01,1.79
2012-08-02,1.8
2012-08-03,1.83
2012-08-06,1.84
2012-08-07,1.85
2012-08-08,1.87
2012-08-09,1.87
2012-08-10,1.86
2012-08-13,1.865
2012-08-14,1.915
2012-08-15,1.93
2012-08-16,1.99
2012-08-17,2.0
2012-08-20,2.12
2012-08-21,2.07
2012-08-22,2.08
2012-08-23,2.1
2012-08-24,2.03
2012-08-27,1.95
2012-08-28,2.05
2012-08-29,2.06
2012-08-30,2.03
2012-08-31,2.04
2012-09-04,2.05
2012-09-05,2.14
2012-09-06,2.12
2012-09-07,2.14
2012-09-10,2.13
2012-09-11,2.2
2012-09-12,2.36
2012-09-13,2.405
2012-09-14,2.42
2012-09-17,2.38
2012-09-18,2.38
2012-09-19,2.38
2012-09-20,2.48
2012-09-21,2.75
2012-09-24,2.735
2012-09-25,2.68
2012-09-26,2.72
2012-09-27,2.825
2012-09-28,2.82
2012-10-01,2.81
2012-10-02,2.71
2012-10-03,2.68
2012-10-04,2.71
2012-10-05,2.74
2012-10-08,2.78
2012-10-09,2.75
2012-10-10,2.78
2012-10-11,2.97
2012-10-12,2.92
2012-10-15,2.98
2012-10-16,2.99
2012-10-17,3.0
2012-10-18,3.0
2012-10-19,2.76
2012-10-22,2.77
2012-10-23,2.51
2012-10-24,2.57
2012-10-25,2.58
2012-10-26,2.44
2012-10-31,2.49
2012-11-01,2.505
2012-11-02,2.36
2012-11-05,2.45
2012-11-06,2.36
2012-11-07,2.37
2012-11-08,2.31
2012-11-09,2.52
2012-11-12,2.52
2012-11-13,2.55
2012-11-14,2.55
2012-11-15,2.51
2012-11-16,2.5
2012-11-19,2.57
2012-11-20,2.65
2012-11-21,2.86
2012-11-23,2.95
2012-11-26,2.89
2012-11-27,2.93
2012-11-28,2.93
2012-11-29,3.03
2012-11-30,3.14
2012-12-03,2.98
2012-12-04,2.97
2012-12-05,2.81
2012-12-06,2.88
2012-12-07,2.815
2012-12-10,2.79
2012-12-11,2.81
2012-12-12,2.77
2012-12-13,2.83
2012-12-14,2.8
2012-12-17,2.845
2012-12-18,2.86
2012-12-19,2.77
2012-12-20,2.77
2012-12-21,2.68
2012-12-24,2.62
2012-12-26,2.61
2012-12-27,2.59
2012-12-28,2.55
2012-12-31,2.62
2013-01-02,2.78
2013-01-03,2.73
2013-01-04,2.73
2013-01-07,2.92
2013-01-08,2.97
2013-01-09,2.95
2013-01-10,2.92
2013-01-11,2.97
2013-01-14,2.92
2013-01-15,2.89
2013-01-16,2.86
2013-01-17,2.86
2013-01-18,2.9
2013-01-22,3.36
2013-01-23,3.82
2013-01-24,3.59
2013-01-25,3.43
2013-01-28,6.0575
2013-01-29,8.36
2013-01-30,8.49
2013-01-31,9.08
2013-02-01,7.11
2013-02-04,6.56
2013-02-05,7.12
2013-02-06,6.73
2013-02-07,6.69
2013-02-08,6.62
2013-02-11,6.62
2013-02-12,7.05
2013-02-13,7.11
2013-02-14,6.94
2013-02-15,6.82
2013-02-19,6.771
2013-02-20,6.72
2013-02-21,6.54
2013-02-22,6.7
2013-02-25,6.62
2013-02-26,6.6
2013-02-27,6.53
2013-02-28,6.43
2013-03-01,7.19
2013-03-04,7.03
2013-03-05,7.1
2013-03-06,7.408
2013-03-07,7.26
2013-03-08,7.38
2013-03-11,7.35
2013-03-12,7.13
2013-03-13,7.11
2013-03-14,7.37
2013-03-15,7.32
2013-03-18,7.39
2013-03-19,7.201
2013-03-20,7.27
2013-03-21,7.03
2013-03-22,7.07
2013-03-25,6.97
2013-03-26,6.9
2013-03-27,6.87
2013-03-28,7.045
2013-04-01,6.94
2013-04-02,7.05
2013-04-03,6.92
2013-04-04,7.09
2013-04-05,7.31
2013-04-08,7.34
2013-04-09,8.1
2013-04-10,8.28
2013-04-11,8.1
2013-04-12,8.05
2013-04-15,7.72
2013-04-16,7.85
2013-04-17,7.74
2013-04-18,7.61
2013-04-19,8.03
2013-04-22,8.32
2013-04-23,8.31
2013-04-24,8.1
2013-04-25,8.34
2013-04-26,8.15
2013-04-29,8.2
2013-04-30,8.15
2013-05-01,7.809
2013-05-02,7.9
2013-05-03,8.06
2013-05-06,8.25
2013-05-07,7.99
2013-05-08,7.85
2013-05-09,7.83
2013-05-10,8.22
2013-05-13,8.75
2013-05-14,8.47
2013-05-15,8.19
2013-05-16,8.0
2013-05-17,8.04
2013-05-20,7.94
2013-05-21,8.05
2013-05-22,7.88
2013-05-23,8.03
2013-05-24,8.03
2013-05-28,8.0
2013-05-29,8.14
2013-05-30,8.16
2013-05-31,8.01
2013-06-03,7.86
2013-06-04,7.67
2013-06-05,7.42
2013-06-06,7.65
2013-06-07,7.65
2013-06-10,7.74
2013-06-11,7.348
2013-06-12,6.98
2013-06-13,6.97
2013-06-14,7.301
2013-06-17,7.56
2013-06-18,7.66
2013-06-19,8.24
2013-06-20,7.9
2013-06-21,7.66
2013-06-24,7.49
2013-06-25,7.3
2013-06-26,7.42
2013-06-27,7.52
2013-06-28,7.47
2013-07-01,7.87
2013-07-02,7.87
2013-07-03,7.92
2013-07-05,7.98
2013-07-08,8.0
2013-07-09,8.07
2013-07-10,8.15
2013-07-11,7.97
2013-07-12,8.11
2013-07-15,8.37
2013-07-16,8.405
2013-07-17,8.67
2013-07-18,8.55
2013-07-19,8.61
2013-07-22,8.56
2013-07-23,8.49
2013-07-24,8.8
2013-07-25,9.01
2013-07-26,9.18
2013-07-29,8.91
2013-07-30,9.13
2013-07-31,9.1
2013-08-01,9.05
2013-08-02,9.22
2013-08-05,9.1
2013-08-06,8.94
2013-08-07,8.89
2013-08-08,8.81
2013-08-09,8.9
2013-08-12,8.94
2013-08-13,8.97
2013-08-14,8.82
2013-08-15,8.58
2013-08-16,8.38
2013-08-19,8.41
2013-08-20,8.84
2013-08-21,8.72
2013-08-22,8.71
2013-08-23,8.64
2013-08-26,8.89
2013-08-27,8.63
2013-08-28,8.61
2013-08-29,8.7
2013-08-30,8.53
2013-09-03,8.87
2013-09-04,9.08
2013-09-05,9.13
2013-09-06,9.32
2013-09-09,9.41
2013-09-10,9.25
2013-09-11,8.98
2013-09-12,9.0
2013-09-13,9.11
2013-09-16,9.29
2013-09-17,10.0
2013-09-18,9.9
2013-09-19,9.78
2013-09-20,9.59
2013-09-23,9.45
2013-09-24,9.78
2013-09-25,10.19
2013-09-26,10.22
2013-09-27,10.1
