Date,CHL
1997-10-22,7.0
1997-10-23,6.90625
1997-10-24,7.265625
1997-10-27,6.953125
1997-10-28,8.375
1997-10-29,7.625
1997-10-30,7.46875
1997-10-31,8.09375
1997-11-03,9.0625
1997-11-04,9.0
1997-11-05,9.5
1997-11-06,9.015625
1997-11-07,8.375
1997-11-10,8.59375
1997-11-11,8.5
1997-11-12,7.859375
1997-11-13,8.46875
1997-11-14,8.59375
1997-11-17,8.75
1997-11-18,8.421875
1997-11-19,8.53125
1997-11-20,8.609375
1997-11-21,8.5
1997-11-24,8.25
1997-11-25,8.546875
1997-11-26,8.453125
1997-11-28,8.4375
1997-12-01,8.484375
1997-12-02,8.40625
1997-12-03,8.4375
1997-12-04,8.640625
1997-12-05,8.75
1997-12-08,8.65625
1997-12-09,8.515625
1997-12-10,8.09375
1997-12-11,8.1875
1997-12-12,8.296875
1997-12-15,8.28125
1997-12-16,8.5625
1997-12-17,8.671875
1997-12-18,8.53125
1997-12-19,8.359375
1997-12-22,8.375
1997-12-23,8.34375
1997-12-24,8.328125
1997-12-26,8.25
1997-12-29,8.359375
1997-12-30,8.40625
1997-12-31,8.390625
1998-01-02,8.515625
1998-01-05,8.5625
1998-01-06,8.34375
1998-01-07,8.1875
1998-01-08,7.671875
1998-01-09,7.0
1998-01-12,7.296875
1998-01-13,7.0625
1998-01-14,7.375
1998-01-15,7.265625
1998-01-16,7.640625
1998-01-20,7.9375
1998-01-21,7.5
1998-01-22,7.203125
1998-01-23,7.125
1998-01-26,6.90625
1998-01-27,7.1875
1998-01-28,7.359375
1998-01-29,7.625
1998-01-30,7.84375
1998-02-02,8.390625
1998-02-03,8.34375
1998-02-04,8.21875
1998-02-05,8.40625
1998-02-06,8.578125
1998-02-09,8.59375
1998-02-10,8.625
1998-02-11,8.3125
1998-02-12,8.34375
1998-02-13,8.25
1998-02-17,8.34375
1998-02-18,8.546875
1998-02-19,8.390625
1998-02-20,8.390625
1998-02-23,8.421875
1998-02-24,8.4375
1998-02-25,8.625
1998-02-26,8.75
1998-02-27,8.96875
1998-03-02,8.96875
1998-03-03,8.96875
1998-03-04,8.828125
1998-03-05,8.8125
1998-03-06,8.84375
1998-03-09,8.75
1998-03-10,8.859375
1998-03-11,8.9375
1998-03-12,8.828125
1998-03-13,8.90625
1998-03-16,9.171875
1998-03-17,9.25
1998-03-18,9.359375
1998-03-19,9.8125
1998-03-20,10.0
1998-03-23,10.28125
1998-03-24,10.65625
1998-03-25,10.4375
1998-03-26,10.375
1998-03-27,10.28125
1998-03-30,9.859375
1998-03-31,10.265625
1998-04-01,10.28125
1998-04-02,10.21875
1998-04-03,9.859375
1998-04-06,10.0
1998-04-07,9.78125
1998-04-08,10.0625
1998-04-09,10.390625
1998-04-13,10.421875
1998-04-14,10.328125
1998-04-15,10.34375
1998-04-16,10.15625
1998-04-17,10.3125
1998-04-20,10.3125
1998-04-21,10.328125
1998-04-22,10.171875
1998-04-23,9.984375
1998-04-24,9.984375
1998-04-27,9.484375
1998-04-28,9.75
1998-04-29,9.640625
1998-04-30,9.65625
1998-05-01,9.515625
1998-05-04,9.265625
1998-05-05,8.84375
1998-05-06,8.765625
1998-05-07,8.9375
1998-05-08,9.3125
1998-05-11,9.234375
1998-05-12,8.796875
1998-05-13,8.78125
1998-05-14,8.953125
1998-05-15,9.03125
1998-05-18,9.015625
1998-05-19,9.21875
1998-05-20,9.578125
1998-05-21,9.515625
1998-05-22,9.4375
1998-05-26,9.3125
1998-05-27,8.9375
1998-05-28,8.859375
1998-05-29,8.90625
1998-06-01,8.609375
1998-06-02,8.671875
1998-06-03,8.78125
1998-06-04,8.75
1998-06-05,9.0
1998-06-08,8.703125
1998-06-09,8.375
1998-06-10,8.09375
1998-06-11,8.015625
1998-06-12,8.0625
1998-06-15,7.53125
1998-06-16,7.578125
1998-06-17,8.3125
1998-06-18,8.1875
1998-06-19,8.3125
1998-06-22,8.3125
1998-06-23,8.546875
1998-06-24,8.75
1998-06-25,8.875
1998-06-26,9.0
1998-06-29,8.578125
1998-06-30,8.640625
1998-07-01,9.0
1998-07-02,8.84375
1998-07-06,8.65625
1998-07-07,8.671875
1998-07-08,8.671875
1998-07-09,8.34375
1998-07-10,8.21875
1998-07-13,8.015625
1998-07-14,8.140625
1998-07-15,8.25
1998-07-16,8.4375
1998-07-17,8.453125
1998-07-20,8.359375
1998-07-21,8.234375
1998-07-22,7.9375
1998-07-23,7.640625
1998-07-24,7.84375
1998-07-27,7.671875
1998-07-28,7.46875
1998-07-29,7.40625
1998-07-30,7.453125
1998-07-31,7.25
1998-08-03,7.0
1998-08-04,6.484375
1998-08-05,6.578125
1998-08-06,6.5625
1998-08-07,6.296875
1998-08-10,6.046875
1998-08-11,5.734375
1998-08-12,5.921875
1998-08-13,6.15625
1998-08-14,6.703125
1998-08-17,6.75
1998-08-18,6.953125
1998-08-19,7.171875
1998-08-20,7.15625
1998-08-21,6.5
1998-08-24,6.828125
1998-08-25,7.09375
