Date,SNI
2013-05-16,68.32
2013-05-17,69.050003
2013-05-20,68.290001
2013-05-21,68.860001
2013-05-22,67.879997
2013-05-23,68.43
2013-05-24,68.800003
2013-05-28,70.010002
2013-05-29,68.730003
2013-05-30,68.239998
2013-05-31,67.360001
2013-06-03,66.760002
2013-06-04,67.099998
2013-06-05,65.639999
2013-06-06,65.599998
2013-06-07,66.800003
2013-06-10,66.129997
2013-06-11,65.83000200000001
2013-06-12,64.400002
2013-06-13,66.75
2013-06-14,66.550003
2013-06-17,67.440002
2013-06-18,67.93
2013-06-19,67.760002
2013-06-20,66.25
2013-06-21,66.040001
2013-06-24,65.07
2013-06-25,65.08000200000001
2013-06-26,65.410004
2013-06-27,66.610001
2013-06-28,66.760002
2013-07-01,67.610001
2013-07-02,68.230003
2013-07-03,68.760002
2013-07-05,69.849998
2013-07-08,70.519997
2013-07-09,70.82
2013-07-10,71.0
2013-07-11,72.019997
2013-07-12,72.690002
2013-07-15,73.059998
2013-07-16,72.519997
2013-07-17,71.510002
2013-07-18,72.91999799999999
2013-07-19,72.290001
2013-07-22,71.809998
2013-07-23,71.989998
2013-07-24,71.699997
2013-07-25,72.0
2013-07-26,71.519997
2013-07-29,71.33000200000001
2013-07-30,70.91999799999999
2013-07-31,70.769997
2013-08-01,72.309998
2013-08-02,72.980003
2013-08-05,72.879997
2013-08-06,73.220001
2013-08-07,74.050003
2013-08-08,74.290001
2013-08-09,75.349998
2013-08-12,75.760002
2013-08-13,76.190002
2013-08-14,75.360001
2013-08-15,73.800003
2013-08-16,74.769997
2013-08-19,74.400002
2013-08-20,75.0
2013-08-21,74.220001
2013-08-22,75.010002
2013-08-23,74.599998
2013-08-26,74.589996
2013-08-27,73.18
2013-08-28,73.16999799999999
2013-08-29,73.849998
2013-08-30,73.529999
2013-09-03,74.370003
2013-09-04,74.5
2013-09-05,74.540001
2013-09-06,75.379997
2013-09-09,75.050003
2013-09-10,74.940002
2013-09-11,74.41999799999999
2013-09-12,74.07
2013-09-13,74.230003
2013-09-16,75.550003
2013-09-17,76.730003
2013-09-18,78.18
2013-09-19,78.559998
2013-09-20,77.75
2013-09-23,77.629997
2013-09-24,76.980003
2013-09-25,77.58000200000001
2013-09-26,78.269997
2013-09-27,78.110001
2013-09-30,78.110001
2013-10-01,78.550003
2013-10-02,78.029999
2013-10-03,76.900002
2013-10-04,77.66999799999999
2013-10-07,76.33000200000001
2013-10-08,75.07
2013-10-09,74.730003
2013-10-10,76.949997
2013-10-11,77.720001
2013-10-14,78.32
2013-10-15,77.889999
2013-10-16,78.290001
2013-10-17,78.839996
2013-10-18,79.150002
2013-10-21,79.139999
2013-10-22,80.540001
2013-10-23,79.68
2013-10-24,79.970001
2013-10-25,80.230003
2013-10-28,80.629997
2013-10-29,80.779999
2013-10-30,80.099998
2013-10-31,80.5
2013-11-01,79.720001
2013-11-04,80.239998
2013-11-05,80.120003
2013-11-06,80.290001
2013-11-07,76.160004
2013-11-08,76.510002
2013-11-11,75.709999
2013-11-12,75.889999
2013-11-13,76.599998
2013-11-14,76.400002
2013-11-15,75.459999
2013-11-18,74.699997
2013-11-19,74.800003
2013-11-20,74.470001
2013-11-21,75.040001
2013-11-22,74.650002
2013-11-25,74.260002
2013-11-26,74.800003
2013-11-27,74.769997
2013-11-29,74.589996
2013-12-02,73.970001
2013-12-03,73.25
2013-12-04,72.660004
2013-12-05,72.849998
2013-12-06,73.989998
