Date,RHHVF
2009-02-13,126.25
2009-02-17,125.0
2009-02-18,124.0
2009-02-19,124.0
2009-02-20,124.0
2009-02-23,124.0
2009-02-24,124.0
2009-02-25,124.0
2009-02-26,124.0
2009-02-27,113.5
2009-03-02,104.75
2009-03-03,107.0
2009-03-04,107.75
2009-03-05,110.5
2009-03-06,110.5
2009-03-09,110.5
2009-03-10,122.0
2009-03-11,125.0
2009-03-12,123.0
2009-03-13,125.5
2009-03-16,125.5
2009-03-17,123.769997
2009-03-18,123.25
2009-03-19,129.690002
2009-03-20,129.690002
2009-03-23,129.199997
2009-03-24,129.199997
2009-03-25,129.199997
2009-03-26,131.75
2009-03-27,129.5
2009-03-30,131.0
2009-03-31,131.0
2009-04-01,131.0
2009-04-02,138.5
2009-04-03,135.5
2009-04-06,135.5
2009-04-07,135.5
2009-04-08,132.5
2009-04-09,132.5
2009-04-13,133.0
2009-04-14,132.0
2009-04-15,132.0
2009-04-16,131.559998
2009-04-17,131.559998
2009-04-20,128.75
2009-04-21,131.0
2009-04-22,119.5
2009-04-23,117.0
2009-04-24,121.5
2009-04-27,126.5
2009-04-28,129.0
2009-04-29,127.5
2009-04-30,126.0
2009-05-01,127.5
2009-05-04,127.25
2009-05-05,125.75
2009-05-06,128.220001
2009-05-07,126.5
2009-05-08,127.75
2009-05-11,125.75
2009-05-12,127.519997
2009-05-13,131.059998
2009-05-14,132.5
2009-05-15,128.75
2009-05-18,130.25
2009-05-19,129.75
2009-05-20,130.5
2009-05-21,130.5
2009-05-22,133.300003
2009-05-26,135.5
2009-05-27,134.100006
2009-05-28,131.25
2009-05-29,131.25
2009-06-01,138.0
2009-06-02,133.5
2009-06-03,133.0
2009-06-04,135.25
2009-06-05,129.5
2009-06-08,129.5
2009-06-09,131.75
2009-06-10,130.25
2009-06-11,135.0
2009-06-12,137.5
2009-06-15,131.75
2009-06-16,132.25
2009-06-17,130.75
2009-06-18,132.25
2009-06-19,134.860001
2009-06-22,134.860001
2009-06-23,134.5
2009-06-24,133.75
2009-06-25,133.0
2009-06-26,136.25
2009-06-29,136.25
2009-06-30,136.25
2009-07-01,139.380005
2009-07-02,134.5
2009-07-06,134.5
2009-07-07,136.199997
2009-07-08,137.0
2009-07-09,138.5
2009-07-10,133.25
2009-07-13,133.0
2009-07-14,135.5
2009-07-15,135.5
2009-07-16,139.949997
2009-07-17,139.0
2009-07-20,144.0
2009-07-21,142.0
2009-07-22,146.5
2009-07-23,146.5
2009-07-24,146.5
2009-07-27,154.75
2009-07-28,156.0
2009-07-29,152.75
2009-07-30,152.75
2009-07-31,150.0
2009-08-03,157.5
2009-08-04,157.5
2009-08-05,157.5
2009-08-06,155.5
2009-08-07,154.800003
2009-08-10,155.0
2009-08-11,152.0
2009-08-12,152.91000400000001
2009-08-13,152.0
2009-08-14,152.0
2009-08-17,152.5
2009-08-18,153.5
2009-08-19,153.5
2009-08-20,157.75
2009-08-21,157.5
2009-08-24,158.5
2009-08-25,160.25
2009-08-26,160.25
2009-08-27,157.509995
2009-08-28,158.0
2009-08-31,158.5
2009-09-01,158.5
2009-09-02,158.5
2009-09-03,153.0
2009-09-04,156.75
2009-09-08,158.0
2009-09-09,159.0
2009-09-10,159.0
2009-09-11,158.0
2009-09-14,160.559998
2009-09-15,158.5
2009-09-16,160.860001
2009-09-17,160.800003
2009-09-18,160.800003
2009-09-21,164.0
2009-09-22,173.0
2009-09-23,166.0
2009-09-24,162.5
2009-09-25,161.0
2009-09-28,162.25
2009-09-29,163.5
2009-09-30,161.0
2009-10-01,162.0
2009-10-02,158.5
2009-10-05,159.0
2009-10-06,160.0
2009-10-07,161.0
2009-10-08,163.5
2009-10-09,163.5
2009-10-12,163.300003
2009-10-13,162.75
2009-10-14,168.0
2009-10-15,160.25
2009-10-16,160.25
2009-10-19,162.0
2009-10-20,159.399994
2009-10-21,160.5
2009-10-22,160.5
2009-10-23,160.5
2009-10-26,157.0
2009-10-27,157.0
2009-10-28,157.0
2009-10-29,161.5
