Date,EGLE
2005-06-28,19216.666016
2005-06-29,19216.666016
2005-06-30,19653.408203
2005-07-01,19711.640625
2005-07-05,19857.220703
2005-07-06,19886.337891
2005-07-07,19857.220703
2005-07-08,19682.523438
2005-07-11,19609.734375
2005-07-12,19551.501953
2005-07-13,19493.269531
2005-07-14,19289.455078
2005-07-15,19362.246094
2005-07-18,19143.875
2005-07-19,19216.666016
2005-07-20,19071.083984
2005-07-21,19289.455078
2005-07-22,18910.945313
2005-07-25,18532.435547
2005-07-26,18124.810547
2005-07-27,18066.578125
2005-07-28,17993.787109
2005-07-29,18590.667969
2005-08-01,18707.132813
2005-08-02,19231.224609
2005-08-03,19158.433594
2005-08-04,19362.246094
2005-08-05,19536.943359
2005-08-08,19260.339844
2005-08-09,18619.785156
2005-08-10,18445.087891
2005-08-11,18779.923828
2005-08-12,18794.480469
2005-08-15,18707.132813
2005-08-16,18969.177734
2005-08-17,19289.455078
2005-08-18,18998.294922
2005-08-19,18779.923828
2005-08-22,18634.341797
2005-08-23,18925.503906
2005-08-24,19260.339844
2005-08-25,19071.083984
2005-08-26,19056.527344
2005-08-29,18969.177734
2005-08-30,18809.039063
2005-08-31,18925.503906
2005-09-01,19085.642578
2005-09-02,18998.294922
2005-09-06,18969.177734
2005-09-07,19100.201172
2005-09-08,18896.388672
2005-09-09,18925.503906
2005-09-12,20818.054688
2005-09-13,21909.910156
2005-09-14,22565.023438
2005-09-15,23584.089844
2005-09-16,22550.466797
2005-09-19,22856.185547
2005-09-20,22594.140625
2005-09-21,23278.369141
2005-09-22,23292.927734
2005-09-23,24108.179688
2005-09-26,24777.851563
2005-09-27,25345.617188
2005-09-28,25578.546875
2005-09-29,24967.107422
2005-09-30,24967.107422
2005-10-03,25039.898438
2005-10-04,24865.201172
2005-10-05,23220.136719
2005-10-06,23467.625
2005-10-07,24020.832031
2005-10-10,25432.964844
2005-10-11,25826.033203
2005-10-12,24675.945313
2005-10-13,23962.599609
2005-10-14,23744.228516
2005-10-17,23525.857422
2005-10-18,22768.837891
2005-10-19,22696.046875
2005-10-20,22579.582031
2005-10-21,22783.394531
2005-10-24,22841.626953
2005-10-25,22565.023438
2005-10-26,22113.722656
2005-10-27,21473.167969
2005-10-28,21080.099609
2005-10-31,21575.074219
2005-11-01,21618.748047
2005-11-02,21589.632813
2005-11-03,22026.375
2005-11-04,21968.142578
2005-11-07,22404.884766
2005-11-08,22040.933594
2005-11-09,22113.722656
2005-11-10,22390.326172
2005-11-11,22550.466797
2005-11-14,22827.070313
2005-11-15,22142.839844
2005-11-16,21822.5625
2005-11-17,21473.167969
2005-11-18,21109.216797
2005-11-21,20934.519531
2005-11-22,21458.609375
2005-11-23,21123.773438
2005-11-25,21414.935547
2005-11-28,21487.726563
2005-11-29,22128.28125
2005-11-30,22506.791016
2005-12-01,22492.234375
2005-12-02,22637.814453
2005-12-05,23059.998047
2005-12-06,22739.720703
2005-12-07,22288.419922
2005-12-08,22273.863281
2005-12-09,22186.513672
2005-12-12,22026.375
2005-12-13,22113.722656
2005-12-14,21968.142578
2005-12-15,22273.863281
2005-12-16,22113.722656
2005-12-19,22375.769531
2005-12-20,22856.185547
2005-12-21,23191.021484
2005-12-22,22972.650391
2005-12-23,22419.443359
2005-12-27,22477.675781
2005-12-28,22696.046875
2005-12-29,22783.394531
2005-12-30,23176.462891
2006-01-03,23234.695313
2006-01-04,22943.533203
2006-01-05,23394.833984
2006-01-06,23220.136719
2006-01-09,23292.927734
2006-01-10,23118.230469
2006-01-11,23292.927734
2006-01-12,20381.3125
2006-01-13,19143.875
2006-01-17,18736.248047
2006-01-18,18779.923828
2006-01-19,18153.925781
2006-01-20,17484.253906
2006-01-23,17324.115234
2006-01-24,17396.90625
2006-01-25,17702.625
2006-01-26,18474.203125
2006-01-27,18692.574219
2006-01-30,19944.570313
2006-01-31,19726.199219
2006-02-01,20381.3125
2006-02-02,20570.566406
2006-02-03,20192.056641
2006-02-06,20381.3125
2006-02-07,20250.289063
2006-02-08,20454.101563
2006-02-09,20293.962891
2006-02-10,20876.287109
2006-02-13,19420.478516
2006-02-14,18546.994141
2006-02-15,19041.96875
2006-02-16,18852.712891
2006-02-17,18692.574219
2006-02-21,18532.435547
2006-02-22,18372.296875
2006-02-23,18415.970703
2006-02-24,18415.970703
2006-02-27,18940.0625
2006-02-28,18910.945313
2006-03-01,18852.712891
2006-03-02,18881.830078
2006-03-03,18838.15625
2006-03-06,18314.064453
2006-03-07,17731.742188
2006-03-08,17542.486328
2006-03-09,17396.90625
2006-03-10,17571.603516
2006-03-13,17600.71875
2006-03-14,19216.666016
2006-03-15,19158.433594
2006-03-16,19216.666016
2006-03-17,19260.339844
2006-03-20,19202.107422
2006-03-21,19056.527344
2006-03-22,19143.875
2006-03-23,18998.294922
2006-03-24,18969.177734
2006-03-27,19536.943359
2006-03-28,19915.453125
2006-03-29,20046.476563
2006-03-30,19871.779297
2006-03-31,20308.521484
2006-04-03,20483.21875
2006-04-04,19944.570313
2006-04-05,20133.824219
2006-04-06,19784.431641
2006-04-07,20090.150391
2006-04-10,19711.640625
2006-04-11,19536.943359
2006-04-12,19304.013672
2006-04-13,19347.6875
2006-04-17,19391.363281
2006-04-18,19624.291016
2006-04-19,20031.917969
2006-04-20,20395.869141
2006-04-21,20395.869141
2006-04-24,20672.472656
2006-04-25,20730.705078
2006-04-26,20162.941406
2006-04-27,20104.708984
2006-04-28,20250.289063
2006-05-01,20119.265625
2006-05-02,20308.521484
2006-05-03,19842.662109
2006-05-04,19930.011719
2006-05-05,20075.591797
2006-05-08,20599.683594
2006-05-09,20104.708984
2006-05-10,19944.570313
2006-05-11,20119.265625
2006-05-12,19930.011719
2006-05-15,19580.617188
2006-05-16,19187.548828
2006-05-17,19114.759766
2006-05-18,19216.666016
2006-05-19,19318.572266
2006-05-22,19435.037109
2006-05-23,19784.431641
2006-05-24,20381.3125
2006-05-25,20017.359375
2006-05-26,20031.917969
2006-05-30,19609.734375
2006-05-31,19711.640625
2006-06-01,19653.408203
2006-06-02,20046.476563
2006-06-05,19697.082031
2006-06-06,19536.943359
2006-06-07,19231.224609
2006-06-08,19012.851563
2006-06-09,19609.734375
2006-06-12,19551.501953
2006-06-13,18867.271484
2006-06-14,18415.970703
2006-06-15,19507.828125
2006-06-16,19784.431641
2006-06-19,19798.988281
2006-06-20,19900.894531
2006-06-21,19930.011719
2006-06-22,20235.730469
2006-06-23,19289.455078
2006-06-26,19143.875
2006-06-27,19289.455078
2006-06-28,20264.847656
2006-06-29,20192.056641
2006-06-30,20745.263672
2006-07-03,20832.613281
2006-07-05,20745.263672
2006-07-06,21123.773438
2006-07-07,21545.958984
2006-07-10,21880.794922
2006-07-11,22375.769531
2006-07-12,22637.814453
2006-07-13,21589.632813
2006-07-14,21269.355469
2006-07-17,21123.773438
2006-07-18,21909.910156
2006-07-19,22579.582031
2006-07-20,22055.490234
2006-07-21,21909.910156
2006-07-24,22608.697266
2006-07-25,22463.117188
2006-07-26,20963.634766
2006-07-27,20497.777344
2006-07-28,20366.753906
2006-07-31,20570.566406
2006-08-01,20323.080078
2006-08-02,21385.820313
2006-08-03,21793.445313
2006-08-04,21531.400391
2006-08-07,21254.796875
2006-08-08,21909.910156
2006-08-09,22011.816406
2006-08-10,22171.955078
2006-08-11,22070.048828
2006-08-14,21837.119141
2006-08-15,21953.583984
2006-08-16,22710.605469
2006-08-17,22768.837891
2006-08-18,22666.929688
2006-08-21,22579.582031
2006-08-22,23263.8125
2006-08-23,22623.255859
2006-08-24,22885.302734
2006-08-25,22928.976563
2006-08-28,23278.369141
2006-08-29,23278.369141
2006-08-30,23409.392578
2006-08-31,23001.765625
2006-09-01,23001.765625
2006-09-05,23220.136719
2006-09-06,23292.927734
2006-09-07,23030.882813
2006-09-08,22623.255859
2006-09-11,22681.488281
2006-09-12,23205.580078
2006-09-13,22521.349609
2006-09-14,22856.185547
2006-09-15,22856.185547
