Date,AKR
1993-05-27,19.625
1993-05-28,19.75
1993-06-01,19.5
1993-06-02,20.375
1993-06-03,19.75
1993-06-04,19.75
1993-06-07,19.5
1993-06-08,19.5
1993-06-09,19.625
1993-06-10,19.625
1993-06-11,19.5
1993-06-14,19.5
1993-06-15,19.5
1993-06-16,19.5
1993-06-17,19.5
1993-06-18,19.5
1993-06-21,19.625
1993-06-22,19.5
1993-06-23,19.5
1993-06-24,19.5
1993-06-25,19.5
1993-06-28,20.0
1993-06-29,19.75
1993-06-30,20.125
1993-07-01,20.0
1993-07-02,20.125
1993-07-06,19.75
1993-07-07,19.625
1993-07-08,19.75
1993-07-09,19.5
1993-07-12,19.5
1993-07-13,19.75
1993-07-14,19.5
1993-07-15,19.5
1993-07-16,19.625
1993-07-19,19.625
1993-07-20,19.75
1993-07-21,19.625
1993-07-22,19.625
1993-07-23,19.625
1993-07-26,19.5
1993-07-27,19.5
1993-07-28,19.5
1993-07-29,19.625
1993-07-30,19.625
1993-08-02,19.5
1993-08-03,19.5
1993-08-04,19.625
1993-08-05,19.5
1993-08-06,19.5
1993-08-09,19.375
1993-08-10,18.5
1993-08-11,19.0
1993-08-12,19.0
1993-08-13,18.875
1993-08-16,18.5
1993-08-17,18.5
1993-08-18,18.5
1993-08-19,18.375
1993-08-20,18.125
1993-08-23,18.5
1993-08-24,18.875
1993-08-25,19.0
1993-08-26,18.875
1993-08-27,19.0
1993-08-30,18.875
1993-08-31,19.25
1993-09-01,19.375
1993-09-02,19.25
1993-09-03,19.375
1993-09-07,19.25
1993-09-08,18.875
1993-09-09,18.875
1993-09-10,19.125
1993-09-13,19.125
1993-09-14,19.125
1993-09-15,19.125
1993-09-16,19.0
1993-09-17,19.125
1993-09-20,19.125
1993-09-21,19.0
1993-09-22,19.0
1993-09-23,19.0
1993-09-24,18.875
1993-09-27,18.75
1993-09-28,18.625
1993-09-29,18.75
1993-09-30,19.125
1993-10-01,19.25
1993-10-04,19.25
1993-10-05,19.125
1993-10-06,18.875
1993-10-07,19.0
1993-10-08,18.875
1993-10-11,18.5
1993-10-12,18.5
1993-10-13,18.625
1993-10-14,18.125
1993-10-15,18.25
1993-10-18,18.25
1993-10-19,18.25
1993-10-20,18.375
1993-10-21,18.375
1993-10-22,18.25
1993-10-25,18.375
1993-10-26,18.0
1993-10-27,17.0
1993-10-28,16.875
1993-10-29,16.75
1993-11-01,16.875
1993-11-02,16.625
