Date,SPWH
2014-04-17,9.75
2014-04-21,9.5
2014-04-22,9.66
2014-04-23,9.47
2014-04-24,10.22
2014-04-25,10.48
2014-04-28,10.9
2014-04-29,10.71
2014-04-30,10.53
2014-05-01,10.25
2014-05-02,10.08
2014-05-05,9.81
2014-05-06,9.64
2014-05-07,9.48
2014-05-08,9.64
2014-05-09,10.1
2014-05-12,9.55
2014-05-13,9.5
2014-05-14,9.47
2014-05-15,9.365
2014-05-16,9.32
2014-05-19,9.21
2014-05-20,7.75
2014-05-21,7.88
2014-05-22,8.02
2014-05-23,9.08
2014-05-27,9.26
2014-05-28,9.0
2014-05-29,9.09
2014-05-30,9.23
2014-06-02,9.24
2014-06-03,9.23
2014-06-04,9.26
2014-06-05,9.2
2014-06-06,9.18
2014-06-09,9.03
2014-06-10,8.6
2014-06-11,8.89
2014-06-12,8.7
2014-06-13,8.61
2014-06-16,8.55
2014-06-17,8.08
2014-06-18,8.0
2014-06-19,8.16
2014-06-20,8.09
2014-06-23,8.5
2014-06-24,8.48
2014-06-25,8.24
2014-06-26,8.15
2014-06-27,7.88
2014-06-30,8.0
2014-07-01,7.78
2014-07-02,7.73
2014-07-03,8.0
2014-07-07,7.81
2014-07-08,7.82
2014-07-09,7.73
2014-07-10,7.75
2014-07-11,7.28
2014-07-14,7.14
2014-07-15,7.0
2014-07-16,6.45
2014-07-17,6.64
2014-07-18,6.52
2014-07-21,6.37
2014-07-22,6.11
2014-07-23,6.02
2014-07-24,6.07
2014-07-25,6.1
2014-07-28,6.27
2014-07-29,6.18
2014-07-30,6.09
2014-07-31,5.79
2014-08-01,5.79
2014-08-04,5.62
2014-08-05,5.52
2014-08-06,5.46
2014-08-07,5.87
2014-08-08,5.96
2014-08-11,5.96
2014-08-12,5.75
2014-08-13,5.95
2014-08-14,6.11
2014-08-15,6.05
2014-08-18,6.21
2014-08-19,6.3
2014-08-20,6.17
2014-08-21,6.09
2014-08-22,6.17
2014-08-25,6.0
2014-08-26,6.11
2014-08-27,6.04
2014-08-28,5.99
2014-08-29,6.01
2014-09-02,5.71
2014-09-03,5.52
2014-09-04,5.76
2014-09-05,5.66
2014-09-08,5.62
2014-09-09,5.89
2014-09-10,5.82
2014-09-11,6.04
2014-09-12,6.96
2014-09-15,6.81
2014-09-16,6.79
2014-09-17,6.8
2014-09-18,6.63
2014-09-19,6.37
2014-09-22,6.29
2014-09-23,6.62
2014-09-24,6.88
2014-09-25,7.06
2014-09-26,6.84
2014-09-29,6.8
2014-09-30,6.735
2014-10-01,6.45
2014-10-02,6.85
2014-10-03,7.2
2014-10-06,7.1
2014-10-07,7.07
2014-10-08,7.2
2014-10-09,7.38
2014-10-10,7.67
2014-10-13,7.28
2014-10-14,7.38
2014-10-15,7.39
2014-10-16,7.42
2014-10-17,7.14
2014-10-20,7.2
2014-10-21,7.14
2014-10-22,7.26
2014-10-23,7.04
2014-10-24,7.12
2014-10-27,7.15
2014-10-28,7.14
2014-10-29,7.13
2014-10-30,7.09
2014-10-31,6.99
2014-11-03,7.04
2014-11-04,6.91
2014-11-05,6.91
2014-11-06,6.9
2014-11-07,7.09
2014-11-10,7.16
2014-11-11,7.19
2014-11-12,7.23
2014-11-13,7.03
2014-11-14,7.05
2014-11-17,6.91
2014-11-18,6.9
2014-11-19,6.85
2014-11-20,7.09
2014-11-21,7.02
2014-11-24,7.1
2014-11-25,7.01
2014-11-26,6.99
2014-11-28,7.05
2014-12-01,7.02
2014-12-02,7.59
2014-12-03,8.1
2014-12-04,7.69
2014-12-05,7.4
2014-12-08,7.51
2014-12-09,7.6
2014-12-10,7.37
2014-12-11,7.51
2014-12-12,7.31
2014-12-15,7.07
2014-12-16,7.0
2014-12-17,7.25
2014-12-18,7.37
2014-12-19,7.37
2014-12-22,7.41
2014-12-23,7.39
2014-12-24,7.15
2014-12-26,7.13
2014-12-29,7.19
2014-12-30,7.19
2014-12-31,7.32
2015-01-02,7.39
2015-01-05,7.36
2015-01-06,7.2
2015-01-07,7.49
2015-01-08,7.45
2015-01-09,7.45
2015-01-12,7.04
2015-01-13,6.58
2015-01-14,6.5
2015-01-15,6.34
2015-01-16,6.37
2015-01-20,6.29
2015-01-21,6.33
2015-01-22,6.67
2015-01-23,6.89
2015-01-26,6.83
2015-01-27,6.76
2015-01-28,7.04
2015-01-29,7.2
2015-01-30,7.13
2015-02-02,7.29
2015-02-03,7.29
2015-02-04,7.27
2015-02-05,7.32
2015-02-06,7.42
2015-02-09,7.26
2015-02-10,7.3
2015-02-11,7.31
2015-02-12,7.21
2015-02-13,7.22
2015-02-17,7.22
2015-02-18,7.28
2015-02-19,7.2
2015-02-20,7.16
2015-02-23,7.16
2015-02-24,7.23
2015-02-25,7.29
2015-02-26,7.43
2015-02-27,7.36
2015-03-02,7.51
2015-03-03,7.6
2015-03-04,7.72
2015-03-05,7.78
2015-03-06,7.8
2015-03-09,7.75
2015-03-10,7.68
2015-03-11,7.75
2015-03-12,7.75
2015-03-13,7.72
2015-03-16,7.93
2015-03-17,7.96
2015-03-18,8.01
2015-03-19,8.0
2015-03-20,8.08
2015-03-23,7.97
2015-03-24,8.07
2015-03-25,8.12
2015-03-26,8.0
2015-03-27,7.99
2015-03-30,7.98
2015-03-31,7.99
2015-04-01,7.97
2015-04-02,8.71
2015-04-06,8.61
2015-04-07,8.7
2015-04-08,8.78
2015-04-09,8.75
2015-04-10,8.65
2015-04-13,8.93
2015-04-14,9.01
2015-04-15,9.4
2015-04-16,9.56
2015-04-17,9.25
2015-04-20,9.51
2015-04-21,9.36
2015-04-22,9.36
2015-04-23,9.54
2015-04-24,9.53
2015-04-27,9.6
2015-04-28,9.71
2015-04-29,9.61
2015-04-30,9.63
2015-05-01,9.41
2015-05-04,9.61
2015-05-05,9.55
2015-05-06,9.61
2015-05-07,9.62
2015-05-08,9.84
2015-05-11,9.93
2015-05-12,9.95
2015-05-13,9.97
2015-05-14,9.83
2015-05-15,10.09
2015-05-18,9.92
2015-05-19,9.66
2015-05-20,9.48
2015-05-21,9.32
2015-05-22,9.58
2015-05-26,9.48
2015-05-27,9.4
2015-05-28,9.56
2015-05-29,9.69
2015-06-01,9.6
2015-06-02,9.88
2015-06-03,10.15
2015-06-04,10.17
2015-06-05,10.4
2015-06-08,10.27
2015-06-09,10.82
2015-06-10,10.94
2015-06-11,10.95
2015-06-12,10.93
2015-06-15,11.43
2015-06-16,11.91
2015-06-17,11.95
2015-06-18,11.7
2015-06-19,11.83
2015-06-22,11.92
2015-06-23,11.82
2015-06-24,11.7
2015-06-25,11.96
2015-06-26,11.57
2015-06-29,11.43
2015-06-30,11.37
2015-07-01,11.86
2015-07-02,11.74
2015-07-06,12.1
2015-07-07,12.43
2015-07-08,12.05
2015-07-09,12.3
2015-07-10,12.53
2015-07-13,12.64
2015-07-14,12.57
2015-07-15,12.61
2015-07-16,12.72
2015-07-17,12.71
2015-07-20,12.67
2015-07-21,12.55
2015-07-22,12.58
2015-07-23,11.94
2015-07-24,11.48
2015-07-27,11.42
2015-07-28,11.39
2015-07-29,11.28
2015-07-30,11.52
2015-07-31,11.69
2015-08-03,11.51
2015-08-04,11.87
2015-08-05,11.96
2015-08-06,11.84
2015-08-07,11.96
2015-08-10,11.98
2015-08-11,11.67
2015-08-12,11.51
2015-08-13,11.84
2015-08-14,12.26
2015-08-17,12.36
2015-08-18,12.31
2015-08-19,12.22
2015-08-20,12.0
2015-08-21,11.78
2015-08-24,11.5
