Date,WBT
2016-03-08,14.8
2016-03-09,14.17
2016-03-10,14.14
2016-03-11,14.61
2016-03-14,14.67
2016-03-15,13.98
2016-03-16,14.48
2016-03-17,14.91
2016-03-18,14.98
2016-03-21,15.12
2016-03-22,14.99
2016-03-23,14.29
2016-03-24,14.07
2016-03-28,14.3
2016-03-29,14.53
2016-03-30,15.0
2016-03-31,14.74
2016-04-01,14.6
2016-04-04,14.38
2016-04-05,14.07
2016-04-06,14.21
2016-04-07,14.41
2016-04-08,15.02
2016-04-11,15.21
2016-04-12,14.98
2016-04-13,15.63
2016-04-14,16.09
2016-04-15,16.41
2016-04-18,16.370001000000002
2016-04-19,16.4
2016-04-20,15.18
2016-04-21,15.48
2016-04-22,15.45
2016-04-25,15.55
2016-04-26,15.57
2016-04-27,15.41
2016-04-28,14.93
2016-04-29,15.01
2016-05-02,15.15
2016-05-03,15.03
2016-05-04,14.85
2016-05-05,14.9
2016-05-06,14.81
2016-05-09,15.16
2016-05-10,15.78
2016-05-11,15.54
2016-05-12,15.79
2016-05-13,15.72
2016-05-16,15.76
2016-05-17,16.02
2016-05-18,16.040001
2016-05-19,15.68
2016-05-20,15.67
2016-05-23,15.64
2016-05-24,15.69
2016-05-25,16.129998999999998
2016-05-26,16.0
2016-05-27,16.33
2016-05-31,16.469998999999998
2016-06-01,15.78
2016-06-02,16.01
2016-06-03,16.139999
2016-06-06,16.93
2016-06-07,17.26
2016-06-08,17.27
2016-06-09,17.08
2016-06-10,17.280001000000002
2016-06-13,17.17
2016-06-14,16.74
2016-06-15,16.75
2016-06-16,16.559998999999998
2016-06-17,16.83
2016-06-20,17.16
2016-06-21,17.25
2016-06-22,17.389999
2016-06-23,17.57
2016-06-24,17.01
2016-06-27,16.120001000000002
2016-06-28,16.549999
2016-06-29,16.809998999999998
2016-06-30,17.620001000000002
2016-07-01,17.49
2016-07-05,17.049999
2016-07-06,17.120001000000002
2016-07-07,17.25
2016-07-08,16.85
2016-07-11,17.85
2016-07-12,18.01
2016-07-13,17.940001000000002
2016-07-14,17.58
2016-07-15,17.9
2016-07-18,17.950001
2016-07-19,17.540001
2016-07-20,17.75
2016-07-21,17.700001
2016-07-22,17.790001
2016-07-25,17.780001000000002
2016-07-26,18.16
2016-07-27,18.290001
2016-07-28,18.309998999999998
2016-07-29,18.34
2016-08-01,18.17
2016-08-02,17.98
2016-08-03,17.92
2016-08-04,18.530001000000002
2016-08-05,18.709999
2016-08-08,18.42
2016-08-09,18.33
2016-08-10,18.299999
2016-08-11,17.18
2016-08-12,17.33
2016-08-15,17.27
2016-08-16,16.959999
2016-08-17,16.75
2016-08-18,16.700001
2016-08-19,16.65
2016-08-22,16.23
2016-08-23,16.17
2016-08-24,15.95
2016-08-25,16.0
2016-08-26,16.02
2016-08-29,16.040001
2016-08-30,16.030001000000002
2016-08-31,16.129998999999998
2016-09-01,16.17
2016-09-02,16.42
2016-09-06,16.450001
2016-09-07,16.34
2016-09-08,16.77
2016-09-09,16.66
2016-09-12,16.540001
2016-09-13,15.98
2016-09-14,15.57
2016-09-15,16.1
2016-09-16,15.93
2016-09-19,16.629998999999998
2016-09-20,17.030001000000002
2016-09-21,16.92
2016-09-22,17.02
2016-09-23,16.6
2016-09-26,16.49
2016-09-27,16.32
2016-09-28,16.450001
2016-09-29,16.200001
2016-09-30,16.219998999999998
2016-10-03,16.23
2016-10-04,16.15
2016-10-05,16.040001
2016-10-06,16.700001
2016-10-07,16.68
2016-10-10,15.84
2016-10-11,16.120001000000002
2016-10-12,16.4
2016-10-13,16.25
2016-10-14,16.559998999999998
2016-10-17,16.379998999999998
2016-10-18,16.360001
2016-10-19,16.370001000000002
2016-10-20,16.16
2016-10-21,16.059998999999998
2016-10-24,16.18
2016-10-25,15.74
2016-10-26,15.47
2016-10-27,15.24
2016-10-28,15.21
2016-10-31,15.11
2016-11-01,15.46
2016-11-02,15.29
2016-11-03,15.01
2016-11-04,15.11
2016-11-07,16.73
2016-11-08,17.18
2016-11-09,17.610001
2016-11-10,17.73
2016-11-11,17.74
2016-11-14,17.57
2016-11-15,17.549999
2016-11-16,17.879998999999998
2016-11-17,17.85
2016-11-18,17.5
2016-11-21,17.459999
2016-11-22,17.780001000000002
2016-11-23,17.790001
2016-11-25,17.9
2016-11-28,17.809998999999998
2016-11-29,17.440001000000002
2016-11-30,17.74
2016-12-01,17.530001000000002
2016-12-02,17.530001000000002
2016-12-05,17.82
2016-12-06,17.870001000000002
2016-12-07,18.0
2016-12-08,18.0
2016-12-09,17.889999
2016-12-12,17.82
2016-12-13,17.92
2016-12-14,17.91
2016-12-15,17.879998999999998
2016-12-16,17.879998999999998
2016-12-19,17.85
2016-12-20,17.9
2016-12-21,17.940001000000002
2016-12-22,18.01
2016-12-23,18.0
2016-12-27,18.040001
2016-12-28,18.01
2016-12-29,18.950001
2016-12-30,19.33
2017-01-03,19.530001000000002
2017-01-04,19.5
2017-01-05,19.309998999999998
2017-01-06,19.27
2017-01-09,19.290001
2017-01-10,19.450001
2017-01-11,19.6
2017-01-12,19.309998999999998
2017-01-13,19.35
2017-01-17,18.9
2017-01-18,18.969998999999998
2017-01-19,18.879998999999998
2017-01-20,18.85
2017-01-23,18.75
2017-01-24,19.26
2017-01-25,19.75
2017-01-26,19.58
2017-01-27,19.610001
2017-01-30,19.33
2017-01-31,19.18
2017-02-01,19.309998999999998
2017-02-02,19.219998999999998
2017-02-03,19.360001
2017-02-06,18.870001000000002
2017-02-07,18.870001000000002
2017-02-08,18.91
2017-02-09,19.200001
2017-02-10,19.25
2017-02-13,19.01
2017-02-14,19.219998999999998
2017-02-15,18.25
2017-02-16,18.610001
2017-02-17,18.51
2017-02-21,19.4
2017-02-22,18.83
2017-02-23,18.6
2017-02-24,18.370001000000002
2017-02-27,19.18
2017-02-28,19.059998999999998
2017-03-01,19.139999
2017-03-02,19.01
2017-03-03,19.040001
2017-03-06,19.27
2017-03-07,19.1
2017-03-08,19.049999
2017-03-09,19.040001
2017-03-10,18.940001000000002
2017-03-13,19.02
2017-03-14,19.08
2017-03-15,19.33
2017-03-16,19.25
2017-03-17,19.25
2017-03-20,19.41
2017-03-21,19.18
2017-03-22,19.059998999999998
