Date,MLSPF
2008-07-29,3.567207
2008-07-30,3.567207
2008-07-31,3.567207
2008-08-01,3.567207
2008-08-04,3.567207
2008-08-05,3.2928059999999997
2008-08-06,3.457447
2008-08-07,3.457447
2008-08-08,3.457447
2008-08-11,3.2928059999999997
2008-08-12,3.2928059999999997
2008-08-13,3.2928059999999997
2008-08-14,3.2928059999999997
2008-08-15,3.2928059999999997
2008-08-18,3.2928059999999997
2008-08-19,3.2928059999999997
2008-08-20,3.237926
2008-08-21,3.237926
2008-08-22,3.237926
2008-08-25,3.018406
2008-08-26,3.018406
2008-08-27,3.018406
2008-08-28,3.018406
2008-08-29,3.018406
2008-09-02,3.018406
2008-09-03,3.018406
2008-09-04,3.018406
2008-09-05,3.018406
2008-09-08,3.018406
2008-09-09,3.018406
2008-09-10,3.018406
2008-09-11,3.018406
2008-09-12,3.018406
2008-09-15,3.018406
2008-09-16,3.018406
2008-09-17,3.018406
2008-09-18,3.018406
2008-09-19,3.018406
2008-09-22,3.018406
2008-09-23,3.018406
2008-09-24,3.018406
2008-09-25,3.018406
2008-09-26,2.886694
2008-09-29,2.886694
2008-09-30,2.886694
2008-10-01,2.579365
2008-10-02,2.579365
2008-10-03,2.579365
2008-10-06,2.579365
2008-10-07,2.579365
2008-10-08,2.579365
2008-10-09,2.579365
2008-10-10,2.579365
2008-10-13,2.085444
2008-10-14,2.195204
2008-10-15,2.195204
2008-10-16,2.195204
2008-10-17,2.195204
2008-10-20,2.195204
2008-10-21,2.195204
2008-10-22,2.195204
2008-10-23,1.317123
2008-10-24,1.317123
2008-10-27,1.317123
2008-10-28,1.317123
2008-10-29,1.317123
2008-10-30,1.317123
2008-10-31,1.317123
2008-11-03,1.317123
2008-11-04,1.317123
2008-11-05,1.317123
2008-11-06,1.317123
2008-11-07,1.448835
2008-11-10,1.448835
2008-11-11,1.448835
2008-11-12,1.448835
2008-11-13,1.448835
2008-11-14,1.448835
2008-11-17,1.448835
2008-11-18,1.448835
2008-11-19,1.448835
2008-11-20,1.448835
2008-11-21,1.448835
2008-11-24,1.009794
2008-11-25,1.009794
2008-11-26,1.009794
2008-11-28,1.009794
2008-12-01,1.009794
2008-12-02,1.009794
2008-12-03,1.009794
2008-12-04,1.009794
2008-12-05,1.207362
2008-12-08,1.262242
2008-12-09,1.207362
2008-12-10,1.207362
2008-12-11,1.207362
2008-12-12,1.207362
2008-12-15,1.262242
2008-12-16,1.262242
2008-12-17,1.152482
2008-12-18,1.152482
2008-12-19,1.152482
2008-12-22,1.108578
2008-12-23,1.108578
2008-12-24,1.108578
2008-12-26,1.108578
2008-12-29,1.262242
2008-12-30,1.262242
2008-12-31,1.262242
2009-01-02,1.262242
2009-01-05,1.262242
2009-01-06,1.262242
2009-01-07,1.262242
2009-01-08,1.262242
2009-01-09,1.262242
2009-01-12,1.262242
2009-01-13,1.262242
2009-01-14,1.262242
2009-01-15,1.262242
2009-01-16,1.262242
2009-01-20,1.262242
2009-01-21,1.262242
2009-01-22,1.262242
2009-01-23,1.262242
2009-01-26,1.262242
2009-01-27,1.262242
2009-01-28,1.262242
2009-01-29,1.262242
2009-01-30,1.262242
2009-02-02,1.262242
2009-02-03,1.262242
2009-02-04,1.262242
2009-02-05,1.262242
2009-02-06,1.262242
2009-02-09,1.262242
2009-02-10,1.262242
2009-02-11,1.262242
2009-02-12,1.262242
2009-02-13,1.262242
2009-02-17,1.262242
2009-02-18,1.262242
2009-02-19,1.262242
2009-02-20,1.262242
2009-02-23,1.262242
2009-02-24,1.262242
2009-02-25,1.262242
2009-02-26,1.262242
2009-02-27,1.262242
2009-03-02,1.0207700000000002
2009-03-03,1.0207700000000002
2009-03-04,1.0207700000000002
2009-03-05,1.0207700000000002
2009-03-06,1.0207700000000002
2009-03-09,1.0207700000000002
2009-03-10,1.0207700000000002
2009-03-11,1.0207700000000002
2009-03-12,1.0207700000000002
2009-03-13,1.0207700000000002
2009-03-16,1.0207700000000002
2009-03-17,1.0207700000000002
2009-03-18,1.0207700000000002
2009-03-19,1.0207700000000002
2009-03-20,1.207362
2009-03-23,1.207362
2009-03-24,1.207362
2009-03-25,1.207362
2009-03-26,1.207362
2009-03-27,1.207362
2009-03-30,1.207362
2009-03-31,1.207362
2009-04-01,1.207362
2009-04-02,1.207362
2009-04-03,1.207362
2009-04-06,1.207362
2009-04-07,1.262242
2009-04-08,1.262242
2009-04-09,1.262242
2009-04-13,1.262242
2009-04-14,1.262242
2009-04-15,1.262242
2009-04-16,1.262242
2009-04-17,1.262242
2009-04-20,1.262242
2009-04-21,1.262242
2009-04-22,1.262242
2009-04-23,1.262242
2009-04-24,1.404931
2009-04-27,1.404931
2009-04-28,1.404931
2009-04-29,1.404931
2009-04-30,1.404931
2009-05-01,1.404931
2009-05-04,1.404931
2009-05-05,1.426883
2009-05-06,1.426883
2009-05-07,1.426883
2009-05-08,1.426883
2009-05-11,1.426883
2009-05-12,1.426883
2009-05-13,1.426883
2009-05-14,1.426883
2009-05-15,1.426883
2009-05-18,1.426883
2009-05-19,1.426883
2009-05-20,1.426883
2009-05-21,1.426883
2009-05-22,1.426883
2009-05-26,1.426883
2009-05-27,1.426883
2009-05-28,1.426883
2009-05-29,1.426883
2009-06-01,1.9098279999999999
2009-06-02,1.9098279999999999
2009-06-03,1.9098279999999999
2009-06-04,1.9098279999999999
2009-06-05,1.9098279999999999
2009-06-08,1.9098279999999999
2009-06-09,1.9098279999999999
2009-06-10,1.9098279999999999
2009-06-11,1.9098279999999999
