Date,AVA
1973-02-21,10.4375
1973-02-22,10.4375
1973-02-23,10.5
1973-02-26,10.5
1973-02-27,10.5
1973-02-28,10.5
1973-03-01,10.375
1973-03-02,10.4375
1973-03-05,10.375
1973-03-06,10.4375
1973-03-07,10.5
1973-03-08,10.4375
1973-03-09,10.375
1973-03-12,10.4375
1973-03-13,10.375
1973-03-14,10.375
1973-03-15,10.375
1973-03-16,10.375
1973-03-19,10.3125
1973-03-20,10.3125
1973-03-21,10.3125
1973-03-22,10.4375
1973-03-23,10.3125
1973-03-26,10.25
1973-03-27,10.375
1973-03-28,10.375
1973-03-29,10.375
1973-03-30,10.375
1973-04-02,10.375
1973-04-03,10.4375
1973-04-04,10.5
1973-04-05,10.5
1973-04-06,10.5
1973-04-09,10.5
1973-04-10,10.625
1973-04-11,10.5625
1973-04-12,10.5625
1973-04-13,10.5
1973-04-16,10.5
1973-04-17,10.5
1973-04-18,10.5
1973-04-19,10.5625
1973-04-23,10.625
1973-04-24,10.625
1973-04-25,10.625
1973-04-26,10.6875
1973-04-27,10.6875
1973-04-30,10.6875
1973-05-01,10.6875
1973-05-02,10.6875
1973-05-03,10.625
1973-05-04,10.625
1973-05-07,10.625
1973-05-08,10.5
1973-05-09,10.5625
1973-05-10,10.625
1973-05-11,10.625
1973-05-14,10.625
1973-05-15,10.4375
1973-05-16,10.4375
1973-05-17,10.5
1973-05-18,10.5
1973-05-21,10.5625
1973-05-22,10.375
1973-05-23,10.25
1973-05-24,10.4375
1973-05-25,10.5
1973-05-29,10.4375
1973-05-30,10.3125
1973-05-31,10.3125
1973-06-01,10.4375
1973-06-04,10.3125
1973-06-05,10.375
1973-06-06,10.4375
1973-06-07,10.375
1973-06-08,10.6875
1973-06-11,10.5625
1973-06-12,10.5
1973-06-13,10.5
1973-06-14,10.5
1973-06-15,10.5
1973-06-18,10.4375
1973-06-19,10.625
1973-06-20,10.5625
1973-06-21,10.5625
1973-06-22,10.4375
1973-06-25,10.5625
1973-06-26,10.5625
1973-06-27,10.625
1973-06-28,10.4375
1973-06-29,10.5
1973-07-02,10.5625
1973-07-03,10.4375
1973-07-05,10.375
1973-07-06,10.375
1973-07-09,10.5
1973-07-10,10.5625
1973-07-11,10.4375
1973-07-12,10.5625
1973-07-13,10.5
1973-07-16,10.5625
1973-07-17,10.5
1973-07-18,10.625
1973-07-19,10.5
1973-07-20,10.5625
1973-07-23,10.375
1973-07-24,10.375
1973-07-25,10.3125
1973-07-26,10.375
1973-07-27,10.3125
1973-07-30,10.25
1973-07-31,10.3125
1973-08-01,10.25
1973-08-02,10.3125
1973-08-03,10.125
1973-08-06,10.3125
1973-08-07,10.0625
1973-08-08,10.1875
1973-08-09,9.875
1973-08-10,9.875
1973-08-13,9.875
1973-08-14,9.4375
1973-08-15,9.375
1973-08-16,9.5
1973-08-17,9.625
1973-08-20,9.625
1973-08-21,9.4375
1973-08-22,9.375
1973-08-23,9.5
1973-08-24,9.625
1973-08-27,9.4375
1973-08-28,9.5625
1973-08-29,9.5
1973-08-30,9.5625
1973-08-31,9.625
1973-09-04,9.75
1973-09-05,9.875
1973-09-06,9.9375
1973-09-07,9.9375
1973-09-10,9.9375
1973-09-11,9.875
1973-09-12,9.8125
1973-09-13,9.875
1973-09-14,9.875
1973-09-17,9.9375
1973-09-18,10.125
1973-09-19,10.0
1973-09-20,10.1875
1973-09-21,10.25
1973-09-24,10.1875
1973-09-25,10.1875
1973-09-26,10.125
1973-09-27,10.125
1973-09-28,10.25
1973-10-01,10.25
1973-10-02,10.1875
1973-10-03,10.125
1973-10-04,10.1875
1973-10-05,10.0625
1973-10-08,10.0
1973-10-09,10.0
1973-10-10,9.9375
1973-10-11,10.0625
1973-10-12,10.0
1973-10-15,9.75
1973-10-16,10.0625
1973-10-17,9.9375
1973-10-18,10.0
1973-10-19,9.9375
1973-10-22,9.875
1973-10-23,9.8125
1973-10-24,9.8125
1973-10-25,9.75
1973-10-26,9.75
1973-10-29,9.875
1973-10-30,9.75
1973-10-31,9.75
1973-11-01,9.875
1973-11-02,9.875
1973-11-05,9.9375
1973-11-06,9.75
1973-11-07,9.9375
1973-11-08,9.625
1973-11-09,9.75
1973-11-12,9.625
1973-11-13,9.5
1973-11-14,9.5
1973-11-15,9.4375
1973-11-16,9.5
1973-11-19,9.25
1973-11-20,9.125
1973-11-21,9.25
1973-11-23,9.1875
1973-11-26,9.0
1973-11-27,9.125
1973-11-28,9.25
1973-11-29,9.1875
1973-11-30,9.4375
1973-12-03,9.4375
1973-12-04,9.25
1973-12-05,9.0
1973-12-06,9.0
1973-12-07,9.125
1973-12-10,9.25
1973-12-11,9.0
1973-12-12,9.0625
1973-12-13,9.0625
1973-12-14,9.5
1973-12-17,9.3125
1973-12-18,9.3125
1973-12-19,9.5625
1973-12-20,9.4375
1973-12-21,9.3125
1973-12-24,9.25
1973-12-26,9.5
1973-12-27,9.4375
1973-12-28,9.4375
1973-12-31,9.375
1974-01-02,10.0625
1974-01-03,10.125
1974-01-04,10.25
1974-01-07,10.3125
1974-01-08,10.25
1974-01-09,10.125
1974-01-10,10.0
1974-01-11,10.0
1974-01-14,10.0625
1974-01-15,10.0625
1974-01-16,10.1875
1974-01-17,10.1875
1974-01-18,10.1875
1974-01-21,10.0625
1974-01-22,10.125
1974-01-23,10.125
1974-01-24,10.0625
1974-01-25,9.9375
1974-01-28,9.75
1974-01-29,9.75
1974-01-30,9.875
1974-01-31,9.8125
1974-02-01,9.8125
1974-02-04,9.875
1974-02-05,9.8125
1974-02-06,9.75
1974-02-07,9.8125
1974-02-08,9.9375
1974-02-11,10.0
1974-02-12,10.0
1974-02-13,9.9375
1974-02-14,9.9375
1974-02-15,10.125
1974-02-19,10.0625
1974-02-20,10.0625
1974-02-21,9.9375
1974-02-22,10.0625
1974-02-25,10.0625
1974-02-26,10.0625
1974-02-27,10.0625
1974-02-28,10.125
1974-03-01,10.125
1974-03-04,10.1875
1974-03-05,10.3125
1974-03-06,10.0625
1974-03-07,10.0625
1974-03-08,10.125
1974-03-11,10.125
1974-03-12,10.125
1974-03-13,10.125
1974-03-14,10.0625
1974-03-15,10.125
1974-03-18,10.1875
1974-03-19,10.25
1974-03-20,10.0625
1974-03-21,10.125
1974-03-22,10.1875
1974-03-25,10.25
1974-03-26,10.3125
1974-03-27,10.125
1974-03-28,10.4375
1974-03-29,10.25
1974-04-01,10.0625
1974-04-02,10.0625
1974-04-03,10.0625
1974-04-04,9.9375
1974-04-05,9.8125
1974-04-08,9.75
1974-04-09,9.75
1974-04-10,9.875
1974-04-11,9.75
1974-04-15,9.75
1974-04-16,9.8125
1974-04-17,9.8125
1974-04-18,9.8125
1974-04-19,9.8125
1974-04-22,9.75
1974-04-23,9.3125
1974-04-24,9.25
1974-04-25,9.25
1974-04-26,9.5
1974-04-29,9.3125
1974-04-30,9.3125
1974-05-01,9.5625
1974-05-02,9.5
1974-05-03,9.5
1974-05-06,9.5
1974-05-07,9.625
1974-05-08,9.625
1974-05-09,9.625
1974-05-10,9.625
1974-05-13,9.5625
1974-05-14,9.5625
1974-05-15,9.25
1974-05-16,9.25
1974-05-17,9.125
1974-05-20,9.25
1974-05-21,9.4375
1974-05-22,9.1875
1974-05-23,9.25
1974-05-24,9.25
1974-05-28,9.25
1974-05-29,9.25
1974-05-30,9.25
1974-05-31,9.3125
1974-06-03,9.1875
1974-06-04,9.3125
1974-06-05,9.1875
1974-06-06,9.3125
1974-06-07,9.375
1974-06-10,9.375
1974-06-11,9.375
1974-06-12,9.0
1974-06-13,9.125
1974-06-14,9.0625
1974-06-17,9.25
1974-06-18,9.1875
1974-06-19,9.1875
1974-06-20,9.1875
1974-06-21,9.0625
1974-06-24,9.0
1974-06-25,9.0625
1974-06-26,8.9375
1974-06-27,8.875
1974-06-28,8.75
1974-07-01,8.875
1974-07-02,8.875
1974-07-03,8.8125
1974-07-05,8.875
1974-07-08,8.6875
1974-07-09,8.5625
1974-07-10,8.5625
1974-07-11,8.5625
1974-07-12,8.6875
1974-07-15,8.625
1974-07-16,8.625
1974-07-17,8.625
1974-07-18,8.625
1974-07-19,8.6875
1974-07-22,8.6875
1974-07-23,8.875
1974-07-24,8.75
1974-07-25,8.8125
1974-07-26,8.625
1974-07-29,8.5625
1974-07-30,8.5625
1974-07-31,8.6875
1974-08-01,8.625
1974-08-02,8.5625
1974-08-05,8.75
1974-08-06,8.6875
1974-08-07,8.75
1974-08-08,8.8125
1974-08-09,8.8125
1974-08-12,8.875
1974-08-13,8.5625
1974-08-14,8.625
1974-08-15,8.625
1974-08-16,8.625
1974-08-19,8.5625
1974-08-20,8.5625
1974-08-21,8.5625
1974-08-22,8.75
1974-08-23,8.625
1974-08-26,8.5625
1974-08-27,8.375
1974-08-28,8.375
1974-08-29,8.375
1974-08-30,8.5
1974-09-03,8.5625
1974-09-04,8.4375
1974-09-05,8.4375
1974-09-06,8.4375
1974-09-09,8.3125
1974-09-10,8.375
1974-09-11,8.375
1974-09-12,8.25
1974-09-13,8.0625
1974-09-16,8.1875
1974-09-17,8.25
1974-09-18,8.25
1974-09-19,8.375
1974-09-20,8.4375
1974-09-23,8.4375
1974-09-24,8.5
1974-09-25,8.1875
1974-09-26,8.0
1974-09-27,8.0
1974-09-30,8.125
1974-10-01,8.0625
1974-10-02,8.125
1974-10-03,8.0
1974-10-04,8.0
1974-10-07,8.125
1974-10-08,8.25
1974-10-09,8.375
1974-10-10,8.625
1974-10-11,8.625
1974-10-14,8.6875
1974-10-15,8.6875
1974-10-16,8.5625
1974-10-17,8.625
1974-10-18,8.625
1974-10-21,8.625
1974-10-22,8.625
1974-10-23,8.625
1974-10-24,8.5625
1974-10-25,8.625
1974-10-28,8.5
1974-10-29,8.4375
1974-10-30,8.375
1974-10-31,8.5
1974-11-01,8.375
1974-11-04,8.375
1974-11-05,8.4375
1974-11-06,8.5625
1974-11-07,8.4375
1974-11-08,8.5625
1974-11-11,8.625
1974-11-12,8.5
1974-11-13,8.5
1974-11-14,8.5
1974-11-15,8.4375
1974-11-18,8.375
1974-11-19,8.25
1974-11-20,8.1875
1974-11-21,8.25
1974-11-22,8.25
1974-11-25,8.0625
1974-11-26,8.3125
1974-11-27,8.4375
1974-11-29,8.625
1974-12-02,8.625
1974-12-03,8.5
1974-12-04,8.5
1974-12-05,8.375
1974-12-06,8.25
1974-12-09,8.25
1974-12-10,8.125
1974-12-11,8.1875
1974-12-12,8.1875
1974-12-13,8.3125
1974-12-16,8.375
1974-12-17,8.4375
1974-12-18,8.5
1974-12-19,8.4375
1974-12-20,8.375
1974-12-23,8.125
1974-12-24,8.1875
1974-12-26,8.25
1974-12-27,8.25
1974-12-30,8.25
1974-12-31,8.375
1975-01-02,8.5
1975-01-03,8.9375
1975-01-06,9.125
1975-01-07,9.125
1975-01-08,9.0
1975-01-09,9.0
1975-01-10,9.0625
1975-01-13,9.125
1975-01-14,9.125
1975-01-15,9.1875
1975-01-16,9.4375
1975-01-17,9.25
1975-01-20,9.125
1975-01-21,9.25
1975-01-22,9.25
1975-01-23,9.3125
1975-01-24,9.25
1975-01-27,9.5
1975-01-28,9.875
1975-01-29,9.75
1975-01-30,9.75
1975-01-31,9.8125
1975-02-03,9.75
1975-02-04,9.6875
1975-02-05,9.6875
1975-02-06,9.625
1975-02-07,9.6875
1975-02-10,9.75
1975-02-11,9.75
1975-02-12,9.875
1975-02-13,9.875
1975-02-14,9.8125
1975-02-18,9.75
1975-02-19,9.375
1975-02-20,9.25
1975-02-21,9.25
1975-02-24,9.25
1975-02-25,9.0625
1975-02-26,9.125
1975-02-27,8.875
1975-02-28,8.9375
1975-03-03,9.0625
1975-03-04,9.0
1975-03-05,9.0625
1975-03-06,9.0
1975-03-07,9.125
1975-03-10,9.1875
1975-03-11,9.1875
1975-03-12,9.0
1975-03-13,9.0625
1975-03-14,9.125
1975-03-17,9.375
1975-03-18,9.4375
1975-03-19,9.375
1975-03-20,9.375
1975-03-21,9.1875
1975-03-24,9.0
1975-03-25,9.0
1975-03-26,9.0
1975-03-27,9.125
1975-03-31,9.125
1975-04-01,8.875
1975-04-02,9.0625
1975-04-03,9.0
1975-04-04,9.0
1975-04-07,9.0
1975-04-08,9.0
1975-04-09,8.9375
1975-04-10,8.9375
1975-04-11,8.9375
1975-04-14,9.0
1975-04-15,9.0
1975-04-16,9.125
1975-04-17,9.125
1975-04-18,9.0
1975-04-21,9.1875
1975-04-22,9.125
1975-04-23,9.0
1975-04-24,8.9375
1975-04-25,9.0
1975-04-28,8.875
1975-04-29,8.8125
1975-04-30,8.875
1975-05-01,8.8125
1975-05-02,8.75
1975-05-05,8.875
1975-05-06,8.875
1975-05-07,9.0
1975-05-08,8.9375
1975-05-09,9.0
1975-05-12,9.25
1975-05-13,9.25
1975-05-14,9.125
1975-05-15,9.125
1975-05-16,8.9375
1975-05-19,8.9375
1975-05-20,8.9375
1975-05-21,8.9375
1975-05-22,9.0625
1975-05-23,9.0625
1975-05-27,9.0
1975-05-28,8.875
1975-05-29,8.9375
1975-05-30,8.875
1975-06-02,9.125
1975-06-03,9.25
1975-06-04,9.25
1975-06-05,9.25
1975-06-06,9.25
1975-06-09,9.25
1975-06-10,9.25
1975-06-11,9.375
1975-06-12,9.4375
1975-06-13,9.625
1975-06-16,9.75
1975-06-17,9.75
1975-06-18,9.75
1975-06-19,9.875
1975-06-20,9.9375
1975-06-23,9.875
1975-06-24,9.8125
1975-06-25,9.8125
1975-06-26,9.75
1975-06-27,9.75
1975-06-30,9.8125
1975-07-01,9.625
1975-07-02,9.75
1975-07-03,9.5625
1975-07-07,9.5625
1975-07-08,9.5625
