Date,VEON
1996-11-15,1.9333330000000002
1996-11-18,2.066667
1996-11-19,2.2
1996-11-20,2.066667
1996-11-21,1.9833330000000002
1996-11-22,1.9833330000000002
1996-11-25,1.8666669999999999
1996-11-26,1.7333330000000002
1996-11-27,1.7
1996-11-29,1.833333
1996-12-02,1.825
1996-12-03,1.8
1996-12-04,1.8
1996-12-05,1.825
1996-12-06,1.7583330000000001
1996-12-09,1.7833330000000003
1996-12-10,1.7333330000000002
1996-12-11,1.75
1996-12-12,1.7833330000000003
1996-12-13,1.8
1996-12-16,1.775
1996-12-17,1.775
1996-12-18,1.775
1996-12-19,1.6916669999999998
1996-12-20,1.591667
1996-12-23,1.633333
1996-12-24,1.591667
1996-12-26,1.566667
1996-12-27,1.583333
1996-12-30,1.583333
1996-12-31,1.575
1997-01-02,1.575
1997-01-03,1.625
1997-01-06,1.7416669999999999
1997-01-07,1.7583330000000001
1997-01-08,1.8666669999999999
1997-01-09,1.925
1997-01-10,2.05
1997-01-13,2.05
1997-01-14,2.1333330000000004
1997-01-15,2.166667
1997-01-16,2.1583330000000003
1997-01-17,2.083333
1997-01-20,2.2166669999999997
1997-01-21,2.275
1997-01-22,2.3666669999999996
1997-01-23,2.5333330000000003
1997-01-24,2.4666669999999997
1997-01-27,2.2833330000000003
1997-01-28,2.4083330000000003
1997-01-29,2.3666669999999996
1997-01-30,2.475
1997-01-31,2.441667
1997-02-03,2.45
1997-02-04,2.4
1997-02-05,2.35
1997-02-06,2.266667
1997-02-07,2.208333
1997-02-10,2.0916669999999997
1997-02-11,2.2416669999999996
1997-02-12,2.308333
1997-02-13,2.45
1997-02-14,2.475
1997-02-18,2.583333
1997-02-19,2.575
1997-02-20,2.441667
1997-02-21,2.4
1997-02-24,2.45
1997-02-25,2.458333
1997-02-26,2.4
1997-02-27,2.325
1997-02-28,2.291667
1997-03-03,2.275
1997-03-04,2.316667
1997-03-05,2.325
1997-03-06,2.3
1997-03-07,2.316667
1997-03-10,2.333333
1997-03-11,2.3416669999999997
1997-03-12,2.3416669999999997
1997-03-13,2.3
1997-03-14,2.3
1997-03-17,2.275
1997-03-18,2.25
1997-03-19,2.233333
1997-03-20,2.166667
1997-03-21,2.208333
1997-03-24,2.183333
1997-03-25,2.183333
1997-03-26,2.225
1997-03-27,2.166667
1997-03-31,2.1333330000000004
1997-04-01,2.0916669999999997
1997-04-02,2.083333
1997-04-03,2.0916669999999997
1997-04-04,2.05
1997-04-07,2.125
1997-04-08,2.141667
1997-04-09,2.208333
1997-04-10,2.191667
1997-04-11,2.15
1997-04-14,2.1333330000000004
1997-04-15,2.141667
1997-04-16,2.108333
1997-04-17,2.125
1997-04-18,2.208333
1997-04-21,2.083333
1997-04-22,2.075
1997-04-23,2.058333
1997-04-24,2.0083330000000004
1997-04-25,2.041667
1997-04-28,1.9833330000000002
1997-04-29,2.0083330000000004
1997-04-30,2.016667
1997-05-01,2.025
1997-05-02,2.058333
1997-05-05,2.25
1997-05-06,2.2
1997-05-07,2.166667
1997-05-08,2.1583330000000003
1997-05-09,2.15
1997-05-12,2.0916669999999997
1997-05-13,2.066667
1997-05-14,2.05
1997-05-15,2.125
1997-05-16,2.1333330000000004
1997-05-19,2.1166669999999996
1997-05-20,2.108333
1997-05-21,2.05
1997-05-22,2.108333
1997-05-23,2.05
1997-05-27,2.05
1997-05-28,2.0083330000000004
1997-05-29,1.9333330000000002
1997-05-30,1.9916669999999999
1997-06-02,2.025
1997-06-03,2.0
1997-06-04,1.95
1997-06-05,1.9833330000000002
1997-06-06,2.05
1997-06-09,2.0916669999999997
1997-06-10,2.2
1997-06-11,2.2416669999999996
1997-06-12,2.2
1997-06-13,2.25
1997-06-16,2.2416669999999996
1997-06-17,2.2166669999999997
1997-06-18,2.2583330000000004
1997-06-19,2.333333
1997-06-20,2.3666669999999996
1997-06-23,2.316667
1997-06-24,2.3666669999999996
1997-06-25,2.425
1997-06-26,2.3833330000000004
1997-06-27,2.4125
1997-06-30,2.5333330000000003
1997-07-01,2.5
1997-07-02,2.525
1997-07-03,2.5083330000000004
1997-07-07,2.3833330000000004
1997-07-08,2.3833330000000004
1997-07-09,2.391667
1997-07-10,2.316667
