Date,EOG
1989-10-04,2.5
1989-10-05,2.578125
1989-10-06,2.546875
1989-10-09,2.546875
1989-10-10,2.53125
1989-10-11,2.515625
1989-10-12,2.53125
1989-10-13,2.484375
1989-10-16,2.46875
1989-10-17,2.5
1989-10-18,2.546875
1989-10-19,2.546875
1989-10-20,2.53125
1989-10-23,2.546875
1989-10-24,2.5625
1989-10-25,2.546875
1989-10-26,2.546875
1989-10-27,2.515625
1989-10-30,2.5
1989-10-31,2.5
1989-11-01,2.5625
1989-11-02,2.640625
1989-11-03,2.734375
1989-11-06,2.578125
1989-11-07,2.6875
1989-11-08,2.71875
1989-11-09,2.6875
1989-11-10,2.5625
1989-11-13,2.546875
1989-11-14,2.53125
1989-11-15,2.5625
1989-11-16,2.59375
1989-11-17,2.640625
1989-11-20,2.609375
1989-11-21,2.671875
1989-11-22,2.75
1989-11-24,2.921875
1989-11-27,2.875
1989-11-28,2.828125
1989-11-29,2.796875
1989-11-30,2.890625
1989-12-01,2.90625
1989-12-04,2.984375
1989-12-05,2.90625
1989-12-06,2.984375
1989-12-07,2.953125
1989-12-08,2.953125
1989-12-11,3.0
1989-12-12,3.015625
1989-12-13,3.15625
1989-12-14,3.125
1989-12-15,3.109375
1989-12-18,3.03125
1989-12-19,3.0625
1989-12-20,3.078125
1989-12-21,3.109375
1989-12-22,3.125
1989-12-26,3.078125
1989-12-27,3.03125
1989-12-28,3.03125
1989-12-29,3.15625
1990-01-02,3.046875
1990-01-03,3.03125
1990-01-04,2.953125
1990-01-05,2.90625
1990-01-08,2.859375
1990-01-09,2.8125
1990-01-10,2.703125
1990-01-11,2.75
1990-01-12,2.71875
1990-01-15,2.71875
1990-01-16,2.703125
1990-01-17,2.71875
1990-01-18,2.703125
1990-01-19,2.75
1990-01-22,2.734375
1990-01-23,2.75
1990-01-24,2.6875
1990-01-25,2.71875
1990-01-26,2.671875
1990-01-29,2.640625
1990-01-30,2.65625
1990-01-31,2.859375
1990-02-01,2.859375
1990-02-02,2.875
1990-02-05,2.875
1990-02-06,2.890625
1990-02-07,2.9375
1990-02-08,3.046875
1990-02-09,3.0
1990-02-12,2.90625
1990-02-13,2.953125
1990-02-14,2.9375
1990-02-15,2.953125
1990-02-16,2.96875
1990-02-20,2.953125
1990-02-21,2.90625
1990-02-22,2.84375
1990-02-23,2.71875
1990-02-26,2.75
1990-02-27,2.84375
1990-02-28,2.796875
1990-03-01,2.75
1990-03-02,2.703125
1990-03-05,2.671875
1990-03-06,2.734375
1990-03-07,2.75
1990-03-08,2.78125
1990-03-09,2.734375
1990-03-12,2.6875
1990-03-13,2.6875
1990-03-14,2.765625
1990-03-15,2.71875
1990-03-16,2.78125
1990-03-19,2.765625
1990-03-20,2.796875
1990-03-21,2.796875
1990-03-22,2.765625
1990-03-23,2.796875
1990-03-26,2.75
1990-03-27,2.75
1990-03-28,2.921875
1990-03-29,2.90625
1990-03-30,2.921875
1990-04-02,2.875
1990-04-03,2.984375
1990-04-04,2.90625
1990-04-05,2.90625
1990-04-06,2.78125
1990-04-09,2.734375
1990-04-10,2.765625
1990-04-11,2.734375
1990-04-12,2.625
1990-04-16,2.703125
1990-04-17,2.71875
1990-04-18,2.71875
1990-04-19,2.6875
1990-04-20,2.671875
1990-04-23,2.625
1990-04-24,2.625
1990-04-25,2.65625
1990-04-26,2.6875
1990-04-27,2.703125
1990-04-30,2.71875
1990-05-01,2.8125
1990-05-02,2.8125
1990-05-03,2.828125
1990-05-04,2.78125
1990-05-07,2.84375
1990-05-08,2.828125
1990-05-09,2.796875
1990-05-10,2.796875
1990-05-11,2.875
1990-05-14,2.75
1990-05-15,2.8125
1990-05-16,2.90625
1990-05-17,2.953125
1990-05-18,3.0
1990-05-21,2.953125
1990-05-22,2.96875
1990-05-23,2.90625
1990-05-24,2.8125
1990-05-25,2.875
1990-05-29,2.90625
1990-05-30,2.96875
1990-05-31,2.96875
1990-06-01,2.96875
1990-06-04,2.984375
1990-06-05,2.890625
1990-06-06,2.875
1990-06-07,2.859375
1990-06-08,2.84375
1990-06-11,2.875
1990-06-12,2.984375
1990-06-13,2.96875
1990-06-14,2.984375
1990-06-15,2.96875
1990-06-18,2.96875
1990-06-19,2.921875
