Date,RDN
1992-10-30,4.75
1992-11-02,5.0
1992-11-03,4.90625
1992-11-04,4.90625
1992-11-05,5.125
1992-11-06,5.09375
1992-11-09,5.1875
1992-11-10,5.15625
1992-11-11,5.28125
1992-11-12,5.53125
1992-11-13,6.0
1992-11-16,5.75
1992-11-17,5.8125
1992-11-18,5.84375
1992-11-19,5.8125
1992-11-20,5.96875
1992-11-23,6.25
1992-11-24,6.1875
1992-11-25,6.125
1992-11-27,6.1875
1992-11-30,6.1875
1992-12-01,6.125
1992-12-02,5.8125
1992-12-03,5.75
1992-12-04,5.96875
1992-12-07,6.1875
1992-12-08,6.0625
1992-12-09,5.90625
1992-12-10,5.84375
1992-12-11,5.84375
1992-12-14,5.75
1992-12-15,5.625
1992-12-16,5.5
1992-12-17,5.8125
1992-12-18,5.75
1992-12-21,5.4375
1992-12-22,6.03125
1992-12-23,6.25
1992-12-24,6.25
1992-12-28,6.125
1992-12-29,6.25
1992-12-30,6.4375
1992-12-31,6.5625
1993-01-04,6.40625
1993-01-05,6.375
1993-01-06,6.375
1993-01-07,6.0625
1993-01-08,5.90625
1993-01-11,6.21875
1993-01-12,6.09375
1993-01-13,6.25
1993-01-14,6.5
1993-01-15,6.8125
1993-01-18,6.96875
1993-01-19,6.9375
1993-01-20,7.0625
1993-01-21,7.15625
1993-01-22,6.96875
1993-01-25,7.15625
1993-01-26,7.21875
1993-01-27,7.09375
1993-01-28,6.9375
1993-01-29,6.9375
1993-02-01,6.71875
1993-02-02,6.875
1993-02-03,7.0
1993-02-04,7.21875
1993-02-05,7.09375
1993-02-08,7.0
1993-02-09,6.9375
1993-02-10,6.96875
1993-02-11,7.125
1993-02-12,7.125
1993-02-16,6.90625
1993-02-17,6.71875
1993-02-18,6.6875
1993-02-19,6.75
1993-02-22,6.8125
1993-02-23,6.90625
1993-02-24,6.875
1993-02-25,6.90625
1993-02-26,7.09375
1993-03-01,7.6875
1993-03-02,7.4375
1993-03-03,7.46875
1993-03-04,7.46875
1993-03-05,7.5625
1993-03-08,7.78125
1993-03-09,7.9375
1993-03-10,8.0625
1993-03-11,7.9375
1993-03-12,7.625
1993-03-15,7.46875
1993-03-16,7.71875
1993-03-17,7.46875
1993-03-18,7.625
1993-03-19,7.625
1993-03-22,7.53125
1993-03-23,7.5
1993-03-24,7.375
1993-03-25,7.40625
1993-03-26,7.375
1993-03-29,7.21875
1993-03-30,7.3125
1993-03-31,7.1875
1993-04-01,7.15625
1993-04-02,6.9375
1993-04-05,6.875
1993-04-06,6.90625
1993-04-07,6.875
1993-04-08,6.75
1993-04-12,6.6875
1993-04-13,6.9375
1993-04-14,6.875
1993-04-15,6.8125
1993-04-16,6.8125
1993-04-19,6.6875
1993-04-20,6.625
1993-04-21,6.71875
1993-04-22,6.59375
1993-04-23,6.46875
1993-04-26,6.21875
1993-04-27,6.125
1993-04-28,6.03125
1993-04-29,6.21875
1993-04-30,6.21875
1993-05-03,6.25
1993-05-04,6.4375
1993-05-05,6.59375
1993-05-06,6.5625
1993-05-07,6.5625
1993-05-10,6.5625
1993-05-11,6.59375
1993-05-12,6.625
1993-05-13,6.4375
1993-05-14,6.375
1993-05-17,6.21875
1993-05-18,6.0625
1993-05-19,6.0
1993-05-20,6.375
1993-05-21,6.28125
1993-05-24,6.34375
1993-05-25,6.46875
1993-05-26,6.59375
1993-05-27,6.53125
1993-05-28,6.5
1993-06-01,6.46875
1993-06-02,6.4375
1993-06-03,6.375
1993-06-04,6.25
1993-06-07,6.1875
1993-06-08,5.9375
1993-06-09,6.0
1993-06-10,5.78125
1993-06-11,5.8125
1993-06-14,5.8125
1993-06-15,6.0
1993-06-16,6.125
1993-06-17,6.4375
1993-06-18,6.46875
1993-06-21,6.28125
1993-06-22,6.5
1993-06-23,6.4375
1993-06-24,6.59375
1993-06-25,6.53125
1993-06-28,6.84375
1993-06-29,6.8125
1993-06-30,7.0625
1993-07-01,7.09375
1993-07-02,7.21875
1993-07-06,7.1875
1993-07-07,7.09375
1993-07-08,6.75
1993-07-09,6.84375
1993-07-12,6.9375
1993-07-13,7.03125
1993-07-14,7.0
1993-07-15,6.96875
1993-07-16,6.875
1993-07-19,6.875
1993-07-20,6.8125
1993-07-21,6.65625
1993-07-22,6.75
1993-07-23,6.6875
1993-07-26,6.71875
1993-07-27,6.71875
1993-07-28,6.6875
1993-07-29,6.78125
1993-07-30,6.84375
1993-08-02,6.90625
1993-08-03,6.96875
1993-08-04,7.125
1993-08-05,7.0
1993-08-06,7.0
1993-08-09,7.25
1993-08-10,7.4375
1993-08-11,7.4375
1993-08-12,7.375
1993-08-13,7.3125
1993-08-16,7.25
1993-08-17,7.0625
1993-08-18,7.125
1993-08-19,7.1875
1993-08-20,6.96875
1993-08-23,6.96875
1993-08-24,7.15625
1993-08-25,7.25
1993-08-26,7.1875
1993-08-27,7.15625
1993-08-30,7.15625
1993-08-31,7.3125
1993-09-01,7.21875
1993-09-02,7.25
1993-09-03,7.21875
1993-09-07,7.21875
1993-09-08,7.15625
1993-09-09,7.3125
1993-09-10,7.5
1993-09-13,7.8125
1993-09-14,7.875
1993-09-15,8.0625
1993-09-16,8.03125
1993-09-17,7.96875
1993-09-20,7.90625
1993-09-21,7.8125
1993-09-22,7.90625
1993-09-23,7.875
1993-09-24,7.96875
1993-09-27,8.0625
1993-09-28,8.25
1993-09-29,8.15625
1993-09-30,8.21875
1993-10-01,8.28125
1993-10-04,8.28125
1993-10-05,8.21875
1993-10-06,8.3125
1993-10-07,8.375
1993-10-08,8.40625
1993-10-11,8.3125
1993-10-12,8.3125
1993-10-13,8.34375
1993-10-14,8.3125
1993-10-15,8.34375
1993-10-18,8.1875
1993-10-19,8.125
1993-10-20,7.875
1993-10-21,8.375
1993-10-22,8.6875
1993-10-25,8.625
1993-10-26,8.59375
1993-10-27,8.46875
1993-10-28,8.4375
1993-10-29,8.46875
1993-11-01,8.21875
1993-11-02,8.21875
1993-11-03,8.125
1993-11-04,7.75
1993-11-05,7.6875
1993-11-08,7.90625
1993-11-09,7.96875
1993-11-10,7.9375
1993-11-11,7.90625
1993-11-12,7.96875
1993-11-15,7.8125
1993-11-16,7.9375
1993-11-17,7.875
1993-11-18,7.9375
1993-11-19,7.875
1993-11-22,7.625
1993-11-23,7.375
1993-11-24,7.4375
1993-11-26,7.5
1993-11-29,7.6875
1993-11-30,7.59375
1993-12-01,7.625
1993-12-02,7.59375
1993-12-03,7.59375
1993-12-06,7.625
1993-12-07,7.59375
1993-12-08,7.59375
1993-12-09,7.59375
1993-12-10,7.5625
1993-12-13,7.4375
1993-12-14,7.4375
1993-12-15,7.3125
1993-12-16,7.125
1993-12-17,7.28125
1993-12-20,7.25
1993-12-21,7.25
1993-12-22,7.125
1993-12-23,7.21875
1993-12-27,7.15625
1993-12-28,7.09375
1993-12-29,7.0625
1993-12-30,7.0
1993-12-31,6.9375
1994-01-03,6.875
1994-01-04,6.84375
1994-01-05,6.84375
1994-01-06,6.8125
1994-01-07,7.0
1994-01-10,7.40625
1994-01-11,7.53125
1994-01-12,7.5
1994-01-13,7.5
1994-01-14,7.53125
1994-01-17,7.5
1994-01-18,7.4375
1994-01-19,7.3125
1994-01-20,7.34375
1994-01-21,7.34375
1994-01-24,7.21875
1994-01-25,7.21875
1994-01-26,7.3125
1994-01-27,7.5
1994-01-28,7.53125
1994-01-31,7.53125
1994-02-01,7.5
1994-02-02,7.625
1994-02-03,7.59375
1994-02-04,7.4375
1994-02-07,7.46875
1994-02-08,7.53125
1994-02-09,7.5625
1994-02-10,7.625
1994-02-11,7.5
1994-02-14,7.5625
1994-02-15,7.46875
1994-02-16,7.5
1994-02-17,7.34375
1994-02-18,7.21875
1994-02-22,7.1875
1994-02-23,7.0625
1994-02-24,6.90625
1994-02-25,6.9375
1994-02-28,6.9375
1994-03-01,6.84375
1994-03-02,6.90625
1994-03-03,6.71875
1994-03-04,6.8125
1994-03-07,6.9375
1994-03-08,6.9375
1994-03-09,6.90625
1994-03-10,6.90625
1994-03-11,6.9375
1994-03-14,6.9375
1994-03-15,6.90625
1994-03-16,6.90625
1994-03-17,7.34375
1994-03-18,7.25
1994-03-21,7.40625
1994-03-22,7.6875
1994-03-23,7.5
1994-03-24,7.375
1994-03-25,7.5
1994-03-28,7.46875
1994-03-29,7.28125
1994-03-30,7.15625
1994-03-31,7.25
1994-04-04,7.1875
1994-04-05,7.34375
1994-04-06,7.125
1994-04-07,7.34375
1994-04-08,7.34375
1994-04-11,7.34375
1994-04-12,7.40625
1994-04-13,7.3125
1994-04-14,7.25
1994-04-15,7.21875
1994-04-18,7.15625
1994-04-19,7.0
1994-04-20,7.0
1994-04-21,6.9375
1994-04-22,6.8125
1994-04-25,6.71875
1994-04-26,6.84375
1994-04-28,6.875
1994-04-29,6.75
1994-05-02,6.71875
1994-05-03,6.75
1994-05-04,6.75
1994-05-05,6.6875
1994-05-06,6.65625
1994-05-09,6.4375
1994-05-10,6.25
1994-05-11,6.0625
1994-05-12,6.09375
1994-05-13,5.96875
1994-05-16,5.875
1994-05-17,5.84375
1994-05-18,6.09375
1994-05-19,6.21875
1994-05-20,6.125
1994-05-23,6.125
1994-05-24,6.15625
1994-05-25,6.28125
1994-05-26,6.375
1994-05-27,6.46875
1994-05-31,6.53125
1994-06-01,6.78125
1994-06-02,6.875
1994-06-03,7.0625
1994-06-06,6.9375
1994-06-07,6.9375
1994-06-08,6.84375
1994-06-09,6.78125
1994-06-10,6.75
1994-06-13,6.71875
1994-06-14,6.53125
1994-06-15,6.53125
1994-06-16,6.75
1994-06-17,6.6875
1994-06-20,6.65625
1994-06-21,6.59375
1994-06-22,6.59375
1994-06-23,6.4375
1994-06-24,6.5
1994-06-27,6.46875
1994-06-28,6.46875
1994-06-29,6.53125
1994-06-30,6.3125
1994-07-01,6.34375
1994-07-05,6.34375
1994-07-06,6.21875
1994-07-07,6.375
1994-07-08,6.3125
1994-07-11,6.28125
1994-07-12,6.3125
1994-07-13,6.53125
1994-07-14,6.625
1994-07-15,6.5625
1994-07-18,6.46875
1994-07-19,6.4375
1994-07-20,6.28125
1994-07-21,6.53125
1994-07-22,6.59375
1994-07-25,6.5625
1994-07-26,6.5625
1994-07-27,6.53125
1994-07-28,6.53125
1994-07-29,6.53125
1994-08-01,6.5
1994-08-02,6.53125
1994-08-03,6.625
1994-08-04,6.515625
1994-08-05,6.4375
1994-08-08,6.40625
1994-08-09,6.34375
1994-08-10,6.34375
1994-08-11,6.4375
1994-08-12,6.53125
1994-08-15,6.59375
1994-08-16,6.65625
1994-08-17,6.75
1994-08-18,6.75
1994-08-19,6.8125
1994-08-22,6.84375
1994-08-23,6.8125
1994-08-24,7.15625
1994-08-25,7.25
1994-08-26,7.28125
1994-08-29,7.25
1994-08-30,7.25
1994-08-31,7.21875
1994-09-01,7.0
1994-09-02,7.0
1994-09-06,7.03125
1994-09-07,7.03125
1994-09-08,7.125
1994-09-09,7.15625
1994-09-12,7.0625
1994-09-13,7.03125
1994-09-14,7.03125
1994-09-15,7.0625
1994-09-16,7.0625
1994-09-19,7.0
1994-09-20,7.1875
1994-09-21,7.03125
1994-09-22,7.1875
1994-09-23,7.125
1994-09-26,6.875
