Date,GHC
1973-12-19,2.530211
1973-12-20,2.6435049999999998
1973-12-21,2.530211
1973-12-24,2.624622
1973-12-26,2.719033
1973-12-27,2.567976
1973-12-28,2.5490939999999997
1973-12-31,2.567976
1974-01-02,2.624622
1974-01-03,2.5868580000000003
1974-01-04,2.4358009999999997
1974-01-07,2.379154
1974-01-08,2.303625
1974-01-09,2.416919
1974-01-10,2.416919
1974-01-11,2.4735650000000002
1974-01-14,2.4735650000000002
1974-01-15,2.416919
1974-01-16,2.416919
1974-01-17,2.4735650000000002
1974-01-18,2.4735650000000002
1974-01-21,2.454683
1974-01-22,2.4735650000000002
1974-01-23,2.4735650000000002
1974-01-24,2.4358009999999997
1974-01-25,2.4358009999999997
1974-01-28,2.34139
1974-01-29,2.416919
1974-01-30,2.454683
1974-01-31,2.4735650000000002
1974-02-01,2.530211
1974-02-04,2.511329
1974-02-05,2.530211
1974-02-06,2.454683
1974-02-07,2.454683
1974-02-08,2.4735650000000002
1974-02-11,2.4924470000000003
1974-02-12,2.4735650000000002
1974-02-13,2.4924470000000003
1974-02-14,2.4924470000000003
1974-02-15,2.567976
1974-02-19,2.6435049999999998
1974-02-20,2.662387
1974-02-21,2.756798
1974-02-22,2.77568
1974-02-25,2.681269
1974-02-26,2.662387
1974-02-27,2.681269
1974-02-28,2.700151
1974-03-01,2.719033
1974-03-04,2.8323259999999997
1974-03-05,2.983384
1974-03-06,3.20997
1974-03-07,3.266616
1974-03-08,3.417674
1974-03-11,3.4743199999999996
1974-03-12,3.625378
1974-03-13,3.64426
1974-03-14,3.606495
1974-03-15,3.398792
1974-03-18,3.2854980000000005
1974-03-19,3.2854980000000005
1974-03-20,3.323263
1974-03-21,3.436556
1974-03-22,3.4743199999999996
1974-03-25,3.4743199999999996
1974-03-26,3.4743199999999996
1974-03-27,3.4554379999999996
1974-03-28,3.417674
1974-03-29,3.4743199999999996
1974-04-01,3.398792
1974-04-02,3.3799089999999996
1974-04-03,3.3799089999999996
1974-04-04,3.398792
1974-04-05,3.398792
1974-04-08,3.3799089999999996
1974-04-09,3.398792
1974-04-10,3.398792
1974-04-11,3.436556
1974-04-15,3.436556
1974-04-16,3.4743199999999996
1974-04-17,3.4554379999999996
1974-04-18,3.530967
1974-04-19,3.4932019999999997
1974-04-22,3.4932019999999997
1974-04-23,3.436556
1974-04-24,3.398792
1974-04-25,3.417674
1974-04-26,3.4743199999999996
1974-04-29,3.436556
1974-04-30,3.398792
1974-05-01,3.398792
1974-05-02,3.417674
1974-05-03,3.2854980000000005
1974-05-06,3.323263
1974-05-07,3.304381
1974-05-08,3.304381
1974-05-09,3.304381
1974-05-10,3.2854980000000005
1974-05-13,3.247734
1974-05-14,3.20997
1974-05-15,3.153323
1974-05-16,3.134441
1974-05-17,3.058912
1974-05-20,3.058912
1974-05-21,3.077795
1974-05-22,3.04003
1974-05-23,3.021148
1974-05-24,3.002266
1974-05-28,3.002266
1974-05-29,3.002266
1974-05-30,3.058912
1974-05-31,3.058912
1974-06-03,3.191088
1974-06-04,3.20997
1974-06-05,3.323263
1974-06-06,3.3610269999999995
1974-06-07,3.342145
1974-06-10,3.3610269999999995
1974-06-11,3.3610269999999995
1974-06-12,3.3799089999999996
1974-06-13,3.398792
1974-06-14,3.398792
1974-06-17,3.398792
1974-06-18,3.323263
1974-06-19,3.398792
1974-06-20,3.3799089999999996
1974-06-21,3.247734
1974-06-24,3.228852
1974-06-25,3.247734
1974-06-26,3.304381
1974-06-27,3.2854980000000005
1974-06-28,3.247734
1974-07-01,3.20997
1974-07-02,3.20997
1974-07-03,3.228852
1974-07-05,3.247734
1974-07-08,3.266616
1974-07-09,3.191088
1974-07-10,3.191088
1974-07-11,3.134441
1974-07-12,3.096677
1974-07-15,3.096677
1974-07-16,3.115559
1974-07-17,3.115559
1974-07-18,3.096677
1974-07-19,3.096677
1974-07-22,3.172205
1974-07-23,3.20997
1974-07-24,3.2854980000000005
1974-07-25,3.266616
1974-07-26,3.266616
1974-07-29,3.266616
1974-07-30,3.266616
1974-07-31,3.20997
1974-08-01,3.191088
1974-08-02,3.153323
1974-08-05,3.134441
1974-08-06,3.172205
1974-08-07,3.172205
1974-08-08,3.115559
1974-08-09,3.153323
1974-08-12,3.134441
1974-08-13,3.134441
1974-08-14,3.134441
1974-08-15,3.058912
1974-08-16,2.983384
1974-08-19,2.870091
1974-08-20,2.681269
1974-08-21,2.719033
1974-08-22,2.681269
1974-08-23,2.719033
1974-08-26,2.6435049999999998
1974-08-27,2.60574
1974-08-28,2.60574
1974-08-29,2.60574
1974-08-30,2.6435049999999998
1974-09-03,2.6435049999999998
1974-09-04,2.567976
1974-09-05,2.530211
