Date,GRUB
2015-02-25,42.459998999999996
2015-02-26,41.75
2015-02-27,42.009997999999996
2015-03-02,44.09
2015-03-03,43.490002000000004
2015-03-04,43.43
2015-03-05,43.189999
2015-03-06,42.32
2015-03-09,42.990002000000004
2015-03-10,42.549999
2015-03-11,42.919998
2015-03-12,43.549999
2015-03-13,44.25
2015-03-16,45.18
2015-03-17,45.290001000000004
2015-03-18,45.299999
2015-03-19,45.240002000000004
2015-03-20,45.119999
2015-03-23,45.790001000000004
2015-03-24,45.57
2015-03-25,44.84
2015-03-26,44.990002000000004
2015-03-27,45.34
2015-03-30,46.23
2015-03-31,45.389998999999996
2015-04-01,44.57
2015-04-02,44.27
2015-04-06,44.84
2015-04-07,45.029999
2015-04-08,45.240002000000004
2015-04-09,43.91
2015-04-10,43.810001
2015-04-13,44.279999
2015-04-14,43.639998999999996
2015-04-15,45.18
2015-04-16,45.330002
2015-04-17,45.209998999999996
2015-04-20,45.459998999999996
2015-04-21,46.290001000000004
2015-04-22,45.84
2015-04-23,46.25
2015-04-24,46.0
2015-04-27,47.18
2015-04-28,45.299999
2015-04-29,40.849998
2015-04-30,41.169998
2015-05-01,40.09
2015-05-04,39.02
2015-05-05,38.939999
2015-05-06,39.0
2015-05-07,39.41
2015-05-08,40.23
2015-05-11,39.98
2015-05-12,39.700001
2015-05-13,39.689999
2015-05-14,40.220001
2015-05-15,39.91
2015-05-18,40.279999
2015-05-19,39.939999
2015-05-20,40.220001
2015-05-21,40.48
2015-05-22,40.259997999999996
2015-05-26,39.630001
2015-05-27,39.740002000000004
2015-05-28,40.259997999999996
2015-05-29,40.32
2015-06-01,40.779999
2015-06-02,40.380001
2015-06-03,40.759997999999996
2015-06-04,40.119999
2015-06-05,39.59
2015-06-08,38.889998999999996
2015-06-09,37.23
2015-06-10,37.630001
2015-06-11,37.299999
2015-06-12,37.400002
2015-06-15,37.82
2015-06-16,37.380001
2015-06-17,35.82
2015-06-18,34.77
2015-06-19,35.099998
2015-06-22,34.73
2015-06-23,35.380001
2015-06-24,35.689999
2015-06-25,35.779999
2015-06-26,34.470001
2015-06-29,33.310001
2015-06-30,34.07
2015-07-01,31.67
2015-07-02,30.690001000000002
2015-07-06,30.83
2015-07-07,30.98
2015-07-08,31.42
2015-07-09,31.559998999999998
2015-07-10,31.209999
2015-07-13,32.150002
2015-07-14,32.43
2015-07-15,31.389999
2015-07-16,31.66
2015-07-17,31.639999
2015-07-20,32.57
2015-07-21,33.380001
2015-07-22,33.84
2015-07-23,33.860001000000004
2015-07-24,33.790001000000004
2015-07-27,31.01
2015-07-28,33.25
2015-07-29,32.32
2015-07-30,31.639999
2015-07-31,31.709999
2015-08-03,30.389999
2015-08-04,30.290001
2015-08-05,30.1
2015-08-06,29.190001000000002
2015-08-07,28.85
2015-08-10,29.58
2015-08-11,28.610001
2015-08-12,29.98
2015-08-13,30.32
2015-08-14,30.639999
2015-08-17,31.219998999999998
2015-08-18,30.469998999999998
2015-08-19,29.950001
2015-08-20,28.379998999999998
2015-08-21,28.129998999999998
2015-08-24,27.16
2015-08-25,27.610001
2015-08-26,25.92
2015-08-27,26.1
2015-08-28,26.91
2015-08-31,26.450001
2015-09-01,25.17
2015-09-02,26.83
2015-09-03,26.91
2015-09-04,26.450001
2015-09-08,25.5
2015-09-09,25.74
2015-09-10,27.42
2015-09-11,27.6
2015-09-14,27.34
2015-09-15,27.83
2015-09-16,26.9
2015-09-17,27.75
2015-09-18,28.129998999999998
2015-09-21,27.92
2015-09-22,25.91
2015-09-23,25.59
2015-09-24,25.219998999999998
2015-09-25,24.889999
2015-09-28,24.049999
2015-09-29,24.26
2015-09-30,24.34
2015-10-01,24.49
2015-10-02,25.799999
2015-10-05,27.16
2015-10-06,27.360001
2015-10-07,28.49
2015-10-08,29.959999
2015-10-09,30.18
2015-10-12,29.799999
2015-10-13,30.18
2015-10-14,30.299999
2015-10-15,30.51
2015-10-16,31.32
2015-10-19,30.809998999999998
2015-10-20,30.879998999999998
2015-10-21,29.92
2015-10-22,30.1
2015-10-23,31.040001
2015-10-26,32.09
2015-10-27,24.49
2015-10-28,24.41
2015-10-29,23.85
2015-10-30,23.98
2015-11-02,24.34
2015-11-03,24.559998999999998
2015-11-04,24.370001000000002
2015-11-05,24.280001000000002
2015-11-06,25.190001000000002
2015-11-09,25.85
2015-11-10,25.02
2015-11-11,24.07
2015-11-12,23.860001
2015-11-13,23.889999
2015-11-16,24.57
2015-11-17,25.309998999999998
2015-11-18,25.98
2015-11-19,25.700001
2015-11-20,26.0
2015-11-23,26.24
2015-11-24,26.459999
2015-11-25,27.540001
2015-11-27,25.780001000000002
2015-11-30,25.639999
2015-12-01,26.27
2015-12-02,26.17
2015-12-03,25.74
2015-12-04,24.65
2015-12-07,24.219998999999998
2015-12-08,24.17
2015-12-09,23.93
2015-12-10,24.540001
2015-12-11,24.030001000000002
2015-12-14,22.969998999999998
