Date,CMI
1973-02-21,5.234375
1973-02-22,5.28125
1973-02-23,5.0625
1973-02-26,5.0
1973-02-27,4.953125
1973-02-28,4.9375
1973-03-01,4.953125
1973-03-02,4.921875
1973-03-05,4.90625
1973-03-06,4.796875
1973-03-07,4.65625
1973-03-08,4.6875
1973-03-09,4.71875
1973-03-12,4.6875
1973-03-13,4.6875
1973-03-14,4.65625
1973-03-15,4.375
1973-03-16,4.28125
1973-03-19,4.234375
1973-03-20,4.203125
1973-03-21,4.234375
1973-03-22,4.28125
1973-03-23,4.296875
1973-03-26,4.296875
1973-03-27,4.515625
1973-03-28,4.640625
1973-03-29,4.953125
1973-03-30,4.90625
1973-04-02,4.859375
1973-04-03,4.828125
1973-04-04,4.640625
1973-04-05,4.625
1973-04-06,4.34375
1973-04-09,4.265625
1973-04-10,4.40625
1973-04-11,4.671875
1973-04-12,4.84375
1973-04-13,4.8125
1973-04-16,4.6875
1973-04-17,4.6875
1973-04-18,4.5625
1973-04-19,4.5
1973-04-23,4.5
1973-04-24,4.53125
1973-04-25,4.359375
1973-04-26,4.375
1973-04-27,4.25
1973-04-30,4.484375
1973-05-01,4.40625
1973-05-02,4.359375
1973-05-03,4.296875
1973-05-04,4.359375
1973-05-07,4.3125
1973-05-08,4.234375
1973-05-09,4.234375
1973-05-10,4.125
1973-05-11,4.1875
1973-05-14,4.09375
1973-05-15,4.0
1973-05-16,4.0
1973-05-17,3.9375
1973-05-18,3.921875
1973-05-21,3.875
1973-05-22,3.84375
1973-05-23,3.875
1973-05-24,3.890625
1973-05-25,3.984375
1973-05-29,4.0
1973-05-30,3.875
1973-05-31,3.90625
1973-06-01,3.875
1973-06-04,3.875
1973-06-05,3.8125
1973-06-06,3.875
1973-06-07,3.765625
1973-06-08,3.828125
1973-06-11,3.78125
1973-06-12,3.953125
1973-06-13,4.046875
1973-06-14,4.046875
1973-06-15,3.90625
1973-06-18,3.796875
1973-06-19,3.734375
1973-06-20,3.71875
1973-06-21,3.671875
1973-06-22,3.65625
1973-06-25,3.71875
1973-06-26,3.765625
1973-06-27,3.828125
1973-06-28,3.890625
1973-06-29,4.109375
1973-07-02,4.125
1973-07-03,4.171875
1973-07-05,4.546875
1973-07-06,4.578125
1973-07-09,4.390625
1973-07-10,4.4375
1973-07-11,4.515625
1973-07-12,4.484375
1973-07-13,4.46875
1973-07-16,4.609375
1973-07-17,4.75
1973-07-18,4.75
1973-07-19,4.8125
1973-07-20,4.84375
1973-07-23,4.796875
1973-07-24,4.8125
1973-07-25,4.75
1973-07-26,4.703125
1973-07-27,4.71875
1973-07-30,4.640625
1973-07-31,4.71875
1973-08-01,4.625
1973-08-02,4.6875
1973-08-03,4.65625
1973-08-06,4.578125
1973-08-07,4.59375
1973-08-08,4.59375
1973-08-09,4.625
1973-08-10,4.59375
1973-08-13,4.546875
1973-08-14,4.625
1973-08-15,4.625
1973-08-16,4.59375
1973-08-17,4.59375
1973-08-20,4.5625
1973-08-21,4.53125
1973-08-22,4.5
1973-08-23,4.5
1973-08-24,4.640625
1973-08-27,4.734375
1973-08-28,4.90625
1973-08-29,5.1875
1973-08-30,5.1875
1973-08-31,5.125
1973-09-04,5.359375
1973-09-05,5.546875
1973-09-06,5.625
1973-09-07,5.5625
1973-09-10,5.625
1973-09-11,5.75
1973-09-12,5.71875
1973-09-13,5.703125
1973-09-14,5.703125
1973-09-17,5.953125
1973-09-18,6.015625
1973-09-19,6.140625
1973-09-20,6.21875
1973-09-21,6.125
1973-09-24,5.90625
1973-09-25,6.0
