Date,VR
2012-06-18,31.030001000000002
2012-06-19,31.25
2012-06-20,31.09
2012-06-21,31.26
2012-06-22,31.32
2012-06-25,31.040001
2012-06-26,31.280001000000002
2012-06-27,31.52
2012-06-28,31.77
2012-06-29,32.029999
2012-07-02,32.400002
2012-07-03,32.669998
2012-07-05,32.599998
2012-07-06,32.830002
2012-07-09,32.630001
2012-07-10,32.689999
2012-07-11,32.73
2012-07-12,32.669998
2012-07-13,33.0
2012-07-16,32.950001
2012-07-17,33.07
2012-07-18,33.360001000000004
2012-07-19,33.23
2012-07-20,32.900002
2012-07-23,32.630001
2012-07-24,32.439999
2012-07-25,32.540001000000004
2012-07-26,32.709998999999996
2012-07-27,32.720001
2012-07-30,32.810001
2012-07-31,32.529999
2012-08-01,32.299999
2012-08-02,32.34
2012-08-03,32.459998999999996
2012-08-06,32.009997999999996
2012-08-07,32.0
2012-08-08,32.220001
2012-08-09,32.700001
2012-08-10,32.630001
2012-08-13,32.419998
2012-08-14,32.799999
2012-08-15,32.82
2012-08-16,33.040001000000004
2012-08-17,33.259997999999996
2012-08-20,33.59
2012-08-21,33.34
2012-08-22,33.360001000000004
2012-08-23,33.299999
2012-08-24,33.299999
2012-08-27,33.27
2012-08-28,33.169998
2012-08-29,33.240002000000004
2012-08-30,33.259997999999996
2012-08-31,33.509997999999996
2012-09-04,33.77
2012-09-05,34.009997999999996
2012-09-06,33.93
2012-09-07,33.880001
2012-09-10,33.970001
2012-09-11,34.029999
2012-09-12,34.02
2012-09-13,34.169998
2012-09-14,34.279999
2012-09-17,34.389998999999996
2012-09-18,34.200001
2012-09-19,34.389998999999996
2012-09-20,34.669998
2012-09-21,34.220001
2012-09-24,34.169998
2012-09-25,33.650002
2012-09-26,33.419998
2012-09-27,34.0
2012-09-28,33.91
2012-10-01,34.130001
2012-10-02,34.240002000000004
2012-10-03,34.27
2012-10-04,35.259997999999996
2012-10-05,35.43
2012-10-08,35.57
2012-10-09,35.540001000000004
2012-10-10,35.470001
2012-10-11,35.560001
2012-10-12,35.400002
2012-10-15,35.650002
2012-10-16,36.349998
2012-10-17,36.599998
2012-10-18,36.880001
2012-10-19,36.669998
2012-10-22,36.5
2012-10-23,36.439999
2012-10-24,36.68
2012-10-25,37.32
2012-10-26,36.029999
2012-10-31,35.799999
2012-11-01,34.970001
2012-11-02,34.560001
2012-11-05,34.41
2012-11-06,35.009997999999996
2012-11-07,34.389998999999996
2012-11-08,34.380001
2012-11-09,34.110001000000004
2012-11-12,33.93
2012-11-13,33.889998999999996
2012-11-14,33.540001000000004
2012-11-15,33.48
2012-11-16,34.0
2012-11-19,34.110001000000004
2012-11-20,34.299999
2012-11-21,34.450001
2012-11-23,34.630001
2012-11-26,35.099998
2012-11-27,34.57
2012-11-28,34.869999
2012-11-29,34.869999
2012-11-30,35.459998999999996
2012-12-03,35.209998999999996
2012-12-04,35.16
2012-12-05,35.459998999999996
2012-12-06,35.299999
2012-12-07,35.279999
2012-12-10,35.279999
2012-12-11,35.279999
2012-12-12,35.18
2012-12-13,34.93
2012-12-14,34.68
2012-12-17,34.830002
2012-12-18,34.32
2012-12-19,34.599998
2012-12-20,34.299999
2012-12-21,33.740002000000004
2012-12-24,33.540001000000004
2012-12-26,33.950001
2012-12-27,33.810001
2012-12-28,33.959998999999996
2012-12-31,34.580002
2013-01-02,34.349998
2013-01-03,34.75
2013-01-04,34.959998999999996
2013-01-07,34.580002
2013-01-08,34.900002
2013-01-09,34.919998
2013-01-10,35.240002000000004
2013-01-11,35.299999
2013-01-14,35.290001000000004
2013-01-15,35.57
2013-01-16,35.200001
2013-01-17,35.200001
2013-01-18,35.25
2013-01-22,35.84
2013-01-23,35.849998
2013-01-24,35.830002
2013-01-25,35.720001
2013-01-28,35.52
2013-01-29,36.040001000000004
2013-01-30,36.139998999999996
2013-01-31,36.41
2013-02-01,36.57
2013-02-04,36.560001
2013-02-05,36.599998
2013-02-06,36.380001
2013-02-07,36.689999
2013-02-08,36.59
2013-02-11,36.900002
2013-02-12,36.939999
2013-02-13,36.59
2013-02-14,34.52
2013-02-15,34.369999
2013-02-19,34.869999
2013-02-20,35.060001
2013-02-21,34.91
2013-02-22,35.310001
2013-02-25,34.970001
2013-02-26,35.25
2013-02-27,35.689999
2013-02-28,35.630001
2013-03-01,35.84
2013-03-04,35.689999
2013-03-05,36.27
2013-03-06,36.43
2013-03-07,36.389998999999996
2013-03-08,36.529999
2013-03-11,36.849998
2013-03-12,37.209998999999996
2013-03-13,37.040001000000004
2013-03-14,37.41
2013-03-15,37.48
2013-03-18,37.259997999999996
2013-03-19,37.549999
2013-03-20,37.619999
2013-03-21,37.48
2013-03-22,37.490002000000004
2013-03-25,37.389998999999996
2013-03-26,37.27
2013-03-27,37.130001
2013-03-28,37.369999
2013-04-01,37.669998
2013-04-02,37.59
2013-04-03,37.779999
2013-04-04,37.720001
2013-04-05,37.599998
2013-04-08,37.970001
2013-04-09,37.709998999999996
2013-04-10,37.23
2013-04-11,37.619999
2013-04-12,37.700001
2013-04-15,36.529999
2013-04-16,36.990002000000004
2013-04-17,37.459998999999996
2013-04-18,37.43
2013-04-19,37.880001
2013-04-22,37.799999
2013-04-23,38.419998
2013-04-24,38.970001
2013-04-25,39.0
2013-04-26,38.59
2013-04-29,38.439999
2013-04-30,38.610001000000004
2013-05-01,38.57
2013-05-02,38.310001
2013-05-03,38.349998
2013-05-06,38.369999
2013-05-07,38.560001
2013-05-08,38.790001000000004
2013-05-09,38.130001
2013-05-10,37.68
2013-05-13,37.470001
2013-05-14,37.610001000000004
2013-05-15,38.200001
2013-05-16,37.139998999999996
2013-05-17,36.57
2013-05-20,36.48
2013-05-21,35.939999
2013-05-22,35.790001000000004
2013-05-23,35.619999
2013-05-24,35.549999
2013-05-28,35.450001
2013-05-29,36.049999
2013-05-30,36.490002000000004
2013-05-31,36.110001000000004
2013-06-03,36.34
2013-06-04,36.439999
2013-06-05,36.049999
2013-06-06,36.419998
2013-06-07,36.669998
2013-06-10,36.849998
2013-06-11,36.52
2013-06-12,36.560001
2013-06-13,36.709998999999996
2013-06-14,36.580002
2013-06-17,36.73
2013-06-18,36.68
2013-06-19,36.169998
2013-06-20,35.240002000000004
2013-06-21,33.849998
2013-06-24,34.18
2013-06-25,34.209998999999996
2013-06-26,35.150002
2013-06-27,35.470001
2013-06-28,36.119999
2013-07-01,35.610001000000004
2013-07-02,34.900002
2013-07-03,34.650002
2013-07-05,34.75
2013-07-08,34.82
2013-07-09,34.75
2013-07-10,34.48
2013-07-11,35.07
2013-07-12,35.290001000000004
2013-07-15,35.57
2013-07-16,35.16
2013-07-17,35.43
2013-07-18,35.700001
2013-07-19,35.709998999999996
2013-07-22,35.48
2013-07-23,35.16
2013-07-24,34.919998
2013-07-25,35.110001000000004
2013-07-26,35.68
2013-07-29,35.919998
2013-07-30,35.900002
2013-07-31,35.43
2013-08-01,35.07
2013-08-02,35.439999
2013-08-05,35.130001
2013-08-06,34.990002000000004
2013-08-07,34.869999
2013-08-08,34.709998999999996
2013-08-09,34.709998999999996
2013-08-12,34.830002
2013-08-13,35.41
2013-08-14,35.419998
2013-08-15,35.09
2013-08-16,34.68
2013-08-19,34.389998999999996
2013-08-20,34.669998
2013-08-21,34.419998
2013-08-22,34.950001
2013-08-23,34.970001
2013-08-26,34.950001
2013-08-27,34.639998999999996
2013-08-28,34.18
2013-08-29,34.639998999999996
2013-08-30,34.610001000000004
2013-09-03,35.029999
