Date,COLD
2018-12-17,26.35
2018-12-18,26.66
2018-12-19,26.23
2018-12-20,26.200001
2018-12-21,25.450001
2018-12-24,24.27
2018-12-26,25.24
2018-12-27,25.200001
2018-12-28,25.16
2018-12-31,25.540001
2019-01-02,24.92
2019-01-03,25.08
2019-01-04,25.450001
2019-01-07,25.67
2019-01-08,26.43
2019-01-09,26.370001000000002
2019-01-10,27.120001000000002
2019-01-11,27.450001
2019-01-14,27.459999
2019-01-15,27.75
2019-01-16,27.76
2019-01-17,28.08
2019-01-18,28.26
2019-01-22,28.309998999999998
2019-01-23,28.280001000000002
2019-01-24,27.77
2019-01-25,27.93
2019-01-28,28.200001
2019-01-29,28.280001000000002
2019-01-30,28.68
2019-01-31,29.32
2019-02-01,29.15
2019-02-04,29.059998999999998
2019-02-05,29.440001000000002
2019-02-06,28.92
2019-02-07,29.120001000000002
2019-02-08,29.040001
2019-02-11,28.799999
2019-02-12,28.66
2019-02-13,28.629998999999998
2019-02-14,28.77
2019-02-15,28.75
2019-02-19,28.93
2019-02-20,28.59
2019-02-21,28.540001
2019-02-22,29.440001000000002
2019-02-25,28.57
2019-02-26,28.469998999999998
2019-02-27,28.059998999999998
2019-02-28,28.75
2019-03-01,28.77
2019-03-04,29.190001000000002
2019-03-05,29.879998999999998
2019-03-06,29.92
2019-03-07,29.389999
2019-03-08,29.6
2019-03-11,30.370001000000002
2019-03-12,29.91
2019-03-13,30.129998999999998
2019-03-14,30.290001
2019-03-15,30.530001000000002
2019-03-18,30.5
2019-03-19,30.1
2019-03-20,29.860001
2019-03-21,30.309998999999998
2019-03-22,30.25
2019-03-25,30.530001000000002
2019-03-26,30.68
2019-03-27,30.379998999999998
2019-03-28,30.73
2019-03-29,30.51
2019-04-01,30.48
2019-04-02,30.719998999999998
2019-04-03,30.809998999999998
2019-04-04,30.48
2019-04-05,30.77
2019-04-08,30.469998999999998
2019-04-09,30.379998999999998
2019-04-10,31.08
2019-04-11,31.1
2019-04-12,31.059998999999998
2019-04-15,30.700001
2019-04-16,30.0
2019-04-17,30.42
2019-04-18,30.93
2019-04-22,31.360001
2019-04-23,31.719998999999998
2019-04-24,31.93
2019-04-25,32.0
2019-04-26,32.310001
2019-04-29,31.809998999999998
2019-04-30,32.009997999999996
2019-05-01,32.150002
2019-05-02,32.119999
2019-05-03,32.419998
2019-05-06,32.349998
2019-05-07,31.780001000000002
2019-05-08,30.83
