Date,ARES
2014-05-02,18.6
2014-05-05,18.6
2014-05-06,18.48
2014-05-07,17.73
2014-05-08,17.75
2014-05-09,17.59
2014-05-12,17.209999
2014-05-13,17.200001
2014-05-14,17.15
2014-05-15,17.540001
2014-05-16,17.620001000000002
2014-05-19,17.84
2014-05-20,17.940001000000002
2014-05-21,17.9
2014-05-22,18.0
2014-05-23,18.17
2014-05-27,18.299999
2014-05-28,18.690001000000002
2014-05-29,18.799999
2014-05-30,19.0
2014-06-02,18.84
2014-06-03,18.709999
2014-06-04,18.799999
2014-06-05,18.42
2014-06-06,18.4
2014-06-09,18.700001
2014-06-10,18.57
2014-06-11,18.76
2014-06-12,18.629998999999998
2014-06-13,18.360001
2014-06-16,18.6
2014-06-17,18.450001
2014-06-18,18.6
2014-06-19,18.645
2014-06-20,18.65
2014-06-23,18.790001
2014-06-24,18.712
2014-06-25,18.67
2014-06-26,18.620001000000002
2014-06-27,18.860001
2014-06-30,19.18
2014-07-01,18.85
2014-07-02,18.790001
2014-07-03,18.950001
2014-07-07,18.969998999999998
2014-07-08,19.25
2014-07-09,19.200001
2014-07-10,19.190001000000002
2014-07-11,19.01
2014-07-14,19.15
2014-07-15,19.15
2014-07-16,19.08
2014-07-17,19.02
2014-07-18,19.190001000000002
2014-07-21,19.5
2014-07-22,19.620001000000002
2014-07-23,19.68
2014-07-24,19.85
2014-07-25,19.85
2014-07-28,19.43
2014-07-29,19.85
2014-07-30,19.559998999999998
2014-07-31,19.43
2014-08-01,19.200001
2014-08-04,18.709999
2014-08-05,18.690001000000002
2014-08-06,17.82
2014-08-07,17.790001
2014-08-08,17.58
2014-08-11,17.950001
2014-08-12,17.99
2014-08-13,18.190001000000002
2014-08-14,17.950001
2014-08-15,18.059998999999998
2014-08-18,17.790001
2014-08-19,17.799999
2014-08-20,17.940001000000002
2014-08-21,17.76
2014-08-22,17.77
2014-08-25,18.049999
2014-08-26,17.99
2014-08-27,17.969998999999998
2014-08-28,17.85
2014-08-29,17.879998999999998
2014-09-02,18.110001
2014-09-03,18.077999
2014-09-04,17.6
2014-09-05,18.09
2014-09-08,18.02
2014-09-09,17.75
2014-09-10,17.940001000000002
2014-09-11,17.9
2014-09-12,17.76
2014-09-15,17.780001000000002
2014-09-16,17.645
2014-09-17,17.700001
2014-09-18,17.700001
2014-09-19,17.940001000000002
2014-09-22,17.700001
2014-09-23,17.66
2014-09-24,17.799999
2014-09-25,17.76
2014-09-26,17.68
2014-09-29,17.709999
2014-09-30,17.5
2014-10-01,17.32
2014-10-02,17.23
2014-10-03,17.57
2014-10-06,17.66
2014-10-07,17.49
2014-10-08,17.41
2014-10-09,17.09
2014-10-10,16.6
2014-10-13,16.41
2014-10-14,16.33
2014-10-15,16.58
2014-10-16,16.67
2014-10-17,16.780001000000002
2014-10-20,16.719998999999998
2014-10-21,16.780001000000002
2014-10-22,16.559998999999998
2014-10-23,16.280001000000002
2014-10-24,16.26
2014-10-27,16.43
2014-10-28,16.35
2014-10-29,16.120001000000002
2014-10-30,16.1
2014-10-31,15.88
2014-11-03,16.1
2014-11-04,15.79
2014-11-05,15.62
2014-11-06,15.46
2014-11-07,15.59
2014-11-10,15.6
