Date,ALLE
2014-10-08,47.240002000000004
2014-10-09,46.700001
2014-10-10,46.25
2014-10-13,45.32
2014-10-14,45.060001
2014-10-15,45.720001
2014-10-16,46.330002
2014-10-17,46.75
2014-10-20,46.900002
2014-10-21,48.23
2014-10-22,47.099998
2014-10-23,48.450001
2014-10-24,49.119999
2014-10-27,49.150002
2014-10-28,50.200001
2014-10-29,50.290001000000004
2014-10-30,52.639998999999996
2014-10-31,53.09
2014-11-03,53.43
2014-11-04,53.119999
2014-11-05,53.049999
2014-11-06,53.419998
2014-11-07,52.959998999999996
2014-11-10,52.68
2014-11-11,52.52
2014-11-12,52.5
2014-11-13,52.119999
2014-11-14,52.27
2014-11-17,52.84
2014-11-18,53.869999
2014-11-19,54.0
2014-11-20,54.09
2014-11-21,54.200001
2014-11-24,53.950001
2014-11-25,53.57
2014-11-26,53.060001
2014-11-28,53.849998
2014-12-01,53.700001
2014-12-02,54.360001000000004
2014-12-03,54.689999
2014-12-04,54.59
2014-12-05,55.549999
2014-12-08,54.91
2014-12-09,55.0
2014-12-10,54.150002
2014-12-11,54.189999
2014-12-12,53.810001
2014-12-15,53.700001
2014-12-16,53.43
2014-12-17,54.110001000000004
2014-12-18,54.950001
2014-12-19,54.990002000000004
2014-12-22,55.610001000000004
2014-12-23,55.68
2014-12-24,55.73
2014-12-26,55.650002
2014-12-29,55.91
2014-12-30,55.66
2014-12-31,55.459998999999996
2015-01-02,55.049999
2015-01-05,54.939999
2015-01-06,54.849998
2015-01-07,55.599998
2015-01-08,56.349998
2015-01-09,55.880001
2015-01-12,54.990002000000004
2015-01-13,55.099998
2015-01-14,55.330002
2015-01-15,53.799999
2015-01-16,53.369999
2015-01-20,52.790001000000004
2015-01-21,52.919998
2015-01-22,54.360001000000004
2015-01-23,54.48
2015-01-26,53.91
2015-01-27,53.799999
2015-01-28,54.349998
2015-01-29,54.790001000000004
2015-01-30,54.009997999999996
2015-02-02,54.490002000000004
2015-02-03,55.049999
2015-02-04,55.630001
2015-02-05,57.0
2015-02-06,57.549999
2015-02-09,56.91
2015-02-10,56.880001
2015-02-11,56.720001
2015-02-12,57.759997999999996
2015-02-13,58.66
2015-02-17,58.560001
2015-02-18,56.0
2015-02-19,57.619999
2015-02-20,58.599998
2015-02-23,58.34
2015-02-24,58.400002
2015-02-25,58.549999
2015-02-26,58.290001000000004
2015-02-27,57.73
2015-03-02,58.82
2015-03-03,58.5
2015-03-04,58.450001
2015-03-05,58.110001000000004
2015-03-06,57.450001
2015-03-09,57.990002000000004
2015-03-10,57.610001000000004
2015-03-11,57.91
2015-03-12,58.400002
2015-03-13,58.16
2015-03-16,58.740002000000004
2015-03-17,58.34
2015-03-18,59.84
2015-03-19,60.009997999999996
2015-03-20,61.139998999999996
2015-03-23,60.900002
2015-03-24,60.900002
2015-03-25,60.310001
2015-03-26,60.509997999999996
2015-03-27,61.23
2015-03-30,61.91
2015-03-31,61.169998
2015-04-01,61.080002
2015-04-02,61.450001
2015-04-06,61.650002
2015-04-07,61.57
2015-04-08,61.689999
2015-04-09,61.439999
2015-04-10,61.240002000000004
2015-04-13,60.279999
2015-04-14,59.970001
2015-04-15,60.490002000000004
2015-04-16,60.16
2015-04-17,59.099998
2015-04-20,59.310001
2015-04-21,59.810001
2015-04-22,60.360001000000004
2015-04-23,59.740002000000004
2015-04-24,60.959998999999996
2015-04-27,60.59
2015-04-28,60.810001
2015-04-29,60.549999
2015-04-30,61.150002
2015-05-01,61.450001
2015-05-04,62.25
2015-05-05,61.5
2015-05-06,61.279999
2015-05-07,61.490002000000004
2015-05-08,62.380001
2015-05-11,63.18
2015-05-12,61.779999
2015-05-13,61.740002000000004
2015-05-14,61.869999
2015-05-15,61.790001000000004
2015-05-18,61.889998999999996
2015-05-19,61.830002
2015-05-20,61.540001000000004
2015-05-21,61.400002
2015-05-22,61.259997999999996
2015-05-26,60.889998999999996
2015-05-27,61.82
2015-05-28,61.939999
2015-05-29,62.439999
2015-06-01,62.040001000000004
2015-06-02,62.389998999999996
2015-06-03,62.810001
2015-06-04,61.830002
2015-06-05,61.900002
2015-06-08,61.400002
2015-06-09,60.950001
2015-06-10,61.619999
2015-06-11,61.650002
2015-06-12,61.099998
2015-06-15,60.860001000000004
2015-06-16,60.610001000000004
2015-06-17,61.169998
2015-06-18,61.41
2015-06-19,61.669998
2015-06-22,62.080002
2015-06-23,62.080002
2015-06-24,62.049999
2015-06-25,61.73
2015-06-26,61.630001
2015-06-29,59.900002
2015-06-30,60.139998999999996
2015-07-01,60.209998999999996
2015-07-02,59.77
2015-07-06,59.560001
2015-07-07,59.650002
2015-07-08,58.48
2015-07-09,59.189999
2015-07-10,60.27
2015-07-13,60.990002000000004
2015-07-14,61.52
2015-07-15,60.889998999999996
2015-07-16,61.27
2015-07-17,61.389998999999996
2015-07-20,61.669998
2015-07-21,60.82
2015-07-22,61.07
2015-07-23,61.080002
2015-07-24,61.43
2015-07-27,61.200001
2015-07-28,62.389998999999996
2015-07-29,63.75
2015-07-30,63.200001
2015-07-31,63.220001
2015-08-03,62.689999
2015-08-04,62.630001
2015-08-05,62.880001
2015-08-06,62.290001000000004
2015-08-07,62.669998
2015-08-10,63.380001
2015-08-11,63.16
2015-08-12,63.07
2015-08-13,63.290001000000004
2015-08-14,63.599998
2015-08-17,64.68
2015-08-18,64.57
2015-08-19,64.230003
2015-08-20,62.599998
2015-08-21,60.380001
2015-08-24,58.560001
2015-08-25,56.950001
2015-08-26,59.02
2015-08-27,60.509997999999996
2015-08-28,60.27
2015-08-31,59.610001000000004
2015-09-01,58.560001
2015-09-02,59.32
2015-09-03,59.790001000000004
2015-09-04,58.720001
2015-09-08,60.360001000000004
2015-09-09,60.200001
2015-09-10,60.299999
2015-09-11,60.630001
2015-09-14,60.720001
2015-09-15,61.639998999999996
2015-09-16,61.810001
2015-09-17,62.040001000000004
2015-09-18,61.119999
2015-09-21,61.720001
2015-09-22,60.369999
2015-09-23,60.59
2015-09-24,60.18
2015-09-25,59.639998999999996
2015-09-28,57.259997999999996
2015-09-29,56.07
2015-09-30,57.66
2015-10-01,58.560001
2015-10-02,58.080002
2015-10-05,59.009997999999996
2015-10-06,58.650002
2015-10-07,59.639998999999996
2015-10-08,59.740002000000004
2015-10-09,59.669998
2015-10-12,59.139998999999996
2015-10-13,58.860001000000004
2015-10-14,58.830002
2015-10-15,60.34
2015-10-16,60.32
2015-10-19,59.98
2015-10-20,61.990002000000004
2015-10-21,61.27
2015-10-22,64.0
2015-10-23,63.73
2015-10-26,64.07
2015-10-27,64.5
2015-10-28,65.199997
2015-10-29,64.510002
2015-10-30,65.16999799999999
2015-11-02,66.75
2015-11-03,65.33000200000001
2015-11-04,64.699997
2015-11-05,64.160004
2015-11-06,64.269997
2015-11-09,63.68
2015-11-10,63.330002
2015-11-11,65.010002
2015-11-12,64.68
2015-11-13,63.689999
2015-11-16,64.720001
2015-11-17,64.589996
2015-11-18,65.849998
2015-11-19,66.68
2015-11-20,66.510002
2015-11-23,65.690002
2015-11-24,65.18
2015-11-25,66.400002
2015-11-27,67.129997
2015-11-30,67.209999
2015-12-01,68.029999
2015-12-02,67.309998
2015-12-03,66.099998
2015-12-04,67.120003
2015-12-07,66.389999
2015-12-08,65.849998
2015-12-09,65.18
2015-12-10,65.389999
2015-12-11,64.589996
2015-12-14,64.910004
2015-12-15,65.43
2015-12-16,66.459999
2015-12-17,65.620003
2015-12-18,64.650002
2015-12-21,64.760002
2015-12-22,65.16999799999999
2015-12-23,65.82
2015-12-24,65.610001
2015-12-28,66.309998
2015-12-29,66.959999
2015-12-30,66.610001
2015-12-31,65.91999799999999
2016-01-04,64.529999
2016-01-05,64.459999
2016-01-06,62.77
2016-01-07,60.959998999999996
2016-01-08,59.77
2016-01-11,59.490002000000004
2016-01-12,60.110001000000004
2016-01-13,58.810001
2016-01-14,60.23
2016-01-15,58.68
2016-01-19,58.009997999999996
2016-01-20,57.41
2016-01-21,57.209998999999996
2016-01-22,59.959998999999996
2016-01-25,59.189999
2016-01-26,59.939999
2016-01-27,59.73
2016-01-28,59.220001
2016-01-29,60.560001
2016-02-01,60.450001
2016-02-02,58.73
2016-02-03,59.380001
2016-02-04,59.799999
2016-02-05,56.27
2016-02-08,53.77
2016-02-09,54.279999
2016-02-10,54.849998
2016-02-11,56.740002000000004
2016-02-12,57.5
2016-02-16,58.5
2016-02-17,58.810001
2016-02-18,58.59
2016-02-19,58.759997999999996
2016-02-22,61.07
2016-02-23,61.110001000000004
2016-02-24,62.630001
2016-02-25,63.799999
2016-02-26,63.880001
2016-02-29,63.0
2016-03-01,64.83000200000001
2016-03-02,64.639999
2016-03-03,64.839996
2016-03-04,63.939999
2016-03-07,63.490002000000004
2016-03-08,62.950001
2016-03-09,63.32
2016-03-10,63.099998
2016-03-11,63.75
2016-03-14,64.16999799999999
2016-03-15,63.639998999999996
2016-03-16,63.759997999999996
2016-03-17,64.370003
2016-03-18,64.559998
2016-03-21,64.489998
2016-03-22,64.220001
2016-03-23,63.360001000000004
2016-03-24,63.139998999999996
2016-03-28,63.369999
2016-03-29,63.639998999999996
2016-03-30,63.84
