Date,ITRN
2005-09-28,13.47
2005-09-29,13.1
2005-09-30,13.15
2005-10-03,13.03
2005-10-04,13.03
2005-10-05,12.8
2005-10-06,12.89
2005-10-07,12.76
2005-10-10,12.5
2005-10-11,12.35
2005-10-12,12.28
2005-10-13,12.11
2005-10-14,12.25
2005-10-17,11.84
2005-10-18,12.0
2005-10-19,11.74
2005-10-20,11.9
2005-10-21,11.91
2005-10-24,11.8
2005-10-25,12.01
2005-10-26,12.55
2005-10-27,12.86
2005-10-28,12.73
2005-10-31,13.0
2005-11-01,13.0
2005-11-02,13.26
2005-11-03,13.7
2005-11-04,13.88
2005-11-07,14.08
2005-11-08,14.47
2005-11-09,14.58
2005-11-10,14.58
2005-11-11,15.33
2005-11-14,14.36
2005-11-15,13.75
2005-11-16,13.67
2005-11-17,14.66
2005-11-18,14.35
2005-11-21,14.09
2005-11-22,14.66
2005-11-23,14.75
2005-11-25,14.43
2005-11-28,14.26
2005-11-29,14.55
2005-11-30,14.54
2005-12-01,14.49
2005-12-02,14.94
2005-12-05,14.6
2005-12-06,14.57
2005-12-07,14.44
2005-12-08,14.9
2005-12-09,14.7
2005-12-12,14.9
2005-12-13,15.0
2005-12-14,15.87
2005-12-15,16.15
2005-12-16,16.0
2005-12-19,15.51
2005-12-20,15.5
2005-12-21,15.52
2005-12-22,16.65
2005-12-23,16.540001
2005-12-27,16.08
2005-12-28,15.9
2005-12-29,15.84
2005-12-30,15.95
2006-01-03,16.440001000000002
2006-01-04,16.379998999999998
2006-01-05,16.290001
2006-01-06,16.139999
2006-01-09,16.43
2006-01-10,17.860001
2006-01-11,17.860001
2006-01-12,17.6
2006-01-13,17.879998999999998
2006-01-17,18.200001
2006-01-18,18.129998999999998
2006-01-19,18.030001000000002
2006-01-20,17.559998999999998
2006-01-23,17.32
2006-01-24,17.57
2006-01-25,18.120001000000002
2006-01-26,18.59
2006-01-27,18.190001000000002
2006-01-30,18.040001
2006-01-31,17.76
2006-02-01,18.07
2006-02-02,18.059998999999998
2006-02-03,18.0
2006-02-06,18.0
2006-02-07,17.0
2006-02-08,17.139999
2006-02-09,17.209999
2006-02-10,17.34
2006-02-13,16.99
2006-02-14,16.950001
2006-02-15,16.24
2006-02-16,16.309998999999998
2006-02-17,16.440001000000002
2006-02-21,16.629998999999998
2006-02-22,15.8
2006-02-23,14.97
2006-02-24,16.139999
2006-02-27,16.93
2006-02-28,17.0
2006-03-01,17.0
2006-03-02,17.0
2006-03-03,17.01
2006-03-06,16.790001
2006-03-07,16.84
2006-03-08,17.0
2006-03-09,17.0
2006-03-10,16.48
2006-03-13,16.370001000000002
2006-03-14,16.049999
2006-03-15,15.8
2006-03-16,16.290001
2006-03-17,15.81
2006-03-20,15.71
2006-03-21,15.97
2006-03-22,16.049999
2006-03-23,15.81
2006-03-24,15.83
2006-03-27,16.24
2006-03-28,16.08
2006-03-29,15.74
2006-03-30,15.74
2006-03-31,15.13
2006-04-03,15.53
2006-04-04,15.97
2006-04-05,16.469998999999998
2006-04-06,16.75
2006-04-07,16.82
2006-04-10,16.82
2006-04-11,15.95
2006-04-12,16.15
2006-04-13,16.76
2006-04-17,17.0
2006-04-18,16.98
2006-04-19,17.200001
2006-04-20,16.93
2006-04-21,16.799999
2006-04-24,16.629998999999998
2006-04-25,16.799999
2006-04-26,16.68
2006-04-27,16.43
2006-04-28,16.639999
2006-05-01,16.73
2006-05-02,16.889999
2006-05-03,16.98
2006-05-04,16.82
2006-05-05,16.799999
2006-05-08,16.5
2006-05-09,16.35
2006-05-10,15.27
2006-05-11,15.36
2006-05-12,15.36
2006-05-15,16.15
2006-05-16,16.52
2006-05-17,16.309998999999998
2006-05-18,16.26
2006-05-19,16.35
2006-05-22,15.55
2006-05-23,15.16
2006-05-24,14.12
2006-05-25,14.0
2006-05-26,14.15
2006-05-30,14.69
2006-05-31,14.87
2006-06-01,14.94
2006-06-02,14.95
2006-06-05,14.81
2006-06-06,14.3
2006-06-07,14.23
2006-06-08,13.96
2006-06-09,14.02
2006-06-12,14.0
2006-06-13,13.85
2006-06-14,13.95
2006-06-15,14.88
2006-06-16,14.88
2006-06-19,14.68
2006-06-20,14.54
2006-06-21,14.62
2006-06-22,14.36
2006-06-23,14.42
2006-06-26,14.1
2006-06-27,14.05
2006-06-28,14.0
2006-06-29,13.83
2006-06-30,14.01
2006-07-03,14.66
2006-07-05,14.99
2006-07-06,15.24
2006-07-07,15.19
2006-07-10,15.14
2006-07-11,15.09
2006-07-12,14.08
2006-07-13,13.65
2006-07-14,13.36
2006-07-17,14.25
2006-07-18,14.74
2006-07-19,14.93
2006-07-20,14.95
2006-07-21,14.37
2006-07-24,14.52
2006-07-25,14.49
2006-07-26,13.9
2006-07-27,13.86
2006-07-28,13.99
2006-07-31,14.43
2006-08-01,13.99
2006-08-02,14.62
2006-08-03,14.37
2006-08-04,14.4
2006-08-07,14.05
2006-08-08,14.23
2006-08-09,14.33
2006-08-10,14.1
2006-08-11,14.1
2006-08-14,14.05
2006-08-15,14.45
2006-08-16,14.6
2006-08-17,14.23
2006-08-18,14.28
2006-08-21,14.48
2006-08-22,14.18
2006-08-23,14.06
2006-08-24,14.07
2006-08-25,14.15
2006-08-28,14.05
2006-08-29,14.05
2006-08-30,14.1
2006-08-31,13.84
2006-09-01,13.88
2006-09-05,14.07
2006-09-06,14.57
2006-09-07,14.86
2006-09-08,14.93
2006-09-11,14.48
2006-09-12,14.84
2006-09-13,15.04
2006-09-14,15.13
2006-09-15,15.2
2006-09-18,15.06
2006-09-19,15.06
2006-09-20,14.91
2006-09-21,14.94
2006-09-22,14.74
2006-09-25,14.74
2006-09-26,14.56
2006-09-27,14.6
2006-09-28,14.4
2006-09-29,14.35
2006-10-02,14.25
2006-10-03,14.27
2006-10-04,14.8
2006-10-05,14.81
2006-10-06,14.9
2006-10-09,14.89
2006-10-10,15.14
2006-10-11,15.35
2006-10-12,15.55
2006-10-13,15.4
2006-10-16,15.1
2006-10-17,15.21
2006-10-18,15.22
2006-10-19,15.46
2006-10-20,15.46
2006-10-23,16.030001000000002
2006-10-24,16.790001
2006-10-25,16.950001
2006-10-26,17.57
2006-10-27,16.98
2006-10-30,16.719998999999998
2006-10-31,17.309998999999998
2006-11-01,17.0
2006-11-02,16.440001000000002
2006-11-03,16.610001
2006-11-06,16.93
2006-11-07,17.030001000000002
2006-11-08,16.75
2006-11-09,16.84
2006-11-10,17.17
2006-11-13,17.9
2006-11-14,17.68
2006-11-15,17.49
2006-11-16,17.15
2006-11-17,17.299999
2006-11-20,16.629998999999998
2006-11-21,16.879998999999998
2006-11-22,16.57
2006-11-24,16.1
2006-11-27,16.15
2006-11-28,16.280001000000002
2006-11-29,16.16
2006-11-30,15.99
2006-12-01,15.8
2006-12-04,15.5
2006-12-05,15.5
2006-12-06,15.59
2006-12-07,15.9
2006-12-08,15.95
2006-12-11,16.5
2006-12-12,16.1
2006-12-13,15.75
2006-12-14,15.7
2006-12-15,15.63
2006-12-18,15.25
2006-12-19,15.0
2006-12-20,14.8
2006-12-21,14.66
2006-12-22,14.61
2006-12-26,14.65
2006-12-27,14.62
2006-12-28,14.9
2006-12-29,15.05
2007-01-03,15.57
2007-01-04,15.51
2007-01-05,15.28
2007-01-08,14.92
2007-01-09,14.8
2007-01-10,14.62
2007-01-11,14.92
2007-01-12,14.9
2007-01-16,15.0
2007-01-17,14.65
2007-01-18,14.52
2007-01-19,14.6
2007-01-22,14.76
2007-01-23,15.0
2007-01-24,14.91
2007-01-25,15.0
2007-01-26,15.01
2007-01-29,15.15
2007-01-30,14.99
2007-01-31,14.7
2007-02-01,14.61
2007-02-02,14.93
2007-02-05,15.02
2007-02-06,14.87
2007-02-07,14.92
2007-02-08,14.72
2007-02-09,14.77
2007-02-12,14.71
2007-02-13,15.13
2007-02-14,15.44
2007-02-15,15.48
2007-02-16,15.72
2007-02-20,15.48
2007-02-21,14.9
2007-02-22,14.94
2007-02-23,14.99
2007-02-26,14.94
2007-02-27,14.58
2007-02-28,14.97
2007-03-01,14.99
2007-03-02,14.85
2007-03-05,14.25
2007-03-06,14.63
2007-03-07,14.5
2007-03-08,14.7
2007-03-09,14.67
2007-03-12,14.75
2007-03-13,14.47
2007-03-14,15.01
2007-03-15,14.48
2007-03-16,14.4
2007-03-19,14.25
2007-03-20,14.28
2007-03-21,14.4
2007-03-22,14.31
2007-03-23,14.33
2007-03-26,13.75
2007-03-27,13.73
2007-03-28,13.53
2007-03-29,13.38
2007-03-30,13.32
2007-04-02,13.31
2007-04-03,13.41
2007-04-04,13.75
2007-04-05,13.81
2007-04-09,13.66
2007-04-10,13.55
2007-04-11,13.7
2007-04-12,13.83
2007-04-13,13.92
2007-04-16,13.87
2007-04-17,14.1
2007-04-18,14.17
2007-04-19,14.08
2007-04-20,14.05
2007-04-23,14.0
2007-04-24,14.05
2007-04-25,13.96
2007-04-26,13.88
2007-04-27,13.9
2007-04-30,13.65
2007-05-01,13.74
2007-05-02,13.87
2007-05-03,14.21
